f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,label
0.656646,0.59953797,2.6165674e-07,0.6234818,0.5723987,-0.012955884,0.6097929,0.5193898,-0.020656943,0.6281195,0.4811834,-0.028235218,0.65120864,0.47037786,-0.036545124,0.61782813,0.45632228,-0.014930734,0.61269945,0.39219475,-0.02871273,0.61189765,0.35231918,-0.040156696,0.6121981,0.31733006,-0.048843343,0.6435196,0.45187563,-0.019465191,0.6378869,0.38207245,-0.031598218,0.63616526,0.33608532,-0.042876337,0.63514477,0.29569143,-0.05073831,0.6692344,0.45972097,-0.025693491,0.6646076,0.3932803,-0.0372037,0.66208047,0.35138398,-0.046673667,0.65977365,0.315034,-0.053019017,0.69545764,0.47645262,-0.033359278,0.69296926,0.42596123,-0.043969747,0.68942934,0.39225435,-0.048956476,0.6861154,0.36225438,-0.05203778,0
0.6532165,0.59980357,2.6331645e-07,0.6193849,0.57174957,-0.012877162,0.60611206,0.51998824,-0.020932315,0.6247739,0.47988796,-0.028763821,0.6468978,0.46408373,-0.037512857,0.6145723,0.45547643,-0.01652228,0.6099171,0.39124948,-0.03095996,0.6089427,0.35201272,-0.04267554,0.60916144,0.31728077,-0.05159413,0.6410662,0.45158628,-0.021562584,0.6357744,0.38130844,-0.034535415,0.6338001,0.33537886,-0.046586577,0.6321374,0.2951692,-0.055153478,0.6669399,0.4606365,-0.028211156,0.6625521,0.39316267,-0.040797483,0.659743,0.35134864,-0.051202845,0.6566963,0.31503993,-0.05835046,0.692764,0.47874844,-0.036136843,0.6897933,0.4276732,-0.048219055,0.68576324,0.39338303,-0.05437749,0.681605,0.36260527,-0.05834649,0
0.6498322,0.5974555,2.6422148e-07,0.6169286,0.57175195,-0.013149354,0.6034403,0.5169122,-0.020424252,0.62371933,0.47549272,-0.027327765,0.6499686,0.46398345,-0.035054773,0.612013,0.45297363,-0.015104922,0.60699546,0.3900363,-0.028304795,0.605446,0.35044616,-0.03957528,0.60515946,0.31587717,-0.048565757,0.63843864,0.4480321,-0.019591304,0.6326484,0.37898898,-0.031308766,0.6307955,0.33357912,-0.042686895,0.62941784,0.29394078,-0.050846726,0.6639263,0.45692155,-0.025766753,0.6591091,0.39126307,-0.037517224,0.6563403,0.3496538,-0.047863603,0.6537966,0.313456,-0.055010874,0.6890527,0.47549012,-0.033321165,0.6864837,0.42543203,-0.04523309,0.6826303,0.391368,-0.05173729,0.6788842,0.36102676,-0.05596045,0
0.644796,0.5981071,2.5330067e-07,0.6114911,0.5722082,-0.012835852,0.5975859,0.5213876,-0.02122735,0.61460954,0.48383737,-0.029486643,0.6353604,0.46762514,-0.038633395,0.6050943,0.4545046,-0.016276402,0.6002372,0.39123008,-0.03143197,0.59901303,0.35144678,-0.04397939,0.59893316,0.31677294,-0.053252116,0.6311803,0.4500681,-0.021324372,0.6260916,0.380696,-0.034571413,0.6241544,0.3350973,-0.046749864,0.6226064,0.29543543,-0.055238906,0.6570982,0.458607,-0.02800289,0.6529102,0.39156604,-0.040449146,0.64977574,0.3492633,-0.05038605,0.6466004,0.3129793,-0.057045747,0.6833298,0.47681585,-0.03602096,0.6809821,0.42559528,-0.0477352,0.67668957,0.39123768,-0.05321061,0.67214465,0.36106402,-0.05645121,0
0.64015865,0.5980903,2.3749783e-07,0.6072123,0.571561,-0.012857377,0.5914415,0.5242082,-0.02147209,0.6055858,0.4876327,-0.030094411,0.6260638,0.4693921,-0.039413366,0.6011609,0.45278862,-0.0148479035,0.5950764,0.39064085,-0.029723266,0.5936346,0.3512599,-0.04248527,0.5934892,0.31630224,-0.05204926,0.62659234,0.44824657,-0.020086851,0.62088645,0.37932202,-0.033166572,0.618256,0.33343896,-0.04568548,0.6161231,0.2926137,-0.054556366,0.652229,0.4565224,-0.027057119,0.6480541,0.3914719,-0.039218143,0.64488125,0.34941623,-0.04909768,0.64159757,0.31274968,-0.055832423,0.6781794,0.4748314,-0.035451125,0.6760268,0.42487258,-0.04678917,0.6722591,0.39096272,-0.052095424,0.66852105,0.3604742,-0.055290077,0
0.6217221,0.59581214,2.2290898e-07,0.5880519,0.5686537,-0.012779567,0.5734794,0.5173329,-0.02052635,0.5896236,0.47642657,-0.028222514,0.6106154,0.4597942,-0.036369327,0.580865,0.4489468,-0.013179438,0.5754009,0.38654587,-0.026912373,0.5740717,0.34736437,-0.038887624,0.57426155,0.31316173,-0.04798002,0.60599947,0.4441159,-0.017846327,0.5995713,0.3750608,-0.029686855,0.59728587,0.32951972,-0.041015398,0.59592557,0.2896902,-0.049051523,0.6315733,0.45255432,-0.024315605,0.62625307,0.387062,-0.03565974,0.6232019,0.34522024,-0.044793174,0.6203713,0.30940807,-0.051061276,0.6581607,0.4710145,-0.032256704,0.65542024,0.42111892,-0.042942695,0.65178925,0.3870173,-0.047900066,0.6483597,0.35677907,-0.05091207,0
0.6053971,0.59610707,2.582619e-07,0.57310855,0.5700016,-0.012945287,0.55867517,0.5209822,-0.02146692,0.5745282,0.4848321,-0.029951835,0.5953166,0.47380328,-0.039194223,0.5675514,0.45148903,-0.015225643,0.56210136,0.38809967,-0.029729191,0.5602398,0.34848407,-0.041834466,0.5595345,0.31432444,-0.050906878,0.59255916,0.44718438,-0.020119855,0.58669454,0.37726486,-0.033081044,0.58390653,0.33141333,-0.04485735,0.5820346,0.29228973,-0.053048283,0.6174569,0.4550735,-0.026716728,0.61288226,0.3877139,-0.038723398,0.6095508,0.34593743,-0.048110683,0.6064947,0.31060523,-0.054406274,0.64294076,0.47215706,-0.034763485,0.6410022,0.42206162,-0.045578662,0.6367545,0.3883536,-0.05054739,0.63235074,0.35911348,-0.053635117,0
0.5965927,0.593359,2.1066133e-07,0.5634989,0.5687285,-0.013352594,0.54860675,0.5223503,-0.021952044,0.5635039,0.484507,-0.030308751,0.5819099,0.46614844,-0.038917936,0.55375355,0.45233783,-0.014631158,0.54877156,0.38987023,-0.028836094,0.5481255,0.35025477,-0.040818516,0.5487427,0.3158868,-0.04973825,0.5795534,0.4466144,-0.019013336,0.5739245,0.37773976,-0.031164553,0.5723644,0.3324291,-0.042504463,0.5717533,0.29272774,-0.050522704,0.60564834,0.45361754,-0.0251317,0.60055804,0.3893243,-0.036414657,0.59760785,0.34753844,-0.045150947,0.59506434,0.31158504,-0.051150933,0.63259065,0.47053406,-0.032709684,0.6296938,0.42200208,-0.04312753,0.6258556,0.3893379,-0.047500316,0.62223697,0.36078608,-0.050018735,0
0.5766576,0.60191226,2.2893478e-07,0.54373735,0.5736263,-0.012455118,0.5302062,0.5240035,-0.020287694,0.54362816,0.48434064,-0.028201645,0.5609541,0.46516553,-0.03650752,0.53641313,0.45622218,-0.013070451,0.531324,0.39346936,-0.026991688,0.52910435,0.35513407,-0.038600493,0.5283447,0.32122958,-0.04731912,0.56096965,0.45178688,-0.018057508,0.5548812,0.38296172,-0.03069783,0.55230016,0.33800042,-0.042505793,0.5507487,0.2982096,-0.05080115,0.5861983,0.459509,-0.024823088,0.58123904,0.39376256,-0.036981456,0.5779465,0.35244718,-0.046475593,0.57488734,0.31673145,-0.05289409,0.6119476,0.47610524,-0.032967113,0.60835,0.42622837,-0.044034857,0.60371965,0.39276245,-0.049122382,0.59890807,0.3631146,-0.05226444,0
0.5658576,0.60022175,2.6188934e-07,0.5341942,0.5745065,-0.013890638,0.5194114,0.5285179,-0.023849634,0.53432417,0.49316263,-0.033624858,0.5555762,0.47779307,-0.043974902,0.5263148,0.45721772,-0.017640743,0.5212764,0.39416075,-0.03313363,0.5195459,0.35597762,-0.04560369,0.51918817,0.32178774,-0.054897055,0.5513665,0.45398,-0.022652296,0.5451925,0.3846555,-0.03687732,0.5425746,0.33935738,-0.049451936,0.54066247,0.29875273,-0.058224075,0.5767396,0.46271995,-0.029372165,0.5717445,0.39639628,-0.042739358,0.5682862,0.35479122,-0.052864958,0.56507474,0.31800586,-0.059570115,0.6029139,0.48026904,-0.037484515,0.5993971,0.42967367,-0.049510993,0.5948812,0.39614564,-0.055014066,0.59047717,0.36632356,-0.058352776,0
0.5517065,0.59760284,2.8966744e-07,0.5199153,0.5743577,-0.013706228,0.5049345,0.52777797,-0.022815995,0.5194821,0.4909113,-0.03149526,0.54037476,0.47536218,-0.04069936,0.51296824,0.4603386,-0.017074957,0.5089041,0.3982004,-0.03143048,0.50839293,0.35920763,-0.043060374,0.5091292,0.32488805,-0.051639788,0.53730583,0.45593482,-0.021220207,0.53215086,0.38761637,-0.033780668,0.52993786,0.34222907,-0.045067783,0.5285163,0.30235156,-0.05293883,0.56164145,0.46331975,-0.027007552,0.5573287,0.39841393,-0.03869623,0.55394006,0.35699958,-0.048041422,0.5509166,0.32109365,-0.05429242,0.5865541,0.47958344,-0.03418329,0.584161,0.42977518,-0.04491208,0.5802872,0.396728,-0.049985796,0.5764312,0.36742654,-0.05302418,0
0.5439697,0.6031604,2.6864856e-07,0.5119294,0.57776046,-0.012783258,0.49664095,0.5295948,-0.021167804,0.51140296,0.4922348,-0.029408509,0.5327459,0.47781554,-0.038300946,0.50715,0.46107203,-0.015781676,0.50292313,0.3987184,-0.029760476,0.50179195,0.36015347,-0.04118399,0.5018327,0.3261773,-0.049828276,0.53149056,0.4578743,-0.02049828,0.52601457,0.38941127,-0.0333914,0.52373546,0.34391177,-0.045017995,0.5222668,0.30376488,-0.053159993,0.5558748,0.4662616,-0.026814776,0.5510618,0.4012457,-0.039080486,0.54800844,0.3599097,-0.04865882,0.5451133,0.32369602,-0.05505303,0.5807286,0.48343873,-0.03444445,0.57812023,0.4335491,-0.045611683,0.57418203,0.4001883,-0.05091786,0.5703823,0.37021556,-0.054202534,0
0.5293188,0.5982748,2.9809436e-07,0.49788684,0.57821363,-0.0145057365,0.4813769,0.5331545,-0.024185635,0.49330276,0.49617216,-0.03315004,0.5131326,0.48023728,-0.042798515,0.49187487,0.47056213,-0.020160938,0.48742145,0.40676233,-0.035358794,0.4859983,0.366318,-0.047060378,0.4859539,0.3315522,-0.055548538,0.5154767,0.46554282,-0.023801303,0.5098552,0.39790627,-0.03760389,0.50689805,0.35232723,-0.049015403,0.5048869,0.31270975,-0.056651406,0.5397636,0.471435,-0.028892452,0.5344154,0.4069299,-0.04178104,0.5307733,0.36406016,-0.051196557,0.5277353,0.32732037,-0.057214823,0.5652498,0.4860486,-0.035252202,0.5629034,0.43656304,-0.04713681,0.5592482,0.40320143,-0.05231771,0.5556246,0.37334347,-0.055126328,0
0.5235178,0.60013556,2.7267797e-07,0.49200654,0.580637,-0.014258805,0.47600856,0.5342483,-0.023046881,0.4891081,0.4968675,-0.031158397,0.5088329,0.4814397,-0.039633527,0.48593655,0.46715105,-0.016131958,0.48182526,0.4060086,-0.02948283,0.48039415,0.3667677,-0.040482044,0.4804265,0.33336928,-0.04869536,0.5103449,0.46182162,-0.01939447,0.50476867,0.39520693,-0.03084849,0.50184005,0.35077405,-0.04143901,0.49946505,0.31257495,-0.048743475,0.5346566,0.46844605,-0.024329703,0.5305604,0.40476066,-0.035243712,0.5264582,0.3634762,-0.044092223,0.5222292,0.32836142,-0.049984794,0.55944616,0.48469552,-0.030649714,0.55820936,0.4361192,-0.041210383,0.5545018,0.4033907,-0.04606964,0.55005395,0.37453187,-0.04875914,0
0.51187515,0.59997666,2.6202054e-07,0.48098353,0.5787154,-0.013192806,0.46537858,0.53075695,-0.021657128,0.48159707,0.49495363,-0.029671635,0.50525993,0.4824933,-0.03807225,0.4751732,0.46434706,-0.015283293,0.4717746,0.40301055,-0.028178846,0.4706895,0.36443558,-0.038713712,0.47064942,0.33207995,-0.04663123,0.49915618,0.46061358,-0.01908634,0.49356258,0.394122,-0.030612815,0.49085146,0.34970826,-0.041125923,0.48885733,0.3113764,-0.048347093,0.5232891,0.46847862,-0.024478305,0.51925987,0.4049671,-0.035754118,0.51561743,0.3637156,-0.04476514,0.51215565,0.32834247,-0.050600745,0.54809725,0.48570547,-0.031093497,0.54647225,0.43635994,-0.041936364,0.54335153,0.40336132,-0.046744265,0.53975827,0.37421006,-0.049318064,0
0.5053633,0.59324557,2.7388023e-07,0.47543716,0.57258725,-0.012101403,0.46066344,0.5254438,-0.020168917,0.47752115,0.4902753,-0.027935944,0.49984014,0.47619867,-0.036423724,0.46786752,0.46195105,-0.015843082,0.46488607,0.40167663,-0.029170295,0.46455014,0.36290127,-0.040142708,0.4650759,0.32999557,-0.048419897,0.4922974,0.45835403,-0.020140678,0.48735407,0.3939651,-0.032375947,0.4849535,0.3496592,-0.043693718,0.48258093,0.3109038,-0.05155555,0.5170539,0.46639296,-0.025772113,0.51280564,0.40378496,-0.037940715,0.50920296,0.36203542,-0.047805972,0.50508606,0.3260609,-0.054276478,0.54242235,0.4840466,-0.032357767,0.540379,0.43580937,-0.044459682,0.5367361,0.4027374,-0.050131816,0.5323625,0.37308216,-0.053260475,0
0.49746743,0.59568864,2.9763754e-07,0.46597388,0.57450855,-0.013542623,0.4516506,0.52883124,-0.022524033,0.46769202,0.4934024,-0.030848267,0.488638,0.48013163,-0.039833244,0.4601252,0.46373403,-0.01857694,0.45710063,0.40104884,-0.032771125,0.45679414,0.3618305,-0.04422275,0.45709312,0.3279039,-0.052703425,0.48515072,0.45958558,-0.022344293,0.48073897,0.39144605,-0.034756344,0.4791566,0.34609884,-0.045622874,0.47797605,0.30745375,-0.05320141,0.5098632,0.46651998,-0.027559303,0.50564635,0.4023636,-0.038931,0.50289387,0.36081165,-0.047711708,0.5004734,0.32598707,-0.053593162,0.5347553,0.48215094,-0.034081616,0.5326843,0.43265948,-0.044781514,0.5291032,0.3992417,-0.04955855,0.5254883,0.3698734,-0.05231841,0
0.46749505,0.59001887,2.6623954e-07,0.43954527,0.56827664,-0.010102673,0.42716846,0.5214898,-0.016050298,0.43915945,0.4850604,-0.021866962,0.45866942,0.46949077,-0.027900994,0.43557498,0.47083053,-0.01076727,0.43356547,0.41414106,-0.022367703,0.43388444,0.3747326,-0.031964857,0.43525845,0.34229082,-0.038886726,0.45665166,0.4674822,-0.0143081155,0.45304254,0.40765896,-0.02478602,0.4529773,0.36520416,-0.034134787,0.45398006,0.32995245,-0.040004563,0.47908494,0.47320545,-0.01902124,0.4750143,0.415303,-0.029270746,0.47402444,0.37474483,-0.036385052,0.47360805,0.34193528,-0.04042274,0.502662,0.4871274,-0.024696397,0.5015369,0.44134477,-0.033891138,0.49947494,0.41086593,-0.036880795,0.49733406,0.38457406,-0.037861563,0
0.44570398,0.61078084,2.7250437e-07,0.4168605,0.5918557,-0.014536083,0.40165862,0.5511731,-0.023735689,0.41012868,0.51584244,-0.031917322,0.42301947,0.49341804,-0.03975704,0.40874612,0.47983545,-0.01573311,0.4061068,0.41939443,-0.028668797,0.40633935,0.38185632,-0.0392749,0.40756643,0.35080305,-0.046866477,0.43194482,0.4755524,-0.01802303,0.4284696,0.4102165,-0.028985072,0.42780092,0.3671658,-0.038973592,0.42779464,0.3322557,-0.04582419,0.4552863,0.48230654,-0.02200508,0.45253113,0.4212802,-0.032010257,0.45126477,0.38257778,-0.03956912,0.45041725,0.35081547,-0.044631556,0.47904134,0.4987937,-0.027386706,0.47917956,0.4532448,-0.036966927,0.47691998,0.4226457,-0.040949307,0.47410387,0.39640787,-0.04293661,0
