f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,label
0.55268663,0.73811746,2.7974824e-07,0.50036347,0.7019566,-0.017732203,0.470508,0.63188845,-0.02652835,0.4847031,0.56344783,-0.035265777,0.51926523,0.5330567,-0.043792136,0.48809826,0.53696996,-0.008947936,0.47773126,0.45249465,-0.023830807,0.47388884,0.4029023,-0.03813043,0.47284192,0.35860297,-0.04998218,0.5213901,0.52689916,-0.013930241,0.5087012,0.43437615,-0.026687507,0.5026631,0.3768028,-0.040975336,0.49758205,0.32504195,-0.05191998,0.5542083,0.53514117,-0.022048157,0.54450905,0.44858596,-0.035534695,0.5380243,0.39542425,-0.047576085,0.5322504,0.34918782,-0.05655641,0.58979464,0.55720556,-0.032434326,0.5816342,0.49299487,-0.04551574,0.57296884,0.45027772,-0.05263902,0.56466097,0.4113557,-0.057792902,0
0.5487612,0.736928,2.9367962e-07,0.49510318,0.70201916,-0.01761568,0.46459562,0.6316838,-0.026051013,0.47769636,0.5623967,-0.034372043,0.51302916,0.53428763,-0.04257289,0.4830983,0.53914,-0.008922191,0.4721202,0.45599556,-0.023639359,0.46855086,0.40612718,-0.03767405,0.46781966,0.36176115,-0.04934943,0.51641536,0.52897733,-0.013794665,0.5040514,0.43587577,-0.026507774,0.4990096,0.37752998,-0.040652756,0.49512824,0.32638365,-0.051351234,0.549063,0.5378519,-0.02179109,0.53940666,0.4512858,-0.035728015,0.5319603,0.39767492,-0.048800558,0.5254842,0.35234934,-0.05828042,0.5847393,0.56012076,-0.031894386,0.57657653,0.49528238,-0.045665525,0.5671013,0.45222354,-0.053844187,0.5581356,0.41359222,-0.05965669,0
0.5486823,0.7337251,2.8983214e-07,0.49571353,0.69637835,-0.01686737,0.46670872,0.62702674,-0.025164798,0.48132008,0.5593947,-0.03352183,0.51698685,0.5299927,-0.041923083,0.48365316,0.5368752,-0.0081285,0.47277424,0.45353585,-0.022818826,0.46867412,0.4040498,-0.037211973,0.46731737,0.35956794,-0.049242087,0.5171336,0.52640545,-0.013416613,0.5046085,0.4343922,-0.026048107,0.49866173,0.37672788,-0.04086992,0.4933003,0.32542413,-0.05234131,0.54958165,0.5349179,-0.021748524,0.5403264,0.4489395,-0.035407774,0.53350466,0.39572445,-0.048547413,0.5272761,0.35016862,-0.058326878,0.5849349,0.5569017,-0.032143153,0.57697916,0.49205232,-0.045643583,0.5679094,0.4488513,-0.053630274,0.55911374,0.40976185,-0.05951772,0
0.54822105,0.73282826,3.046419e-07,0.49645907,0.6962999,-0.017894195,0.4672471,0.6270499,-0.027097344,0.48210275,0.5591639,-0.036063172,0.5184886,0.5303278,-0.04512972,0.48429364,0.53766364,-0.011615389,0.473457,0.45455682,-0.026993359,0.46921277,0.40457398,-0.041370135,0.4676327,0.35988867,-0.05328938,0.51780313,0.5268828,-0.016412085,0.5053445,0.43501717,-0.029259086,0.49964893,0.37693584,-0.043256048,0.49468938,0.32594216,-0.054082062,0.550723,0.5349884,-0.02415911,0.5409484,0.44902045,-0.037525132,0.53339636,0.39563474,-0.050057106,0.52616966,0.3499856,-0.059483554,0.5856616,0.5565739,-0.03405691,0.5779517,0.4924265,-0.047548395,0.56887627,0.44875267,-0.055505693,0.55974084,0.4097041,-0.061293136,0
0.5494412,0.7351545,3.1034827e-07,0.49734655,0.6988321,-0.017768536,0.46748543,0.6286541,-0.0269275,0.48005036,0.5581376,-0.035829913,0.5176689,0.5304837,-0.044587724,0.48344338,0.5366823,-0.0097049,0.47240952,0.45277166,-0.02463181,0.46784455,0.40299416,-0.039184697,0.46584642,0.35811555,-0.05140392,0.5170877,0.52642703,-0.014603153,0.50434864,0.4353832,-0.027262349,0.4984567,0.37770718,-0.041711356,0.49266958,0.32570153,-0.052861605,0.55022866,0.53480774,-0.022513516,0.5405043,0.44826573,-0.035902366,0.5335611,0.39439455,-0.048481878,0.52681625,0.34755826,-0.057827987,0.5858878,0.55689895,-0.032585412,0.5768413,0.49154755,-0.046026044,0.5681071,0.44749624,-0.053745847,0.5595578,0.40757847,-0.059281018,0
0.5560079,0.736145,3.323428e-07,0.50396687,0.70264906,-0.01955242,0.47555342,0.6348721,-0.029724924,0.4899803,0.5659694,-0.0391796,0.5257751,0.5376455,-0.04834469,0.4885524,0.54147565,-0.012260154,0.47780824,0.45644116,-0.02783047,0.4741274,0.4059087,-0.042538755,0.47289243,0.36123157,-0.054644722,0.52229273,0.5308279,-0.01634648,0.5090626,0.43895045,-0.029720347,0.5031782,0.3810163,-0.04441891,0.49760985,0.32959366,-0.055541113,0.55533814,0.5386794,-0.023496212,0.54486233,0.4514313,-0.037298888,0.53778946,0.39745563,-0.04993371,0.5311643,0.35047102,-0.05924629,0.59135556,0.56009763,-0.032924693,0.58257145,0.49499282,-0.04670258,0.57398313,0.4518928,-0.05443797,0.5652604,0.41243058,-0.059886217,0
0.5587533,0.7333633,3.6087866e-07,0.5076943,0.7019563,-0.020295067,0.48049754,0.63588023,-0.03130805,0.49538302,0.5685877,-0.041357614,0.53153646,0.5407232,-0.0512326,0.49246392,0.5439079,-0.014795783,0.48190725,0.45969707,-0.030969368,0.4780746,0.4084433,-0.045966066,0.47700515,0.3630415,-0.0582827,0.52620417,0.53287774,-0.018574089,0.5131197,0.44231564,-0.03250103,0.5074839,0.3845737,-0.0476324,0.50206167,0.3326943,-0.059074264,0.5594551,0.5399934,-0.02527819,0.5496376,0.4535917,-0.039579753,0.54188365,0.4002272,-0.05287047,0.5342612,0.35274857,-0.06260849,0.59528315,0.5605487,-0.03421034,0.5874287,0.4960531,-0.048938878,0.5793349,0.45336625,-0.05751819,0.5705256,0.41402847,-0.06341548,0
0.5650157,0.7309241,3.4607822e-07,0.51371723,0.70024455,-0.019335506,0.48533282,0.63652736,-0.030237881,0.49932414,0.5712184,-0.04035241,0.5332871,0.54177743,-0.050523125,0.49812356,0.5432317,-0.016371023,0.488097,0.4602152,-0.033280123,0.48404557,0.40928465,-0.048482746,0.48233578,0.36405545,-0.06064074,0.53077096,0.5327443,-0.020966383,0.51848865,0.4425615,-0.0353342,0.51270586,0.38496548,-0.05005812,0.50752205,0.33347026,-0.060942102,0.56366456,0.54036283,-0.02829893,0.55425835,0.4538932,-0.042905413,0.5471064,0.39981782,-0.05561308,0.5396984,0.35146934,-0.06472158,0.59954304,0.5619278,-0.037759177,0.5937855,0.49695113,-0.052708603,0.58553576,0.45454702,-0.06062099,0.57566744,0.41563508,-0.06578711,0
0.5780062,0.73346597,3.1078972e-07,0.527359,0.69935954,-0.017703172,0.4998734,0.63126516,-0.0271624,0.5159997,0.5669851,-0.03620404,0.55245817,0.54267716,-0.045412477,0.5130978,0.54255414,-0.013762372,0.50128406,0.45956904,-0.029935447,0.49849772,0.4089435,-0.044246964,0.49896967,0.36492032,-0.055647112,0.54683197,0.5328906,-0.01845447,0.5346223,0.4417231,-0.032024518,0.52992105,0.38474604,-0.045877207,0.52643514,0.33528158,-0.05617839,0.58019954,0.54090583,-0.025902292,0.5703718,0.45595554,-0.039660975,0.5631067,0.40275678,-0.05200427,0.5573063,0.35738075,-0.06091954,0.6158206,0.56193686,-0.035384104,0.6078273,0.49721938,-0.048796084,0.5997184,0.4543192,-0.05614821,0.5922394,0.41555557,-0.061249025,0
0.59028196,0.742865,3.1542194e-07,0.54116136,0.70879126,-0.017696919,0.5137726,0.64096,-0.02734064,0.52942055,0.5771094,-0.036500107,0.5651944,0.55205417,-0.045904916,0.5297232,0.5520323,-0.015074615,0.51970506,0.46975666,-0.031364106,0.5163464,0.41952392,-0.045860305,0.51534206,0.37526047,-0.057464864,0.5626767,0.5426932,-0.019970376,0.55202967,0.45143634,-0.0336931,0.54783404,0.39409572,-0.047825184,0.5439468,0.3435039,-0.058338545,0.59543794,0.5510435,-0.027468992,0.5866287,0.46558803,-0.041298877,0.5802884,0.4128731,-0.053733107,0.5743397,0.3676377,-0.06267292,0.6305653,0.57253957,-0.03696473,0.62287676,0.5076594,-0.050329726,0.6149539,0.46473986,-0.057654087,0.60710627,0.426111,-0.06268987,0
