f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,label
0.5491151,0.9873972,3.962399e-07,0.48585624,0.9182325,-0.0332783,0.45750338,0.81550264,-0.054291453,0.4902708,0.7353878,-0.07359287,0.54199725,0.6962098,-0.09318216,0.51246065,0.67639595,-0.034963433,0.5147401,0.5490353,-0.0647519,0.5194861,0.47206867,-0.09007997,0.5273899,0.40319532,-0.110578574,0.5630097,0.67972606,-0.043228664,0.56589067,0.5415712,-0.07096617,0.5687973,0.453059,-0.09714544,0.57128215,0.37211218,-0.116712175,0.60901445,0.7116954,-0.05572262,0.61536133,0.58253473,-0.08457782,0.6160917,0.5013093,-0.10622617,0.6157573,0.42744666,-0.121589735,0.6564478,0.76648766,-0.071467854,0.66461086,0.6672,-0.09918131,0.66508245,0.60107535,-0.11314016,0.663433,0.53654855,-0.12263874,0
0.56598395,0.98696613,3.871506e-07,0.50430244,0.9193013,-0.031585444,0.47441062,0.8212485,-0.052019853,0.50509006,0.74477535,-0.071049295,0.55445176,0.70505154,-0.09054368,0.52317345,0.68574905,-0.03368643,0.5238628,0.56361276,-0.06192651,0.5264841,0.49094278,-0.08608892,0.53222173,0.42464247,-0.105967164,0.5720236,0.6887511,-0.042336132,0.57278734,0.5575221,-0.069026224,0.5744242,0.47303748,-0.094974056,0.5764289,0.39450473,-0.11474716,0.61714387,0.7192776,-0.055019286,0.6213635,0.5967252,-0.08336077,0.6208667,0.52003646,-0.105466835,0.6193305,0.4481802,-0.121388935,0.6637706,0.7709433,-0.070681915,0.6697931,0.675276,-0.09821188,0.6689123,0.6123883,-0.112463295,0.66628855,0.55007684,-0.12243158,0
0.5754625,0.9817487,3.738804e-07,0.51555413,0.9127744,-0.02851745,0.48914614,0.81146675,-0.046526212,0.52191967,0.7344758,-0.063630104,0.57004625,0.69641733,-0.08123572,0.53864694,0.67825675,-0.029048093,0.54046756,0.55659384,-0.056019787,0.5441595,0.4834135,-0.07939379,0.5508069,0.41772264,-0.09839588,0.5872673,0.6808221,-0.038390227,0.5897941,0.5488029,-0.063398376,0.5924292,0.46315792,-0.08804483,0.59500813,0.38586172,-0.10653515,0.6316268,0.71122015,-0.051548604,0.6379777,0.5879911,-0.077860735,0.63855684,0.51134163,-0.098033324,0.6379841,0.441872,-0.11241093,0.67684877,0.7636094,-0.06758205,0.68507314,0.66783535,-0.09281303,0.6862361,0.6049377,-0.10503804,0.68555725,0.54449785,-0.11331782,0
0.59877545,0.9893575,3.672598e-07,0.5376113,0.92222583,-0.029300788,0.50897795,0.8212901,-0.048449516,0.54158807,0.74405676,-0.06658804,0.59351647,0.71156776,-0.08503238,0.56089216,0.69018406,-0.030650659,0.56363964,0.57001895,-0.058367886,0.56917036,0.4982841,-0.08241402,0.5779063,0.43348414,-0.10205298,0.60984415,0.69337714,-0.039737165,0.61350405,0.56237316,-0.065249585,0.6172605,0.47947973,-0.08971588,0.6213247,0.4036522,-0.108217515,0.6538764,0.72415864,-0.052572936,0.6611013,0.60216403,-0.07870701,0.66257936,0.5270778,-0.09734387,0.663501,0.4593876,-0.11083395,0.69914377,0.7776446,-0.06849336,0.70784426,0.68373567,-0.09297997,0.7095513,0.6215441,-0.103916995,0.70923966,0.5622596,-0.11146474,0
0.59914184,1.0095376,3.327435e-07,0.53921944,0.94391155,-0.030461393,0.511689,0.84596175,-0.05042494,0.54304945,0.76815444,-0.069061734,0.5936907,0.7347013,-0.087803066,0.56172717,0.71733594,-0.03354782,0.56436723,0.5951251,-0.061382942,0.57041013,0.52294844,-0.085268304,0.57997566,0.45836073,-0.104633555,0.6099867,0.7203128,-0.04169382,0.61382496,0.587178,-0.067152575,0.61898386,0.5042919,-0.091041334,0.6243555,0.4295028,-0.109279834,0.65388817,0.75020057,-0.053494215,0.6614832,0.62616444,-0.07937128,0.6632535,0.55049473,-0.097782515,0.66480327,0.48295456,-0.11130124,0.6996931,0.80185723,-0.0684593,0.7086768,0.7070923,-0.092715845,0.7104166,0.6448276,-0.1037302,0.71075267,0.5858932,-0.11152766,0
0.59186673,1.0204535,3.632426e-07,0.53243184,0.9591068,-0.031494163,0.5049925,0.86388034,-0.05145687,0.5374863,0.79067385,-0.06956893,0.5859226,0.75978017,-0.088237524,0.5551615,0.7355636,-0.038030487,0.5578672,0.61331683,-0.06641,0.5636601,0.5408404,-0.08993477,0.5728059,0.4764135,-0.10876965,0.6051551,0.73846537,-0.045600925,0.60872865,0.6056587,-0.07202286,0.61249095,0.5212198,-0.095917605,0.61610687,0.44632852,-0.113816194,0.64938295,0.7684344,-0.056671478,0.6579056,0.643875,-0.083838254,0.65986514,0.56741893,-0.10309223,0.6613493,0.4996173,-0.116713636,0.6944423,0.81955063,-0.070726335,0.7041663,0.7235705,-0.096677594,0.70637435,0.6612629,-0.10851645,0.707245,0.6021005,-0.11647652,0
0.5975255,1.0186507,4.2899555e-07,0.5371582,0.9582846,-0.03236518,0.50962424,0.86425066,-0.05283528,0.5444641,0.7956826,-0.07133762,0.5940139,0.7675916,-0.09043158,0.5572576,0.7346303,-0.03845236,0.5608577,0.6134912,-0.06840152,0.5674426,0.5398861,-0.092985295,0.57736534,0.47578394,-0.112355895,0.6090301,0.73804873,-0.045910664,0.6126094,0.6085112,-0.07361485,0.6172188,0.52425325,-0.09834885,0.6216204,0.44921085,-0.11653083,0.6547559,0.7688244,-0.05714969,0.6629154,0.64673966,-0.08578863,0.66634274,0.570296,-0.10580977,0.6689838,0.5015915,-0.11954772,0.7010612,0.82108146,-0.07139911,0.7106569,0.7270485,-0.09907964,0.7126392,0.6663817,-0.11144267,0.71296585,0.60823864,-0.11929805,0
0.60462064,1.0084399,4.099569e-07,0.54300225,0.94585675,-0.03323684,0.51479733,0.8508648,-0.054236807,0.54885113,0.7801054,-0.07331133,0.59768075,0.7475249,-0.09299985,0.56378317,0.71561044,-0.039071586,0.56534994,0.59293926,-0.06879381,0.5700912,0.5199794,-0.09386732,0.57823825,0.45412588,-0.114139356,0.6152566,0.71715915,-0.046996377,0.6168761,0.5850375,-0.07441,0.61999136,0.5013431,-0.100286044,0.62338924,0.4246941,-0.11986452,0.66086537,0.747488,-0.058680117,0.6672864,0.62391007,-0.087203756,0.67027307,0.5462368,-0.10809648,0.6730091,0.47538945,-0.123059325,0.70732164,0.80074745,-0.073490255,0.71575195,0.7054718,-0.10108852,0.7175108,0.64352256,-0.113799304,0.71790946,0.5833929,-0.12237259,0
0.612349,0.9886914,3.743861e-07,0.54941493,0.92148125,-0.03273548,0.5222362,0.8229592,-0.054024015,0.5569607,0.7508584,-0.073718436,0.6078569,0.7188763,-0.093801625,0.5700023,0.6857596,-0.03758954,0.5732295,0.5586006,-0.06706876,0.5783856,0.4838006,-0.09244813,0.58556765,0.4147126,-0.113105215,0.62152594,0.68936646,-0.045576386,0.62621546,0.5537204,-0.0724164,0.6304327,0.46902305,-0.09755008,0.6329068,0.3907497,-0.11677436,0.667535,0.72002745,-0.057400443,0.67579556,0.59496355,-0.08451926,0.67664146,0.51544297,-0.10413042,0.6757282,0.44369233,-0.11843881,0.71550834,0.7722523,-0.07256764,0.7263308,0.67546004,-0.09801487,0.72696465,0.61147344,-0.1095943,0.7247682,0.5505396,-0.11771451,0
0.61323845,0.9751643,4.185981e-07,0.55150187,0.909143,-0.034274936,0.52489275,0.8096013,-0.056826994,0.5611558,0.7399125,-0.07756196,0.611379,0.7093855,-0.098986186,0.5752752,0.6692267,-0.04160194,0.5789077,0.5417527,-0.07317068,0.58472776,0.46619326,-0.09979364,0.5931403,0.39679328,-0.121166974,0.62758505,0.67290086,-0.049991257,0.63156044,0.53588414,-0.07939395,0.6357008,0.4483562,-0.106305115,0.63874716,0.36784312,-0.12641105,0.674632,0.7043858,-0.06224588,0.6819873,0.5776438,-0.09166231,0.6829501,0.49629295,-0.112729795,0.6828026,0.42324334,-0.1276076,0.723265,0.7580605,-0.07783973,0.7325194,0.6580966,-0.10515882,0.73432714,0.5917676,-0.11775164,0.73496556,0.528468,-0.12626112,0
