t,bat,h,yaw
1772407188.6389322,51.0,0.0,0.0
1772407188.7047603,51.0,0.0,0.0
1772407188.7166948,51.0,0.0,0.0
1772407188.767943,51.0,0.0,0.0
1772407188.7786636,51.0,0.0,0.0
1772407188.8225715,51.0,0.0,0.0
1772407188.838529,51.0,0.0,0.0
1772407188.8896363,51.0,0.0,0.0
1772407188.8976142,51.0,0.0,0.0
1772407188.9315236,51.0,0.0,0.0
1772407188.9395053,51.0,0.0,0.0
1772407188.9774015,51.0,0.0,0.0
1772407188.9843826,51.0,0.0,0.0
1772407189.0282652,51.0,0.0,0.0
1772407189.03425,51.0,0.0,0.0
1772407189.0671706,51.0,0.0,0.0
1772407189.074174,51.0,0.0,0.0
1772407189.1040971,51.0,0.0,0.0
1772407189.1195216,51.0,0.0,0.0
1772407189.1656797,51.0,0.0,0.0
1772407189.1722355,51.0,0.0,0.0
1772407189.2117507,51.0,0.0,0.0
1772407189.226948,51.0,0.0,0.0
1772407189.2738557,51.0,0.0,0.0
1772407189.279648,51.0,0.0,0.0
1772407189.320558,51.0,0.0,0.0
1772407189.336512,51.0,0.0,0.0
1772407189.3710604,51.0,0.0,0.0
1772407189.3790386,51.0,0.0,0.0
1772407189.413845,51.0,0.0,0.0
1772407189.4287527,51.0,0.0,0.0
1772407189.4640727,51.0,0.0,0.0
1772407189.4720674,51.0,0.0,0.0
1772407189.505834,51.0,0.0,0.0
1772407189.5209725,51.0,0.0,0.0
1772407189.5665295,51.0,0.0,0.0
1772407189.582637,51.0,0.0,0.0
1772407189.6125576,51.0,0.0,0.0
1772407189.6199012,50.0,0.0,0.0
1772407189.6604087,50.0,0.0,0.0
1772407189.6760128,50.0,0.0,0.0
1772407189.7068477,50.0,0.0,0.0
1772407189.7228048,50.0,0.0,0.0
1772407189.7685068,50.0,0.0,0.0
1772407189.783939,50.0,0.0,0.0
1772407189.8297398,50.0,0.0,0.0
1772407189.8452723,50.0,0.0,0.0
1772407189.8916125,50.0,0.0,0.0
1772407189.9073799,50.0,0.0,0.0
1772407189.9538975,50.0,0.0,0.0
1772407189.9608774,50.0,0.0,0.0
1772407189.9956188,50.0,0.0,0.0
1772407190.0046616,50.0,0.0,0.0
1772407190.0392518,50.0,0.0,0.0
1772407190.046885,50.0,0.0,0.0
1772407190.08966,50.0,0.0,0.0
1772407190.0979075,50.0,0.0,0.0
1772407190.1329238,50.0,0.0,0.0
1772407190.1422203,50.0,0.0,0.0
1772407190.188198,50.0,0.0,0.0
1772407190.198169,50.0,0.0,0.0
1772407190.2319038,50.0,0.0,0.0
1772407190.2416728,50.0,0.0,0.0
1772407190.2840364,50.0,0.0,0.0
1772407190.2928,50.0,0.0,0.0
1772407190.328128,50.0,0.0,0.0
1772407190.3371036,50.0,0.0,0.0
1772407190.3801532,50.0,0.0,0.0
1772407190.3880966,50.0,0.0,0.0
1772407190.4249566,50.0,0.0,0.0
1772407190.433904,50.0,0.0,0.0
1772407190.4753904,50.0,0.0,0.0
1772407190.4835148,50.0,0.0,0.0
1772407190.5194528,50.0,0.0,0.0
1772407190.527289,50.0,0.0,0.0
1772407190.5683498,50.0,0.0,0.0
1772407190.5773256,50.0,0.0,0.0
1772407190.6134017,50.0,0.0,0.0
1772407190.6233702,50.0,0.0,0.0
1772407190.6631384,50.0,0.0,0.0
1772407190.67314,50.0,0.0,0.0
1772407190.7102857,50.0,0.0,0.0
1772407190.7188606,50.0,0.0,0.0
1772407190.7602792,50.0,0.0,0.0
1772407190.7694948,50.0,0.0,0.0
1772407190.8052456,50.0,0.0,0.0
1772407190.814221,50.0,0.0,0.0
1772407190.8563337,50.0,0.0,0.0
1772407190.864313,50.0,0.0,0.0
1772407190.898658,50.0,0.0,0.0
1772407190.907634,50.0,0.0,0.0
1772407190.9505465,50.0,0.0,0.0
1772407190.9585867,50.0,0.0,0.0
1772407190.995453,50.0,0.0,0.0
1772407191.0054271,50.0,0.0,0.0
1772407191.049544,50.0,0.0,0.0
1772407191.0585208,50.0,0.0,0.0
1772407191.0950415,50.0,0.0,0.0
1772407191.1050487,50.0,0.0,0.0
1772407191.1583157,50.0,0.0,0.0
1772407191.1692398,50.0,0.0,0.0
1772407191.207537,50.0,0.0,0.0
1772407191.215515,50.0,0.0,0.0
1772407191.256515,50.0,0.0,0.0
1772407191.2652671,50.0,0.0,0.0
1772407191.3001752,50.0,0.0,0.0
1772407191.3112953,50.0,0.0,0.0
1772407191.3535056,50.0,0.0,0.0
1772407191.3634784,50.0,0.0,0.0
1772407191.3990126,50.0,0.0,0.0
1772407191.4079146,50.0,0.0,0.0
1772407191.4496148,50.0,0.0,0.0
1772407191.457597,50.0,0.0,0.0
1772407191.4939644,50.0,0.0,0.0
1772407191.5049343,50.0,0.0,0.0
1772407191.5467658,50.0,0.0,0.0
1772407191.5557756,50.0,0.0,0.0
1772407191.5910578,50.0,0.0,0.0
1772407191.5993075,50.0,0.0,0.0
1772407191.6429987,50.0,0.0,0.0
1772407191.65194,50.0,0.0,0.0
1772407191.6898582,50.0,0.0,0.0
1772407191.6980085,50.0,0.0,0.0
1772407191.7403338,50.0,0.0,0.0
1772407191.749282,50.0,0.0,0.0
1772407191.789567,50.0,0.0,0.0
1772407191.798546,50.0,0.0,0.0
1772407191.8436854,50.0,0.0,0.0
1772407191.8521523,50.0,0.0,0.0
1772407191.8880594,50.0,0.0,0.0
1772407191.8958197,50.0,0.0,0.0
1772407191.9364345,50.0,0.0,0.0
1772407191.9444158,50.0,0.0,0.0
1772407191.9860666,50.0,0.0,0.0
1772407191.9940493,50.0,0.0,0.0
1772407192.0368125,50.0,0.0,0.0
1772407192.0452375,50.0,0.0,0.0
1772407192.0901725,50.0,0.0,0.0
1772407192.0981507,50.0,0.0,0.0
1772407192.1424096,50.0,0.0,0.0
1772407192.1513872,50.0,0.0,0.0
1772407192.1882868,50.0,0.0,0.0
1772407192.1972306,50.0,0.0,0.0
1772407192.2379491,50.0,0.0,0.0
1772407192.2479227,50.0,0.0,0.0
1772407192.2838254,50.0,0.0,0.0
1772407192.2937984,50.0,0.0,0.0
1772407192.3366902,50.0,0.0,0.0
1772407192.3456657,50.0,0.0,0.0
1772407192.3835628,50.0,0.0,0.0
1772407192.3944888,50.0,0.0,0.0
1772407192.4427109,50.0,0.0,0.0
1772407192.4526844,50.0,0.0,0.0
1772407192.4942617,50.0,0.0,0.0
1772407192.5037804,50.0,0.0,0.0
1772407192.545426,50.0,0.0,0.0
1772407192.5544028,50.0,0.0,0.0
1772407192.589319,50.0,0.0,0.0
1772407192.5992928,50.0,0.0,0.0
1772407192.6432853,50.0,0.0,0.0
1772407192.6514127,50.0,0.0,0.0
1772407192.6873152,50.0,0.0,0.0
1772407192.696291,50.0,0.0,0.0
1772407192.7365797,50.0,0.0,0.0
1772407192.7465532,50.0,0.0,0.0
1772407192.7952247,50.0,0.0,-2.0
1772407192.805199,50.0,0.0,-2.0
1772407192.8534784,50.0,0.0,-2.0
1772407192.8634188,50.0,0.0,-2.0
1772407192.9008846,50.0,0.0,-1.0
1772407192.9112067,50.0,0.0,-1.0
1772407192.9740894,50.0,0.0,-1.0
1772407192.9830596,50.0,0.0,1.0
1772407193.0213912,50.0,0.0,1.0
1772407193.030367,50.0,0.0,1.0
1772407193.0822892,50.0,0.0,11.0
1772407193.0902677,50.0,0.0,11.0
1772407193.1301184,50.0,0.0,11.0
1772407193.1400917,50.0,0.0,11.0
1772407193.192543,50.0,10.0,25.0
1772407193.2031922,50.0,10.0,25.0
1772407193.2518604,50.0,10.0,25.0
1772407193.2638268,50.0,10.0,25.0
1772407193.3178084,50.0,20.0,37.0
1772407193.3270214,50.0,20.0,37.0
1772407193.3642244,50.0,20.0,37.0
1772407193.375196,50.0,20.0,37.0
1772407193.4224105,50.0,20.0,43.0
1772407193.4303885,50.0,20.0,43.0
1772407193.4723482,50.0,20.0,43.0
1772407193.482171,50.0,20.0,43.0
1772407193.550841,50.0,30.0,45.0
1772407193.5619552,50.0,30.0,45.0
1772407193.600427,50.0,30.0,44.0
1772407193.610371,50.0,30.0,44.0
1772407193.6492977,50.0,30.0,44.0
1772407193.6588068,50.0,30.0,44.0
1772407193.7004547,50.0,30.0,39.0
1772407193.711425,50.0,30.0,39.0
1772407193.7573164,50.0,30.0,39.0
1772407193.7659752,50.0,30.0,39.0
1772407193.8048737,50.0,30.0,36.0
1772407193.8148427,50.0,30.0,36.0
1772407193.8645108,50.0,30.0,36.0
1772407193.8771238,50.0,30.0,36.0
1772407193.9278219,50.0,0.0,32.0
1772407193.9377503,50.0,0.0,32.0
1772407193.9844086,50.0,0.0,32.0
1772407193.995379,50.0,0.0,32.0
1772407194.0440874,50.0,0.0,30.0
1772407194.0563898,50.0,0.0,30.0
1772407194.0954962,50.0,0.0,30.0
1772407194.105437,50.0,0.0,28.0
1772407194.1440156,50.0,0.0,28.0
1772407194.152993,50.0,0.0,28.0
1772407194.1998608,50.0,0.0,28.0
1772407194.2102082,50.0,0.0,28.0
1772407194.2486236,50.0,0.0,27.0
1772407194.2571836,50.0,0.0,27.0
1772407194.295024,50.0,0.0,27.0
1772407194.3050284,50.0,0.0,27.0
