old,new
20260828-142717_usbtest,20260828-142717_drone_usb-test
20260828-143458_bench,20260828-143458_drone_bench
20260828-145714_bench2,20260828-145714_drone_bench-2
20260828-150551_dist,20260828-150551_drone_distance
20260828-153014_d1_flight1,20260828-153014_drone_d1-flight-1
20260828-153850_d1_flight1,20260828-153850_drone_d1-flight-1
20260828-154150_d1_flight1,20260828-154150_drone_d1-flight-1
20260828-155536_smoke,20260828-155536_webcam_smoke
20260828-155552_smoke,20260828-155552_webcam_smoke
20260828-155903_d1_unauth,20260828-155903_webcam_d1-unauthorised
20260828-161355_d1_arbitration,20260828-161355_webcam_d1-arbitration
20260828-162845_d1_unauth_h,20260828-162845_webcam_d1-unauthorised-hysteresis
20260828-164318_d1_flight1,20260828-164318_drone_d1-flight-1
20260828-164612_d1_flight1,20260828-164612_drone_d1-flight-1
20260828-165123_streamtest,20260828-165123_drone_stream-test
20260828-170904_d1_s3,20260828-170904_drone_d1-scenario-3
20260903-195208_home_streamtest,20260903-195208_drone_home-stream-test
20260903-195417_home_f1,20260903-195417_drone_home-flight-1
20260903-201258_home_f2,20260903-201258_drone_home-flight-2
20260903-202506_home_f3_fs30,20260903-202506_drone_home-flight-3-failsafe-30
20260903-202646_home_f3_fs30,20260903-202646_drone_home-flight-3-failsafe-30
20260903-202719_home_f3_fs30,20260903-202719_drone_home-flight-3-failsafe-30
20260903-202826_home_f3_fs30,20260903-202826_drone_home-flight-3-failsafe-30
20260903-202926_home_f3_fs30,20260903-202926_drone_home-flight-3-failsafe-30
20260903-203055_home_f3_fs30,20260903-203055_drone_home-flight-3-failsafe-30
20260918-112337_port_test_9013,20260918-112337_drone_port-test-9013
20260918-115935_home_f4_s67,20260918-115935_drone_home-flight-4-scenarios-6-7
20260918-120454_home_f4_s67,20260918-120454_drone_home-flight-4-scenarios-6-7
20260918-120517_home_f4_s67,20260918-120517_drone_home-flight-4-scenarios-6-7
20260920-013558_n1_s67,20260920-013558_drone_n1-scenarios-6-7
20260920-015011_n1_s67,20260920-015011_drone_n1-scenarios-6-7
20260920-015639_n2_abl_nogate,20260920-015639_drone_n2-ablation-no-gate
20260920-020746_n2_abl_nohyst,20260920-020746_drone_n2-ablation-no-hysteresis
20260920-021157_n2_baseline,20260920-021157_drone_n2-baseline
20260920-021222_n2_baseline,20260920-021222_drone_n2-baseline
20260920-030023_n3_baseline,20260920-030023_drone_n3-baseline
20260920-030604_n3_fs65,20260920-030604_drone_n3-failsafe-65
20260920-030652_n3_fs65,20260920-030652_drone_n3-failsafe-65
20260920-030847_n3_fs45,20260920-030847_drone_n3-failsafe-45
20260920-030953_n3_fs40,20260920-030953_drone_n3-failsafe-40
20260920-031054_n3_fs35,20260920-031054_drone_n3-failsafe-35
20260920-031228_n3_fs25,20260920-031228_drone_n3-failsafe-25
20260920-053626_n4_failsafe,20260920-053626_drone_n4-failsafe-ladder
20260920-112851_op_gesture_home,20260920-112851_capture_gesture-svm
20260920-113255_op_gesture_home,20260920-113255_capture_gesture-svm
20260920-113323_op_gesture_home,20260920-113323_capture_gesture-svm
20260920-113736_op_gesture_home,20260920-113736_capture_gesture-svm
20260920-121023_envelope_sweep,20260920-121023_capture_envelope
20260920-121154_envelope_sweep,20260920-121154_capture_envelope
20260920-124303_capture_session_D,20260920-124303_capture_dataset-session-d
20260920-145421_op_rule_pointing,20260920-145421_capture_gesture-rule
20260920-145453_op_rule_pointing,20260920-145453_capture_gesture-rule
20260920-230518_n5_svm_A,20260920-230518_drone_n5-cued-svm
20260920-230851_n5_svm_A,20260920-230851_drone_n5-cued-svm
20260920-230912_n5_svm_A,20260920-230912_drone_n5-cued-svm
20260921-002538_n6_svm_A,20260921-002538_drone_n6-hover-cued-svm
20260921-005015_n6_rule_A,20260921-005015_drone_n6-hover-cued-rule
20260921-010721_n6_rule_LR,20260921-010721_drone_n6-hover-lateral-rule
20260922-111820_flight_rule,20260922-111820_drone_flight-rule
20260922-112908_flight_rule,20260922-112908_drone_flight-rule
20260922-113550_flight_rule,20260922-113550_drone_flight-rule
20260922-114359_flight_rule,20260922-114359_drone_flight-rule
20260922-114857_flight_rule,20260922-114857_drone_flight-rule
20260922-115313_flight_rule,20260922-115313_drone_flight-rule
20260922-115555_flight_rule,20260922-115555_drone_flight-rule
20260922-115708_flight_rule,20260922-115708_drone_flight-rule
20260922-115952_flight_rule,20260922-115952_drone_flight-rule
20260922-120816_flight_rule,20260922-120816_drone_flight-rule
20260922-120918_flight_rule,20260922-120918_drone_flight-rule
20260922-121715_flight_rule,20260922-121715_drone_flight-rule
20260922-121857_flight_rule,20260922-121857_drone_flight-rule
20260923-130433_assoc_webcam,20260923-130433_webcam_association
20260923-130937_assoc_webcam,20260923-130937_webcam_association
20260923-131338_assoc_webcam,20260923-131338_webcam_association
20260923-133035_assoc_webcam,20260923-133035_webcam_association
20260923-134254_assoc_webcam,20260923-134254_webcam_association
20260923-140738_assoc_webcam,20260923-140738_webcam_association
20260924-130518_assoc_bench,20260924-130518_drone_association-bench
20260924-131646_assoc_bench_hud,20260924-131646_drone_association-bench-hud
20260924-164855_n7_svm_assoc,20260924-164855_drone_n7-hover-cued-svm-association_aborted
20260924-165842_n7_svm_assoc,20260924-165842_drone_n7-hover-cued-svm-association_aborted
20260924-170123_n7_svm_assoc,20260924-170123_drone_n7-hover-cued-svm-association_aborted
20260924-170307_n7_svm_assoc,20260924-170307_drone_n7-hover-cued-svm-association_aborted
20260924-170403_n7_svm_assoc,20260924-170403_drone_n7-hover-cued-svm-association_aborted
20260924-170508_n7_svm_assoc,20260924-170508_drone_n7-hover-cued-svm-association_aborted
20260924-170538_n7_svm_assoc,20260924-170538_drone_n7-hover-cued-svm-association_aborted
20260924-170628_n7_svm_assoc,20260924-170628_drone_n7-hover-cued-svm-association
20260924-182345_flash_latency,20260924-182345_latency_flash
20260924-184619_n7_svm_noassoc,20260924-184619_drone_n7-hover-cued-svm-no-association
20260924-185911_n7_free_assoc,20260924-185911_drone_n7-free-flight-association
