t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1787920505.4844449,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,52.0,0.0,,0.0,False,False,0/20,-1.0,False,5,5.636023759841919
1787920506.540666,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,52.0,0.0,,0.0,False,False,0/20,-1.0,False,143,6.692245006561279
1787920507.5437217,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,52.0,0.0,,0.0,False,False,0/20,-1.0,False,167,7.695300579071045
1787920508.5191844,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,51.0,0.0,The drone is not detected or flying.,2991.16080001113,False,False,0/20,-1.0,False,190,8.652916669845581
1787920509.5317922,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,51.0,0.0,The drone is not detected or flying.,2991.16080001113,False,False,0/20,-1.0,False,215,9.68337106704712
1787920509.8465667,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,51.0,0.0,The drone is hovering due to the command 'ground' and no battery detected.,1320.9265999903437,False,False,0/20,-1.0,False,222,9.97629976272583
1787920509.89295,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,51.0,0.0,The drone is hovering due to the command 'ground' and no battery detected.,1320.9265999903437,False,False,0/20,-1.0,False,223,10.04452896118164
1787920510.8949318,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,51.0,0.0,The drone is hovering due to the command 'ground' and no battery detected.,1320.9265999903437,False,False,0/20,-1.0,False,247,11.046510696411133
1787920511.9454198,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,51.0,0.0,"The drone's battery levels are low, so the command 'hover' indicates that it is safe to fly without using the drone's power supply.",2101.873399980832,False,False,0/20,-1.0,False,272,12.076980352401733
1787920512.9504943,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,51.0,0.0,"The drone's battery levels are low, so the command 'hover' indicates that it is safe to fly without using the drone's power supply.",2101.873399980832,False,False,0/20,-1.0,False,296,13.084121465682983
1787920513.9590514,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,51.0,0.0,"The drone's battery levels are low, so the command 'hover' indicates that it is safe to fly without using the drone's power supply.",2101.873399980832,False,False,0/20,-1.0,False,321,14.11063027381897
1787920514.9425774,hover,ground,Autonomy: search done (5s) -> hover,HOVER,,True,False,False,False,51.0,0.0,"The drone's battery levels are low, so the command 'hover' indicates that it is safe to fly without using the drone's power supply.",2101.873399980832,False,False,0/20,-1.0,False,344,15.076236486434937
1787920515.875758,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,51.0,0.0,Autonomy is up and the drone hasn't detected anything yet.,3923.755900003016,False,False,0/20,-1.0,False,366,15.988194465637207
1787920516.8633761,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,51.0,0.0,Autonomy is up and the drone hasn't detected anything yet.,3923.755900003016,False,False,0/20,-1.0,False,391,17.014955043792725
1787920517.7788713,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,51.0,0.0,Drones should not be used under battery conditions or below the lowest safe altitude,1919.1885000036564,False,False,0/20,-1.0,False,412,17.910794973373413
1787920518.7838752,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,51.0,0.0,Drones should not be used under battery conditions or below the lowest safe altitude,1919.1885000036564,False,False,0/20,-1.0,False,436,18.91650414466858
1787920519.0096612,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,51.0,0.0,Autonomous action: hover,1244.6007000107784,False,False,0/20,-1.0,False,442,19.14268207550049
