t,bat,h,yaw,vgx,vgy,vgz,tof
1787920505.5153832,52.0,0.0,101.0,0.0,0.0,0.0,10.0
1787920506.5166504,52.0,0.0,105.0,0.0,0.0,0.0,10.0
1787920507.5279086,52.0,0.0,108.0,0.0,0.0,0.0,10.0
1787920508.5306885,51.0,0.0,119.0,0.0,0.0,0.0,10.0
1787920509.5317922,51.0,0.0,107.0,0.0,0.0,0.0,10.0
1787920510.5427616,51.0,0.0,104.0,0.0,0.0,0.0,10.0
1787920511.544134,51.0,0.0,104.0,0.0,0.0,0.0,10.0
1787920512.5458703,51.0,0.0,102.0,0.0,0.0,0.0,10.0
1787920513.549852,51.0,0.0,98.0,0.0,0.0,0.0,10.0
1787920514.5547307,51.0,0.0,97.0,0.0,0.0,1.0,10.0
1787920515.569734,51.0,0.0,95.0,0.0,0.0,0.0,10.0
1787920516.5960722,51.0,0.0,98.0,0.0,0.0,0.0,10.0
1787920517.601751,51.0,0.0,99.0,0.0,0.0,0.0,10.0
1787920518.6080797,51.0,0.0,99.0,0.0,0.0,0.0,10.0
1787920519.6155262,51.0,0.0,97.0,0.0,0.0,0.0,10.0
1787920520.6166592,51.0,0.0,97.0,0.0,0.0,0.0,10.0
1787920521.627768,51.0,0.0,97.0,0.0,0.0,0.0,10.0
1787920522.636459,51.0,0.0,97.0,0.0,0.0,0.0,10.0
1787920523.645116,51.0,0.0,97.0,0.0,0.0,0.0,10.0
1787920524.6495981,51.0,0.0,101.0,0.0,0.0,-1.0,10.0
1787920525.6749477,51.0,0.0,108.0,0.0,0.0,0.0,10.0
1787920526.6840115,51.0,0.0,112.0,0.0,0.0,0.0,10.0
1787920527.6889555,51.0,0.0,100.0,0.0,0.0,0.0,10.0
1787920528.696647,51.0,0.0,114.0,0.0,0.0,0.0,10.0
1787920529.7203438,51.0,0.0,109.0,0.0,0.0,0.0,10.0
1787920530.728601,51.0,0.0,109.0,0.0,0.0,0.0,10.0
1787920531.7301388,51.0,0.0,109.0,0.0,0.0,0.0,10.0
1787920532.7341444,51.0,0.0,108.0,0.0,0.0,0.0,10.0
1787920533.7384055,51.0,0.0,105.0,0.0,0.0,0.0,10.0
1787920534.7606966,51.0,0.0,121.0,0.0,0.0,1.0,10.0
1787920535.7685528,51.0,0.0,127.0,0.0,0.0,0.0,10.0
1787920536.7923553,51.0,0.0,117.0,0.0,0.0,0.0,10.0
1787920537.7964787,51.0,0.0,101.0,0.0,0.0,1.0,10.0
1787920538.7972574,51.0,0.0,89.0,0.0,0.0,-1.0,10.0
1787920539.799468,51.0,0.0,76.0,0.0,0.0,0.0,10.0
1787920540.8275347,51.0,0.0,78.0,0.0,0.0,0.0,10.0
1787920541.827559,50.0,0.0,87.0,0.0,0.0,0.0,10.0
1787920542.8279321,50.0,0.0,87.0,0.0,0.0,0.0,10.0
1787920543.8337648,50.0,0.0,87.0,0.0,0.0,0.0,10.0
1787920544.8440604,50.0,0.0,87.0,0.0,0.0,0.0,10.0
1787920545.8450963,50.0,0.0,87.0,0.0,0.0,0.0,10.0
1787920546.8512142,50.0,0.0,87.0,0.0,0.0,0.0,10.0
1787920547.8541627,50.0,0.0,87.0,0.0,0.0,0.0,10.0
1787920548.8751812,50.0,0.0,87.0,0.0,0.0,0.0,10.0
1787920549.875768,50.0,0.0,87.0,0.0,0.0,0.0,10.0
1787920550.8767946,50.0,0.0,87.0,0.0,0.0,0.0,10.0
1787920551.8817894,50.0,0.0,87.0,0.0,0.0,0.0,10.0
1787920552.8835113,50.0,0.0,92.0,0.0,1.0,2.0,10.0
1787920553.8839347,50.0,0.0,105.0,0.0,0.0,0.0,10.0
1787920554.8849807,50.0,0.0,104.0,0.0,0.0,0.0,10.0
1787920555.8890176,50.0,0.0,96.0,0.0,0.0,0.0,10.0
1787920556.9162967,50.0,0.0,90.0,0.0,0.0,-1.0,10.0
1787920557.9251544,50.0,0.0,95.0,0.0,0.0,0.0,10.0
1787920558.9315443,50.0,0.0,78.0,0.0,0.0,0.0,10.0
1787920559.9373045,50.0,0.0,92.0,0.0,0.0,0.0,10.0
1787920560.9462993,50.0,0.0,111.0,0.0,0.0,0.0,10.0
1787920561.953629,50.0,0.0,114.0,0.0,0.0,0.0,10.0
1787920562.9742167,50.0,0.0,114.0,0.0,0.0,0.0,10.0
1787920563.9822094,50.0,0.0,114.0,0.0,0.0,0.0,10.0
1787920564.985762,50.0,0.0,111.0,0.0,0.0,0.0,10.0
1787920565.9954374,50.0,0.0,109.0,0.0,0.0,0.0,10.0
1787920567.0042715,50.0,0.0,110.0,0.0,0.0,0.0,10.0
1787920568.0230556,50.0,0.0,104.0,0.0,0.0,0.0,10.0
1787920569.0406666,50.0,0.0,105.0,0.0,0.0,0.0,10.0
1787920570.062716,50.0,0.0,105.0,0.0,0.0,0.0,10.0
1787920571.0722196,50.0,0.0,105.0,0.0,0.0,0.0,10.0
1787920572.0738301,50.0,0.0,105.0,0.0,0.0,0.0,10.0
1787920573.086521,50.0,0.0,105.0,0.0,0.0,0.0,10.0
1787920574.1037998,50.0,0.0,105.0,0.0,0.0,0.0,10.0
1787920575.1062033,50.0,0.0,105.0,0.0,0.0,0.0,10.0
1787920576.1165507,49.0,0.0,105.0,0.0,0.0,0.0,10.0
1787920577.1207297,49.0,0.0,105.0,0.0,0.0,0.0,10.0
1787920578.123453,49.0,0.0,101.0,0.0,0.0,0.0,10.0
1787920579.1256728,49.0,0.0,105.0,0.0,0.0,0.0,10.0
1787920580.1257088,49.0,0.0,104.0,0.0,0.0,0.0,10.0
1787920581.1263316,49.0,0.0,104.0,0.0,0.0,0.0,10.0
1787920582.1327922,49.0,0.0,104.0,0.0,0.0,0.0,10.0
1787920583.1385837,49.0,0.0,104.0,0.0,0.0,0.0,10.0
1787920584.139168,49.0,0.0,104.0,0.0,0.0,0.0,10.0
1787920585.1681979,49.0,0.0,104.0,0.0,0.0,0.0,10.0
1787920586.1683288,49.0,0.0,104.0,0.0,0.0,0.0,10.0
1787920587.1809943,49.0,0.0,104.0,0.0,0.0,0.0,10.0
1787920588.1867085,49.0,0.0,104.0,0.0,0.0,0.0,10.0
1787920589.1928208,49.0,0.0,104.0,0.0,0.0,0.0,10.0
