t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1787921841.3766234,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,31.0,0.0,,0.0,False,False,0/20,-1.0,False,5,5.62931752204895
1787921842.4161427,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,31.0,0.0,,0.0,False,False,0/20,-1.0,False,142,6.645209312438965
1787921843.448724,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,31.0,0.0,,0.0,False,False,0/20,-1.0,False,167,7.67843770980835
1787921844.491771,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,30.0,0.0,Autonomous hover mode,3112.8653999767266,False,False,0/20,-1.0,False,192,8.744465112686157
1787921845.4945843,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,30.0,0.0,Autonomous hover mode,3112.8653999767266,False,False,0/20,-1.0,False,217,9.747278451919556
1787921845.7535856,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,30.0,0.0,Autonomous hover mode,3112.8653999767266,False,False,0/20,-1.0,False,223,10.006279706954956
1787921846.345359,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,30.0,0.0,The drone is flying at an altitude of 0.0 cm and has not detected any obstacles or seen the user's face.,1843.3685000054538,False,False,0/20,-1.0,False,236,10.57466173171997
1787921847.358124,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,29.0,0.0,Maintain safe altitude and distance from the ground,929.0048999828286,False,False,0/20,-1.0,False,260,11.587132930755615
1787921848.3764982,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,29.0,0.0,Maintain safe altitude and distance from the ground,929.0048999828286,False,True,13/20,-1.0,False,285,12.620215892791748
1787921848.7035658,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,29.0,0.0,Maintain safe altitude and distance from the ground,929.0048999828286,True,False,0/20,0.9851183891296387,False,292,0.0
1787921849.6947517,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,29.0,0.0,Maintain safe altitude and distance from the ground,929.0048999828286,True,False,0/20,0.9161731004714966,False,317,0.0
1787921850.6961327,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,29.0,0.0,Maintain safe altitude and distance from the ground,929.0048999828286,True,False,0/20,0.9120985865592957,False,341,0.0
1787921851.3429847,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,28.0,0.0,LLM error (ReadTimeout),4033.7358999822754,True,False,0/20,0.7574514746665955,False,356,0.0
1787921852.365137,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,28.0,0.0,LLM error (ReadTimeout),4033.7358999822754,True,False,0/20,0.8257813453674316,False,381,0.0
1787921853.3777547,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,28.0,0.0,LLM error (ReadTimeout),4033.7358999822754,True,False,0/20,0.8362712264060974,False,405,0.0
1787921853.5153706,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,28.0,0.0,The drone is currently flying in the air without any visible motion or landmarks.,2170.118099980755,True,False,0/20,0.8601739406585693,False,408,0.0
1787921854.5230074,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,28.0,0.0,The drone is currently flying in the air without any visible motion or landmarks.,2170.118099980755,True,False,0/20,0.9252907037734985,False,433,0.0
1787921855.1121614,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,28.0,0.0,The drone is currently flying and can be seen in the sky.,1606.9344000134151,True,False,0/20,0.9066075086593628,False,446,0.0
1787921856.0924072,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,28.0,0.0,The drone is currently flying and can be seen in the sky.,1606.9344000134151,True,False,0/20,0.9138224124908447,False,471,0.0
1787921857.1354067,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,27.0,0.0,The drone is currently flying and can be seen in the sky.,1606.9344000134151,True,False,0/20,0.9156296253204346,False,495,0.0
1787921858.147448,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,27.0,0.0,The drone is currently flying and can be seen in the sky.,1606.9344000134151,True,False,0/20,0.9033273458480835,False,520,0.0
1787921859.1267202,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,27.0,0.0,LLM error (ReadTimeout),4002.3998000251595,True,False,0/20,0.9077200889587402,False,543,0.0
1787921860.1497731,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,27.0,0.0,LLM error (ReadTimeout),4002.3998000251595,True,False,0/20,0.9115209579467773,False,568,0.0
1787921861.195712,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,27.0,0.0,LLM error (ReadTimeout),4002.3998000251595,True,False,0/20,0.9132359027862549,False,593,0.0
1787921862.0368521,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,27.0,0.0,The drone is currently flying at an altitude of 0.0 cm and has not detected any faces in the current search.,2916.528699977789,True,False,0/20,0.8955498337745667,False,613,0.0
1787921863.0499666,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,27.0,0.0,The drone is currently flying at an altitude of 0.0 cm and has not detected any faces in the current search.,2916.528699977789,True,False,0/20,0.9285285472869873,False,637,0.0
1787921863.796445,gesture,ground,Perception: hand_detected -> gesture (preempts face),UP,0.8499540090560913,True,True,True,True,27.0,0.0,The drone is currently flying at an altitude of 0.0 cm and has not detected any faces in the current search.,2916.528699977789,True,False,0/20,0.9083784818649292,False,656,0.0
1787921864.1156373,gesture,ground,Perception: hand_detected -> gesture (preempts face),UP,0.8543012142181396,True,True,True,True,27.0,0.0,Ground the drone to ensure safety and set a safe distance from the object.,2098.405400000047,True,False,0/20,0.8827410936355591,False,663,0.0
1787921865.1369123,gesture,ground,Perception: hand_detected -> gesture (preempts face),UP,0.8608028292655945,True,True,True,True,27.0,0.0,Ground the drone to ensure safety and set a safe distance from the object.,2098.405400000047,True,False,0/20,0.8918091058731079,False,688,0.0
1787921866.2018695,gesture,ground,Perception: hand_detected -> gesture (preempts face),NOHAND,,True,True,False,False,27.0,0.0,Ground the drone to ensure safety and set a safe distance from the object.,2098.405400000047,True,False,0/20,0.8982319235801697,False,713,0.0
1787921866.2322977,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,Ground the drone to ensure safety and set a safe distance from the object.,2098.405400000047,True,False,0/20,0.8871700763702393,False,714,0.0
1787921867.291782,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,27.0,0.0,Battery alert due to low battery remaining,3189.5740999898408,True,False,0/20,0.4169389009475708,False,739,0.11315727233886719
1787921867.9734619,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,27.0,0.0,Battery alert due to low battery remaining,3189.5740999898408,True,False,0/20,0.3380607068538666,False,756,0.8244142532348633
1787921868.981066,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,27.0,0.0,Battery alert due to low battery remaining,3189.5740999898408,True,False,0/20,0.31580883264541626,False,780,1.8307044506072998
1787921869.126191,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,27.0,0.0,Ground action due to battery low and drone's position below 15m,1832.1269000007305,True,False,0/20,0.34662413597106934,False,783,1.9483811855316162
1787921869.4849997,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,Ground action due to battery low and drone's position below 15m,1832.1269000007305,True,False,0/20,0.7017263174057007,False,791,0.0
1787921870.479193,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,27.0,0.0,Ground action due to battery low and drone's position below 15m,1832.1269000007305,True,False,0/20,0.3472766876220703,False,816,0.7382042407989502
1787921870.566426,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,27.0,0.0,Drone is on ground to start hover operation,1434.0828999993391,True,False,0/20,0.3596189618110657,False,818,0.8249189853668213
1787921870.6932616,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,27.0,0.0,Drone is on ground to start hover operation,1434.0828999993391,True,False,0/20,0.3568934202194214,False,821,0.9207985401153564
1787921871.6964035,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,27.0,0.0,Drone is on ground to start hover operation,1434.0828999993391,True,False,0/20,0.30251097679138184,False,845,1.9244954586029053
1787921871.8827233,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,27.0,0.0,Drone is not flying and needs to be grounded,1318.5689000238199,True,False,0/20,0.5228394269943237,False,850,2.1427366733551025
1787921871.9622793,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,Drone is not flying and needs to be grounded,1318.5689000238199,True,False,0/20,0.5783487558364868,False,851,0.0
1787921872.933639,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,Autonomy: no intent -> hover,1056.9757999910507,True,False,0/20,0.8271831274032593,False,875,0.0
1787921873.973739,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,27.0,0.0,Autonomy: no intent -> hover,1056.9757999910507,True,False,0/20,0.10972724854946136,False,900,0.31108522415161133
1787921874.4722927,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,27.0,0.0,Autonomy: no intent -> hover,1056.9757999910507,True,False,0/20,0.05607595667243004,False,912,0.8096003532409668
1787921874.6253314,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,27.0,0.0,The drone is moving and it's safe to fly without warnings.,1680.7753999892157,True,False,0/20,0.09456482529640198,False,915,0.9344377517700195
1787921875.2614987,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,The drone is moving and it's safe to fly without warnings.,1680.7753999892157,True,False,0/20,0.5569280385971069,False,931,0.0
1787921876.2617507,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,The drone is moving and it's safe to fly without warnings.,1680.7753999892157,True,False,0/20,0.8823997378349304,False,955,0.0
1787921876.4418974,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,Check the drone's battery and altitude before flying to ensure safety,1836.7352999921422,True,False,0/20,0.8882193565368652,False,959,0.0
1787921877.4289868,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,Check the drone's battery and altitude before flying to ensure safety,1836.7352999921422,True,False,0/20,0.8974888324737549,False,983,0.0
1787921878.464722,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,Check the drone's battery and altitude before flying to ensure safety,1836.7352999921422,True,False,0/20,0.7346963882446289,False,1008,0.0
1787921879.4638195,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,Check the drone's battery and altitude before flying to ensure safety,1836.7352999921422,True,False,0/20,0.740182101726532,False,1032,0.0
1787921880.461033,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,27.0,0.0,LLM error (ReadTimeout),4016.6007000079844,True,False,0/20,0.40185466408729553,False,1056,0.08016705513000488
1787921881.4642313,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,LLM error (ReadTimeout),4016.6007000079844,True,False,0/20,0.7355960607528687,False,1080,0.0
1787921882.1912212,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,27.0,0.0,The drone is about to take off.,1683.1077000242658,True,False,0/20,0.198015496134758,False,1097,0.4511260986328125
1787921883.2027779,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,27.0,0.0,The drone is about to take off.,1683.1077000242658,True,False,0/20,0.2572934031486511,False,1122,0.24320220947265625
1787921884.09766,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,27.0,0.0,The drone should not fly if the battery is below 15%,1925.5819999962114,True,False,0/20,0.45806455612182617,False,1143,0.4009969234466553
1787921885.0973153,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,27.0,0.0,The drone should not fly if the battery is below 15%,1925.5819999962114,True,False,0/20,0.5299559235572815,False,1167,0.021451473236083984
1787921886.1196,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,The drone should not fly if the battery is below 15%,1925.5819999962114,True,False,0/20,0.828701376914978,False,1192,0.0
1787921886.295022,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,The drone is currently in the air and hasn't seen anything in terms of battery level or altitude.,2222.4402999854647,True,False,0/20,0.5529614090919495,False,1196,0.0
1787921887.0598335,gesture,ground,Perception: hand_detected -> gesture (preempts face),CENTER,0.5,True,True,True,True,27.0,0.0,The drone is currently in the air and hasn't seen anything in terms of battery level or altitude.,2222.4402999854647,True,False,0/20,0.7762991189956665,False,1215,0.0
1787921887.3560753,gesture,ground,Perception: hand_detected -> gesture (preempts face),NOHAND,,True,True,False,False,27.0,0.0,Grounded drone,1013.1559000001289,True,False,0/20,0.6123470664024353,False,1221,0.0
1787921888.3692713,gesture,ground,Perception: hand_detected -> gesture (preempts face),CENTER,0.5,True,True,True,True,27.0,0.0,Grounded drone,1013.1559000001289,True,False,0/20,0.5891093015670776,False,1246,0.0
1787921889.37197,gesture,ground,Perception: hand_detected -> gesture (preempts face),CENTER,0.5,True,True,True,True,27.0,0.0,Grounded drone,1013.1559000001289,True,False,0/20,0.7648547887802124,False,1270,0.0
1787921889.4157505,gesture,ground,Perception: hand_detected -> gesture (preempts face),CENTER,0.5,True,True,True,True,27.0,0.0,The drone is currently flying at a low altitude and has no battery left.,2085.1796000206377,True,False,0/20,0.7827149033546448,False,1271,0.0
1787921890.4144607,gesture,ground,Perception: hand_detected -> gesture (preempts face),CENTER,0.5,True,True,True,True,27.0,0.0,The drone is currently flying at a low altitude and has no battery left.,2085.1796000206377,True,False,0/20,0.5651693344116211,False,1295,0.0
1787921891.0818076,gesture,ground,Perception: hand_detected -> gesture (preempts face),CENTER,0.6128142476081848,True,True,True,True,27.0,0.0,Grounding the drone due to a battery warning of 15%,1660.3230999899097,True,False,0/20,0.5537515878677368,False,1311,0.0
1787921892.0968835,gesture,ground,Perception: hand_detected -> gesture (preempts face),DOWN,0.7255643010139465,True,True,True,True,27.0,0.0,Grounding the drone due to a battery warning of 15%,1660.3230999899097,True,False,0/20,0.6706814169883728,False,1336,0.0
1787921892.8244767,gesture,ground,Perception: hand_detected -> gesture (preempts face),DOWN,0.7671469449996948,True,True,True,True,27.0,0.0,To ground the drone due to battery low and safety concerns,1740.9464999800548,True,False,0/20,0.5748429298400879,False,1353,0.0
1787921893.861459,gesture,ground,Perception: hand_detected -> gesture (preempts face),NOHAND,,True,True,False,False,27.0,0.0,To ground the drone due to battery low and safety concerns,1740.9464999800548,True,False,0/20,0.8012460470199585,False,1378,0.0
1787921894.1935701,gesture,ground,Perception: hand_detected -> gesture (preempts face),NOHAND,,True,True,False,False,27.0,0.0,The drone is not powered by a battery.,1390.7856000005268,True,False,0/20,0.5946744680404663,False,1386,0.0
1787921894.507818,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,27.0,0.0,The drone is not powered by a battery.,1390.7856000005268,True,False,0/20,0.3817613124847412,False,1394,0.3149139881134033
1787921894.669547,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,The drone is not powered by a battery.,1390.7856000005268,True,False,0/20,0.7056670784950256,False,1397,0.0
1787921895.6942422,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,27.0,0.0,The drone is not powered by a battery.,1390.7856000005268,True,False,0/20,0.3498194217681885,False,1422,0.9689877033233643
1787921895.9181519,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,27.0,0.0,The drone is not powered by a battery.,1390.7856000005268,True,False,0/20,0.35884347558021545,False,1427,1.1720225811004639
1787921895.9877536,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,27.0,0.0,The drone is attempting to land due to the battery's low level,1790.6237000133842,True,False,0/20,0.476854532957077,False,1429,1.2350125312805176
1787921896.5068655,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,The drone is attempting to land due to the battery's low level,1790.6237000133842,True,False,0/20,0.6552582383155823,False,1441,0.0
1787921897.51389,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,27.0,0.0,The drone is attempting to land due to the battery's low level,1790.6237000133842,True,False,0/20,0.47874394059181213,False,1465,0.7577776908874512
1787921897.7737722,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,27.0,0.0,The drone is attempting to land due to the battery's low level,1790.6237000133842,True,False,0/20,0.49973219633102417,False,1471,1.0228283405303955
1787921898.5696087,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,The drone is attempting to land due to the battery's low level,1790.6237000133842,True,False,0/20,0.6557332277297974,False,1490,0.0
1787921899.601042,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,27.0,0.0,The drone is attempting to land due to the battery's low level,1790.6237000133842,True,False,0/20,0.46606844663619995,False,1515,0.33739519119262695
1787921899.993388,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,27.0,0.0,LLM error (ReadTimeout),4005.768899980467,True,False,0/20,0.5196375846862793,False,1525,0.7316715717315674
1787921900.0789225,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,27.0,0.0,LLM error (ReadTimeout),4005.768899980467,True,False,0/20,0.5460904836654663,False,1527,0.8157672882080078
1787921900.8671498,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,LLM error (ReadTimeout),4005.768899980467,True,False,0/20,0.8122988343238831,False,1546,0.0
1787921901.7388084,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,The drone has not detected any objects or faces yet.,1756.2067999970168,True,False,0/20,0.7644824981689453,False,1567,0.0
1787921902.7986372,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,The drone has not detected any objects or faces yet.,1756.2067999970168,True,False,0/20,0.8199198842048645,False,1592,0.0
1787921903.4639719,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,"The drone is currently flying and has not detected any obstacles, so it can proceed.",1682.81329999445,True,False,0/20,0.8097151517868042,False,1608,0.0
1787921904.4791367,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,"The drone is currently flying and has not detected any obstacles, so it can proceed.",1682.81329999445,True,False,0/20,0.8188772201538086,False,1632,0.0
1787921904.766127,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,Ensure drone stays airborne and prevents battery over-charge,1282.8500999894459,True,False,0/20,0.7381701469421387,False,1639,0.0
1787921905.76937,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,27.0,0.0,Ensure drone stays airborne and prevents battery over-charge,1282.8500999894459,True,False,0/20,0.4607788920402527,False,1664,0.08817362785339355
1787921906.5809567,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,Drone is within range and has not detected any objects to observe,1874.42259999807,True,False,0/20,0.5592561960220337,False,1683,0.0
1787921907.584423,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,Drone is within range and has not detected any objects to observe,1874.42259999807,True,False,0/20,0.6968920826911926,False,1707,0.0
1787921908.586621,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,Drone is within range and has not detected any objects to observe,1874.42259999807,True,False,0/20,0.5802461504936218,False,1731,0.0
1787921908.6087751,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,27.0,0.0,Check the drone's battery level and altitude to ensure it can fly safely.,2023.5730000131298,True,False,0/20,0.4664643406867981,False,1732,0.0588991641998291
1787921909.6463706,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,Check the drone's battery level and altitude to ensure it can fly safely.,2023.5730000131298,True,False,0/20,0.7321254014968872,False,1757,0.0
1787921910.6870394,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,Check the drone's battery level and altitude to ensure it can fly safely.,2023.5730000131298,True,False,0/20,0.7388889193534851,False,1782,0.0
1787921911.1001475,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,The drone can only be grounded if the battery is at least 15% and the altitude is above zero meters.,2503.3211999980267,True,False,0/20,0.6175799369812012,False,1792,0.0
1787921912.1392019,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,27.0,0.0,The drone can only be grounded if the battery is at least 15% and the altitude is above zero meters.,2503.3211999980267,True,False,0/20,0.43130332231521606,False,1817,0.16133642196655273
1787921913.1908746,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,The drone can only be grounded if the battery is at least 15% and the altitude is above zero meters.,2503.3211999980267,True,False,0/20,0.699111819267273,False,1842,0.0
1787921913.4102101,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,The drone is now grounded on the ground,2272.7503000060096,True,False,0/20,0.6021651029586792,False,1847,0.0
1787921914.3910873,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,The drone is now grounded on the ground,2272.7503000060096,True,False,0/20,0.8190419673919678,False,1871,0.0
1787921915.46109,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,The drone is now grounded on the ground,2272.7503000060096,True,False,0/20,0.6687370538711548,False,1896,0.0
1787921916.4357586,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,The drone is now grounded on the ground,2272.7503000060096,True,False,0/20,0.7227433919906616,False,1920,0.0
1787921917.3880606,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,LLM error (ReadTimeout),4002.2906999802217,True,False,0/20,0.6521453857421875,False,1943,0.0
1787921918.3864448,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,LLM error (ReadTimeout),4002.2906999802217,True,False,0/20,0.890351414680481,False,1967,0.0
1787921918.7602434,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,27.0,0.0,Battery warning: battery <= 15.,1358.8371999794617,True,False,0/20,0.8095608949661255,False,1976,0.0
1787921919.7588966,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,27.0,0.0,Battery warning: battery <= 15.,1358.8371999794617,True,False,0/20,0.17272943258285522,False,2000,0.6683907508850098
1787921919.8723934,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,27.0,0.0,Battery warning: battery <= 15.,1358.8371999794617,True,False,0/20,0.1670796275138855,False,2003,0.8114397525787354
1787921920.4859095,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,27.0,0.0,The drone is in the air and not grounded yet.,1684.806800010847,True,False,0/20,0.13541960716247559,False,2017,1.3995120525360107
1787921921.51825,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,27.0,0.0,The drone is in the air and not grounded yet.,1684.806800010847,True,False,0/20,0.06609154492616653,False,2042,2.4313724040985107
1787921922.5207953,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,27.0,0.0,The drone is in the air and not grounded yet.,1684.806800010847,True,False,0/20,0.094703808426857,False,2066,3.4333155155181885
1787921922.7921531,gesture,ground,Perception: hand_detected -> gesture (priority),CENTER,0.5,True,True,True,True,27.0,0.0,The drone is in the air and not grounded yet.,1684.806800010847,True,False,0/20,0.5909764766693115,False,2073,0.0
1787921923.8530211,gesture,ground,Perception: hand_detected -> gesture (priority),NOHAND,,True,False,True,False,27.0,0.0,The drone is in the air and not grounded yet.,1684.806800010847,True,False,0/20,0.16740819811820984,False,2098,0.6140198707580566
1787921924.0181873,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,27.0,0.0,The drone is in the air and not grounded yet.,1684.806800010847,True,False,0/20,0.22654040157794952,False,2102,0.7824001312255859
1787921924.4207985,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,27.0,0.0,LLM error (ReadTimeout),4002.3408999841195,True,False,0/20,0.1522575169801712,False,2112,1.180729866027832
