t,bat,h,yaw,vgx,vgy,vgz,tof
1787921841.4115305,31.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921842.4254267,31.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921843.4257436,31.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921844.4607997,30.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921845.4624054,30.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921846.471677,30.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921847.4722898,29.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921848.4726725,29.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921849.516406,29.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921850.5277746,29.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921851.5403996,28.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921852.5442653,28.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921853.5442922,28.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921854.5459998,28.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921855.5705585,28.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921856.5861976,27.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921857.6368992,27.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921858.6886368,27.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921859.7161705,27.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921860.7169893,27.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921861.717642,27.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921862.731871,27.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921863.7887657,27.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921864.7925167,27.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921865.7992322,27.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921866.8505387,27.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921867.8680232,27.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921868.8832664,27.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921869.889361,27.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921870.8926792,27.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921871.8938031,27.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921872.905274,27.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921873.9074693,27.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921874.9270074,27.0,0.0,105.0,0.0,0.0,0.0,10.0
1787921875.9477694,27.0,0.0,105.0,0.0,0.0,0.0,10.0
