t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1787922358.3377025,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,20.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,7,5.64220404624939
1787922359.3650694,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,20.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,142,6.64493989944458
1787922360.3649745,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,19.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,166,7.646537780761719
1787922361.3705356,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,19.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,190,8.653061389923096
1787922361.4276302,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,19.0,0.0,The drone is about to hover in the air,3074.3169999914244,False,,,False,False,0/20,-1.0,False,192,8.714307308197021
1787922362.4314504,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,19.0,0.0,The drone is about to hover in the air,3074.3169999914244,False,,,False,False,0/20,-1.0,False,216,9.71675968170166
1787922362.5089357,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,19.0,0.0,"The drone has not detected any targets, no battery warning necessary",1090.2310000092257,False,,,False,False,0/20,-1.0,False,218,9.788007974624634
1787922362.7092834,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,19.0,0.0,"The drone has not detected any targets, no battery warning necessary",1090.2310000092257,False,,,False,False,0/20,-1.0,False,223,10.013784885406494
1787922363.7127392,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,True,False,19.0,0.0,"The drone has not detected any targets, no battery warning necessary",1090.2310000092257,False,,,False,False,0/20,-1.0,False,247,11.017193794250488
1787922364.5635762,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,True,False,19.0,0.0,The drone has no intention to land,1990.0124999985565,False,,,False,False,0/20,-1.0,False,267,11.84735918045044
1787922365.5694387,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,19.0,0.0,To search for the drone while maintaining autonomy and safety standards,1067.0378000068013,False,,,False,False,0/20,-1.0,False,291,12.851274490356445
1787922366.572932,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,18.0,0.0,To search for the drone while maintaining autonomy and safety standards,1067.0378000068013,False,,,False,False,0/20,-1.0,False,315,13.855233192443848
1787922367.577296,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,18.0,0.0,To search for the drone while maintaining autonomy and safety standards,1067.0378000068013,False,212,212,False,False,0/20,-1.0,False,340,14.881797552108765
1787922367.7395318,hover,ground,Autonomy: search done (5s) -> hover,HOVER,,True,False,False,False,18.0,0.0,To search for the drone while maintaining autonomy and safety standards,1067.0378000068013,False,212,212,False,False,0/20,-1.0,False,343,15.020026206970215
1787922368.7530384,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,18.0,0.0,To search for the drone while maintaining autonomy and safety standards,1067.0378000068013,False,212,212,False,False,0/20,-1.0,False,368,16.05753993988037
1787922369.640942,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,18.0,0.0,LLM error (ReadTimeout),4026.768500014441,False,212,212,False,False,0/20,-1.0,False,389,16.912407875061035
1787922370.6281753,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,17.0,0.0,LLM error (ReadTimeout),4026.768500014441,False,212,212,False,False,0/20,-1.0,False,413,17.914724111557007
1787922371.6348903,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,17.0,0.0,LLM error (ReadTimeout),4026.768500014441,False,212,212,False,False,0/20,-1.0,False,437,18.921474933624268
1787922372.6840773,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,17.0,0.0,LLM error (ReadTimeout),4026.768500014441,False,212,212,False,False,0/20,-1.0,False,462,19.98857879638672
1787922372.906849,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,17.0,0.0,"The drone is currently hovering in the ground mode due to a battery reading of 18.0, which is below the critical limit of 15. Therefore, no battery warnings are needed.",3282.0202999864705,False,212,212,False,False,0/20,-1.0,False,467,20.18930721282959
1787922373.9234583,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,17.0,0.0,Grounded but no indication of battery warning,1040.330800024094,False,212,212,False,False,0/20,-1.0,False,492,21.227959871292114
1787922374.9619513,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,17.0,0.0,Grounded but no indication of battery warning,1040.330800024094,False,212,212,False,False,0/20,-1.0,False,517,22.246997117996216
1787922375.40387,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,17.0,0.0,The drone is flying at an altitude of 0.0 meters.,1490.051400003722,False,212,212,False,False,0/20,-1.0,False,527,22.68307065963745
1787922376.383348,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,True,False,17.0,0.0,The drone is flying at an altitude of 0.0 meters.,1490.051400003722,False,212,212,False,False,0/20,-1.0,False,551,23.687849521636963
1787922377.3311715,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,17.0,0.0,The drone is in the ground and not detected by Autonomy or any user-triggered action.,1894.3331000045873,False,212,212,False,False,0/20,-1.0,False,574,24.617128372192383
1787922377.769502,search_360,ground,Autonomy: no human for 25.0s -> search_360,SEARCH,,False,False,False,False,17.0,0.0,The drone is in the ground and not detected by Autonomy or any user-triggered action.,1894.3331000045873,False,212,212,False,False,0/20,-1.0,False,584,25.049368143081665
1787922378.7872899,search_360,ground,Autonomy: no human for 25.0s -> search_360,SEARCH,,False,False,False,False,17.0,0.0,The drone is in the ground and not detected by Autonomy or any user-triggered action.,1894.3331000045873,False,212,212,False,False,0/20,-1.0,False,609,26.09179139137268
1787922378.828086,search_360,ground,Autonomy: no human for 25.0s -> search_360,SEARCH,,False,False,False,False,17.0,0.0,Battery warning: the drone's battery is at or below 15%,1520.4952000058256,False,212,212,False,False,0/20,-1.0,False,610,26.114763975143433
