t,bat,h,yaw,vgx,vgy,vgz,tof
1787922358.3716114,20.0,0.0,44.0,0.0,0.0,0.0,10.0
1787922359.3861022,20.0,0.0,44.0,0.0,0.0,0.0,10.0
1787922360.387206,19.0,0.0,44.0,0.0,0.0,0.0,10.0
1787922361.394627,19.0,0.0,44.0,0.0,0.0,0.0,10.0
1787922362.3946927,19.0,0.0,47.0,0.0,0.0,0.0,6553.0
1787922363.4014661,19.0,0.0,55.0,0.0,0.0,0.0,10.0
1787922364.4042194,19.0,0.0,47.0,0.0,0.0,0.0,10.0
1787922365.4128044,19.0,0.0,45.0,0.0,0.0,0.0,10.0
1787922366.4311004,18.0,0.0,45.0,0.0,0.0,0.0,10.0
1787922367.435363,18.0,0.0,50.0,0.0,0.0,0.0,10.0
1787922368.4414904,18.0,0.0,50.0,0.0,0.0,0.0,10.0
1787922369.4420063,18.0,0.0,50.0,0.0,0.0,0.0,10.0
1787922370.453346,17.0,0.0,49.0,0.0,0.0,1.0,10.0
1787922371.4763634,17.0,0.0,50.0,0.0,0.0,0.0,10.0
1787922372.482568,17.0,0.0,50.0,0.0,0.0,-1.0,10.0
1787922373.4888926,17.0,0.0,51.0,0.0,0.0,-2.0,10.0
1787922374.4913192,17.0,0.0,52.0,0.0,0.0,-3.0,10.0
1787922375.4987993,17.0,0.0,45.0,0.0,0.0,0.0,10.0
1787922376.5067477,17.0,0.0,43.0,0.0,0.0,2.0,10.0
1787922377.51164,17.0,0.0,49.0,0.0,0.0,2.0,10.0
1787922378.5218718,17.0,0.0,45.0,0.0,0.0,1.0,10.0
1787922379.5323756,17.0,0.0,44.0,0.0,0.0,0.0,10.0
1787922380.5337453,17.0,0.0,44.0,0.0,0.0,-1.0,6553.0
1787922381.535919,17.0,0.0,42.0,0.0,0.0,-2.0,6553.0
1787922382.538047,17.0,0.0,42.0,0.0,0.0,0.0,6553.0
1787922383.54292,17.0,0.0,47.0,0.0,0.0,0.0,6553.0
1787922384.5471172,17.0,0.0,54.0,0.0,0.0,-3.0,6553.0
1787922385.5523028,17.0,0.0,57.0,0.0,0.0,-2.0,6553.0
1787922386.5585685,17.0,0.0,58.0,0.0,0.0,0.0,6553.0
1787922387.5654132,17.0,0.0,58.0,0.0,0.0,0.0,6553.0
1787922388.5719633,17.0,0.0,58.0,0.0,0.0,0.0,6553.0
1787922389.5778313,17.0,0.0,51.0,0.0,0.0,0.0,6553.0
1787922390.5838075,17.0,0.0,45.0,0.0,0.0,3.0,6553.0
1787922391.5908139,17.0,0.0,40.0,0.0,0.0,3.0,6553.0
1787922392.5975327,17.0,0.0,42.0,0.0,0.0,1.0,6553.0
1787922393.6046228,17.0,0.0,45.0,0.0,0.0,-1.0,10.0
1787922394.6061811,17.0,0.0,41.0,0.0,0.0,-1.0,10.0
1787922395.6157477,17.0,0.0,45.0,0.0,0.0,0.0,10.0
1787922396.6366906,17.0,0.0,46.0,0.0,0.0,0.0,10.0
1787922397.6611211,17.0,0.0,44.0,0.0,0.0,0.0,10.0
1787922398.6646144,17.0,0.0,43.0,0.0,0.0,0.0,10.0
1787922399.6663032,17.0,0.0,43.0,0.0,0.0,0.0,10.0
1787922400.666701,17.0,0.0,44.0,0.0,0.0,0.0,10.0
1787922401.6762233,17.0,0.0,43.0,0.0,0.0,0.0,10.0
