t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying
1787925354.968902,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,,,,,False,,,False,False,0/20,-1.0,False
1787925355.5567045,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,246,246,False,False,0/20,-1.0,False
1787925356.0566735,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,247,247,False,False,0/20,-1.0,False
1787925356.5823216,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,245,245,False,False,0/20,-1.0,False
1787925357.0795784,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,243,243,False,False,0/20,-1.0,False
1787925357.6053064,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,240,240,False,False,0/20,-1.0,False
1787925358.132406,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,240,240,False,False,0/20,-1.0,False
1787925358.66553,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,246,246,False,False,0/20,-1.0,False
1787925359.145236,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,246,246,False,False,0/20,-1.0,False
1787925359.67212,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,246,247,False,False,0/20,-1.0,False
1787925360.1988363,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,246,246,False,False,0/20,-1.0,False
1787925360.7338245,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,248,250,False,False,0/20,-1.0,False
1787925361.2194195,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,248,249,False,False,0/20,-1.0,False
1787925361.748584,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,244,244,False,False,0/20,-1.0,False
1787925362.2808304,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,212,212,False,False,0/20,-1.0,False
1787925362.7931554,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,231,231,False,False,0/20,-1.0,False
1787925363.3720815,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,227,227,False,False,0/20,-1.0,False
1787925363.89166,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,226,226,False,False,0/20,-1.0,False
1787925364.4043164,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,193,193,False,False,0/20,-1.0,False
