t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying
1787925545.580558,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,,,,,False,,,False,False,0/20,-1.0,False
1787925546.1071453,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,198,198,False,False,0/20,-1.0,False
1787925546.640961,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,192,192,False,False,0/20,-1.0,False
1787925547.1696322,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,176,176,False,False,0/20,-1.0,False
1787925547.6988199,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,158,158,False,False,0/20,-1.0,False
1787925548.1754367,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,152,152,False,False,0/20,-1.0,False
1787925548.7019103,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,162,162,False,False,0/20,-1.0,False
1787925549.2247772,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,158,158,False,False,0/20,-1.0,False
1787925549.7556088,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,154,154,False,False,0/20,-1.0,False
1787925550.242197,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,189,189,False,False,0/20,-1.0,False
1787925550.7789395,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,190,190,False,False,0/20,-1.0,False
1787925551.3100483,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,181,181,False,False,0/20,-1.0,False
1787925551.839637,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,184,184,False,False,0/20,-1.0,False
1787925552.3792186,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,190,190,False,False,0/20,-1.0,False
1787925552.9005604,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,178,178,False,False,0/20,-1.0,False
1787925553.4061763,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,173,173,False,False,0/20,-1.0,False
1787925553.9329834,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,180,180,False,False,0/20,-1.0,False
1787925554.4468143,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,181,181,False,False,0/20,-1.0,False
1787925554.9545274,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,200,200,False,False,0/20,-1.0,False
1787925555.4864678,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,,,,,True,199,199,False,False,0/20,-1.0,False
1787925555.9951262,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,,,,,True,199,199,False,False,0/20,-1.0,False
1787925556.539129,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,,,,,True,196,196,False,False,0/20,-1.0,False
1787925557.0265052,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,,,,,True,199,199,False,False,0/20,-1.0,False
1787925557.5495691,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,,,,,True,200,200,False,False,0/20,-1.0,False
1787925558.07897,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,,,,,True,203,203,False,False,0/20,-1.0,False
1787925558.610654,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,,,,,True,205,205,False,False,0/20,-1.0,False
1787925559.1024022,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,,,,,True,204,204,False,False,0/20,-1.0,False
1787925559.6287353,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,,,,,True,207,207,False,False,0/20,-1.0,False
1787925560.1630566,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,,,,,True,210,210,False,False,0/20,-1.0,False
1787925560.6832187,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,206,206,False,False,0/20,-1.0,False
1787925561.2100513,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,209,209,False,False,0/20,-1.0,False
1787925561.754029,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,206,206,False,False,0/20,-1.0,False
1787925562.2442722,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,208,208,False,False,0/20,-1.0,False
1787925562.7653797,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,212,212,False,False,0/20,-1.0,False
1787925563.2937448,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,210,210,False,False,0/20,-1.0,False
