run_id,scenario,trial,t_start,t_end,duration_s,mode_at_start,mode_at_end,battery_at_start,success
20260828-155903_d1_unauth,unauthorized_gesture_rejected,1,1787926147.9162896,1787926154.6021626,6.685873031616211,search_360,hover,,True
20260828-155903_d1_unauth,unauthorized_gesture_rejected,2,1787926175.0697398,1787926179.3350635,4.265323638916016,hover,search_360,,True
20260828-155903_d1_unauth,unauthorized_gesture_rejected,3,1787926183.0795834,1787926186.4711833,3.3915998935699463,hover,hover,,True
20260828-155903_d1_unauth,unauthorized_gesture_rejected,4,1787926188.1839235,1787926191.5970364,3.4131128787994385,hover,hover,,True
20260828-155903_d1_unauth,unauthorized_gesture_rejected,5,1787926192.3240147,1787926198.7536778,6.429663181304932,search_360,hover,,True
20260828-155903_d1_unauth,unauthorized_gesture_rejected,6,1787926199.470004,1787926206.7329698,7.262965679168701,hover,search_360,,True
20260828-155903_d1_unauth,unauthorized_gesture_rejected,7,1787926208.3090844,1787926213.0644176,4.755333185195923,search_360,hover,,True
20260828-155903_d1_unauth,unauthorized_gesture_rejected,8,1787926213.8724947,1787926218.415324,4.542829275131226,hover,hover,,True
20260828-155903_d1_unauth,unauthorized_gesture_rejected,9,1787926219.3423388,1787926222.8216336,3.479294776916504,hover,search_360,,True
20260828-155903_d1_unauth,unauthorized_gesture_rejected,10,1787926224.7952108,1787926226.7472446,1.9520337581634521,search_360,search_360,,True
20260828-155903_d1_unauth,unauthorized_gesture_rejected,11,1787926228.0171602,1787926230.4679558,2.4507956504821777,hover,hover,,True
20260828-155903_d1_unauth,unauthorized_gesture_rejected,12,1787926231.746009,1787926234.731349,2.985339879989624,hover,hover,,True
20260828-155903_d1_unauth,unauthorized_gesture_rejected,13,1787926235.8195972,1787926238.6586847,2.83908748626709,hover,search_360,,True
20260828-155903_d1_unauth,unauthorized_gesture_rejected,14,1787926239.60516,1787926242.65525,3.0500900745391846,search_360,hover,,True
20260828-155903_d1_unauth,unauthorized_gesture_rejected,15,1787926243.7359822,1787926247.5966506,3.860668420791626,hover,hover,,True
20260828-155903_d1_unauth,unauthorized_gesture_rejected,16,1787926248.2855132,1787926251.6711252,3.3856120109558105,hover,hover,,True
20260828-155903_d1_unauth,unauthorized_gesture_rejected,17,1787926252.475314,1787926255.234831,2.759517192840576,search_360,search_360,,True
20260828-155903_d1_unauth,unauthorized_gesture_rejected,18,1787926256.0680692,1787926259.2780938,3.21002459526062,search_360,hover,,True
20260828-155903_d1_unauth,unauthorized_gesture_rejected,19,1787926259.8657236,1787926262.98287,3.1171464920043945,hover,hover,,True
20260828-155903_d1_unauth,unauthorized_gesture_rejected,20,1787926263.865535,1787926267.2859526,3.420417547225952,hover,search_360,,True
