t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying
1787926437.0391335,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,,,,,False,,,False,False,0/20,-1.0,False
1787926437.5618434,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,202,202,False,False,0/20,-1.0,False
1787926438.0888388,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,202,202,False,False,0/20,-1.0,False
1787926438.6172822,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,202,202,False,False,0/20,-1.0,False
1787926439.1509125,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,205,205,False,False,0/20,-1.0,False
1787926439.6794548,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,204,204,False,False,0/20,-1.0,False
1787926440.1851256,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,205,205,False,False,0/20,-1.0,False
1787926440.6821175,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,203,203,False,False,0/20,-1.0,False
1787926441.2109694,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,198,198,False,False,0/20,-1.0,False
1787926441.7062063,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,176,176,False,False,0/20,-1.0,False
1787926442.2331915,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,165,165,False,False,0/20,-1.0,False
1787926442.7620049,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,164,164,False,False,0/20,-1.0,False
1787926443.2741868,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,173,173,False,False,0/20,-1.0,False
1787926443.8336194,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,207,207,False,False,0/20,-1.0,False
1787926444.3611212,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,210,210,False,False,0/20,-1.0,False
1787926444.87258,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,207,207,False,False,0/20,-1.0,False
1787926445.434609,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,210,210,False,False,0/20,-1.0,False
1787926445.9472365,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,206,206,False,False,0/20,-1.0,False
1787926446.4740884,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,202,202,False,False,0/20,-1.0,False
1787926447.032085,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,,,,,True,205,205,False,False,0/20,-1.0,False
1787926447.5454836,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,,,,,True,201,201,False,False,0/20,-1.0,False
1787926448.0747712,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,,,,,True,193,193,False,False,0/20,-1.0,False
1787926448.6183932,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,,,,,True,191,191,False,False,0/20,-1.0,False
1787926449.1461258,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,,,,,True,235,235,False,False,0/20,-1.0,False
1787926449.692901,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,,,,,True,242,243,False,True,13/20,-1.0,False
1787926450.2301648,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,,,,,True,247,247,True,False,0/20,0.9333085417747498,False
1787926450.691325,face,ground,Search: face_detected -> face (exit search),HOVER,,True,False,False,False,,,,,True,237,237,True,False,0/20,0.5471959710121155,False
1787926451.218052,face,ground,Search: face_detected -> face (exit search),HOVER,,True,False,False,False,,,,,True,190,190,True,False,0/20,0.3888019323348999,False
1787926451.7532597,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,187,187,True,False,0/20,0.4083606004714966,False
1787926452.2385066,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,,,,,True,206,206,True,False,0/20,0.505942702293396,False
1787926452.761651,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,226,226,True,False,0/20,0.9236520528793335,False
1787926453.2967713,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,238,238,True,False,0/20,0.861751914024353,False
1787926453.774017,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,248,248,True,False,0/20,0.7427399754524231,False
1787926454.3011694,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,246,246,True,False,0/20,0.6955186128616333,False
1787926454.8235526,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,,,,,True,258,261,True,False,0/20,0.5446449518203735,False
