run_id,scenario,trial,t_start,t_end,duration_s,mode_at_start,mode_at_end,battery_at_start,success
20260828-161355_d1_arbitration,gesture_preempts_face,1,1787926478.863886,1787926481.0029142,2.1390280723571777,face,gesture,,True
20260828-161355_d1_arbitration,gesture_preempts_face,2,1787926483.081968,1787926485.0781462,1.996178150177002,face,gesture,,True
20260828-161355_d1_arbitration,gesture_preempts_face,3,1787926487.2956722,1787926488.9502316,1.6545593738555908,face,gesture,,True
20260828-161355_d1_arbitration,gesture_preempts_face,4,1787926490.620281,1787926492.4385443,1.818263292312622,gesture,gesture,,True
20260828-161355_d1_arbitration,gesture_preempts_face,5,1787926493.5763526,1787926495.299243,1.7228903770446777,gesture,gesture,,True
20260828-161355_d1_arbitration,gesture_preempts_face,6,1787926496.0893092,1787926497.6256828,1.5363736152648926,gesture,gesture,,True
20260828-161355_d1_arbitration,gesture_preempts_face,7,1787926498.6408458,1787926500.3398483,1.6990025043487549,gesture,gesture,,True
20260828-161355_d1_arbitration,gesture_preempts_face,8,1787926501.2161043,1787926503.2126338,1.9965295791625977,gesture,gesture,,True
20260828-161355_d1_arbitration,gesture_preempts_face,9,1787926503.7584927,1787926507.4139774,3.655484676361084,gesture,gesture,,True
20260828-161355_d1_arbitration,gesture_preempts_face,10,1787926508.3577743,1787926510.757788,2.4000136852264404,gesture,gesture,,True
20260828-161355_d1_arbitration,gesture_preempts_face,11,1787926512.1633356,1787926519.617157,7.453821420669556,face,face,,False
20260828-161355_d1_arbitration,gesture_preempts_face,12,1787926526.70372,1787926529.95943,3.2557098865509033,hover,gesture,,True
20260828-161355_d1_arbitration,gesture_preempts_face,13,1787926532.6396759,1787926534.4093432,1.769667387008667,face,gesture,,True
20260828-161355_d1_arbitration,gesture_preempts_face,14,1787926535.7998028,1787926537.8158243,2.016021490097046,face,gesture,,True
20260828-161355_d1_arbitration,gesture_preempts_face,15,1787926540.184828,1787926541.6259267,1.441098690032959,face,gesture,,True
20260828-161355_d1_arbitration,gesture_preempts_face,16,1787926543.1606562,1787926546.4287534,3.268097162246704,gesture,gesture,,True
20260828-161355_d1_arbitration,gesture_preempts_face,17,1787926548.2450752,1787926550.4281178,2.183042526245117,face,gesture,,True
20260828-161355_d1_arbitration,gesture_preempts_face,18,1787926552.1378338,1787926554.0066564,1.8688225746154785,face,gesture,,True
20260828-161355_d1_arbitration,gesture_preempts_face,19,1787926555.421357,1787926557.2810044,1.859647512435913,face,gesture,,True
20260828-161355_d1_arbitration,gesture_preempts_face,20,1787926558.7739549,1787926561.1063745,2.3324196338653564,face,gesture,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,1,1787926609.4833481,1787926613.2455194,3.7621712684631348,gesture,gesture,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,2,1787926614.3113031,1787926617.0259929,2.7146897315979004,gesture,gesture,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,3,1787926617.7518125,1787926619.6397111,1.8878986835479736,gesture,gesture,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,4,1787926620.2417302,1787926622.296347,2.054616689682007,gesture,gesture,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,5,1787926623.0558982,1787926624.8823273,1.8264291286468506,gesture,gesture,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,6,1787926625.48635,1787926628.7412515,3.25490140914917,gesture,hover,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,7,1787926629.969987,1787926632.5521114,2.5821244716644287,hover,gesture,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,8,1787926639.2707553,1787926643.3618839,4.091128587722778,hover,gesture,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,9,1787926645.0874417,1787926648.9516122,3.864170551300049,face,gesture,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,10,1787926650.6354904,1787926653.894833,3.259342670440674,gesture,gesture,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,11,1787926654.9558272,1787926661.3523579,6.396530628204346,gesture,gesture,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,12,1787926661.9433045,1787926665.9019356,3.9586310386657715,gesture,gesture,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,13,1787926666.9574134,1787926669.0109243,2.053510904312134,gesture,gesture,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,14,1787926673.1040592,1787926676.0662665,2.962207317352295,face,gesture,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,15,1787926677.631051,1787926680.739903,3.108851909637451,face,gesture,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,16,1787926681.3816411,1787926684.4263265,3.0446853637695312,gesture,gesture,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,17,1787926685.160829,1787926687.9618878,2.801058769226074,gesture,gesture,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,18,1787926688.6981473,1787926691.8405023,3.142354965209961,gesture,gesture,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,19,1787926692.5483613,1787926695.4778216,2.929460287094116,face,gesture,,True
20260828-161355_d1_arbitration,hysteresis_prevents_flicker,20,1787926697.1080546,1787926699.5604181,2.4523634910583496,face,gesture,,True
