t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying
1787927326.9162602,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,,,,,False,,,False,False,0/20,-1.0,False
1787927327.4345706,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,230,230,False,False,0/20,-1.0,False
1787927327.9633613,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,226,226,False,False,0/20,-1.0,False
1787927328.4914484,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,216,216,False,False,0/20,-1.0,False
1787927329.0214303,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,208,208,False,False,0/20,-1.0,False
1787927329.8793054,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,False,212,212,False,False,0/20,-1.0,False
1787927330.394151,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,224,224,False,False,0/20,-1.0,False
1787927330.93797,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,190,190,False,False,0/20,-1.0,False
1787927331.4677534,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,182,182,False,False,0/20,-1.0,False
1787927331.9786544,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,204,204,False,False,0/20,-1.0,False
1787927332.5384815,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,226,226,False,False,0/20,-1.0,False
1787927333.0670533,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,222,222,False,False,0/20,-1.0,False
1787927333.578068,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,220,220,False,False,0/20,-1.0,False
1787927334.139378,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,,,,,True,235,235,False,False,0/20,-1.0,False
1787927334.666264,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,218,218,False,False,0/20,-1.0,False
1787927335.1834574,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,221,221,False,True,2/20,-1.0,False
1787927335.745711,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,210,210,False,True,18/20,-1.0,False
1787927336.2663922,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,212,212,True,False,0/20,0.9186678528785706,False
1787927336.789166,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,209,209,True,False,0/20,0.8760726451873779,False
1787927337.3298788,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,198,198,True,False,0/20,0.8465300798416138,False
1787927337.8488338,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,195,195,True,False,0/20,0.8694899082183838,False
1787927338.383968,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,201,201,True,False,0/20,0.8432039022445679,False
1787927338.8670316,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,198,198,True,False,0/20,0.8533430695533752,False
1787927339.4076931,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,199,199,True,False,0/20,0.8192064762115479,False
1787927339.9286244,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,202,202,True,False,0/20,0.8265855312347412,False
1787927340.4568243,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,208,208,True,False,0/20,0.9259952306747437,False
1787927340.990768,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,208,208,True,False,0/20,0.8891535997390747,False
1787927341.469631,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,206,206,True,False,0/20,0.9174529910087585,False
1787927341.9909997,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,204,204,True,False,0/20,0.8986114263534546,False
1787927342.4798512,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,205,205,True,False,0/20,0.9038159251213074,False
1787927343.0130203,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,204,204,True,False,0/20,0.9221895933151245,False
1787927343.5466232,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,206,206,True,False,0/20,0.9212579727172852,False
1787927344.0764465,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,206,206,True,False,0/20,0.9197913408279419,False
1787927344.6156137,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,207,207,True,False,0/20,0.9213516712188721,False
1787927345.1507223,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,202,202,True,False,0/20,0.9359798431396484,False
1787927345.6760426,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,203,203,True,False,0/20,0.9326797127723694,False
1787927346.2121654,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,206,206,True,False,0/20,0.9098187685012817,False
1787927346.685971,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,196,196,True,False,0/20,0.5126659274101257,False
1787927347.2085965,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,,,,,True,187,187,True,False,0/20,0.5034953355789185,False
1787927347.7505145,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,197,197,True,False,0/20,0.893885612487793,False
1787927348.287121,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,193,193,True,False,0/20,0.9164007902145386,False
1787927348.8016415,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,,,,,True,199,199,True,False,0/20,0.8489626049995422,False
1787927349.336731,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,,,,,True,199,199,False,False,0/20,-1.0,False
1787927349.8667645,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,,,,,True,204,204,False,False,0/20,-1.0,False
1787927350.3795369,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,,,,,True,203,203,False,False,0/20,-1.0,False
