t,bat,h,yaw,vgx,vgy,vgz,tof
1787928205.840845,60.0,0.0,9.0,0.0,0.0,0.0,10.0
1787928206.8622024,60.0,0.0,9.0,0.0,0.0,0.0,10.0
1787928207.862692,60.0,0.0,9.0,0.0,0.0,0.0,10.0
1787928208.8741634,60.0,0.0,9.0,0.0,0.0,0.0,10.0
1787928209.8819027,60.0,0.0,9.0,0.0,0.0,0.0,10.0
1787928210.8975563,60.0,0.0,7.0,0.0,0.0,0.0,10.0
1787928211.9101937,60.0,0.0,7.0,0.0,0.0,0.0,10.0
1787928212.9153452,60.0,0.0,8.0,0.0,0.0,0.0,10.0
1787928213.915619,60.0,0.0,7.0,0.0,0.0,0.0,10.0
1787928214.9250216,60.0,0.0,8.0,0.0,0.0,0.0,10.0
1787928215.926554,60.0,0.0,8.0,0.0,0.0,0.0,10.0
1787928216.955601,59.0,0.0,8.0,0.0,0.0,0.0,10.0
1787928217.9604287,59.0,0.0,8.0,0.0,0.0,0.0,10.0
1787928218.9661932,59.0,0.0,8.0,0.0,0.0,0.0,10.0
1787928219.980969,59.0,0.0,8.0,0.0,0.0,0.0,10.0
1787928220.9958448,59.0,0.0,8.0,0.0,0.0,0.0,10.0
1787928221.9987168,59.0,0.0,8.0,0.0,0.0,0.0,10.0
1787928222.9996276,59.0,0.0,8.0,0.0,0.0,0.0,10.0
1787928224.0030367,59.0,0.0,8.0,0.0,0.0,0.0,10.0
1787928225.0031877,59.0,0.0,8.0,0.0,0.0,0.0,10.0
1787928226.004432,59.0,0.0,8.0,0.0,0.0,0.0,10.0
1787928227.0045452,59.0,0.0,8.0,0.0,0.0,0.0,10.0
1787928228.0046139,59.0,0.0,8.0,0.0,0.0,0.0,10.0
1787928229.0071273,59.0,0.0,8.0,0.0,0.0,0.0,10.0
1787928230.0193644,59.0,0.0,8.0,0.0,0.0,0.0,10.0
1787928231.0312274,59.0,0.0,8.0,0.0,0.0,0.0,10.0
1787928232.033526,59.0,0.0,8.0,0.0,0.0,0.0,10.0
1787928233.0340476,59.0,0.0,12.0,0.0,0.0,0.0,10.0
1787928234.03603,59.0,0.0,12.0,0.0,0.0,0.0,10.0
1787928235.0456169,58.0,0.0,12.0,0.0,0.0,0.0,10.0
1787928236.0506465,58.0,0.0,12.0,0.0,0.0,0.0,10.0
1787928237.0525599,58.0,0.0,12.0,0.0,0.0,0.0,10.0
1787928238.0612564,58.0,0.0,10.0,0.0,0.0,0.0,10.0
1787928239.0723772,58.0,0.0,10.0,0.0,0.0,0.0,10.0
1787928240.0876856,58.0,0.0,10.0,0.0,0.0,0.0,10.0
1787928241.0902255,58.0,0.0,13.0,0.0,0.0,0.0,10.0
1787928242.107216,58.0,0.0,53.0,0.0,0.0,-2.0,10.0
1787928243.1090863,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928244.1098208,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928245.119119,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928246.1219943,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928247.126443,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928248.129547,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928249.1303554,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928250.144329,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928251.1591132,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928252.1609192,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928253.1730988,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928254.1741421,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928255.1758773,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928256.1828578,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928257.1843345,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928258.1937048,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928259.1966536,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928260.1972938,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928261.2101033,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928262.214781,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
1787928263.2299361,58.0,0.0,13.0,0.0,0.0,-2.0,10.0
