t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1787928379.9205153,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,57.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,5,5.6414759159088135
1787928381.1991076,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,57.0,0.0,Battery low alarm,1222.5768999778666,False,545,545,False,False,0/20,-1.0,False,144,6.901992559432983
1787928382.6793768,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,57.0,0.0,Battery low alarm,1222.5768999778666,False,411,412,False,False,0/20,-1.0,False,173,8.382300615310669
1787928383.094759,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,57.0,0.0,"The drone is within the hover area with a battery of 57.0, staying here for now",1880.574400012847,True,384,384,False,False,0/20,-1.0,False,194,8.815719604492188
1787928384.1481817,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,57.0,0.0,"The drone is within the hover area with a battery of 57.0, staying here for now",1880.574400012847,True,343,343,False,False,0/20,-1.0,False,219,9.842588663101196
1787928384.3119423,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,57.0,0.0,"The drone is within the hover area with a battery of 57.0, staying here for now",1880.574400012847,True,357,357,False,False,0/20,-1.0,False,223,10.008465766906738
1787928384.6502578,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,57.0,0.0,The drone is hovering near the ground but not in visual contact with the user.,1555.2496000018436,True,346,346,False,False,0/20,-1.0,False,231,10.349272012710571
1787928385.6440954,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,57.0,0.0,Autonomy: no intent -> hover,963.3638999948744,True,371,372,False,False,0/20,-1.0,False,255,11.341635704040527
1787928386.654287,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,57.0,0.0,Autonomy: no intent -> hover,963.3638999948744,True,374,374,False,False,0/20,-1.0,False,280,12.374255418777466
1787928387.4882832,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,57.0,0.0,"The drone is searching for a human, which is not allowed unless battery <= 15.",1865.0970000016969,True,358,358,False,False,0/20,-1.0,False,299,13.184340000152588
1787928388.4982638,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,57.0,0.0,"The drone is searching for a human, which is not allowed unless battery <= 15.",1865.0970000016969,True,368,368,False,True,1/20,-1.0,False,324,14.209793329238892
1787928388.599032,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,57.0,0.0,Autonomous drone search due to battery remaining.,1091.0062000039034,True,368,368,False,True,3/20,-1.0,False,326,14.310735702514648
1787928389.3418133,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,56.0,0.0,Autonomous drone search due to battery remaining.,1091.0062000039034,True,356,357,True,False,0/20,0.9891918301582336,False,343,0.0
1787928390.3164828,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,56.0,0.0,Autonomous drone search due to battery remaining.,1091.0062000039034,True,361,361,True,False,0/20,0.9420839548110962,False,367,0.0
1787928391.3930726,face,ground,Search: face_detected -> face (exit search),HOVER,,True,False,False,False,56.0,0.0,Autonomous drone search due to battery remaining.,1091.0062000039034,False,373,373,True,False,0/20,0.9053493738174438,False,385,0.3887295722961426
1787928392.1798813,face,ground,Search: face_detected -> face (exit search),HOVER,,True,False,False,False,56.0,0.0,The drone is searching for humans but hasn't detected any in 13.479308366775513 seconds,3612.6235999981873,False,372,372,True,False,0/20,0.5879611968994141,False,405,0.3150954246520996
1787928393.6092172,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,56.0,0.0,The drone is searching for humans but hasn't detected any in 13.479308366775513 seconds,3612.6235999981873,False,392,392,True,False,0/20,0.2976935803890228,False,422,1.3568930625915527
1787928394.2177405,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,56.0,0.0,The drone must not perform any actions that involve battery usage until it has entered the search mode.,2010.3569999919273,False,184,184,True,False,0/20,0.030951788648962975,False,457,1.9443776607513428
1787928448.5997367,search_360,ground,Autonomy: no human for 56.3s -> search_360,SEARCH,,False,False,False,False,56.0,0.0,"The drone is hovering at a safe altitude, within the parameters given.",1432.4246000032872,False,184,184,True,False,0/20,0.030951788648962975,False,462,56.32148265838623
