t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1787929751.2017114,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,78.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,7,5.648256063461304
1787929752.2192867,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,78.0,0.0,,0.0,False,251,251,False,False,0/20,-1.0,False,142,6.6658313274383545
1787929753.2560909,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,77.0,0.0,,0.0,True,442,442,False,False,0/20,-1.0,False,167,7.701638221740723
1787929754.4341273,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,77.0,0.0,Battery warning due to low battery,2940.8913000079338,False,473,473,False,False,0/20,-1.0,False,184,8.880671977996826
1787929755.3018935,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,77.0,0.0,The drone's altitude and battery level are within safe parameters for hover,1129.3488999945112,False,462,462,False,False,0/20,-1.0,False,207,9.748438119888306
1787929755.5726187,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,77.0,0.0,The drone's altitude and battery level are within safe parameters for hover,1129.3488999945112,True,409,409,False,False,0/20,-1.0,False,223,10.019163370132446
1787929756.0068874,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,77.0,0.0,Battery alert and altitude detected,712.6440000138246,True,346,346,False,False,0/20,-1.0,False,228,10.428505182266235
1787929757.0722535,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,77.0,0.0,Battery alert and altitude detected,712.6440000138246,True,239,239,False,False,0/20,-1.0,False,258,11.493661403656006
1787929757.8960414,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,77.0,0.0,Autonomy: no intent -> hover,1842.172100004973,True,249,249,False,False,0/20,-1.0,False,278,12.318398475646973
1787929758.9023883,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,77.0,0.0,Autonomy: no intent -> hover,1842.172100004973,True,252,252,False,False,0/20,-1.0,False,303,13.348932981491089
1787929759.9099221,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,77.0,0.0,Autonomy: no intent -> hover,1842.172100004973,True,252,252,False,False,0/20,-1.0,False,327,14.35646677017212
1787929760.6225567,hover,ground,Autonomy: search done (5s) -> hover,HOVER,,True,False,False,False,77.0,0.0,Autonomy: no intent -> hover,1842.172100004973,True,251,251,False,False,0/20,-1.0,False,344,15.05063772201538
