t,event,latency_ms
1787929754.4341273,llm_explanation,2940.8913000079338
1787929755.3018935,llm_explanation,1129.3488999945112
1787929756.0068874,llm_explanation,712.6440000138246
1787929757.8960414,llm_explanation,1842.172100004973
1787929760.9070065,llm_explanation,3032.737300003646
1787929762.257993,llm_explanation,1390.4999000078533
1787929766.6586375,llm_explanation,1803.1018999754451
1787929767.2810142,video_reopen,
1787929770.3530366,video_reopen,
1787929773.4986274,video_reopen,
1787929776.6444411,video_reopen,
1787929784.8911147,llm_explanation,1694.157499994617
1787929786.6823022,llm_explanation,1761.1001000041142
1787929788.6629825,llm_explanation,1971.1758999910671
1787929791.9754357,llm_explanation,2570.468099991558
1787929792.6357543,llm_explanation,1422.768399992492
1787929793.862764,llm_explanation,1214.670000015758
1787929795.2566867,llm_explanation,1405.5635000113398
1787929797.0701952,llm_explanation,1803.2158999994863
1787929798.6509125,llm_explanation,1591.4186000009067
1787929799.584345,llm_explanation,938.2174000202212
1787929800.8726873,llm_explanation,1292.9040000017267
1787929802.5360146,llm_explanation,1662.9877999948803
1787929804.0432837,llm_explanation,1495.2280000143219
1787929805.918376,llm_explanation,1862.72890001419
1787929806.923747,llm_explanation,1012.9575999744702
1787929814.8896918,rc_send,
1787929814.8905954,llm_explanation,888.8049999950454
1787929814.9907594,rc_send,
1787929815.0913234,rc_send,
1787929815.2146063,rc_send,
1787929815.330421,rc_send,
1787929815.4462051,rc_send,
1787929815.5628705,rc_send,
1787929815.664973,rc_send,
1787929815.7669382,rc_send,
1787929815.8945699,rc_send,
1787929815.9984658,rc_send,
1787929816.1003516,rc_send,
1787929816.2011445,rc_send,
1787929816.3027368,rc_send,
1787929816.403695,rc_send,
1787929816.505741,rc_send,
1787929816.6159704,rc_send,
1787929816.725512,rc_send,
1787929816.8346186,rc_send,
1787929816.9353378,rc_send,
1787929817.0366871,rc_send,
1787929817.1371615,rc_send,
1787929817.238097,rc_send,
1787929817.3454273,rc_send,
1787929817.366339,llm_explanation,2306.907999998657
1787929817.453496,rc_send,
1787929817.553995,rc_send,
1787929817.683112,rc_send,
