t,bat,h,yaw,vgx,vgy,vgz,tof
1787929751.2436361,78.0,0.0,-2.0,0.0,0.0,0.0,10.0
1787929752.2707903,78.0,0.0,0.0,0.0,0.0,3.0,10.0
1787929753.273049,77.0,0.0,69.0,0.0,0.0,1.0,10.0
1787929754.2731302,77.0,0.0,89.0,0.0,0.0,0.0,10.0
1787929755.2857459,77.0,0.0,83.0,0.0,0.0,0.0,10.0
1787929756.287322,77.0,0.0,82.0,0.0,0.0,0.0,10.0
1787929757.3022447,77.0,0.0,85.0,0.0,0.0,0.0,10.0
1787929758.303133,77.0,0.0,86.0,0.0,0.0,0.0,10.0
1787929759.3036902,77.0,0.0,85.0,0.0,0.0,0.0,10.0
1787929760.310383,77.0,0.0,85.0,0.0,0.0,0.0,10.0
1787929761.3136256,77.0,0.0,82.0,0.0,0.0,0.0,10.0
1787929762.319754,77.0,0.0,83.0,0.0,0.0,0.0,10.0
1787929763.3209271,77.0,0.0,83.0,0.0,0.0,0.0,10.0
1787929764.330704,77.0,0.0,83.0,0.0,0.0,0.0,10.0
1787929765.338482,77.0,0.0,83.0,0.0,0.0,0.0,10.0
1787929766.3399808,77.0,0.0,83.0,0.0,0.0,0.0,10.0
1787929767.3413353,77.0,0.0,83.0,0.0,0.0,0.0,10.0
1787929768.3435807,77.0,0.0,83.0,0.0,0.0,0.0,10.0
1787929769.3445613,77.0,0.0,83.0,0.0,0.0,0.0,10.0
1787929770.362198,77.0,0.0,83.0,0.0,0.0,0.0,10.0
1787929771.3628,77.0,0.0,83.0,0.0,0.0,0.0,10.0
1787929772.3661559,77.0,0.0,83.0,0.0,0.0,0.0,10.0
1787929773.3817065,77.0,0.0,83.0,0.0,0.0,0.0,10.0
1787929774.3957424,77.0,0.0,83.0,0.0,0.0,0.0,10.0
1787929775.3981504,77.0,0.0,83.0,0.0,0.0,0.0,10.0
1787929776.4000728,77.0,0.0,83.0,0.0,0.0,0.0,10.0
1787929777.4092746,77.0,0.0,83.0,0.0,0.0,0.0,10.0
1787929778.4110157,77.0,0.0,83.0,0.0,0.0,0.0,10.0
1787929779.412417,77.0,0.0,83.0,0.0,0.0,0.0,10.0
1787929780.4157298,75.0,0.0,81.0,0.0,0.0,0.0,10.0
1787929781.420808,75.0,0.0,81.0,0.0,0.0,0.0,10.0
1787929782.4238183,75.0,0.0,81.0,0.0,0.0,0.0,10.0
1787929783.4304912,75.0,0.0,81.0,0.0,0.0,0.0,10.0
1787929784.4308546,75.0,0.0,80.0,0.0,0.0,0.0,10.0
1787929785.43349,75.0,0.0,80.0,0.0,0.0,0.0,10.0
1787929786.4335427,75.0,0.0,80.0,0.0,0.0,0.0,10.0
1787929787.433831,75.0,0.0,79.0,0.0,0.0,0.0,10.0
1787929788.4362514,75.0,0.0,18.0,0.0,0.0,-3.0,10.0
1787929789.4367313,75.0,-40.0,-7.0,0.0,0.0,-2.0,10.0
1787929790.437359,74.0,0.0,-7.0,0.0,0.0,0.0,10.0
1787929791.4453855,74.0,0.0,-7.0,0.0,0.0,0.0,10.0
1787929792.4486592,74.0,0.0,-6.0,0.0,0.0,0.0,10.0
1787929793.455615,74.0,-30.0,-16.0,0.0,0.0,-6.0,10.0
1787929794.4618974,74.0,50.0,-140.0,0.0,0.0,5.0,100.0
1787929795.4729836,74.0,-10.0,171.0,-5.0,3.0,-4.0,98.0
1787929796.497637,74.0,-90.0,167.0,-8.0,2.0,-7.0,10.0
1787929797.5092144,74.0,0.0,166.0,0.0,0.0,0.0,10.0
1787929798.510857,74.0,0.0,166.0,0.0,0.0,0.0,10.0
1787929799.5166793,74.0,0.0,166.0,0.0,0.0,0.0,10.0
1787929800.518484,74.0,0.0,167.0,0.0,0.0,0.0,10.0
1787929801.5202498,74.0,0.0,174.0,0.0,0.0,1.0,10.0
1787929802.526019,74.0,0.0,173.0,0.0,0.0,0.0,10.0
1787929803.526058,74.0,0.0,173.0,0.0,0.0,0.0,10.0
1787929804.5366604,74.0,0.0,171.0,0.0,0.0,0.0,10.0
1787929805.5385723,74.0,0.0,173.0,0.0,0.0,0.0,10.0
1787929806.5386066,74.0,0.0,166.0,0.0,0.0,0.0,10.0
1787929807.540297,74.0,0.0,173.0,0.0,0.0,0.0,10.0
1787929808.5485282,74.0,0.0,173.0,0.0,0.0,0.0,10.0
1787929814.8896918,74.0,60.0,174.0,0.0,0.0,0.0,80.0
1787929815.8945699,74.0,60.0,174.0,0.0,0.0,0.0,81.0
1787929816.8966157,74.0,60.0,174.0,0.0,0.0,0.0,81.0
1787929817.912552,74.0,60.0,-161.0,0.0,0.0,0.0,82.0
1787929818.924691,74.0,60.0,-146.0,0.0,0.0,0.0,82.0
1787929819.9289567,74.0,60.0,-146.0,0.0,0.0,0.0,82.0
1787929820.936998,74.0,60.0,-110.0,0.0,0.0,0.0,81.0
1787929821.9422028,74.0,60.0,-110.0,0.0,0.0,0.0,81.0
1787929822.9425526,74.0,60.0,-107.0,0.0,0.0,0.0,81.0
1787929823.9449892,74.0,60.0,-107.0,0.0,0.0,0.0,81.0
1787929824.9580462,73.0,60.0,-107.0,0.0,0.0,0.0,82.0
1787929825.9867043,73.0,70.0,-104.0,-1.0,-3.0,0.0,92.0
1787929826.9904337,73.0,80.0,-103.0,0.0,-3.0,0.0,96.0
1787929827.9908671,72.0,80.0,-101.0,-1.0,-3.0,0.0,100.0
1787929828.9989696,72.0,80.0,-101.0,0.0,0.0,0.0,100.0
1787929830.000899,71.0,80.0,-101.0,0.0,0.0,0.0,101.0
1787929831.0117126,71.0,80.0,-101.0,0.0,0.0,0.0,101.0
1787929832.019157,71.0,80.0,-101.0,0.0,0.0,0.0,101.0
1787929833.0246582,71.0,80.0,-101.0,0.0,0.0,0.0,101.0
1787929834.0320823,71.0,80.0,-101.0,0.0,0.0,0.0,101.0
1787929835.033836,71.0,80.0,-101.0,0.0,0.0,0.0,101.0
1787929836.0417576,71.0,80.0,-101.0,0.0,0.0,0.0,101.0
1787929837.0478635,71.0,80.0,-101.0,0.0,0.0,0.0,101.0
1787929838.0499575,71.0,80.0,-101.0,0.0,0.0,0.0,101.0
1787929839.0535858,71.0,80.0,-101.0,0.0,0.0,0.0,101.0
1787929840.0568008,69.0,80.0,-101.0,0.0,0.0,0.0,103.0
1787929841.063973,68.0,80.0,-101.0,0.0,0.0,0.0,103.0
1787929842.065438,68.0,80.0,-101.0,0.0,0.0,0.0,103.0
1787929843.068491,68.0,90.0,-101.0,0.0,0.0,0.0,106.0
1787929844.071509,68.0,80.0,-101.0,0.0,0.0,0.0,103.0
1787929845.0863945,68.0,80.0,-101.0,0.0,0.0,0.0,103.0
1787929846.0892043,68.0,80.0,-101.0,0.0,0.0,0.0,103.0
1787929847.093854,68.0,80.0,-101.0,0.0,0.0,0.0,103.0
1787929848.0967906,68.0,80.0,-101.0,0.0,0.0,0.0,103.0
1787929849.0994558,68.0,80.0,-101.0,0.0,0.0,0.0,103.0
1787929850.111494,68.0,80.0,-101.0,0.0,0.0,0.0,103.0
1787929851.1138396,66.0,80.0,-101.0,0.0,0.0,0.0,103.0
1787929852.1175103,65.0,90.0,-101.0,0.0,0.0,0.0,104.0
1787929853.1176732,65.0,80.0,-101.0,0.0,0.0,0.0,104.0
1787929854.1177905,65.0,80.0,-101.0,0.0,0.0,0.0,104.0
1787929855.1232445,65.0,80.0,-101.0,0.0,0.0,0.0,104.0
1787929856.1258411,65.0,80.0,-101.0,0.0,0.0,0.0,104.0
1787929857.1302028,65.0,80.0,-100.0,0.0,-1.0,0.0,99.0
1787929858.1321137,65.0,80.0,-100.0,0.0,-2.0,0.0,101.0
1787929859.133107,65.0,90.0,-100.0,0.0,-2.0,0.0,104.0
1787929860.1346076,65.0,90.0,-100.0,0.0,-2.0,0.0,104.0
1787929861.137879,64.0,90.0,-100.0,0.0,-2.0,0.0,111.0
1787929862.1431031,64.0,90.0,-100.0,0.0,-2.0,0.0,111.0
1787929863.146132,64.0,100.0,-100.0,0.0,-2.0,0.0,117.0
1787929866.78097,63.0,-110.0,-107.0,3.0,1.0,-37.0,10.0
1787929867.782499,63.0,70.0,-18.0,7.0,14.0,2.0,10.0
1787929868.7942262,63.0,0.0,76.0,0.0,0.0,-2.0,10.0
1787929869.8033197,63.0,0.0,144.0,0.0,0.0,-2.0,10.0
1787929870.8104222,63.0,0.0,170.0,0.0,0.0,-5.0,10.0
1787929871.8114762,63.0,0.0,166.0,0.0,0.0,1.0,6553.0
1787929872.8216472,63.0,10.0,139.0,0.0,0.0,10.0,10.0
1787929873.8299258,63.0,0.0,79.0,0.0,0.0,-1.0,10.0
1787929874.8363528,63.0,0.0,85.0,-2.0,-1.0,0.0,6553.0
1787929875.8543808,63.0,0.0,146.0,0.0,0.0,0.0,10.0
1787929876.8563182,63.0,0.0,167.0,0.0,0.0,0.0,10.0
1787929877.856577,63.0,0.0,170.0,0.0,0.0,0.0,10.0
1787929878.8577013,63.0,0.0,170.0,0.0,0.0,0.0,10.0
1787929879.8614817,63.0,0.0,170.0,0.0,0.0,0.0,10.0
1787929888.373509,63.0,80.0,171.0,0.0,0.0,0.0,85.0
1787929889.377458,63.0,80.0,171.0,0.0,0.0,0.0,11.0
1787929890.382314,63.0,-60.0,149.0,6.0,-3.0,-9.0,10.0
1787929891.382375,63.0,0.0,164.0,3.0,-3.0,3.0,10.0
1787929892.3871744,63.0,0.0,164.0,0.0,0.0,2.0,10.0
1787929893.3886368,63.0,0.0,167.0,0.0,0.0,0.0,41.0
1787929894.4012415,63.0,0.0,167.0,0.0,0.0,0.0,41.0
1787929895.4034429,63.0,0.0,163.0,0.0,0.0,0.0,10.0
1787929896.4121304,63.0,0.0,165.0,0.0,0.0,0.0,10.0
1787929897.4301238,63.0,0.0,161.0,0.0,0.0,1.0,10.0
1787929898.4307802,63.0,0.0,161.0,0.0,0.0,0.0,10.0
