t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran,rule_infer_ms,rule_infer_ms_ran
1788458064.366147,5,,,2.9926300048828125,0.055199998314492404,0.006200003554113209,1,,0,,0,0,,0,hover,0.026900001103058457,1,,
1788458064.47404,14,0.10789299011230469,9.268442731627982,0.9632110595703125,64.68460000178311,0.019099999917671084,1,,0,,0,0,64.52569999964908,1,hover,0.08610000077169389,1,,
1788458064.5026565,31,0.02861642837524414,34.94496192491627,2.6810169219970703,0.09220000356435776,0.009499999578110874,1,,0,,0,0,,0,hover,0.04199999966658652,1,,
1788458064.59662,36,0.093963623046875,10.642416368950958,4.990816116333008,53.364999999757856,0.005199995939619839,1,13.936999996076338,1,,0,0,39.38459999335464,1,hover,0.03189999551977962,1,,
1788458064.6215498,54,0.02492976188659668,40.11269760814055,2.994537353515625,0.07550000736955553,0.007100010407157242,1,,0,,0,0,,0,hover,0.035899996873922646,1,,
1788458064.668659,59,0.047109127044677734,21.227309074345868,0.9973049163818359,33.21649999998044,0.00689999433234334,1,,0,,0,0,33.17169999354519,1,hover,0.021800005924887955,1,,
1788458064.680646,77,0.011986970901489258,83.42391153012312,1.5056133270263672,0.0425000034738332,0.006400005077011883,1,,0,,0,0,,0,hover,0.018799997633323073,1,,
1788458064.7290244,82,0.04837846755981445,20.67035295741053,2.996683120727539,33.762899998691864,0.005099995178170502,1,5.806000001030043,1,,0,0,27.92530000442639,1,hover,0.018799997633323073,1,,
1788458064.738998,103,0.009973526000976562,100.26544272327405,0.0,0.03750000905711204,0.005099995178170502,1,,0,,0,0,,0,hover,0.016000005416572094,1,,
1788458064.7744246,107,0.03542661666870117,28.22736388720641,2.992868423461914,23.84719999099616,0.00549999822396785,1,,0,,0,0,23.814599990146235,1,hover,0.015600002370774746,1,,
1788458064.7843878,125,0.009963274002075195,100.36861375002991,0.0,0.03470000228844583,0.0048000074457377195,1,,0,,0,0,,0,hover,0.01580000389367342,1,,
