t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1788459186.1309688,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,72.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,6,5.667176246643066
1788459187.1432784,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,72.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,142,6.67948579788208
1788459188.2062469,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,72.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,167,7.70976996421814
1788459189.2048514,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,72.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,191,8.712135314941406
1788459189.8723786,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,71.0,0.0,Autonomous drone detects a human in the vicinity and takes action,3726.089799994952,True,369,369,False,False,0/20,-1.0,False,207,9.376052379608154
1788459190.473185,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,71.0,0.0,Autonomous drone detects a human in the vicinity and takes action,3726.089799994952,False,369,369,False,False,0/20,-1.0,False,222,10.009392499923706
1788459190.9734445,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,71.0,0.0,The drone is hovering due to battery status,1086.8904999952065,True,439,439,False,False,0/20,-1.0,False,234,10.509651899337769
1788459191.9769232,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,71.0,0.0,The drone is hovering due to battery status,1086.8904999952065,True,475,475,False,False,0/20,-1.0,False,258,11.51313066482544
1788459192.864341,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,71.0,0.0,"The drone is currently in the air, hover for a brief period to inspect its status before continuing",1828.2885999942664,True,325,325,False,False,0/20,-1.0,False,278,12.345180988311768
1788459193.869878,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,71.0,0.0,"The drone is currently in the air, hover for a brief period to inspect its status before continuing",1828.2885999942664,True,342,342,False,False,0/20,-1.0,False,303,13.379666566848755
1788459194.8787842,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,71.0,0.0,"The drone is currently in the air, hover for a brief period to inspect its status before continuing",1828.2885999942664,True,351,351,False,False,0/20,-1.0,False,328,14.414991617202759
1788459195.4731956,hover,ground,Autonomy: search done (5s) -> hover,HOVER,,True,False,True,False,71.0,0.0,"The drone is currently in the air, hover for a brief period to inspect its status before continuing",1828.2885999942664,True,322,322,False,False,0/20,-1.0,False,342,15.009402990341187
1788459196.47576,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,71.0,0.0,"The drone is currently in the air, hover for a brief period to inspect its status before continuing",1828.2885999942664,True,284,284,False,False,0/20,-1.0,False,366,16.011967420578003
1788459196.8121002,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,71.0,0.0,LLM error (ReadTimeout),4016.6644000128144,True,282,282,False,False,0/20,-1.0,False,374,16.348307609558105
1788459197.8687186,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,71.0,0.0,LLM error (ReadTimeout),4016.6644000128144,True,276,276,False,False,0/20,-1.0,False,399,17.37897276878357
1788459198.8757184,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,71.0,0.0,LLM error (ReadTimeout),4016.6644000128144,True,285,285,False,False,0/20,-1.0,False,423,18.380481958389282
1788459198.889315,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,71.0,0.0,Autonomous hover allowed due to battery status and altitude constraints,2090.5977000074927,True,285,285,False,False,0/20,-1.0,False,424,18.425522327423096
1788459199.940384,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,70.0,0.0,Autonomous hover allowed due to battery status and altitude constraints,2090.5977000074927,True,285,285,False,False,0/20,-1.0,False,449,19.445414543151855
1788459200.5305693,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,70.0,0.0,Autonomous mode: no action required,1634.1821999958484,True,277,277,False,False,0/20,-1.0,False,463,20.044456958770752
1788459201.5392976,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,70.0,0.0,Autonomous mode: no action required,1634.1821999958484,True,257,257,False,False,0/20,-1.0,False,487,21.044482946395874
1788459201.9492655,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,70.0,0.0,Check battery level before hovering,1414.9804000044242,True,267,267,False,False,0/20,-1.0,False,497,21.449800729751587
1788459202.957024,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,70.0,0.0,Check battery level before hovering,1414.9804000044242,True,315,315,False,False,0/20,-1.0,False,522,22.492233514785767
1788459203.5506284,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,70.0,0.0,Autonomy: no intent -> hover,1616.3471000036225,True,319,319,False,False,0/20,-1.0,False,536,23.086835861206055
1788459204.5789428,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,70.0,0.0,Autonomy: no intent -> hover,1616.3471000036225,True,311,311,False,False,0/20,-1.0,False,561,24.115150213241577
1788459205.5420532,search_360,ground,Autonomy: no human for 25.0s -> search_360,SEARCH,,True,False,False,False,70.0,0.0,Autonomy: no intent -> hover,1608.1199000036577,True,316,316,False,False,0/20,-1.0,False,583,25.042354583740234
1788459206.5378025,search_360,ground,Autonomy: no human for 25.0s -> search_360,SEARCH,,True,False,False,False,70.0,0.0,Autonomy: no intent -> hover,1345.2898999967147,True,329,329,False,False,0/20,-1.0,False,608,26.074009895324707
1788459207.6043983,search_360,ground,Autonomy: no human for 25.0s -> search_360,SEARCH,,True,False,False,False,70.0,0.0,Autonomy: no intent -> hover,1345.2898999967147,True,327,327,False,False,0/20,-1.0,False,633,27.110504865646362
1788459208.5957766,search_360,ground,Autonomy: no human for 25.0s -> search_360,SEARCH,,True,False,False,False,70.0,0.0,Autonomy: no intent -> hover,1345.2898999967147,True,341,341,False,False,0/20,-1.0,False,657,28.112115621566772
1788459209.6093204,search_360,ground,Autonomy: no human for 25.0s -> search_360,SEARCH,,True,False,False,False,70.0,0.0,Autonomy: no intent -> hover,1345.2898999967147,True,306,306,False,False,0/20,-1.0,False,682,29.144530534744263
1788459210.5387025,search_360,ground,Autonomy: no human for 25.0s -> search_360,SEARCH,,True,False,False,False,70.0,0.0,LLM error (ReadTimeout),4016.5161000040825,True,277,277,False,False,0/20,-1.0,False,704,30.074909925460815
1788459210.5915816,hover,ground,Autonomy: search done (5s) -> hover,HOVER,,True,False,False,False,70.0,0.0,LLM error (ReadTimeout),4016.5161000040825,True,277,277,False,False,0/20,-1.0,False,705,30.10630226135254
1788459211.593016,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,70.0,0.0,LLM error (ReadTimeout),4016.5161000040825,True,271,271,False,False,0/20,-1.0,False,729,31.109774827957153
1788459212.6049552,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,70.0,0.0,LLM error (ReadTimeout),4016.5161000040825,True,213,213,False,False,0/20,-1.0,False,754,32.141162633895874
1788459213.6058972,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,70.0,0.0,LLM error (ReadTimeout),4016.5161000040825,True,183,183,False,False,0/20,-1.0,False,778,33.142104625701904
1788459214.3403056,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,70.0,0.0,The drone is currently flying in the air and does not have a battery level of 15 or less. It's important to check the drone's power supply status before any operation.,3780.5455999914557,False,203,203,False,False,0/20,-1.0,False,795,33.848031759262085
1788459215.2749922,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,70.0,0.0,hovering in safe mode,974.3104999943171,True,196,196,False,False,0/20,-1.0,False,818,34.81119966506958
1788459216.331019,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,70.0,0.0,hovering in safe mode,974.3104999943171,True,211,211,False,False,0/20,-1.0,False,843,35.842387199401855
1788459216.6784859,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,70.0,0.0,Check battery level and altitude to avoid flying without power,1356.6049999935785,True,261,261,False,False,0/20,-1.0,False,851,36.17603850364685
1788459217.6964903,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,70.0,0.0,Check battery level and altitude to avoid flying without power,1356.6049999935785,True,268,268,False,True,4/20,-1.0,False,876,37.22402834892273
1788459218.2747748,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,70.0,0.0,Autonomous drone detects no obstacles and continues hover routine,1618.6569999990752,True,275,275,False,True,17/20,-1.0,False,889,37.77638101577759
1788459218.3760538,gesture,ground,Perception: hand_detected -> gesture (priority),CENTER,0.5,True,True,True,True,70.0,0.0,Autonomous drone detects no obstacles and continues hover routine,1618.6569999990752,True,269,269,True,False,0/20,0.9714328050613403,False,892,0.0
1788459219.4355567,gesture,ground,Perception: hand_detected -> gesture (priority),CENTER,0.5,True,True,True,True,70.0,0.0,Autonomous drone detects no obstacles and continues hover routine,1618.6569999990752,True,273,273,True,False,0/20,0.9028375148773193,False,917,0.0
1788459219.676088,gesture,ground,Perception: hand_detected -> gesture (priority),CENTER,0.5,True,True,True,True,70.0,0.0,Autonomy: no intent -> hover,1423.5389000095893,True,281,281,True,False,0/20,0.8931648135185242,False,923,0.0
1788459220.6994553,gesture,ground,Perception: hand_detected -> gesture (priority),NOHAND,,True,False,False,False,70.0,0.0,Autonomy: no intent -> hover,1423.5389000095893,True,153,153,True,False,0/20,0.2794674038887024,False,948,0.38126182556152344
1788459221.1620262,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,70.0,0.0,Autonomy: no intent -> hover,1423.5389000095893,True,166,166,True,False,0/20,0.30208104848861694,False,959,0.8444359302520752
1788459221.5434406,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,70.0,0.0,The drone's battery level is low (battery <= 15).,1839.0844000095967,True,226,226,True,False,0/20,0.3861764073371887,False,968,1.1979115009307861
1788459222.535382,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,70.0,0.0,The drone's battery level is low (battery <= 15).,1839.0844000095967,True,266,266,True,False,0/20,0.38487663865089417,False,992,2.218693971633911
1788459223.0121613,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,70.0,0.0,The drone's battery level is low (battery <= 15).,1839.0844000095967,True,360,360,True,False,0/20,0.5676111578941345,False,1003,0.0
1788459224.0216892,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,70.0,0.0,The drone's battery level is low (battery <= 15).,1839.0844000095967,True,372,372,True,False,0/20,0.7274692058563232,False,1027,0.0
1788459224.421345,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,70.0,0.0,"The drone is grounded, the battery level is low, and it's not detected by camera. It is safe to land.",2901.150999998208,True,351,351,True,False,0/20,0.3234346807003021,False,1037,0.2347266674041748
