t,event,latency_ms
1788459189.8723786,llm_explanation,3726.089799994952
1788459190.9734445,llm_explanation,1086.8904999952065
1788459192.864341,llm_explanation,1828.2885999942664
1788459196.8121002,llm_explanation,4016.6644000128144
1788459198.889315,llm_explanation,2090.5977000074927
1788459200.5305693,llm_explanation,1634.1821999958484
1788459201.9492655,llm_explanation,1414.9804000044242
1788459203.5506284,llm_explanation,1616.3471000036225
1788459210.5387025,llm_explanation,4016.5161000040825
1788459214.3403056,llm_explanation,3780.5455999914557
1788459215.2749922,llm_explanation,974.3104999943171
1788459216.6784859,llm_explanation,1356.6049999935785
1788459218.2747748,llm_explanation,1618.6569999990752
1788459219.676088,llm_explanation,1423.5389000095893
1788459221.5434406,llm_explanation,1839.0844000095967
1788459224.421345,llm_explanation,2901.150999998208
1788459226.25261,llm_explanation,1840.4982999927597
1788459229.7172554,llm_explanation,3416.0992999968585
1788459231.739279,llm_explanation,2045.817199992598
1788459235.7764585,llm_explanation,4009.424100004253
1788459237.375065,llm_explanation,1646.7850000044564
1788459239.5341442,llm_explanation,2153.7386999989394
1788459242.4963143,llm_explanation,2962.163000003784
1788459244.9098933,llm_explanation,2407.0285000052536
1788459247.9723847,llm_explanation,3021.876099999645
1788459256.6360116,rc_send,
1788459256.6370075,llm_explanation,923.7185000092722
1788459256.7478602,rc_send,
1788459256.852977,rc_send,
1788459256.9983606,rc_send,
1788459257.1227324,rc_send,
1788459257.2237182,rc_send,
1788459257.3720934,rc_send,
1788459257.511294,rc_send,
1788459257.6133037,rc_send,
1788459257.7137964,rc_send,
1788459257.8526897,rc_send,
1788459257.9532099,rc_send,
1788459258.0545945,rc_send,
1788459258.1808484,rc_send,
1788459258.2857873,rc_send,
1788459258.3864205,rc_send,
1788459258.5171492,rc_send,
1788459258.6268966,rc_send,
1788459258.7272415,rc_send,
1788459258.847543,rc_send,
1788459258.9533677,rc_send,
1788459259.0700293,rc_send,
1788459259.1919875,rc_send,
1788459259.2972248,rc_send,
1788459259.400316,rc_send,
1788459259.5482507,rc_send,
1788459259.6647415,rc_send,
1788459259.7670739,rc_send,
1788459259.8739989,rc_send,
1788459260.0441453,rc_send,
1788459260.15562,rc_send,
1788459260.2804139,rc_send,
1788459260.3816667,rc_send,
1788459260.4940128,rc_send,
1788459260.6176298,rc_send,
1788459260.7453406,rc_send,
1788459260.8566039,rc_send,
1788459260.9773746,rc_send,
1788459261.091903,rc_send,
1788459261.227687,rc_send,
1788459261.3430862,rc_send,
1788459261.491601,rc_send,
1788459261.6068258,rc_send,
1788459261.7322314,rc_send,
1788459261.841609,rc_send,
1788459261.9598868,rc_send,
