t,bat,h,yaw,vgx,vgy,vgz,tof
1788459186.1788685,72.0,0.0,0.0,0.0,0.0,0.0,10.0
1788459187.2048953,72.0,0.0,4.0,0.0,0.0,0.0,10.0
1788459188.2162244,72.0,0.0,68.0,0.0,0.0,0.0,10.0
1788459189.2222,72.0,0.0,112.0,0.0,0.0,0.0,10.0
1788459190.2249315,71.0,0.0,80.0,0.0,0.0,1.0,10.0
1788459191.2281208,71.0,0.0,-4.0,0.0,0.0,-2.0,90.0
1788459192.2319496,71.0,0.0,-25.0,0.0,0.0,2.0,10.0
1788459193.232338,71.0,0.0,-36.0,0.0,0.0,0.0,10.0
1788459194.2336993,71.0,0.0,-41.0,0.0,0.0,0.0,10.0
1788459195.2362905,71.0,0.0,-37.0,0.0,0.0,0.0,10.0
1788459196.238109,71.0,0.0,-36.0,0.0,0.0,0.0,10.0
1788459197.2403138,71.0,0.0,-34.0,0.0,0.0,0.0,10.0
1788459198.241367,71.0,0.0,-34.0,0.0,0.0,0.0,10.0
1788459199.2934315,71.0,0.0,-33.0,0.0,0.0,0.0,10.0
1788459200.3071127,70.0,0.0,-20.0,0.0,0.0,0.0,10.0
1788459201.3087387,70.0,0.0,52.0,0.0,0.0,0.0,10.0
1788459202.3088634,70.0,0.0,93.0,0.0,0.0,0.0,10.0
1788459203.3096836,70.0,0.0,104.0,0.0,0.0,0.0,10.0
1788459204.3186862,70.0,0.0,101.0,0.0,0.0,0.0,10.0
1788459205.3192267,70.0,0.0,99.0,0.0,0.0,0.0,10.0
1788459206.3426,70.0,0.0,100.0,0.0,0.0,0.0,10.0
1788459207.3513103,70.0,0.0,100.0,0.0,0.0,0.0,10.0
1788459208.3585746,70.0,0.0,45.0,0.0,0.0,1.0,10.0
1788459209.3596342,70.0,0.0,-45.0,0.0,0.0,0.0,10.0
1788459210.3599157,70.0,0.0,-45.0,0.0,0.0,0.0,10.0
1788459211.366184,70.0,0.0,-42.0,0.0,0.0,0.0,10.0
1788459212.366791,70.0,0.0,-32.0,0.0,0.0,0.0,10.0
1788459213.3671439,70.0,0.0,-34.0,0.0,0.0,0.0,10.0
1788459214.368229,70.0,0.0,-35.0,0.0,0.0,0.0,10.0
1788459215.3700478,70.0,0.0,-37.0,0.0,0.0,0.0,10.0
1788459216.3724444,70.0,0.0,-41.0,0.0,0.0,0.0,10.0
1788459217.374251,70.0,0.0,-43.0,0.0,0.0,0.0,10.0
1788459218.3890176,70.0,0.0,-43.0,0.0,0.0,0.0,10.0
1788459219.3906236,70.0,0.0,-42.0,0.0,0.0,0.0,10.0
1788459220.3920088,70.0,0.0,-15.0,0.0,0.0,0.0,10.0
1788459221.3948035,70.0,0.0,43.0,0.0,0.0,0.0,10.0
1788459222.3992212,70.0,0.0,57.0,0.0,0.0,0.0,10.0
1788459223.4105287,70.0,0.0,99.0,0.0,0.0,0.0,10.0
1788459224.4311008,70.0,0.0,90.0,0.0,0.0,0.0,10.0
1788459225.4364822,70.0,0.0,37.0,0.0,0.0,0.0,10.0
