t,bat,h,yaw,vgx,vgy,vgz,tof
1788460012.018771,27.0,0.0,-105.0,0.0,0.0,0.0,10.0
1788460013.020795,27.0,0.0,-115.0,0.0,0.0,0.0,10.0
1788460014.0230887,27.0,0.0,-139.0,0.0,0.0,0.0,10.0
1788460015.0256128,27.0,0.0,-139.0,0.0,0.0,0.0,10.0
1788460016.0379581,27.0,0.0,-139.0,0.0,0.0,0.0,10.0
1788460017.042048,27.0,0.0,-139.0,0.0,0.0,0.0,10.0
1788460018.0501425,27.0,0.0,-139.0,0.0,0.0,0.0,10.0
1788460019.0572512,27.0,0.0,-139.0,0.0,0.0,0.0,10.0
1788460020.060822,27.0,0.0,-139.0,0.0,0.0,0.0,10.0
1788460021.0650387,27.0,0.0,-139.0,0.0,0.0,0.0,10.0
1788460022.0691695,27.0,0.0,-139.0,0.0,0.0,0.0,10.0
1788460023.0736427,27.0,0.0,-139.0,0.0,0.0,0.0,10.0
1788460024.0775654,27.0,0.0,-139.0,0.0,0.0,0.0,10.0
1788460025.0785985,27.0,0.0,-138.0,0.0,0.0,0.0,10.0
1788460026.0939567,27.0,0.0,-139.0,0.0,0.0,0.0,10.0
1788460027.097395,27.0,0.0,-138.0,0.0,0.0,0.0,10.0
1788460028.1099653,27.0,0.0,-15.0,0.0,0.0,0.0,10.0
1788460029.115716,27.0,0.0,-35.0,-6.0,1.0,6.0,10.0
1788460030.1211858,27.0,90.0,74.0,0.0,0.0,0.0,10.0
1788460031.13061,27.0,0.0,77.0,0.0,0.0,0.0,10.0
1788460032.139423,27.0,0.0,77.0,0.0,0.0,0.0,10.0
1788460033.145359,27.0,0.0,77.0,0.0,0.0,0.0,10.0
1788460034.1501474,27.0,0.0,77.0,0.0,0.0,0.0,10.0
1788460035.1586702,27.0,0.0,77.0,0.0,0.0,0.0,10.0
