t,event,latency_ms
1788460121.57148,rc_send,
1788460121.5724754,llm_explanation,794.4277999922633
1788460121.6989903,rc_send,
1788460121.8347979,rc_send,
1788460121.9370618,rc_send,
1788460122.0590312,rc_send,
1788460122.1699677,rc_send,
1788460122.279405,rc_send,
1788460122.3935766,rc_send,
1788460122.502469,rc_send,
1788460122.6063528,rc_send,
1788460122.7068672,rc_send,
1788460122.8104336,rc_send,
1788460122.9118345,rc_send,
1788460123.0351522,rc_send,
1788460123.1405349,rc_send,
1788460123.2423716,rc_send,
1788460123.3706527,rc_send,
1788460123.4753146,rc_send,
1788460123.5969617,rc_send,
1788460123.7080417,rc_send,
1788460123.8081243,rc_send,
1788460123.936506,rc_send,
1788460124.0423844,rc_send,
1788460124.142702,rc_send,
1788460124.2624424,rc_send,
1788460124.3722465,rc_send,
1788460124.4750478,rc_send,
1788460124.5972106,rc_send,
1788460124.7051697,rc_send,
1788460124.807799,rc_send,
1788460124.92664,rc_send,
1788460125.03518,rc_send,
1788460125.1356542,rc_send,
1788460125.2640762,rc_send,
1788460125.3794875,rc_send,
1788460125.482723,rc_send,
1788460125.593741,rc_send,
1788460125.6256485,llm_explanation,4033.2407999958377
1788460125.7111304,rc_send,
1788460125.8121135,rc_send,
1788460125.9324894,rc_send,
1788460126.0379255,rc_send,
1788460126.1390514,rc_send,
1788460126.2629495,rc_send,
1788460126.3718596,rc_send,
1788460126.4761155,rc_send,
1788460126.5925581,rc_send,
1788460126.704339,rc_send,
1788460126.804409,rc_send,
1788460126.9213796,rc_send,
1788460127.0345569,rc_send,
1788460127.1406958,rc_send,
1788460127.274863,rc_send,
1788460127.395923,rc_send,
1788460127.4957037,rc_send,
1788460127.5966349,rc_send,
1788460127.7365577,rc_send,
1788460127.8443153,rc_send,
1788460127.9442966,rc_send,
1788460128.0692787,rc_send,
1788460128.1758893,rc_send,
1788460128.2769284,rc_send,
1788460128.3918848,llm_explanation,2780.4078000044683
1788460128.4028573,rc_send,
1788460128.5141375,rc_send,
1788460128.617483,rc_send,
1788460128.7212076,rc_send,
1788460128.8300457,rc_send,
1788460128.9326863,rc_send,
1788460129.064903,rc_send,
1788460129.170826,rc_send,
1788460129.2711768,rc_send,
1788460129.40198,rc_send,
1788460129.5038073,rc_send,
1788460129.6054792,rc_send,
1788460129.7121694,rc_send,
1788460129.8206635,rc_send,
1788460129.921921,rc_send,
1788460130.0641243,rc_send,
1788460130.1698916,rc_send,
1788460130.2705822,rc_send,
1788460130.3965044,rc_send,
1788460130.5031767,rc_send,
1788460130.6036642,rc_send,
1788460130.7064998,rc_send,
1788460130.8103936,rc_send,
1788460130.9315445,rc_send,
1788460131.0415554,rc_send,
1788460131.142878,rc_send,
1788460131.273938,rc_send,
1788460131.3776581,rc_send,
1788460131.4790614,rc_send,
1788460131.6085951,rc_send,
1788460131.70951,rc_send,
1788460131.8119104,rc_send,
1788460131.9348633,rc_send,
1788460132.0444314,rc_send,
1788460132.1491687,rc_send,
1788460132.2709124,rc_send,
1788460132.3803294,rc_send,
1788460132.4398952,llm_explanation,4039.5850999921095
1788460132.4835947,rc_send,
1788460132.6109173,rc_send,
1788460132.7132373,rc_send,
1788460132.8153586,rc_send,
1788460132.9387698,rc_send,
1788460133.0460837,rc_send,
1788460133.149712,rc_send,
1788460133.2688656,rc_send,
1788460133.3810246,rc_send,
1788460133.4823575,rc_send,
1788460133.6041498,rc_send,
1788460133.7098362,rc_send,
1788460133.8093607,rc_send,
1788460133.9398634,rc_send,
1788460134.0487647,rc_send,
1788460134.1545138,rc_send,
1788460134.2701602,rc_send,
1788460134.377883,rc_send,
1788460134.4231534,llm_explanation,1987.0833000022685
1788460134.480207,rc_send,
1788460134.6057658,rc_send,
1788460134.707116,rc_send,
1788460134.8094008,rc_send,
1788460134.9335742,rc_send,
1788460135.0432563,rc_send,
1788460135.1451354,rc_send,
1788460135.2549846,rc_send,
1788460135.3638296,rc_send,
1788460135.4655347,rc_send,
1788460135.5879314,rc_send,
1788460135.6999652,rc_send,
1788460135.8029852,rc_send,
1788460135.9186747,rc_send,
1788460136.0192428,rc_send,
