t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1788460262.6928003,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,10,5.6383278369903564
1788460263.72049,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,143,6.666017532348633
1788460264.725459,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,167,7.670986652374268
1788460265.781931,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,-50.0,,0.0,False,,,False,False,0/20,-1.0,False,192,8.70214056968689
1788460266.7874556,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,217,9.732983112335205
1788460266.952848,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,0.0,LLM error (ReadTimeout),4222.122399994987,False,,,False,False,0/20,-1.0,False,220,9.865965843200684
1788460267.9460373,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,0.0,LLM error (ReadTimeout),4222.122399994987,False,,,False,False,0/20,-1.0,False,244,10.866123914718628
1788460268.9526594,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,0.0,LLM error (ReadTimeout),4222.122399994987,False,,,False,False,0/20,-1.0,False,269,11.898186922073364
1788460269.2750943,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,0.0,Safety: battery 17.0% <= 19,2322.183500000392,False,,,False,False,0/20,-1.0,False,276,12.194609642028809
1788460270.2767859,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,0.0,Safety: battery 17.0% <= 19,2322.183500000392,False,,,False,False,0/20,-1.0,False,300,13.197232484817505
1788460271.2841303,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,0.0,Safety: battery 17.0% <= 19,2322.183500000392,False,,,False,False,0/20,-1.0,False,325,14.229657888412476
1788460282.0674973,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,70.0,Safety: battery 17.0% <= 19% -> land,1773.539300003904,False,,,False,False,0/20,-1.0,False,489,21.085758686065674
1788460282.076733,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,0.0,Safety: battery 17.0% <= 19% -> land,1773.539300003904,False,,,False,False,0/20,-1.0,False,583,25.022260665893555
1788460283.1153395,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,0.0,Safety: battery 17.0% <= 19% -> land,1773.539300003904,False,,,False,False,0/20,-1.0,False,608,26.03393793106079
1788460284.120621,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,0.0,Safety: battery 17.0% <= 19% -> land,1773.539300003904,False,,,False,False,0/20,-1.0,False,633,27.06614851951599
1788460285.1737113,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,0.0,Safety: battery 17.0% <= 19% -> land,1773.539300003904,False,,,False,False,0/20,-1.0,False,658,28.098295211791992
1788460286.1362746,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,0.0,LLM error (ReadTimeout),4025.608600000851,False,,,False,False,0/20,-1.0,False,680,29.03563666343689
1788460295.685547,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,40.0,...,1994.1835999925388,False,,,False,False,0/20,-1.0,False,820,34.908326148986816
1788460295.7344506,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,-20.0,...,1994.1835999925388,False,,,False,False,0/20,-1.0,False,910,38.64151477813721
1788460296.7577887,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,True,False,False,False,17.0,0.0,...,1994.1835999925388,False,407,407,False,False,0/20,-1.0,False,935,39.666483879089355
1788460297.7849746,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,True,False,False,False,17.0,0.0,...,1994.1835999925388,False,407,407,False,False,0/20,-1.0,False,960,40.730502128601074
1788460298.8629189,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,0.0,"The drone's battery reaches the warning limit of 17%, which triggers a landing in ground mode",3133.1535000063013,False,407,407,False,False,0/20,-1.0,False,985,41.771480321884155
1788460299.8636546,land,ground,Safety: battery 17.0% <= 19% -> land,LAND,,False,False,False,False,17.0,0.0,"The drone's battery reaches the warning limit of 17%, which triggers a landing in ground mode",3133.1535000063013,False,407,407,False,False,0/20,-1.0,False,1010,42.80918216705322
