t,bat,h,yaw,vgx,vgy,vgz,tof
1789725587.567409,100.0,0.0,0.0,0.0,0.0,0.0,10.0
1789725588.5693324,100.0,0.0,0.0,0.0,0.0,0.0,10.0
1789725589.5704165,100.0,0.0,0.0,0.0,0.0,0.0,10.0
1789725590.585602,100.0,0.0,26.0,-6.0,0.0,5.0,10.0
1789725591.586119,100.0,0.0,92.0,-1.0,0.0,2.0,10.0
1789725592.6124172,100.0,0.0,116.0,0.0,0.0,0.0,10.0
1789725593.6136427,99.0,0.0,112.0,0.0,0.0,0.0,10.0
1789725594.6224651,99.0,0.0,111.0,0.0,0.0,0.0,10.0
1789725595.6278913,98.0,0.0,110.0,0.0,0.0,0.0,10.0
1789725596.6286938,98.0,0.0,110.0,0.0,0.0,0.0,10.0
1789725597.6293054,97.0,0.0,110.0,0.0,0.0,0.0,10.0
1789725598.629819,97.0,0.0,111.0,0.0,0.0,0.0,10.0
1789725599.630075,96.0,0.0,111.0,0.0,0.0,0.0,10.0
1789725600.6510792,96.0,0.0,112.0,0.0,0.0,0.0,10.0
1789725601.6711214,95.0,0.0,113.0,0.0,0.0,0.0,10.0
1789725602.7181091,95.0,0.0,158.0,0.0,0.0,-3.0,10.0
1789725603.7205846,94.0,0.0,-157.0,0.0,0.0,-4.0,10.0
1789725604.7210739,94.0,0.0,-168.0,0.0,0.0,0.0,10.0
1789725605.7218328,94.0,0.0,-176.0,0.0,0.0,0.0,6553.0
1789725606.7242515,94.0,0.0,-178.0,0.0,0.0,0.0,6553.0
1789725607.7535372,94.0,0.0,-177.0,0.0,0.0,0.0,6553.0
1789725608.7620194,94.0,0.0,-176.0,0.0,0.0,0.0,6553.0
1789725617.611577,94.0,70.0,-176.0,0.0,0.0,0.0,6553.0
1789725618.6128643,94.0,70.0,-176.0,0.0,0.0,0.0,6553.0
1789725619.614908,94.0,80.0,-176.0,0.0,0.0,0.0,6553.0
1789725620.6320264,94.0,80.0,-176.0,0.0,0.0,0.0,6553.0
1789725621.6441627,94.0,80.0,-176.0,0.0,0.0,0.0,6553.0
1789725622.677027,94.0,80.0,-176.0,0.0,0.0,0.0,6553.0
1789725623.688834,94.0,70.0,-176.0,0.0,0.0,0.0,6553.0
1789725624.7430885,94.0,80.0,-176.0,0.0,0.0,0.0,6553.0
1789725625.7448692,94.0,70.0,-176.0,0.0,0.0,-3.0,6553.0
1789725626.826453,94.0,10.0,-176.0,0.0,0.0,-3.0,10.0
1789725627.8633118,94.0,10.0,-173.0,-1.0,0.0,0.0,6553.0
1789725628.8641074,94.0,0.0,-173.0,0.0,0.0,-1.0,6553.0
1789725629.866644,94.0,0.0,-173.0,0.0,0.0,0.0,6553.0
1789725630.8685172,94.0,0.0,-172.0,0.0,0.0,0.0,6553.0
1789725631.8905418,94.0,0.0,-172.0,0.0,0.0,0.0,6553.0
1789725632.8927193,94.0,0.0,-172.0,0.0,0.0,0.0,6553.0
1789725633.9426124,94.0,0.0,-172.0,0.0,0.0,0.0,6553.0
1789725634.9435463,94.0,0.0,-172.0,0.0,0.0,0.0,6553.0
1789725635.981633,94.0,0.0,-171.0,0.0,0.0,0.0,6553.0
1789725636.9860995,94.0,0.0,-171.0,0.0,0.0,0.0,6553.0
1789725638.0226462,94.0,0.0,-171.0,0.0,0.0,0.0,6553.0
1789725639.0243938,94.0,0.0,-171.0,0.0,0.0,0.0,6553.0
1789725640.0265217,94.0,0.0,-171.0,0.0,0.0,0.0,6553.0
1789725641.0284207,94.0,10.0,-171.0,0.0,0.0,7.0,21.0
1789725642.0516267,94.0,60.0,-171.0,0.0,0.0,1.0,6553.0
1789725643.0712492,94.0,70.0,-171.0,0.0,0.0,0.0,6553.0
1789725644.0727232,94.0,70.0,-171.0,0.0,0.0,0.0,6553.0
1789725645.076538,94.0,70.0,-171.0,0.0,0.0,0.0,6553.0
1789725646.1041892,94.0,70.0,-171.0,0.0,0.0,0.0,6553.0
1789725647.1461892,94.0,70.0,-171.0,0.0,0.0,0.0,6553.0
1789725648.1692767,94.0,60.0,-171.0,0.0,0.0,0.0,6553.0
1789725649.18281,94.0,70.0,-171.0,0.0,0.0,0.0,6553.0
1789725650.1912825,94.0,70.0,-171.0,0.0,0.0,0.0,6553.0
1789725651.2073958,94.0,70.0,-171.0,0.0,0.0,0.0,6553.0
1789725652.2237399,94.0,70.0,-171.0,0.0,0.0,0.0,6553.0
1789725653.2426505,94.0,70.0,-170.0,0.0,0.0,0.0,6553.0
1789725654.2940538,94.0,70.0,-171.0,0.0,0.0,0.0,6553.0
1789725655.3329246,94.0,70.0,-171.0,0.0,0.0,0.0,6553.0
1789725656.3543012,94.0,70.0,-171.0,0.0,0.0,0.0,6553.0
1789725657.3866227,94.0,70.0,-171.0,0.0,0.0,0.0,6553.0
1789725658.4068956,93.0,70.0,-171.0,0.0,0.0,0.0,6553.0
1789725659.4366474,93.0,70.0,-171.0,0.0,0.0,0.0,6553.0
1789725660.4776134,93.0,70.0,-170.0,0.0,0.0,0.0,6553.0
1789725661.5030947,93.0,70.0,-170.0,-2.0,0.0,0.0,87.0
1789725662.5499535,93.0,70.0,-170.0,-5.0,0.0,0.0,6553.0
1789725663.5941355,92.0,70.0,-171.0,-3.0,0.0,0.0,123.0
1789725664.6136405,92.0,70.0,-172.0,0.0,0.0,0.0,20.0
1789725665.651953,92.0,80.0,-172.0,0.0,0.0,0.0,30.0
1789725666.7053993,91.0,90.0,-172.0,1.0,0.0,0.0,6553.0
1789725667.787352,91.0,90.0,-172.0,0.0,0.0,0.0,6553.0
1789725668.7914195,91.0,90.0,-172.0,0.0,0.0,0.0,6553.0
1789725669.836203,91.0,90.0,-173.0,0.0,0.0,0.0,118.0
1789725670.8474998,91.0,90.0,-173.0,0.0,0.0,0.0,123.0
1789725671.8649533,90.0,90.0,-173.0,0.0,0.0,0.0,113.0
1789725672.913371,90.0,90.0,-173.0,0.0,0.0,0.0,118.0
1789725673.9885128,90.0,90.0,-173.0,0.0,0.0,0.0,114.0
1789725675.006132,90.0,90.0,-173.0,0.0,0.0,0.0,117.0
1789725676.0447173,90.0,90.0,-173.0,0.0,0.0,0.0,120.0
1789725677.051592,90.0,90.0,-173.0,0.0,0.0,0.0,116.0
1789725678.1072676,90.0,90.0,-174.0,0.0,0.0,0.0,110.0
1789725679.1624734,89.0,90.0,-172.0,0.0,0.0,0.0,116.0
1789725680.240455,89.0,90.0,-155.0,0.0,0.0,0.0,116.0
1789725681.276598,89.0,90.0,-137.0,0.0,0.0,0.0,120.0
1789725682.2775972,89.0,90.0,-122.0,0.0,0.0,0.0,119.0
1789725683.3106327,89.0,90.0,-106.0,0.0,0.0,0.0,116.0
1789725684.3133926,88.0,90.0,-91.0,0.0,0.0,0.0,116.0
1789725685.3169508,88.0,90.0,-91.0,0.0,0.0,0.0,116.0
1789725686.351185,88.0,90.0,-91.0,0.0,0.0,0.0,100.0
1789725687.361229,88.0,90.0,-91.0,0.0,0.0,0.0,120.0
1789725688.3694677,88.0,90.0,-91.0,0.0,0.0,0.0,118.0
1789725689.3780549,88.0,90.0,-91.0,0.0,0.0,0.0,118.0
1789725690.3825028,88.0,90.0,-91.0,0.0,0.0,0.0,116.0
1789725691.3871849,88.0,90.0,-91.0,0.0,0.0,0.0,114.0
1789725692.3881688,88.0,90.0,-91.0,0.0,0.0,0.0,120.0
1789725693.3887908,88.0,90.0,-91.0,0.0,0.0,0.0,121.0
1789725694.41054,87.0,90.0,-87.0,0.0,0.0,0.0,120.0
1789725695.4156234,87.0,90.0,-72.0,0.0,0.0,0.0,116.0
1789725696.416215,87.0,80.0,-60.0,0.0,0.0,0.0,112.0
1789725697.4183693,87.0,90.0,-46.0,0.0,0.0,0.0,113.0
1789725698.4302945,87.0,90.0,-33.0,0.0,0.0,0.0,114.0
1789725699.4326715,87.0,90.0,-20.0,0.0,0.0,0.0,110.0
