t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1789725924.582629,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,81.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,6,5.888646841049194
1789725925.603425,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,True,False,81.0,0.0,,0.0,True,516,516,False,False,0/20,-1.0,False,135,6.9084789752960205
1789725926.0893655,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,81.0,0.0,check battery level and altitude before hovering,1463.7121999985538,True,515,515,False,False,0/20,-1.0,False,146,7.376437664031982
1789725927.0921056,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,81.0,0.0,check battery level and altitude before hovering,1463.7121999985538,True,292,292,False,False,0/20,-1.0,False,170,8.376476764678955
1789725927.4289618,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,81.0,0.0,The drone is hovering within range but may not be in flight,1337.6002999721095,True,265,265,False,False,0/20,-1.0,False,178,8.717271327972412
1789725928.4813678,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,81.0,0.0,The drone is hovering within range but may not be in flight,1337.6002999721095,True,265,265,False,True,19/20,-1.0,False,204,9.773422718048096
1789725928.5836277,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,81.0,0.0,The drone is hovering within range but may not be in flight,1337.6002999721095,True,267,267,True,False,0/20,0.960287868976593,False,205,0.0
1789725929.567908,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,81.0,0.0,The drone is hovering within range but may not be in flight,1337.6002999721095,True,268,268,True,False,0/20,0.9358984231948853,False,229,0.0
1789725929.684623,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,81.0,0.0,"The drone is in the ground and not flying, so it doesn't need battery warnings",2248.7630999821704,True,265,265,True,False,0/20,0.9494068622589111,False,231,0.0
1789725930.6620314,face,ground,Perception: face_detected -> face,FACE,,True,True,False,False,81.0,0.0,"The drone is in the ground and not flying, so it doesn't need battery warnings",2248.7630999821704,True,343,343,True,False,0/20,0.4659799635410309,False,256,0.0
1789725931.7188768,face,ground,Perception: face_detected -> face,HOVER,,True,False,False,False,81.0,0.0,"The drone is in the ground and not flying, so it doesn't need battery warnings",2248.7630999821704,True,397,397,True,False,0/20,0.21748429536819458,False,280,0.482835054397583
1789725932.0398579,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,81.0,-20.0,"The drone is in the ground and not flying, so it doesn't need battery warnings",2248.7630999821704,True,662,662,True,False,0/20,0.2720121145248413,False,289,0.8455946445465088
1789725933.0849,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,81.0,0.0,"The drone is in the ground and not flying, so it doesn't need battery warnings",2248.7630999821704,False,662,662,True,False,0/20,0.21521106362342834,False,314,1.8584203720092773
1789725933.6491048,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,81.0,0.0,LLM error (ReadTimeout),4003.6375999916345,False,662,662,True,False,0/20,0.21521106362342834,False,328,2.4713070392608643
