t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran,rule_infer_ms,rule_infer_ms_ran
1789725924.5836322,6,,,1.9955635070800781,0.12349997996352613,0.013899989426136017,1,,0,,0,0,,0,hover,0.055100012104958296,1,,
1789725924.6624153,17,0.07878303527832031,12.693088003873623,0.9982585906982422,34.20679998816922,0.0048000074457377195,1,,0,,0,0,34.16290000313893,1,hover,0.022899999748915434,1,,
1789725924.6823645,36,0.01994919776916504,50.1273290069676,1.9958019256591797,0.03809999907389283,0.005699985194951296,1,,0,,0,0,,0,hover,0.017000013031065464,1,,
1789725924.749183,43,0.0668184757232666,14.965920565766421,0.9970664978027344,37.34260000055656,0.007499998901039362,1,10.3106000169646,1,,0,0,25.327399984234944,1,hover,0.034900003811344504,1,,
1789725924.7651398,62,0.015956878662109375,62.668897920153,1.9936561584472656,0.6940000166650862,0.005099980626255274,1,,0,,0,0,,0,hover,0.02020000829361379,1,,
1789725924.8366044,67,0.07146453857421875,13.992953987402583,2.240896224975586,56.46289998549037,0.010599993402138352,1,,0,,0,0,55.67159998463467,1,hover,0.036699988413602114,1,,
1789725924.848573,92,0.011968612670898438,83.55187250996016,1.996755599975586,0.7855999865569174,0.005499983672052622,1,,0,,0,0,,0,hover,0.020100007532164454,1,,
1789725924.8964455,97,0.04787254333496094,20.88880035061158,1.9969940185546875,34.618399979081005,0.0046000059228390455,1,6.861500005470589,1,,0,0,27.102099993498996,1,hover,0.0171000137925148,1,,
1789725924.908414,117,0.011968374252319336,83.55353692304628,1.9943714141845703,0.8748999971430749,0.005600013537332416,1,,0,,0,0,,0,hover,0.02069998299703002,1,,
1789725924.9349597,118,0.02654576301574707,37.67079512488661,8.532047271728516,18.865799997001886,0.005099980626255274,1,,0,,0,0,18.349999998463318,1,hover,0.01650000922381878,1,,
1789725924.9489253,119,0.013965606689453125,71.60447965036875,17.60125160217285,0.4955999902449548,0.010300020221620798,1,,0,,0,0,,0,hover,0.014199991710484028,1,,
1789725924.9888196,120,0.03989434242248535,25.066210877970942,3.9870738983154297,20.67410000017844,0.0044000043999403715,1,4.599799984134734,1,,0,0,15.605299995513633,1,hover,0.014999997802078724,1,,
1789725924.9997902,121,0.010970592498779297,91.15277958882079,1.9941329956054688,0.530699995579198,0.0043000036384910345,1,,0,,0,0,,0,hover,0.01479999627918005,1,,
1789725925.0805128,122,0.08072257041931152,12.38810898619213,1.9958019256591797,16.3450000109151,0.0048999791033566,1,,0,,0,0,15.910400019492954,1,hover,0.015500001609325409,1,,
1789725925.0984676,123,0.01795482635498047,55.69533117331492,0.9968280792236328,0.6092000112403184,0.006099988240748644,1,,0,,0,0,,0,hover,0.01780001912266016,1,,
1789725925.1554265,124,0.056958913803100586,17.556514568674316,2.9866695404052734,22.97239998006262,0.0043000036384910345,1,5.334299989044666,1,,0,0,17.134399997303262,1,hover,0.01680001150816679,1,,
1789725925.1696,125,0.014173507690429688,70.55416498452429,6.153583526611328,0.4306999908294529,0.0045000051613897085,1,,0,,0,0,,0,hover,0.015700003132224083,1,,
1789725925.2486942,126,0.07909417152404785,12.643156641396253,1.9969940185546875,16.226200008532032,0.0045000051613897085,1,,0,,0,0,15.753100014990196,1,hover,0.016300007700920105,1,,
1789725925.2677732,127,0.019078969955444336,52.413731052322454,1.9941329956054688,0.6298000225797296,0.0050000089686363935,1,,0,,0,0,,0,hover,0.01829999382607639,1,,
1789725925.3304827,128,0.06270956993103027,15.946529390965809,10.008573532104492,24.00789997773245,0.0044000043999403715,1,5.269200017210096,1,,0,0,18.19129998330027,1,hover,0.015300000086426735,1,,
1789725925.3384624,129,0.007979631423950195,125.3190713794855,8.944511413574219,0.4965999978594482,0.0046000059228390455,1,,0,,0,0,,0,hover,0.016400008462369442,1,,
1789725925.4218285,130,0.08336615562438965,11.995275450934185,2.0279884338378906,18.882500007748604,0.0039000005926936865,1,,0,,0,0,18.365700001595542,1,hover,0.015400000847876072,1,,
1789725925.4324398,131,0.010611295700073242,94.23919832835284,0.5173683166503906,0.443900004029274,0.004199973773211241,1,,0,,0,0,,0,hover,0.014500023098662496,1,,
1789725925.5015821,132,0.06914234161376953,14.462917752858582,11.983871459960938,23.3975000155624,0.005399982910603285,1,5.238800018560141,1,,0,0,17.39120000274852,1,hover,0.018399994587525725,1,,
1789725925.5111046,133,0.009522438049316406,105.01512268402604,7.491111755371094,0.7125000120140612,0.0053000112529844046,1,,0,,0,0,,0,hover,0.017499987734481692,1,,
1789725925.5749953,134,0.06389069557189941,15.65173130529859,0.0,33.7848000053782,0.0037999998312443495,1,,0,,0,0,33.31729999626987,1,hover,0.015099998563528061,1,,
1789725925.603425,135,0.028429746627807617,35.17442533314325,6.018400192260742,0.4957999917678535,0.0049000082071870565,1,,0,,0,0,,0,hover,0.016700010746717453,1,,
1789725925.6561928,136,0.05276775360107422,18.950967811895683,0.0,21.522600000025705,0.0044000043999403715,1,4.65519999852404,1,,0,0,16.35390002047643,1,hover,0.016700010746717453,1,,
1789725925.6674612,137,0.011268377304077148,88.74392230709012,1.8262863159179688,0.5805999971926212,0.0048000074457377195,1,,0,,0,0,,0,hover,0.015199999324977398,1,,
1789725925.754806,138,0.08734488487243652,11.448867343067167,0.0,19.094199989922345,0.004599976819008589,1,,0,,0,0,18.5261000005994,1,hover,0.017700018361210823,1,,
1789725925.773719,139,0.01891303062438965,52.873599152873545,9.012937545776367,0.5494999932125211,0.0046000059228390455,1,,0,,0,0,,0,hover,0.016999983927235007,1,,
1789725925.84181,140,0.06809091567993164,14.686246909949089,5.984306335449219,37.66709999763407,0.0042000028770416975,1,4.777099995408207,1,,0,0,32.41280000656843,1,hover,0.015799974789842963,1,,
1789725925.850787,141,0.008976936340332031,111.39657919898013,16.98756217956543,0.6087999790906906,0.0039000005926936865,1,,0,,0,0,,0,hover,0.015199999324977398,1,,
1789725925.9287012,142,0.07791423797607422,12.834624658808554,11.312007904052734,16.335599997546524,0.0037999998312443495,1,,0,,0,0,15.836000005947426,1,hover,0.016000005416572094,1,,
1789725925.936896,143,0.008194923400878906,122.02676597230304,1.2154579162597656,0.5575999966822565,0.0049000082071870565,1,,0,,0,0,,0,hover,0.014899997040629387,1,,
1789725925.99394,144,0.057044029235839844,17.530318481986125,2.0296573638916016,24.31310000247322,0.005699985194951296,1,5.416199972387403,1,,0,0,18.162600026698783,1,hover,0.020700012100860476,1,,
1789725926.0024366,145,0.008496522903442383,117.69520442237001,1.9948482513427734,0.5358999769669026,0.0050000089686363935,1,,0,,0,0,,0,hover,0.015099998563528061,1,,
1789725926.0893655,146,0.0869288444519043,11.503661486645859,1.842498779296875,19.32759999181144,0.0037999998312443495,1,,0,,0,0,18.83109999471344,1,hover,0.015799974789842963,1,,
1789725926.1013203,147,0.011954784393310547,83.64851820828846,0.5474090576171875,0.662000005831942,0.0043000036384910345,1,,0,,0,0,,0,hover,0.016099977074190974,1,,
1789725926.1601877,148,0.058867454528808594,16.98731511332156,0.9992122650146484,28.143500006990507,0.0051000097300857306,1,5.461599997943267,1,,0,0,22.211200004676357,1,hover,0.01729998621158302,1,,
1789725926.1741529,149,0.013965129852294922,71.60692457404309,7.012128829956055,0.4239999980200082,0.0044000043999403715,1,,0,,0,0,,0,hover,0.015099998563528061,1,,
1789725926.2533562,150,0.07920336723327637,12.62572583631093,2.9914379119873047,17.528500000480562,0.0041000021155923605,1,,0,,0,0,17.113599984440953,1,hover,0.015500001609325409,1,,
1789725926.26685,151,0.013493776321411133,74.10823895259466,2.027273178100586,0.5651999963447452,0.0053000112529844046,1,,0,,0,0,,0,hover,0.018099992303177714,1,,
1789725926.3253572,152,0.05850720405578613,17.09191228906629,1.997232437133789,23.307600000407547,0.0039000005926936865,1,4.796499997610226,1,,0,0,17.99679998657666,1,hover,0.015900004655122757,1,,
1789725926.3343024,153,0.008945226669311523,111.79146565740025,0.9973049163818359,0.468299986096099,0.0049000082071870565,1,,0,,0,0,,0,hover,0.01580000389367342,1,,
1789725926.4227457,154,0.08844327926635742,11.306681618943385,4.020214080810547,18.393200007267296,0.0039000005926936865,1,,0,,0,0,18.191399984061718,1,hover,0.01719998545013368,1,,
1789725926.4337542,155,0.011008501052856445,90.83888852792758,0.9968280792236328,0.215300009585917,0.0041000021155923605,1,,0,,0,0,,0,hover,0.01650000922381878,1,,
1789725926.4903724,156,0.05661821365356445,17.662160910247017,2.992868423461914,23.388999979943037,0.0044000043999403715,1,4.927600006340072,1,,0,0,18.313199980184436,1,hover,0.015600002370774746,1,,
1789725926.4993453,157,0.008972883224487305,111.4468978344626,0.9937286376953125,0.18820000695995986,0.006099988240748644,1,,0,,0,0,,0,hover,0.01610000617802143,1,,
1789725926.5638921,158,0.06454682350158691,15.492629160525839,4.953861236572266,18.71430000755936,0.0043000036384910345,1,,0,,0,0,18.527899985201657,1,hover,0.018399994587525725,1,,
1789725926.6028388,159,0.03894662857055664,25.676163424219794,0.9970664978027344,0.18470000941306353,0.004699977580457926,1,,0,,0,0,,0,hover,0.016900012269616127,1,,
1789725926.6614285,160,0.05858969688415527,17.06784730389065,5.986452102661133,22.969599987845868,0.0048000074457377195,1,4.931800009217113,1,,0,0,17.85780000500381,1,hover,0.017399986973032355,1,,
1789725926.6704,161,0.008971452713012695,111.46466820803104,3.0269622802734375,0.142700009746477,0.0048999791033566,1,,0,,0,0,,0,hover,0.015300000086426735,1,,
1789725926.7537532,162,0.08335328102111816,11.997128220383342,1.0313987731933594,18.736700003501028,0.0040000013541430235,1,,0,,0,0,18.592300009913743,1,hover,0.015600002370774746,1,,
1789725926.7661695,163,0.012416362762451172,80.53888398171974,1.0962486267089844,0.17380001372657716,0.0053000112529844046,1,,0,,0,0,,0,hover,0.018799997633323073,1,,
1789725926.8321729,164,0.06600332260131836,15.150752425606312,8.973836898803711,22.72629999788478,0.0048000074457377195,1,4.784499993547797,1,,0,0,17.78939997893758,1,hover,0.01960000372491777,1,,
1789725926.8561337,165,0.02396082878112793,41.7347834306809,21.487951278686523,0.1412999990861863,0.0045000051613897085,1,,0,,0,0,,0,hover,0.018099992303177714,1,,
1789725926.919585,166,0.06345129013061523,15.760120841380658,1.9958019256591797,18.048400001134723,0.0044000043999403715,1,,0,,0,0,17.918099998496473,1,hover,0.018699996871873736,1,,
1789725926.9345126,167,0.01492762565612793,66.98988995543914,2.9909610748291016,0.12290000449866056,0.0042000028770416975,1,,0,,0,0,,0,hover,0.016300007700920105,1,,
1789725926.9888813,168,0.05436873435974121,18.39292401738299,0.9977817535400391,23.50400001159869,0.0040000013541430235,1,4.9860000144690275,1,,0,0,18.384900002274662,1,hover,0.020499981474131346,1,,
1789725927.0024822,169,0.013600826263427734,73.52494478140449,2.1691322326660156,0.33510001958347857,0.005099980626255274,1,,0,,0,0,,0,hover,0.02440001117065549,1,,
1789725927.0921056,170,0.08962345123291016,11.157793928301606,1.9948482513427734,21.65940002305433,0.0047000066842883825,1,,0,,0,0,21.524100011447445,1,hover,0.016699981642886996,1,,
1789725927.1023827,171,0.010277032852172852,97.30434984340563,2.99072265625,0.22759998682886362,0.005600013537332416,1,,0,,0,0,,0,hover,0.018099992303177714,1,,
1789725927.158568,172,0.056185245513916016,17.79826698011525,3.0007362365722656,24.251900002127513,0.0052000104915350676,1,5.0749999936670065,1,,0,0,19.06260001123883,1,hover,0.016000005416572094,1,,
1789725927.1689181,173,0.010350227355957031,96.61623514235696,3.9877891540527344,0.1432000135537237,0.005699985194951296,1,,0,,0,0,,0,hover,0.019099999917671084,1,,
1789725927.2589436,174,0.09002542495727539,11.107973113979565,8.686542510986328,18.08310000342317,0.004999979864805937,1,,0,,0,0,17.956199997570366,1,hover,0.018400023691356182,1,,
1789725927.2689168,175,0.009973287582397461,100.26783964045804,1.9943714141845703,0.1281999866478145,0.0052000104915350676,1,,0,,0,0,,0,hover,0.01719998545013368,1,,
1789725927.3209457,176,0.05202889442443848,19.2200893573147,1.0304450988769531,23.804099997505546,0.0044000043999403715,1,5.275599978631362,1,,0,0,18.418399995425716,1,hover,0.017699989257380366,1,,
1789725927.3348763,177,0.013930559158325195,71.78462749661983,1.9917488098144531,0.21379999816417694,0.006599992047995329,1,,0,,0,0,,0,hover,0.022599997464567423,1,,
1789725927.4289618,178,0.0940854549407959,10.628635431791862,11.408329010009766,18.164100009016693,0.0042000028770416975,1,,0,,0,0,18.059699999867007,1,hover,0.01659998088143766,1,,
1789725927.4410555,179,0.012093782424926758,82.68711680630852,7.7304840087890625,0.11270001414231956,0.0051000097300857306,1,,0,,0,0,,0,hover,0.016499980119988322,1,,
1789725927.4974627,180,0.05640721321105957,17.728229123078417,4.98509407043457,24.691300000995398,0.005500012775883079,1,4.621599975507706,1,,0,0,19.84000002266839,1,hover,0.0185999961104244,1,,
1789725927.5074358,181,0.00997304916381836,100.2702366722448,7.9784393310546875,0.09769998723641038,0.0040000013541430235,1,,0,,0,0,,0,hover,0.013800017768517137,1,,
1789725927.5613093,182,0.053873538970947266,18.561988298917516,1.0294914245605469,18.692599987844005,0.004699977580457926,1,,0,,0,0,18.54839999577962,1,hover,0.03029999788850546,1,,
1789725927.6030176,183,0.04170823097229004,23.976082818386047,0.9973049163818359,0.1433999859727919,0.0047000066842883825,1,,0,,0,0,,0,hover,0.01789999078027904,1,,
1789725927.6686044,184,0.06558680534362793,15.246969184742504,11.209964752197266,24.722699978156015,0.0046000059228390455,1,5.71149997995235,1,,0,0,18.8890999997966,1,hover,0.018699996871873736,1,,
1789725927.6865575,185,0.017953157424926758,55.70050862538346,10.970830917358398,8.925400004955009,0.0048000074457377195,1,,0,8.89110000571236,1,0,,0,hover,0.01829999382607639,1,,
1789725927.7685838,186,0.08202624320983887,12.191220283511072,1.995086669921875,31.794600014109164,0.01209997572004795,1,,0,9.365500009153038,1,0,22.36319999792613,1,hover,0.04270000499673188,1,,
1789725927.7875333,187,0.018949508666992188,52.771816809260194,13.962030410766602,8.718400000361726,0.005599984433501959,1,,0,8.67929999367334,1,0,,0,hover,0.021400017431005836,1,,
1789725927.8423164,188,0.05478310585021973,18.25380259991209,1.9421577453613281,39.33520001010038,0.0053000112529844046,1,7.398699992336333,1,8.240900002419949,1,0,23.668100009672344,1,hover,0.020599982235580683,1,,
1789725927.860269,189,0.017952680587768555,55.70198807421081,21.9419002532959,7.763000001432374,0.005999987479299307,1,,0,7.726099982392043,1,0,,0,hover,0.021800020476803184,1,,
1789725927.935153,190,0.07488393783569336,13.353998586374432,1.9955635070800781,33.64290000172332,0.005999987479299307,1,,0,9.260400023777038,1,0,24.344799981918186,1,hover,0.022599997464567423,1,,
1789725927.9553232,191,0.020170211791992188,49.57806146572104,14.960050582885742,10.888900025747716,0.006199989002197981,1,,0,10.849099984625354,1,0,,0,hover,0.021700019715353847,1,,
1789725928.024715,192,0.06939172744750977,14.410939701082288,1.9953250885009766,55.91819999972358,0.008799979696050286,1,5.915599991567433,1,9.715599997434765,1,0,40.24279999430291,1,hover,0.03220001235604286,1,,
1789725928.0432613,193,0.018546342849731445,53.91898597488077,35.86864471435547,8.793500019237399,0.010799994925037026,1,,0,8.712900016689673,1,0,,0,hover,0.05859998054802418,1,,
1789725928.1016386,194,0.05837726593017578,17.12995605508634,0.9970664978027344,34.539699991000816,0.006200018106028438,1,,0,9.518199978629127,1,0,24.982100003398955,1,hover,0.023800006601959467,1,,
1789725928.119149,195,0.017510414123535156,57.10887206579162,13.586997985839844,8.162899990566075,0.0050000089686363935,1,,0,8.129800000460818,1,0,,0,hover,0.019700004486367106,1,,
1789725928.1762815,196,0.05713248252868652,17.50317780253807,1.9946098327636719,42.5186000065878,0.007199996616691351,1,6.17229999625124,1,9.124600008362904,1,0,27.18750000349246,1,hover,0.024999986635521054,1,,
1789725928.1962276,197,0.01994609832763672,50.1351183361224,26.705026626586914,9.085800003958866,0.005500012775883079,1,,0,9.04969999101013,1,0,,0,hover,0.02069998299703002,1,,
1789725928.274677,198,0.07844948768615723,12.747055838026265,2.9909610748291016,36.49070000392385,0.005600013537332416,1,,0,9.661999996751547,1,0,26.79340000031516,1,hover,0.02099998528137803,1,,
1789725928.2921667,199,0.01748967170715332,57.1766020965961,21.479129791259766,8.77270000637509,0.008600007276982069,1,,0,8.722900005523115,1,0,,0,hover,0.03170000854879618,1,,
1789725928.3557384,200,0.06357169151306152,15.730272015721631,5.984306335449219,52.86540000815876,0.009399984264746308,1,5.964200012385845,1,8.365499990759417,1,0,38.49079998326488,1,hover,0.03260001540184021,1,,
1789725928.3853157,201,0.029577255249023438,33.80976333268846,36.67855262756348,14.276000001700595,0.008499977411702275,1,,0,14.222900004824623,1,0,,0,hover,0.03090000245720148,1,,
1789725928.452445,202,0.06712937355041504,14.896608550189834,1.9962787628173828,48.03369997534901,0.008600007276982069,1,,0,14.355500024976209,1,0,33.62549998564646,1,hover,0.03199998172931373,1,,
1789725928.4813678,204,0.02892279624938965,34.57480360396007,2.9921531677246094,13.72109999647364,0.007599999662488699,1,,0,13.667399995028973,1,0,,0,hover,0.030800001695752144,1,,
1789725928.5836277,205,0.10225987434387207,9.779006735694518,2.9921531677246094,82.35150002292357,11.231600015889853,1,9.227300004567951,1,28.65700001711957,1,0,33.198999997694045,1,face,0.032199983252212405,1,,
1789725928.6150534,206,0.03142571449279785,31.821074433460538,55.92942237854004,17.365100007737055,2.127200015820563,1,,0,15.185399999609217,1,0,,0,face,0.03269998705945909,1,,
1789725928.6868463,207,0.0717928409576416,13.928965432500556,28.922557830810547,57.216100016376004,10.639600019203499,1,,0,14.071500016143546,1,0,32.461399998283014,1,face,0.028099981136620045,1,,
1789725928.7170992,209,0.030252933502197266,33.05464575616676,38.211822509765625,16.41929999459535,1.9903999927919358,1,,0,14.380999986315146,1,0,,0,face,0.028700014809146523,1,,
1789725928.8006597,210,0.08356046676635742,11.967381690148882,2.9935836791992188,65.35910000093281,10.983599990140647,1,8.57840001117438,1,13.359100004890934,1,0,32.409300009021536,1,face,0.024999986635521054,1,,
1789725928.8294985,212,0.0288388729095459,34.67541894360899,15.955448150634766,15.878499980317429,2.1795000066049397,1,,0,13.658600015332922,1,0,,0,face,0.026900001103058457,1,,
1789725928.906005,213,0.07650637626647949,13.070805974614434,11.96742057800293,62.06749999546446,13.226600014604628,1,,0,14.83229998848401,1,0,33.97019999101758,1,face,0.0261999957729131,1,,
1789725928.9376206,214,0.0316157341003418,31.629820671764474,19.94609832763672,18.106000003172085,2.6405999960843474,1,,0,15.415400004712865,1,0,,0,face,0.035500008380040526,1,,
1789725929.0239732,215,0.08635258674621582,11.580429002537349,14.959096908569336,72.61040000594221,12.362200010102242,1,9.351000015158206,1,16.76559998304583,1,0,34.09169998485595,1,face,0.03480000304989517,1,,
1789725929.0612323,217,0.03725910186767578,26.839079577158362,42.24681854248047,18.41309998417273,2.5840000016614795,1,,0,15.77309999265708,1,0,,0,face,0.03580001066438854,1,,
1789725929.1362445,218,0.07501220703125,13.331163547599674,10.970592498779297,61.04659999255091,10.734699986642227,1,,0,14.7745999856852,1,0,35.49879998899996,1,face,0.02570002106949687,1,,
1789725929.1641736,220,0.027929067611694336,35.804990481718924,16.130447387695312,15.871799987507984,2.578500017989427,1,,0,13.249399984488264,1,0,,0,face,0.027400004910305142,1,,
1789725929.2452939,221,0.08112025260925293,12.327377785876564,12.964010238647461,67.51700001768768,10.214900015853345,1,8.63029999891296,1,14.317900000605732,1,0,34.320800012210384,1,face,0.02889998722821474,1,,
1789725929.2772095,222,0.03191566467285156,31.332576346142353,27.75287628173828,17.717899987474084,2.2028999810572714,1,,0,15.467299992451444,1,0,,0,face,0.0315000070258975,1,,
1789725929.350037,223,0.07282757759094238,13.731062230530247,25.929689407348633,59.04160000500269,9.621400007745251,1,,0,14.357999985804781,1,0,35.01970000797883,1,face,0.02850001328624785,1,,
1789725929.3779626,225,0.027925491333007812,35.809575848644215,33.953189849853516,15.436500019859523,1.8942000169772655,1,,0,13.499799999408424,1,0,,0,face,0.029099988751113415,1,,
1789725929.465667,226,0.08770442008972168,11.401933893149277,1.9946098327636719,65.74590000673197,11.41420000931248,1,7.863100006943569,1,14.174999989336357,1,0,32.255199999781325,1,face,0.0337999954354018,1,,
1789725929.4965844,228,0.03091740608215332,32.34423991918382,14.96434211730957,16.312200023094192,2.383200015174225,1,,0,13.880899990908802,1,0,,0,face,0.03130000550299883,1,,
1789725929.567908,229,0.07132363319396973,14.020598155458913,12.964963912963867,57.393499999307096,10.686499997973442,1,,0,14.233599998988211,1,0,32.42949998821132,1,face,0.028799986466765404,1,,
