t,event,latency_ms
1789725926.0893655,llm_explanation,1463.7121999985538
1789725927.4289618,llm_explanation,1337.6002999721095
1789725929.684623,llm_explanation,2248.7630999821704
1789725933.6491048,llm_explanation,4003.6375999916345
1789725935.2881546,llm_explanation,1606.378999975277
1789725944.5807586,llm_explanation,1338.8582000043243
1789725947.4002748,llm_explanation,2806.552299996838
1789725951.014048,llm_explanation,3521.259800007101
1789725952.0269103,llm_explanation,1089.17790002306
1789725952.9274552,llm_explanation,891.4481999818236
1789725954.163303,llm_explanation,1263.2489999814425
1789725956.5285578,llm_explanation,2369.4291000138037
1789725960.5500684,llm_explanation,4022.785799985286
1789725962.4966886,llm_explanation,1895.9624000126496
1789725963.839983,llm_explanation,1379.2316000035498
1789725964.0533576,rc_send,
1789725964.1754103,rc_send,
1789725964.2779624,rc_send,
1789725964.3811245,rc_send,
1789725964.5138283,rc_send,
1789725964.6153052,rc_send,
1789725964.7205656,rc_send,
1789725964.8516676,rc_send,
1789725964.9529076,rc_send,
1789725965.0548332,rc_send,
1789725965.172223,rc_send,
1789725965.2836554,rc_send,
1789725965.3851979,rc_send,
1789725965.53032,rc_send,
1789725965.596651,llm_explanation,1729.220700013684
1789725965.6340928,rc_send,
1789725965.7350967,rc_send,
1789725965.883464,rc_send,
1789725966.001945,rc_send,
1789725966.1203969,rc_send,
1789725966.242769,rc_send,
1789725966.3570092,rc_send,
1789725966.5093408,rc_send,
1789725966.6183715,rc_send,
1789725966.7380311,rc_send,
1789725966.8986409,rc_send,
1789725967.0146954,rc_send,
1789725967.1979747,rc_send,
1789725967.322687,rc_send,
1789725967.49006,rc_send,
1789725967.5909224,rc_send,
1789725967.7377534,rc_send,
1789725967.8531256,rc_send,
1789725968.0068557,rc_send,
1789725968.127166,rc_send,
1789725968.2511861,rc_send,
1789725968.3995526,rc_send,
1789725968.5273833,rc_send,
1789725968.676561,rc_send,
1789725968.8007762,rc_send,
1789725968.9078238,rc_send,
1789725969.03238,rc_send,
1789725969.1526277,rc_send,
1789725969.3145978,rc_send,
1789725969.4483566,rc_send,
1789725969.6057272,llm_explanation,4011.0812000057194
1789725969.6206865,rc_send,
1789725969.7405035,rc_send,
1789725969.896801,rc_send,
1789725970.005834,rc_send,
1789725970.1115267,rc_send,
1789725970.2136877,rc_send,
1789725970.3602834,rc_send,
1789725970.4767232,rc_send,
1789725970.6035316,rc_send,
1789725970.711783,rc_send,
1789725970.863745,rc_send,
1789725970.9750314,rc_send,
1789725971.1126628,rc_send,
1789725971.2138028,rc_send,
1789725971.3630087,rc_send,
1789725971.471216,rc_send,
1789725971.5918884,rc_send,
1789725971.7009926,llm_explanation,2137.133600015659
1789725971.7134402,rc_send,
1789725971.862394,rc_send,
1789725971.976849,rc_send,
1789725972.1187558,rc_send,
1789725972.230747,rc_send,
1789725972.3340569,rc_send,
1789725972.4868891,rc_send,
1789725972.6024866,rc_send,
1789725972.7604914,rc_send,
1789725972.8769019,rc_send,
1789725972.9878695,rc_send,
1789725973.1289773,rc_send,
1789725973.2508101,rc_send,
1789725973.4089463,rc_send,
1789725973.5168056,rc_send,
1789725973.6268063,rc_send,
1789725973.7477734,rc_send,
1789725973.8532228,rc_send,
1789725973.9607253,rc_send,
1789725974.061497,rc_send,
1789725974.192228,rc_send,
1789725974.3131251,rc_send,
1789725974.4701257,rc_send,
1789725974.5735629,rc_send,
1789725974.686657,rc_send,
1789725974.831919,rc_send,
1789725974.954032,rc_send,
1789725975.0567598,rc_send,
1789725975.1969848,rc_send,
1789725975.3097055,rc_send,
1789725975.4106843,rc_send,
1789725975.6059484,rc_send,
1789725975.7100322,rc_send,
1789725975.7580876,llm_explanation,4016.339199995855
1789725975.8526492,rc_send,
1789725975.9699018,rc_send,
1789725976.1003175,rc_send,
1789725976.207227,rc_send,
1789725976.3565326,rc_send,
1789725976.458438,rc_send,
1789725976.56057,rc_send,
1789725976.6710327,rc_send,
1789725976.822048,rc_send,
1789725976.9246914,rc_send,
1789725977.0593333,rc_send,
1789725977.177473,rc_send,
1789725977.332638,rc_send,
1789725977.4336133,rc_send,
1789725977.5493364,rc_send,
1789725977.6711612,rc_send,
1789725977.8322194,rc_send,
1789725977.933095,rc_send,
1789725978.03584,rc_send,
1789725978.1832767,rc_send,
1789725978.2863774,rc_send,
1789725978.3875725,llm_explanation,2655.99589998601
1789725978.4071574,rc_send,
1789725978.5132246,rc_send,
1789725978.6200485,rc_send,
1789725978.767849,rc_send,
1789725978.883491,rc_send,
1789725979.021588,rc_send,
1789725979.1311483,rc_send,
1789725979.273519,rc_send,
1789725979.3802774,rc_send,
1789725979.5177178,rc_send,
1789725979.6386795,rc_send,
1789725979.739659,rc_send,
1789725979.8925064,rc_send,
1789725980.001063,rc_send,
1789725980.146442,rc_send,
1789725980.2481194,rc_send,
1789725980.4002,rc_send,
1789725980.5076382,rc_send,
1789725980.651977,rc_send,
1789725980.7533567,rc_send,
1789725980.8912938,rc_send,
1789725981.0057213,rc_send,
1789725981.145495,rc_send,
1789725981.2466273,rc_send,
1789725981.3957279,rc_send,
1789725981.5080807,rc_send,
1789725981.6152425,rc_send,
1789725981.7532854,rc_send,
1789725981.8728237,rc_send,
1789725982.0080173,rc_send,
1789725982.1139414,rc_send,
1789725982.248506,rc_send,
1789725982.3683443,rc_send,
1789725982.4101746,llm_explanation,4007.3836999945343
1789725982.5396976,rc_send,
1789725982.6421015,rc_send,
1789725982.7436502,rc_send,
1789725982.8833973,rc_send,
1789725983.0008316,rc_send,
1789725983.11469,rc_send,
1789725983.2387638,rc_send,
1789725983.34765,rc_send,
1789725983.4494343,rc_send,
1789725983.5514274,rc_send,
1789725983.6608205,rc_send,
1789725983.7976322,rc_send,
1789725983.902678,rc_send,
1789725984.0404916,rc_send,
1789725984.1494744,rc_send,
1789725984.2679577,rc_send,
1789725984.3791447,rc_send,
1789725984.481348,rc_send,
1789725984.6148155,rc_send,
1789725984.727926,rc_send,
1789725984.8760269,rc_send,
1789725984.9816654,rc_send,
1789725985.1012347,rc_send,
1789725985.2123082,rc_send,
1789725985.318797,rc_send,
1789725985.4456015,rc_send,
1789725985.5471718,rc_send,
1789725985.6546485,rc_send,
1789725985.7842386,rc_send,
1789725985.9034524,rc_send,
1789725986.049625,rc_send,
1789725986.1032264,llm_explanation,3706.207599985646
1789725986.1575701,rc_send,
1789725986.2789724,rc_send,
1789725986.3791473,rc_send,
1789725986.4916189,rc_send,
1789725986.6258757,rc_send,
1789725986.742294,rc_send,
1789725986.8810496,rc_send,
1789725986.9880633,rc_send,
1789725987.10925,rc_send,
1789725987.2203147,rc_send,
1789725987.3209746,rc_send,
1789725987.4578416,rc_send,
1789725987.5762036,rc_send,
1789725987.7129796,rc_send,
1789725987.8204117,rc_send,
1789725987.9487865,rc_send,
1789725988.0499763,rc_send,
1789725988.1569355,rc_send,
1789725988.2816887,rc_send,
1789725988.404206,rc_send,
1789725988.553073,rc_send,
1789725988.6550202,rc_send,
1789725988.7804832,rc_send,
1789725988.8857088,rc_send,
1789725988.993375,rc_send,
1789725989.1198747,rc_send,
1789725989.2356787,rc_send,
1789725989.379474,rc_send,
1789725989.4846356,rc_send,
1789725989.6108549,rc_send,
1789725989.7143095,rc_send,
1789725989.8182397,rc_send,
1789725989.9526308,rc_send,
1789725990.0663838,rc_send,
1789725990.096625,llm_explanation,4004.413699993165
1789725990.1678848,rc_send,
1789725990.2830067,rc_send,
1789725990.3974466,rc_send,
1789725990.4992096,rc_send,
1789725990.6187801,rc_send,
1789725990.7409484,rc_send,
1789725990.891249,rc_send,
1789725990.9939275,rc_send,
1789725991.1111507,rc_send,
1789725991.232268,rc_send,
1789725991.379864,rc_send,
1789725991.4867804,rc_send,
1789725991.6193116,rc_send,
1789725991.7160082,llm_explanation,1623.4379999805242
1789725991.7259815,rc_send,
1789725991.827665,rc_send,
1789725991.9476824,rc_send,
1789725992.0531394,rc_send,
1789725992.1550622,rc_send,
1789725992.2908828,rc_send,
1789725992.399759,rc_send,
1789725992.500027,rc_send,
1789725992.608277,rc_send,
1789725992.717328,rc_send,
1789725992.8197048,rc_send,
1789725992.948806,rc_send,
1789725993.0505104,rc_send,
1789725993.1516309,rc_send,
1789725993.277371,rc_send,
1789725993.3854785,rc_send,
1789725993.4855714,rc_send,
1789725993.6073308,rc_send,
1789725993.7130787,rc_send,
1789725993.8153565,rc_send,
1789725993.9515,rc_send,
1789725994.0680878,rc_send,
1789725994.1683824,rc_send,
1789725994.3098054,rc_send,
1789725994.4148474,rc_send,
1789725994.5204842,rc_send,
1789725994.6262388,rc_send,
1789725994.7375884,rc_send,
1789725994.8455882,rc_send,
1789725994.9577432,rc_send,
1789725995.0632343,rc_send,
1789725995.1724565,rc_send,
1789725995.2955244,rc_send,
1789725995.3996124,rc_send,
1789725995.4997861,rc_send,
1789725995.6401405,rc_send,
1789725995.7423785,llm_explanation,4002.1187999809626
1789725995.7552185,rc_send,
1789725995.8552942,rc_send,
1789725995.9671843,rc_send,
1789725996.0730655,rc_send,
1789725996.1806545,rc_send,
1789725996.2973144,rc_send,
1789725996.4052906,rc_send,
1789725996.5099983,rc_send,
1789725996.6344068,rc_send,
1789725996.7560105,rc_send,
1789725996.8644896,rc_send,
1789725996.9659543,rc_send,
1789725997.0755844,rc_send,
1789725997.2207062,rc_send,
1789725997.3326254,rc_send,
1789725997.477292,rc_send,
1789725997.5794013,rc_send,
1789725997.714787,rc_send,
1789725997.8200228,rc_send,
1789725997.9751408,rc_send,
1789725998.085087,rc_send,
1789725998.2322402,rc_send,
1789725998.3326836,rc_send,
1789725998.4330091,rc_send,
1789725998.5914254,rc_send,
1789725998.7176874,rc_send,
1789725998.8197107,rc_send,
1789725998.92826,rc_send,
1789725999.0284848,rc_send,
1789725999.1744285,rc_send,
1789725999.2938547,rc_send,
1789725999.415452,rc_send,
1789725999.5573976,rc_send,
1789725999.671089,rc_send,
1789725999.8331249,rc_send,
1789725999.9574015,rc_send,
1789726000.0697534,rc_send,
1789726000.1912334,rc_send,
1789726000.334768,rc_send,
1789726000.4634373,rc_send,
1789726000.5641177,rc_send,
1789726000.6812987,rc_send,
1789726000.7826805,rc_send,
1789726000.9327562,rc_send,
1789726001.0539207,rc_send,
1789726001.1958725,rc_send,
1789726001.315107,rc_send,
1789726001.456971,rc_send,
1789726001.5610044,rc_send,
1789726001.7082675,rc_send,
1789726001.822629,rc_send,
1789726001.9258819,rc_send,
1789726002.0542598,rc_send,
1789726002.2092881,rc_send,
1789726002.320256,rc_send,
1789726002.4585145,rc_send,
1789726002.5776036,rc_send,
1789726002.6795337,rc_send,
1789726002.787294,rc_send,
1789726002.9355276,rc_send,
1789726003.0447958,llm_explanation,3292.0452999824192
1789726003.0624163,rc_send,
1789726003.1654122,rc_send,
1789726003.2854855,rc_send,
1789726003.4430478,rc_send,
1789726003.5636683,rc_send,
1789726003.6746964,rc_send,
1789726003.7760267,rc_send,
1789726003.888127,rc_send,
1789726003.9968443,rc_send,
1789726004.1003332,rc_send,
1789726004.211121,rc_send,
1789726004.3126142,rc_send,
1789726004.4395187,rc_send,
1789726004.5413487,rc_send,
1789726004.6493726,rc_send,
1789726004.7613535,rc_send,
1789726004.8801122,rc_send,
1789726004.9857035,rc_send,
1789726005.1134045,rc_send,
1789726005.2293916,rc_send,
1789726005.344777,rc_send,
1789726005.449228,rc_send,
1789726005.5585117,rc_send,
1789726005.6871805,rc_send,
1789726005.8018396,rc_send,
1789726005.9123995,rc_send,
1789726006.023103,rc_send,
1789726006.131197,rc_send,
1789726006.2386632,rc_send,
1789726006.3443034,rc_send,
1789726006.4747024,rc_send,
1789726006.651605,rc_send,
1789726006.7701724,rc_send,
1789726006.8851268,rc_send,
1789726006.9861734,rc_send,
1789726007.1021626,llm_explanation,4011.1338999995496
1789726007.1182003,rc_send,
1789726007.24296,rc_send,
1789726007.3448427,rc_send,
1789726007.475737,rc_send,
1789726007.6395037,rc_send,
1789726007.770329,rc_send,
1789726007.8759177,rc_send,
1789726007.9823935,rc_send,
1789726008.1031966,rc_send,
1789726008.2125077,rc_send,
1789726008.3395293,rc_send,
1789726008.4460166,rc_send,
1789726008.5524874,rc_send,
1789726008.6584182,rc_send,
1789726008.76066,rc_send,
1789726008.8654342,rc_send,
1789726008.9852474,rc_send,
1789726009.0865629,rc_send,
1789726009.1875184,rc_send,
1789726009.307102,rc_send,
1789726009.4169323,rc_send,
1789726009.540115,rc_send,
1789726009.6469235,rc_send,
1789726009.7487557,rc_send,
1789726009.873864,rc_send,
1789726009.9763215,rc_send,
1789726010.0807457,rc_send,
1789726010.2070854,rc_send,
1789726010.313821,rc_send,
1789726010.4147859,rc_send,
1789726010.537897,rc_send,
1789726010.6465425,rc_send,
1789726010.7478714,rc_send,
1789726010.8788419,rc_send,
1789726010.9897168,rc_send,
1789726011.09153,rc_send,
1789726011.2209628,rc_send,
1789726011.3216107,rc_send,
1789726011.4249873,rc_send,
1789726011.5303369,rc_send,
1789726011.6404414,rc_send,
1789726011.7482576,rc_send,
1789726011.8773458,rc_send,
1789726011.988635,rc_send,
1789726012.0905502,rc_send,
1789726012.1993432,rc_send,
1789726012.3264785,rc_send,
1789726012.4278266,rc_send,
1789726012.531381,rc_send,
1789726012.636901,rc_send,
1789726012.7435892,rc_send,
1789726012.8709831,rc_send,
1789726012.9717345,rc_send,
1789726013.0768359,rc_send,
1789726013.2005694,rc_send,
1789726013.2973535,llm_explanation,2203.8707000028808
1789726013.3093197,rc_send,
1789726013.4154227,rc_send,
1789726013.5314796,rc_send,
