run_id,scenario,trial,t_start,t_end,duration_s,mode_at_start,mode_at_end,battery_at_start,success
20260918-120517_home_f4_s67,search_starts_after_loss,1,1789725985.0627723,1789725993.9515,8.88872766494751,hover,search_360,80.0,True
20260918-120517_home_f4_s67,target_reacquired_after_search,1,1789726038.2304437,1789726043.5280442,5.297600507736206,search_360,face,71.0,True
20260918-120517_home_f4_s67,target_reacquired_after_search,2,1789726049.156714,1789726050.5989819,1.442267894744873,face,gesture,70.0,True
20260918-120517_home_f4_s67,target_reacquired_after_search,3,1789726088.2780142,1789726091.6121356,3.3341214656829834,search_360,gesture,65.0,True
20260918-120517_home_f4_s67,target_reacquired_after_search,4,1789726109.025098,1789726110.851257,1.8261590003967285,search_360,gesture,62.0,True
20260918-120517_home_f4_s67,target_reacquired_after_search,5,1789726130.523382,1789726132.6261058,2.1027238368988037,search_360,gesture,59.0,True
20260918-120517_home_f4_s67,target_reacquired_after_search,6,1789726154.6698208,1789726156.3265421,1.6567213535308838,search_360,gesture,55.0,True
20260918-120517_home_f4_s67,target_reacquired_after_search,7,1789726177.8361986,1789726179.4959872,1.6597886085510254,search_360,gesture,52.0,True
20260918-120517_home_f4_s67,search_starts_after_loss,2,1789726193.2999728,1789726198.6240425,5.3240697383880615,hover,search_360,49.0,True
20260918-120517_home_f4_s67,target_reacquired_after_search,8,1789726199.0501847,1789726201.1231577,2.0729730129241943,search_360,gesture,49.0,True
20260918-120517_home_f4_s67,search_starts_after_loss,3,1789726214.2359145,1789726223.5165458,9.280631303787231,hover,search_360,47.0,True
20260918-120517_home_f4_s67,target_reacquired_after_search,9,1789726223.9003992,1789726225.2410007,1.3406014442443848,search_360,gesture,45.0,True
20260918-120517_home_f4_s67,search_starts_after_loss,4,1789726242.3493993,1789726247.8261607,5.476761341094971,hover,search_360,42.0,True
20260918-120517_home_f4_s67,target_reacquired_after_search,10,1789726248.3263822,1789726250.2312214,1.904839277267456,search_360,gesture,41.0,True
20260918-120517_home_f4_s67,search_starts_after_loss,5,1789726259.1185567,1789726268.4364166,9.317859888076782,hover,search_360,39.0,True
20260918-120517_home_f4_s67,target_reacquired_after_search,11,1789726268.846722,1789726270.1311479,1.284425973892212,search_360,gesture,38.0,True
20260918-120517_home_f4_s67,search_starts_after_loss,6,1789726291.491456,1789726300.696685,9.205229043960571,hover,search_360,34.0,True
20260918-120517_home_f4_s67,target_reacquired_after_search,12,1789726300.9718492,1789726302.5314548,1.559605598449707,search_360,gesture,33.0,True
