t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1789860965.945481,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,92.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,13,5.657110691070557
1789860966.9636922,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,92.0,0.0,,0.0,False,453,484,False,False,0/20,-1.0,False,143,6.674481630325317
1789860967.9925325,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,92.0,0.0,,0.0,False,453,484,False,False,0/20,-1.0,False,168,7.681223392486572
1789860968.9924004,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,92.0,0.0,,0.0,False,453,484,False,False,0/20,-1.0,False,192,8.682117700576782
1789860970.0544488,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,92.0,0.0,,0.0,False,453,484,False,False,0/20,-1.0,False,217,9.739152908325195
1789860970.3119874,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,92.0,0.0,,0.0,False,453,484,False,False,0/20,-1.0,False,223,10.005251169204712
1789860970.3281553,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,92.0,0.0,LLM error (ReadTimeout),4371.870799979661,False,453,484,False,False,0/20,-1.0,False,224,10.039784908294678
1789860971.3825893,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,92.0,0.0,LLM error (ReadTimeout),4371.870799979661,True,422,422,False,False,0/20,-1.0,False,249,11.071313381195068
1789860972.3862145,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,92.0,0.0,LLM error (ReadTimeout),4371.870799979661,True,326,326,False,False,0/20,-1.0,False,273,12.074557542800903
1789860973.4289217,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,92.0,0.0,LLM error (ReadTimeout),4371.870799979661,True,278,278,False,False,0/20,-1.0,False,298,13.140551328659058
1789860974.4317935,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,91.0,0.0,LLM error (ReadTimeout),4006.9700999883935,True,269,269,False,False,0/20,-1.0,False,322,14.143423080444336
1789860975.4877572,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,91.0,0.0,LLM error (ReadTimeout),4006.9700999883935,True,259,259,False,False,0/20,-1.0,False,347,15.178295135498047
1789860976.5087564,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,True,False,91.0,0.0,LLM error (ReadTimeout),4006.9700999883935,True,260,260,False,True,5/20,-1.0,False,372,16.20795965194702
1789860977.2191546,gesture,ground,Search: hand_detected -> gesture (exit search),CENTER,0.5,True,True,True,True,91.0,0.0,LLM error (ReadTimeout),4006.9700999883935,True,264,264,True,False,0/20,0.9584143757820129,False,388,0.0
1789860978.1854713,gesture,ground,Search: hand_detected -> gesture (exit search),CENTER,0.5,True,True,True,True,91.0,0.0,LLM error (ReadTimeout),4006.9700999883935,True,264,264,True,False,0/20,0.7879005670547485,False,412,0.0
1789860979.2069142,gesture,ground,Search: hand_detected -> gesture (exit search),CENTER,0.5,True,True,True,True,91.0,0.0,LLM error (ReadTimeout),4024.9127999995835,True,261,261,True,False,0/20,0.8983221650123596,False,436,0.0
