t,event,latency_ms
1789860970.3281553,llm_explanation,4371.870799979661
1789860984.5443127,llm_explanation,2147.8559999959543
1789860986.3252754,llm_explanation,1821.095100021921
1789860989.3309457,llm_explanation,2965.3514999663457
1789860991.4878201,llm_explanation,2160.880100040231
1789860993.330261,llm_explanation,1853.9422999601811
1789860996.6051593,llm_explanation,3270.189200004097
1789860998.2231517,llm_explanation,1570.4828000161797
1789860999.8856437,llm_explanation,1684.9271999672055
1789861001.385682,llm_explanation,1503.8072999450378
1789861003.888818,llm_explanation,2538.9939000015147
1789861006.1867118,llm_explanation,2256.651100004092
1789861013.1506252,rc_send,
1789861013.1506252,llm_explanation,2153.4933999646455
1789861013.253414,rc_send,
1789861013.3669143,rc_send,
1789861013.5336554,rc_send,
1789861013.668316,rc_send,
1789861013.7695627,rc_send,
1789861013.8811152,rc_send,
1789861014.0296125,rc_send,
1789861014.1379435,rc_send,
1789861014.2584555,rc_send,
1789861014.3928144,rc_send,
1789861014.5178828,rc_send,
1789861014.6370065,rc_send,
1789861014.7443078,rc_send,
1789861014.897842,rc_send,
1789861015.0149138,rc_send,
1789861015.1536543,rc_send,
1789861015.255344,rc_send,
1789861015.39483,rc_send,
1789861015.5317917,rc_send,
1789861015.65346,rc_send,
1789861015.778133,rc_send,
1789861015.884801,rc_send,
1789861016.0238848,rc_send,
1789861016.1552827,rc_send,
1789861016.2676206,rc_send,
1789861016.379206,rc_send,
1789861016.4957242,rc_send,
1789861016.658698,rc_send,
1789861016.7757318,rc_send,
1789861016.8766787,rc_send,
1789861017.0055268,rc_send,
1789861017.1062238,rc_send,
1789861017.1815383,llm_explanation,4029.3210999807343
1789861017.2496698,rc_send,
1789861017.372009,rc_send,
1789861017.491579,rc_send,
1789861017.5949433,rc_send,
1789861017.7267861,rc_send,
1789861017.838563,rc_send,
1789861017.9761782,rc_send,
1789861018.075383,rc_send,
1789861018.1796362,rc_send,
1789861018.2881446,rc_send,
1789861018.4237993,rc_send,
1789861018.5414872,rc_send,
1789861018.738816,rc_send,
1789861018.8725803,rc_send,
1789861019.0281298,rc_send,
1789861019.1736689,rc_send,
1789861019.298396,rc_send,
1789861019.4093754,rc_send,
1789861019.5607789,rc_send,
1789861019.7243862,rc_send,
1789861019.9028866,rc_send,
1789861020.0582368,rc_send,
1789861020.2487435,rc_send,
1789861020.4043593,rc_send,
1789861020.6387208,rc_send,
1789861020.7710075,rc_send,
1789861020.929392,rc_send,
1789861021.0710912,rc_send,
1789861021.2295942,rc_send,
1789861021.3867319,rc_send,
1789861021.4952326,rc_send,
1789861021.6287458,rc_send,
1789861021.7306812,rc_send,
1789861021.8879333,rc_send,
1789861022.0117185,rc_send,
1789861022.1403916,rc_send,
1789861022.2550747,rc_send,
1789861022.3688762,rc_send,
1789861022.523534,rc_send,
1789861022.6242952,rc_send,
1789861022.7285905,rc_send,
1789861022.844618,rc_send,
1789861022.9553092,rc_send,
1789861023.089487,rc_send,
1789861023.2069292,rc_send,
1789861023.3674464,rc_send,
1789861023.5045104,rc_send,
1789861023.6313012,rc_send,
1789861023.7607086,rc_send,
1789861023.876843,rc_send,
1789861023.9918458,rc_send,
1789861024.112964,rc_send,
1789861024.2408197,rc_send,
1789861024.424458,rc_send,
1789861024.544689,rc_send,
1789861024.6663835,rc_send,
1789861024.7685194,rc_send,
1789861024.8917568,rc_send,
1789861025.0174506,rc_send,
1789861025.1194432,rc_send,
1789861025.2294307,rc_send,
1789861025.3488295,rc_send,
1789861025.465823,rc_send,
1789861025.5835884,rc_send,
1789861025.6949372,rc_send,
1789861025.7991269,rc_send,
1789861025.9326756,rc_send,
1789861026.0887928,rc_send,
1789861026.1995451,rc_send,
1789861026.3219743,rc_send,
1789861026.4234798,rc_send,
1789861026.5339336,rc_send,
1789861026.6799166,rc_send,
1789861026.7811515,rc_send,
1789861026.8939872,rc_send,
1789861027.0358515,rc_send,
1789861027.147293,rc_send,
1789861027.2923017,rc_send,
1789861027.4136302,rc_send,
1789861027.513937,rc_send,
1789861027.6150904,rc_send,
1789861027.7254505,rc_send,
1789861027.8261814,rc_send,
1789861027.93336,rc_send,
1789861028.0405815,rc_send,
1789861028.1518304,rc_send,
1789861028.2629368,rc_send,
1789861028.3797433,rc_send,
1789861028.4850385,rc_send,
1789861028.5994635,rc_send,
1789861028.7394626,rc_send,
1789861028.8640842,rc_send,
1789861028.9870398,rc_send,
1789861029.1046357,rc_send,
1789861029.2420757,rc_send,
1789861029.404197,rc_send,
1789861029.5211337,rc_send,
1789861029.635946,rc_send,
1789861029.7630174,rc_send,
1789861029.926863,rc_send,
1789861030.0618873,rc_send,
1789861030.183913,rc_send,
1789861030.3154886,rc_send,
1789861030.4298193,rc_send,
1789861030.5777612,rc_send,
1789861030.6893475,rc_send,
1789861030.8018212,rc_send,
1789861030.9137845,rc_send,
1789861031.0188642,rc_send,
1789861031.1368465,rc_send,
1789861031.2533948,rc_send,
1789861031.366995,rc_send,
1789861031.4681454,rc_send,
1789861031.5824618,rc_send,
1789861031.6993232,rc_send,
1789861031.8026032,rc_send,
1789861031.9164724,rc_send,
1789861032.0245197,rc_send,
1789861032.1303678,rc_send,
1789861032.246515,rc_send,
1789861032.3704321,rc_send,
1789861032.402886,llm_explanation,3116.8996999622323
1789861032.497764,rc_send,
1789861032.598745,rc_send,
1789861032.748379,rc_send,
1789861032.8537009,rc_send,
1789861032.9641063,rc_send,
1789861033.0698397,rc_send,
1789861033.1808627,rc_send,
1789861033.284906,rc_send,
1789861033.4122205,rc_send,
1789861033.5435693,rc_send,
1789861033.6545393,rc_send,
1789861033.7701068,rc_send,
1789861033.897709,rc_send,
1789861034.0021534,rc_send,
1789861034.1057627,rc_send,
1789861034.2388964,rc_send,
1789861034.3452954,rc_send,
1789861034.463294,rc_send,
1789861034.5718534,rc_send,
1789861034.6735067,rc_send,
1789861034.7851279,rc_send,
1789861034.8877308,rc_send,
1789861034.997592,rc_send,
1789861035.1223884,rc_send,
1789861035.2412245,rc_send,
1789861035.3482566,rc_send,
1789861035.4750097,rc_send,
1789861035.5992122,rc_send,
1789861035.7498736,rc_send,
1789861035.8567297,rc_send,
1789861035.9791815,rc_send,
1789861036.1060402,rc_send,
1789861036.25621,rc_send,
1789861036.3636115,rc_send,
1789861036.4817624,llm_explanation,4006.753000023309
1789861036.497926,rc_send,
1789861036.6186016,rc_send,
1789861036.7567656,rc_send,
1789861036.8975172,rc_send,
1789861037.0142465,rc_send,
1789861037.117258,rc_send,
1789861037.2431202,rc_send,
1789861037.3447433,rc_send,
1789861037.4664614,rc_send,
1789861037.6226134,rc_send,
1789861037.7603195,rc_send,
1789861037.862635,rc_send,
1789861037.9731264,rc_send,
1789861038.087698,rc_send,
1789861038.188259,rc_send,
1789861038.3001306,rc_send,
1789861038.4082172,rc_send,
1789861038.5099254,rc_send,
1789861038.631744,rc_send,
1789861038.731811,rc_send,
1789861038.8320937,rc_send,
1789861038.95232,rc_send,
1789861039.0529878,rc_send,
1789861039.1534557,rc_send,
1789861039.257938,rc_send,
1789861039.36496,rc_send,
1789861039.472869,rc_send,
