run_id,scenario,trial,t_start,t_end,duration_s,mode_at_start,mode_at_end,battery_at_start,success
20260920-013558_n1_s67,search_starts_after_loss,1,1789861039.4886854,1789861048.8765335,9.387848138809204,hover,search_360,90.0,True
20260920-013558_n1_s67,target_reacquired_after_search,1,1789861049.682797,1789861070.19068,20.507883071899414,search_360,face,89.0,True
20260920-013558_n1_s67,search_starts_after_loss,2,1789861074.1762385,1789861083.1044965,8.928257942199707,hover,search_360,86.0,True
20260920-013558_n1_s67,target_reacquired_after_search,2,1789861084.0434444,1789861104.9528615,20.909417152404785,search_360,face,84.0,True
20260920-013558_n1_s67,search_starts_after_loss,3,1789861107.3137093,1789861117.6873262,10.373616933822632,hover,search_360,81.0,True
20260920-013558_n1_s67,target_reacquired_after_search,3,1789861119.0971777,1789861138.9778771,19.880699396133423,search_360,face,80.0,True
20260920-013558_n1_s67,search_starts_after_loss,4,1789861140.4516523,1789861151.2500782,10.798425912857056,face,search_360,78.0,True
20260920-013558_n1_s67,search_starts_after_loss,5,1789861174.306217,1789861184.615339,10.309122085571289,hover,search_360,73.0,True
20260920-013558_n1_s67,target_reacquired_after_search,4,1789861185.3435886,1789861204.7951744,19.45158576965332,search_360,gesture,72.0,True
20260920-013558_n1_s67,search_starts_after_loss,6,1789861207.244176,1789861217.3317487,10.087572813034058,hover,search_360,69.0,True
20260920-013558_n1_s67,target_reacquired_after_search,5,1789861218.3216891,1789861237.7588315,19.437142372131348,search_360,gesture,68.0,True
20260920-013558_n1_s67,search_starts_after_loss,7,1789861239.392306,1789861250.0414531,10.649147033691406,hover,search_360,65.0,True
20260920-013558_n1_s67,target_reacquired_after_search,6,1789861250.7374196,1789861270.9080658,20.17064619064331,search_360,face,63.0,True
20260920-013558_n1_s67,search_starts_after_loss,8,1789861272.9690933,1789861283.435103,10.466009616851807,face,search_360,60.0,True
20260920-013558_n1_s67,target_reacquired_after_search,7,1789861286.223406,1789861304.5704682,18.34706211090088,search_360,face,58.0,True
20260920-013558_n1_s67,search_starts_after_loss,9,1789861308.6716282,1789861317.5218701,8.850241899490356,hover,search_360,55.0,True
20260920-013558_n1_s67,target_reacquired_after_search,8,1789861318.5430653,1789861340.1920485,21.648983240127563,search_360,hover,54.0,True
20260920-013558_n1_s67,search_starts_after_loss,10,1789861341.310353,1789861350.895538,9.585185050964355,hover,search_360,51.0,True
20260920-013558_n1_s67,target_reacquired_after_search,9,1789861352.0065343,1789861369.4803567,17.473822355270386,search_360,face,49.0,True
20260920-013558_n1_s67,search_starts_after_loss,11,1789861372.6959064,1789861382.425149,9.72924256324768,hover,search_360,46.0,True
20260920-013558_n1_s67,target_reacquired_after_search,10,1789861382.8465724,1789861385.0232813,2.176708936691284,search_360,face,45.0,True
20260920-013558_n1_s67,search_starts_after_loss,12,1789861394.1432254,1789861404.5507207,10.407495260238647,hover,search_360,43.0,True
20260920-013558_n1_s67,target_reacquired_after_search,11,1789861405.256807,1789861407.4772563,2.220449209213257,search_360,face,41.0,True
20260920-013558_n1_s67,target_reacquired_after_search,12,1789861420.27355,1789861420.9170918,0.6435418128967285,search_360,search_360,39.0,True
20260920-013558_n1_s67,search_starts_after_loss,13,1789861440.69837,1789861450.7631576,10.06478762626648,face,search_360,35.0,True
20260920-013558_n1_s67,target_reacquired_after_search,13,1789861451.1222684,1789861455.101458,3.97918963432312,search_360,face,34.0,True
20260920-013558_n1_s67,search_starts_after_loss,14,1789861461.7337642,1789861472.3984115,10.664647340774536,face,search_360,33.0,True
20260920-013558_n1_s67,target_reacquired_after_search,14,1789861473.214146,1789861495.5858288,22.37168288230896,search_360,face,30.0,True
20260920-013558_n1_s67,search_starts_after_loss,15,1789861497.3008862,1789861508.0401042,10.73921799659729,hover,search_360,27.0,True
20260920-013558_n1_s67,target_reacquired_after_search,15,1789861508.2890878,1789861524.8275354,16.538447618484497,search_360,face,24.0,True
20260920-013558_n1_s67,search_starts_after_loss,16,1789861530.0079818,1789861539.356968,9.348986148834229,hover,search_360,21.0,True
20260920-013558_n1_s67,target_reacquired_after_search,16,1789861540.3847642,1789861559.8887255,19.503961324691772,search_360,face,19.0,True
