t,bat,h,yaw,vgx,vgy,vgz,tof
1789860965.9863734,92.0,0.0,12.0,0.0,0.0,0.0,10.0
1789860967.0095649,92.0,0.0,12.0,0.0,0.0,0.0,10.0
1789860968.0119882,92.0,0.0,12.0,0.0,0.0,0.0,10.0
1789860969.0123765,92.0,0.0,12.0,0.0,0.0,0.0,10.0
1789860970.014557,92.0,0.0,22.0,-1.0,0.0,2.0,10.0
1789860971.0148025,92.0,0.0,32.0,0.0,1.0,0.0,10.0
1789860972.0166223,92.0,0.0,64.0,0.0,0.0,-1.0,10.0
1789860973.017553,92.0,0.0,63.0,0.0,0.0,0.0,10.0
1789860974.0193918,91.0,0.0,22.0,0.0,0.0,1.0,10.0
1789860975.0220773,91.0,0.0,-78.0,0.0,0.0,-2.0,10.0
1789860976.0224857,91.0,0.0,-77.0,0.0,0.0,0.0,10.0
1789860977.0256379,91.0,0.0,-76.0,0.0,0.0,0.0,10.0
1789860978.031274,91.0,0.0,-75.0,0.0,0.0,0.0,10.0
1789860979.0419931,91.0,0.0,-75.0,0.0,0.0,0.0,10.0
1789860980.09697,91.0,0.0,-52.0,0.0,0.0,0.0,10.0
1789860981.1246629,91.0,0.0,39.0,0.0,0.0,0.0,10.0
1789860982.1348612,91.0,0.0,60.0,0.0,0.0,0.0,10.0
1789860983.1369605,91.0,0.0,63.0,0.0,0.0,0.0,10.0
1789860984.14695,90.0,0.0,64.0,0.0,0.0,0.0,10.0
1789860985.173881,90.0,0.0,64.0,0.0,0.0,0.0,10.0
1789860986.242837,90.0,0.0,6.0,0.0,0.0,4.0,10.0
1789860987.2474387,90.0,0.0,28.0,0.0,0.0,3.0,10.0
1789860988.2488174,90.0,0.0,43.0,0.0,0.0,1.0,10.0
1789860989.2509723,90.0,0.0,20.0,0.0,0.0,0.0,10.0
1789860990.253237,90.0,0.0,8.0,0.0,0.0,1.0,10.0
1789860991.2869453,90.0,0.0,-55.0,0.0,0.0,1.0,10.0
1789860992.2949045,90.0,0.0,-105.0,0.0,0.0,-1.0,10.0
1789860993.2999196,90.0,0.0,-55.0,0.0,0.0,-1.0,91.0
1789860994.3020358,90.0,0.0,-89.0,0.0,6.0,-3.0,36.0
1789860995.3059404,90.0,0.0,-94.0,0.0,0.0,0.0,10.0
1789860996.3074362,90.0,0.0,-96.0,0.0,0.0,0.0,10.0
1789860997.3117845,90.0,0.0,-96.0,0.0,0.0,0.0,10.0
1789860998.3133655,90.0,0.0,-96.0,0.0,0.0,0.0,10.0
1789860999.314804,90.0,0.0,-96.0,0.0,0.0,0.0,10.0
1789861000.3169775,90.0,0.0,-96.0,0.0,0.0,0.0,10.0
1789861001.3194783,90.0,0.0,-97.0,0.0,0.0,0.0,10.0
1789861002.3213212,90.0,0.0,-97.0,0.0,0.0,0.0,10.0
1789861003.3636906,90.0,0.0,-97.0,0.0,0.0,0.0,10.0
1789861004.363711,90.0,0.0,-97.0,0.0,0.0,0.0,10.0
1789861005.3665328,90.0,0.0,-97.0,0.0,0.0,0.0,10.0
1789861006.368193,90.0,0.0,-97.0,0.0,0.0,0.0,10.0
1789861013.1506252,90.0,70.0,-98.0,0.0,0.0,0.0,80.0
1789861014.164877,90.0,70.0,-98.0,0.0,0.0,0.0,79.0
1789861015.1795847,90.0,70.0,-94.0,0.0,0.0,0.0,79.0
1789861016.182211,90.0,70.0,-86.0,0.0,0.0,0.0,84.0
1789861017.2496698,90.0,70.0,-87.0,0.0,0.0,0.0,91.0
1789861018.252945,90.0,80.0,-86.0,0.0,0.0,0.0,93.0
1789861019.298396,90.0,80.0,-86.0,0.0,-2.0,0.0,78.0
1789861020.4043593,90.0,80.0,-86.0,0.0,-2.0,0.0,141.0
1789861021.4237251,90.0,80.0,-85.0,0.0,0.0,0.0,144.0
1789861022.4426832,90.0,80.0,-85.0,0.0,0.0,0.0,145.0
1789861023.5045104,90.0,80.0,-85.0,0.0,0.0,0.0,144.0
1789861024.544689,90.0,80.0,-85.0,0.0,0.0,0.0,146.0
1789861025.5835884,90.0,90.0,-85.0,0.0,0.0,0.0,150.0
1789861026.5930927,90.0,90.0,-85.0,0.0,0.0,0.0,149.0
1789861027.6150904,90.0,90.0,-85.0,0.0,0.0,0.0,149.0
1789861028.6306307,90.0,90.0,-86.0,0.0,0.0,0.0,148.0
1789861029.635946,90.0,90.0,-83.0,0.0,0.0,0.0,153.0
1789861030.6893475,90.0,100.0,-80.0,0.0,0.0,0.0,157.0
1789861031.6993232,90.0,100.0,-82.0,0.0,0.0,0.0,160.0
1789861032.748379,90.0,100.0,-83.0,0.0,0.0,0.0,162.0
1789861033.7701068,90.0,100.0,-88.0,0.0,0.0,0.0,168.0
1789861034.7851279,90.0,110.0,-96.0,0.0,0.0,0.0,172.0
1789861035.8567297,90.0,110.0,-92.0,0.0,1.0,0.0,174.0
1789861036.8975172,90.0,110.0,-88.0,0.0,0.0,0.0,172.0
1789861037.898027,90.0,110.0,-86.0,0.0,0.0,0.0,172.0
1789861038.8997633,90.0,110.0,-86.0,0.0,0.0,0.0,173.0
1789861039.9026618,90.0,110.0,-86.0,0.0,0.0,0.0,171.0
1789861040.9056995,90.0,110.0,-86.0,0.0,0.0,0.0,172.0
1789861041.906549,90.0,110.0,-86.0,0.0,0.0,0.0,172.0
1789861042.9073076,90.0,110.0,-86.0,0.0,0.0,0.0,170.0
1789861043.909489,90.0,110.0,-86.0,0.0,0.0,0.0,174.0
1789861044.910122,90.0,110.0,-86.0,0.0,0.0,0.0,176.0
1789861045.9111376,89.0,110.0,-86.0,0.0,0.0,0.0,172.0
1789861046.9237657,89.0,110.0,-86.0,0.0,0.0,0.0,172.0
1789861047.9271677,89.0,110.0,-86.0,0.0,0.0,0.0,173.0
1789861048.9293907,89.0,110.0,-67.0,0.0,0.0,0.0,171.0
1789861049.9368193,89.0,110.0,-50.0,0.0,0.0,0.0,170.0
1789861050.9393501,88.0,110.0,-37.0,0.0,0.0,0.0,170.0
1789861051.9474542,88.0,110.0,-22.0,0.0,0.0,0.0,171.0
1789861052.9476006,88.0,110.0,0.0,0.0,0.0,0.0,169.0
1789861053.9503827,88.0,110.0,16.0,0.0,0.0,0.0,169.0
1789861054.950524,88.0,110.0,34.0,0.0,0.0,0.0,169.0
1789861055.953932,88.0,110.0,50.0,0.0,0.0,0.0,170.0
1789861056.9564846,88.0,110.0,67.0,0.0,0.0,0.0,170.0
1789861057.9566019,88.0,110.0,82.0,0.0,0.0,0.0,172.0
1789861058.9567058,87.0,110.0,96.0,0.0,0.0,0.0,173.0
1789861059.9578774,87.0,110.0,112.0,0.0,0.0,0.0,172.0
1789861060.9922707,87.0,110.0,129.0,0.0,0.0,0.0,170.0
1789861062.0015993,87.0,110.0,147.0,0.0,0.0,0.0,170.0
1789861063.0100951,87.0,110.0,163.0,0.0,0.0,0.0,168.0
1789861064.0175633,87.0,110.0,-179.0,0.0,0.0,0.0,168.0
1789861065.0217369,87.0,110.0,-162.0,0.0,0.0,0.0,169.0
1789861066.0619013,87.0,110.0,-145.0,0.0,0.0,0.0,170.0
1789861067.0650532,86.0,110.0,-131.0,0.0,0.0,0.0,172.0
1789861068.0760205,86.0,110.0,-110.0,0.0,0.0,0.0,172.0
1789861069.1296618,86.0,110.0,-95.0,0.0,0.0,0.0,173.0
1789861070.1587386,86.0,110.0,-86.0,0.0,0.0,0.0,172.0
1789861071.1618514,86.0,110.0,-87.0,0.0,0.0,0.0,173.0
1789861072.2321556,86.0,110.0,-90.0,0.0,0.0,0.0,172.0
1789861073.241278,86.0,110.0,-90.0,0.0,0.0,0.0,170.0
1789861074.246685,86.0,110.0,-90.0,0.0,0.0,0.0,170.0
1789861075.2506611,86.0,110.0,-90.0,0.0,0.0,0.0,172.0
1789861076.252925,85.0,110.0,-90.0,0.0,0.0,0.0,169.0
1789861077.2535381,85.0,110.0,-90.0,0.0,0.0,0.0,165.0
1789861078.255025,85.0,110.0,-90.0,0.0,0.0,0.0,172.0
1789861079.2864094,85.0,110.0,-90.0,0.0,0.0,0.0,173.0
1789861080.2966218,85.0,110.0,-90.0,0.0,0.0,0.0,171.0
1789861081.3343542,85.0,110.0,-90.0,0.0,0.0,0.0,170.0
1789861082.3358254,85.0,110.0,-83.0,0.0,0.0,0.0,172.0
1789861083.3376057,85.0,110.0,-67.0,0.0,0.0,0.0,173.0
1789861084.3397589,84.0,110.0,-49.0,0.0,0.0,0.0,173.0
1789861085.340774,84.0,110.0,-34.0,0.0,0.0,0.0,172.0
1789861086.3416138,84.0,110.0,-18.0,0.0,0.0,0.0,170.0
1789861087.34288,84.0,110.0,-2.0,0.0,0.0,0.0,172.0
1789861088.3450177,84.0,110.0,11.0,0.0,0.0,0.0,171.0
1789861089.3453166,84.0,110.0,25.0,0.0,0.0,0.0,172.0
1789861090.3569677,84.0,110.0,42.0,0.0,0.0,0.0,173.0
1789861091.3642468,84.0,110.0,59.0,0.0,0.0,0.0,172.0
1789861092.3657398,83.0,110.0,76.0,0.0,0.0,0.0,173.0
1789861093.3677466,83.0,110.0,95.0,0.0,0.0,0.0,174.0
1789861094.3703372,83.0,110.0,115.0,0.0,0.0,0.0,172.0
1789861095.3740788,83.0,110.0,132.0,0.0,0.0,0.0,170.0
1789861096.3754432,83.0,110.0,151.0,0.0,0.0,0.0,170.0
1789861097.3945303,83.0,110.0,169.0,0.0,0.0,0.0,173.0
1789861098.3967059,83.0,110.0,-174.0,0.0,0.0,0.0,172.0
1789861099.3975139,82.0,110.0,-154.0,0.0,0.0,0.0,172.0
1789861100.4014235,82.0,110.0,-138.0,0.0,0.0,0.0,172.0
1789861101.40435,82.0,110.0,-121.0,0.0,0.0,0.0,171.0
1789861102.4047983,82.0,110.0,-105.0,0.0,0.0,0.0,169.0
1789861103.45035,82.0,110.0,-92.0,0.0,0.0,0.0,169.0
1789861104.5117273,82.0,110.0,-82.0,0.0,0.0,0.0,170.0
1789861105.533772,82.0,110.0,-81.0,0.0,0.0,0.0,171.0
1789861106.5688884,82.0,110.0,-90.0,0.0,0.0,0.0,172.0
1789861107.570873,81.0,110.0,-90.0,0.0,0.0,0.0,171.0
1789861108.5732672,81.0,110.0,-90.0,0.0,0.0,0.0,171.0
1789861109.575578,81.0,110.0,-90.0,0.0,0.0,0.0,173.0
1789861110.5765378,81.0,110.0,-90.0,0.0,0.0,0.0,171.0
1789861111.5773528,81.0,110.0,-90.0,0.0,0.0,0.0,169.0
1789861112.5790331,81.0,110.0,-90.0,0.0,0.0,0.0,170.0
1789861113.5793061,81.0,110.0,-90.0,0.0,0.0,0.0,171.0
1789861114.5798247,81.0,110.0,-90.0,0.0,0.0,0.0,173.0
1789861115.5830784,81.0,110.0,-90.0,0.0,0.0,0.0,173.0
1789861116.5862567,80.0,110.0,-88.0,0.0,0.0,0.0,172.0
1789861117.5871017,80.0,110.0,-73.0,0.0,0.0,0.0,171.0
1789861118.5960336,80.0,110.0,-56.0,0.0,0.0,0.0,171.0
1789861119.605164,80.0,110.0,-38.0,0.0,0.0,0.0,171.0
1789861120.6123607,80.0,110.0,-18.0,0.0,0.0,0.0,171.0
1789861121.6157389,80.0,110.0,-1.0,0.0,0.0,0.0,170.0
1789861122.6183455,80.0,110.0,14.0,0.0,0.0,0.0,168.0
1789861123.620172,80.0,110.0,35.0,0.0,0.0,0.0,173.0
1789861124.6583776,80.0,110.0,54.0,0.0,0.0,0.0,174.0
1789861125.6612213,80.0,110.0,74.0,0.0,0.0,0.0,172.0
1789861126.6644695,79.0,110.0,92.0,0.0,0.0,0.0,173.0
1789861127.6654887,79.0,110.0,108.0,0.0,0.0,0.0,173.0
1789861128.6683393,79.0,110.0,125.0,0.0,0.0,0.0,173.0
1789861129.6799517,79.0,110.0,144.0,0.0,0.0,0.0,175.0
1789861130.68389,79.0,110.0,164.0,0.0,0.0,0.0,177.0
1789861131.6987212,79.0,110.0,178.0,0.0,0.0,0.0,174.0
1789861132.6995242,79.0,110.0,-168.0,0.0,0.0,0.0,178.0
1789861133.7036245,79.0,110.0,-153.0,0.0,0.0,0.0,174.0
1789861134.7044895,78.0,110.0,-136.0,0.0,0.0,0.0,172.0
1789861135.7070343,78.0,110.0,-117.0,0.0,0.0,0.0,171.0
1789861136.725134,78.0,110.0,-100.0,0.0,0.0,0.0,171.0
1789861137.7464032,78.0,110.0,-84.0,0.0,0.0,0.0,168.0
1789861138.7485082,78.0,110.0,-73.0,0.0,0.0,0.0,167.0
1789861139.7676647,78.0,110.0,-80.0,0.0,0.0,0.0,169.0
1789861140.7894518,77.0,110.0,-87.0,0.0,0.0,0.0,170.0
1789861141.7986844,77.0,110.0,-87.0,0.0,0.0,0.0,169.0
1789861142.8242075,77.0,110.0,-88.0,0.0,0.0,0.0,167.0
1789861143.8249273,77.0,110.0,-88.0,0.0,0.0,0.0,168.0
1789861144.8377166,77.0,110.0,-88.0,0.0,0.0,0.0,170.0
1789861145.8404279,77.0,100.0,-88.0,0.0,0.0,0.0,167.0
1789861146.8553572,77.0,110.0,-88.0,0.0,0.0,0.0,172.0
1789861147.8889282,76.0,110.0,-88.0,0.0,0.0,0.0,173.0
1789861148.8950627,76.0,110.0,-88.0,0.0,0.0,0.0,173.0
1789861149.9027996,76.0,110.0,-87.0,0.0,0.0,0.0,173.0
1789861150.9029634,76.0,110.0,-75.0,0.0,0.0,0.0,168.0
1789861151.904369,76.0,110.0,-58.0,0.0,0.0,0.0,168.0
1789861152.9065387,76.0,110.0,-37.0,0.0,0.0,0.0,166.0
1789861153.924659,76.0,110.0,-20.0,0.0,0.0,0.0,169.0
1789861154.9259648,76.0,110.0,-3.0,0.0,0.0,0.0,170.0
1789861155.9270847,76.0,110.0,16.0,0.0,0.0,0.0,172.0
1789861156.9714851,75.0,110.0,32.0,0.0,0.0,0.0,172.0
1789861157.9809134,75.0,110.0,47.0,0.0,0.0,0.0,170.0
1789861158.9827685,75.0,110.0,60.0,0.0,0.0,0.0,168.0
1789861159.984467,75.0,110.0,75.0,0.0,0.0,0.0,169.0
1789861160.9866643,75.0,110.0,93.0,0.0,0.0,0.0,171.0
1789861162.0356464,75.0,110.0,108.0,0.0,0.0,0.0,172.0
1789861163.0362089,74.0,110.0,123.0,0.0,0.0,0.0,171.0
1789861164.065003,74.0,110.0,140.0,0.0,0.0,0.0,167.0
1789861165.0748577,74.0,100.0,151.0,0.0,0.0,0.0,166.0
1789861166.077526,74.0,110.0,168.0,0.0,0.0,0.0,167.0
1789861167.0798702,74.0,110.0,-171.0,0.0,0.0,0.0,168.0
1789861168.083633,74.0,100.0,-148.0,0.0,0.0,0.0,164.0
1789861169.122374,74.0,100.0,-126.0,0.0,0.0,0.0,161.0
1789861170.1288915,74.0,100.0,-109.0,0.0,0.0,0.0,162.0
1789861171.2259202,74.0,110.0,-91.0,0.0,0.0,0.0,166.0
1789861172.2283258,73.0,110.0,-83.0,0.0,0.0,0.0,166.0
1789861173.2870595,73.0,110.0,-83.0,0.0,0.0,0.0,172.0
1789861174.295411,73.0,110.0,-83.0,0.0,0.0,0.0,170.0
1789861175.2961001,73.0,110.0,-83.0,0.0,0.0,0.0,169.0
1789861176.3206346,73.0,110.0,-83.0,0.0,0.0,0.0,172.0
1789861177.3339489,73.0,110.0,-83.0,0.0,0.0,0.0,169.0
1789861178.3393612,73.0,110.0,-83.0,0.0,0.0,0.0,167.0
1789861179.3430839,73.0,110.0,-83.0,0.0,0.0,0.0,168.0
1789861180.3434036,72.0,110.0,-84.0,0.0,0.0,0.0,169.0
1789861181.3453302,72.0,110.0,-83.0,0.0,0.0,0.0,166.0
1789861182.3471146,72.0,110.0,-83.0,0.0,0.0,0.0,167.0
1789861183.3498123,72.0,110.0,-83.0,0.0,0.0,0.0,165.0
1789861184.3525898,72.0,100.0,-72.0,0.0,0.0,0.0,167.0
1789861185.3897455,72.0,110.0,-56.0,0.0,0.0,0.0,169.0
1789861186.3903255,72.0,110.0,-40.0,0.0,0.0,0.0,169.0
1789861187.3913572,71.0,110.0,-21.0,0.0,0.0,0.0,170.0
1789861188.392961,71.0,110.0,0.0,0.0,0.0,0.0,171.0
1789861189.394071,71.0,110.0,19.0,0.0,0.0,0.0,175.0
1789861190.3957133,71.0,110.0,35.0,0.0,0.0,0.0,173.0
1789861191.3968563,71.0,110.0,52.0,0.0,0.0,0.0,175.0
1789861192.3991356,71.0,110.0,73.0,0.0,0.0,0.0,175.0
1789861193.4017177,71.0,110.0,90.0,0.0,0.0,0.0,171.0
1789861194.402573,71.0,110.0,107.0,0.0,0.0,0.0,173.0
1789861195.4043233,71.0,110.0,123.0,0.0,0.0,0.0,174.0
1789861196.419013,70.0,110.0,139.0,0.0,0.0,0.0,175.0
1789861197.421449,70.0,110.0,155.0,0.0,0.0,0.0,170.0
1789861198.4249477,70.0,100.0,172.0,0.0,0.0,0.0,168.0
1789861199.4276214,70.0,110.0,-171.0,0.0,0.0,0.0,174.0
1789861200.4373426,70.0,110.0,-153.0,0.0,0.0,0.0,172.0
1789861201.438238,70.0,110.0,-135.0,0.0,0.0,0.0,171.0
1789861202.4470625,70.0,110.0,-116.0,0.0,0.0,0.0,169.0
