t,event,latency_ms
1789862208.3117092,llm_explanation,1500.353700015694
1789862209.8231263,llm_explanation,1524.657300033141
1789862212.9181051,llm_explanation,3105.3001999971457
1789862214.1471863,llm_explanation,1229.3668999918737
1789862218.1930254,llm_explanation,4030.6457999977283
1789862230.8020325,rc_send,
1789862230.839117,llm_explanation,898.9612000295892
1789862230.9143946,rc_send,
1789862231.0158188,rc_send,
1789862231.1433086,rc_send,
1789862231.260413,rc_send,
1789862231.3726208,rc_send,
1789862231.4740527,rc_send,
1789862231.6100118,rc_send,
1789862231.7292223,rc_send,
1789862231.8728373,rc_send,
1789862231.9888434,rc_send,
1789862232.152412,rc_send,
1789862232.271727,rc_send,
1789862232.387242,rc_send,
1789862232.4892194,rc_send,
1789862232.6069741,rc_send,
1789862232.7495942,rc_send,
1789862232.8503115,rc_send,
1789862232.951041,rc_send,
1789862233.0616736,rc_send,
1789862233.2184534,rc_send,
1789862233.3194323,rc_send,
1789862233.427941,rc_send,
1789862233.5347226,rc_send,
1789862233.6358533,rc_send,
1789862233.7835827,rc_send,
1789862233.8467872,llm_explanation,2959.7002000082284
1789862233.8843749,rc_send,
1789862234.019745,rc_send,
1789862234.1240902,rc_send,
1789862234.2356718,rc_send,
1789862234.3365736,rc_send,
1789862234.4856105,rc_send,
1789862234.6063993,rc_send,
1789862234.7099493,rc_send,
1789862234.8416638,rc_send,
1789862234.933334,llm_explanation,1132.3365000425838
1789862234.941798,rc_send,
1789862235.0429645,rc_send,
1789862235.177914,rc_send,
1789862235.28736,rc_send,
1789862235.4001834,rc_send,
1789862235.5009801,rc_send,
1789862235.6037748,rc_send,
1789862235.7128046,rc_send,
1789862235.8337388,rc_send,
1789862235.942681,rc_send,
1789862236.045517,rc_send,
1789862236.1827972,rc_send,
1789862236.3067195,rc_send,
1789862236.4420033,rc_send,
1789862236.5438266,rc_send,
1789862236.6862128,rc_send,
1789862236.8044777,rc_send,
1789862236.937679,rc_send,
1789862237.0424898,rc_send,
1789862237.1904666,rc_send,
1789862237.3036125,rc_send,
1789862237.4057775,rc_send,
1789862237.5058105,rc_send,
1789862237.614301,rc_send,
1789862237.7174127,rc_send,
1789862237.8432517,rc_send,
1789862237.9456594,rc_send,
1789862238.0586631,rc_send,
1789862238.185678,rc_send,
1789862238.2936745,rc_send,
1789862238.4336605,rc_send,
1789862238.5526233,rc_send,
1789862238.6799858,rc_send,
1789862238.7892404,rc_send,
1789862238.8967369,rc_send,
1789862238.955026,llm_explanation,4010.6762999785133
1789862238.9979923,rc_send,
1789862239.1510596,rc_send,
1789862239.263598,rc_send,
1789862239.3709764,rc_send,
1789862239.477045,rc_send,
1789862239.5877092,rc_send,
1789862239.7579234,rc_send,
1789862239.85799,rc_send,
1789862239.9603958,rc_send,
1789862240.1031091,rc_send,
1789862240.2229452,rc_send,
1789862240.3237643,rc_send,
1789862240.4258482,rc_send,
1789862240.5795171,rc_send,
1789862240.6815953,rc_send,
1789862240.820634,rc_send,
1789862240.9400017,rc_send,
1789862241.0723197,rc_send,
1789862241.1751142,rc_send,
1789862241.2775235,rc_send,
1789862241.378672,rc_send,
1789862241.4414568,llm_explanation,2441.1368999863043
1789862241.514766,rc_send,
1789862241.6175158,rc_send,
1789862241.7208521,rc_send,
1789862241.8389149,rc_send,
1789862241.9543626,rc_send,
1789862242.0972328,rc_send,
1789862242.1974583,rc_send,
1789862242.3093424,rc_send,
1789862242.4564853,rc_send,
1789862242.582406,rc_send,
1789862242.6854074,rc_send,
1789862242.8101046,rc_send,
1789862242.9560297,rc_send,
1789862243.0760155,rc_send,
1789862243.2225828,rc_send,
1789862243.3308933,rc_send,
1789862243.484504,rc_send,
1789862243.6126673,rc_send,
1789862243.7135262,rc_send,
1789862243.827622,rc_send,
1789862243.9437065,rc_send,
1789862244.0466244,rc_send,
1789862244.0647383,llm_explanation,2650.5944000091404
1789862244.1736574,rc_send,
1789862244.281292,rc_send,
1789862244.3815708,rc_send,
1789862244.500295,rc_send,
1789862244.658339,rc_send,
1789862244.7883153,rc_send,
1789862244.8907163,rc_send,
1789862245.0576282,rc_send,
1789862245.1642976,rc_send,
1789862245.3072555,rc_send,
1789862245.432943,rc_send,
1789862245.5394578,rc_send,
1789862245.647866,rc_send,
1789862245.749407,rc_send,
1789862245.9028664,rc_send,
1789862246.018612,rc_send,
1789862246.1348774,rc_send,
1789862246.264231,rc_send,
1789862246.3643215,rc_send,
1789862246.4873915,rc_send,
1789862246.5899532,rc_send,
1789862246.7081275,rc_send,
1789862246.8379192,rc_send,
1789862246.94081,rc_send,
1789862247.0438218,rc_send,
1789862247.1662867,rc_send,
1789862247.2665653,rc_send,
1789862247.378739,rc_send,
1789862247.4871938,rc_send,
1789862247.5872338,rc_send,
1789862247.6904547,rc_send,
1789862247.8086195,rc_send,
1789862247.9258971,rc_send,
1789862248.029461,rc_send,
1789862248.122157,llm_explanation,4006.0759000480175
1789862248.1376336,rc_send,
1789862248.2406075,rc_send,
1789862248.3541272,rc_send,
1789862248.4753227,rc_send,
1789862248.5851636,rc_send,
1789862248.705465,rc_send,
1789862248.8151932,rc_send,
1789862248.9780686,rc_send,
1789862249.0990484,rc_send,
1789862249.2204957,rc_send,
1789862249.37396,rc_send,
1789862249.4928234,rc_send,
1789862249.621278,rc_send,
1789862249.7235367,rc_send,
1789862249.883487,rc_send,
1789862249.9968598,rc_send,
1789862250.1286993,rc_send,
1789862250.2438157,rc_send,
1789862250.32177,llm_explanation,2278.1445999862626
1789862250.3526227,rc_send,
1789862250.4551296,rc_send,
1789862250.561338,rc_send,
1789862250.6722305,rc_send,
1789862250.7734845,rc_send,
1789862250.903995,rc_send,
1789862251.0160306,rc_send,
1789862251.1175113,rc_send,
1789862251.2396736,rc_send,
1789862251.3506942,rc_send,
1789862251.475152,rc_send,
1789862251.578455,rc_send,
1789862251.6927931,rc_send,
1789862251.8272543,rc_send,
1789862251.935642,rc_send,
1789862252.053139,rc_send,
1789862252.2040422,rc_send,
1789862252.3321803,rc_send,
1789862252.4544187,rc_send,
1789862252.584967,rc_send,
1789862252.7096372,rc_send,
1789862252.8384387,rc_send,
1789862252.8573081,llm_explanation,2511.9713000021875
1789862252.964337,rc_send,
1789862253.065742,rc_send,
1789862253.165878,rc_send,
1789862253.2672374,rc_send,
1789862253.3905032,rc_send,
1789862253.5123792,rc_send,
1789862253.6132562,rc_send,
1789862253.719949,rc_send,
1789862253.8260942,rc_send,
1789862253.9402993,rc_send,
1789862254.058631,rc_send,
1789862254.160295,rc_send,
1789862254.2596903,rc_send,
1789862254.3874245,rc_send,
1789862254.5191565,rc_send,
1789862254.6483057,rc_send,
1789862254.7503908,rc_send,
1789862254.875268,rc_send,
1789862254.9793735,rc_send,
1789862255.08084,rc_send,
1789862255.2069917,rc_send,
1789862255.311104,rc_send,
1789862255.4273818,rc_send,
1789862255.5364962,rc_send,
1789862255.6562252,rc_send,
1789862255.7593908,rc_send,
1789862255.8752446,rc_send,
1789862255.978798,rc_send,
1789862256.0791686,rc_send,
1789862256.205776,rc_send,
1789862256.3055272,rc_send,
1789862256.4088202,rc_send,
1789862256.5388849,rc_send,
1789862256.6472902,rc_send,
1789862256.7491696,rc_send,
1789862256.8829317,llm_explanation,4004.6648999559693
1789862256.8951674,rc_send,
1789862257.0075498,rc_send,
1789862257.1225004,rc_send,
1789862257.2266693,rc_send,
1789862257.335448,rc_send,
1789862257.4968202,rc_send,
1789862257.6187055,rc_send,
1789862257.7180974,rc_send,
1789862257.8408058,rc_send,
1789862257.949342,rc_send,
1789862258.0690753,rc_send,
1789862258.1876454,rc_send,
1789862258.289177,rc_send,
1789862258.3911982,rc_send,
1789862258.5114207,rc_send,
1789862258.620672,rc_send,
1789862258.7831557,rc_send,
1789862258.9055965,rc_send,
1789862259.0217934,rc_send,
1789862259.1228302,rc_send,
1789862259.2411702,rc_send,
1789862259.348378,rc_send,
1789862259.4765122,rc_send,
1789862259.5766923,rc_send,
1789862259.694506,rc_send,
1789862259.8779376,rc_send,
1789862259.9936306,rc_send,
1789862260.1168778,rc_send,
1789862260.2319286,rc_send,
1789862260.3552384,rc_send,
1789862260.448372,llm_explanation,3568.0765000288375
1789862260.465435,rc_send,
1789862260.6373851,rc_send,
1789862260.7657983,rc_send,
1789862260.8855367,rc_send,
1789862261.0127501,rc_send,
1789862261.126311,rc_send,
1789862261.2267094,rc_send,
1789862261.3380487,rc_send,
1789862261.4396014,rc_send,
1789862261.5617256,rc_send,
1789862261.7382755,rc_send,
1789862261.8551495,rc_send,
1789862261.979895,rc_send,
1789862262.0943558,rc_send,
1789862262.2161038,rc_send,
1789862262.3364484,rc_send,
1789862262.4497342,rc_send,
1789862262.551422,rc_send,
1789862262.6544092,rc_send,
1789862262.7835708,rc_send,
1789862262.913706,rc_send,
1789862263.0314732,rc_send,
1789862263.1511896,rc_send,
1789862263.288109,rc_send,
1789862263.417841,rc_send,
1789862263.5554414,rc_send,
1789862263.6656823,rc_send,
1789862263.7964442,rc_send,
1789862263.9080207,rc_send,
1789862264.0261316,rc_send,
1789862264.1396925,rc_send,
1789862264.2555,rc_send,
1789862264.370638,rc_send,
1789862264.4402895,llm_explanation,4017.087900021579
1789862264.49595,rc_send,
1789862264.6304104,rc_send,
1789862264.7614605,rc_send,
1789862264.8917675,rc_send,
1789862265.0134504,rc_send,
1789862265.1173072,rc_send,
1789862265.2244654,rc_send,
1789862265.3417954,rc_send,
1789862265.4675224,rc_send,
1789862265.6195817,rc_send,
1789862265.7445886,rc_send,
1789862265.9024162,rc_send,
1789862266.0244722,rc_send,
1789862266.1486254,rc_send,
1789862266.25789,rc_send,
1789862266.3672395,rc_send,
1789862266.494711,rc_send,
1789862266.597409,rc_send,
1789862266.7278793,rc_send,
1789862266.8331604,rc_send,
1789862266.9443998,rc_send,
1789862267.046612,rc_send,
1789862267.155658,rc_send,
1789862267.3106892,rc_send,
1789862267.4235506,rc_send,
1789862267.5283206,rc_send,
1789862267.6448255,rc_send,
1789862267.7454748,rc_send,
1789862267.8624196,rc_send,
1789862267.9653497,rc_send,
1789862268.0799987,rc_send,
1789862268.1909258,rc_send,
1789862268.3679922,rc_send,
1789862268.4706748,rc_send,
1789862268.6077318,rc_send,
1789862268.7156959,rc_send,
1789862268.8393614,rc_send,
1789862268.9574256,rc_send,
1789862269.0892568,rc_send,
1789862269.2529273,rc_send,
1789862269.3863418,rc_send,
1789862269.4985602,rc_send,
1789862269.600246,rc_send,
1789862269.7355163,rc_send,
