t,bat,h,yaw,vgx,vgy,vgz,tof
1789862206.8050895,71.0,0.0,-100.0,0.0,0.0,0.0,10.0
1789862207.8248024,71.0,0.0,-100.0,0.0,0.0,0.0,10.0
1789862208.8286912,71.0,20.0,-37.0,5.0,10.0,10.0,113.0
1789862209.8331306,71.0,0.0,-6.0,2.0,0.0,2.0,10.0
1789862210.8421867,71.0,20.0,29.0,0.0,0.0,1.0,10.0
1789862211.8683488,71.0,0.0,-10.0,0.0,0.0,0.0,10.0
1789862212.9295237,71.0,0.0,35.0,0.0,0.0,0.0,10.0
1789862213.9296103,71.0,0.0,56.0,0.0,0.0,0.0,10.0
1789862214.9313686,71.0,0.0,55.0,0.0,0.0,0.0,10.0
1789862215.9341884,71.0,0.0,55.0,0.0,0.0,-1.0,10.0
1789862216.942866,71.0,0.0,55.0,0.0,0.0,0.0,10.0
1789862217.9870512,71.0,0.0,55.0,0.0,0.0,0.0,10.0
1789862219.0448203,71.0,-10.0,22.0,0.0,0.0,-10.0,10.0
1789862220.0467205,71.0,-70.0,-96.0,0.0,0.0,-7.0,10.0
1789862221.048678,71.0,0.0,-108.0,0.0,0.0,0.0,10.0
1789862222.061941,71.0,0.0,-108.0,0.0,0.0,0.0,10.0
1789862223.0622249,70.0,0.0,-108.0,0.0,0.0,0.0,10.0
1789862230.8020325,70.0,20.0,-108.0,0.0,0.0,0.0,80.0
1789862231.8045712,70.0,20.0,-106.0,0.0,0.0,0.0,83.0
1789862232.8503115,70.0,30.0,-102.0,0.0,0.0,0.0,90.0
1789862233.857756,70.0,50.0,-102.0,0.0,0.0,1.0,104.0
1789862234.859616,70.0,60.0,-102.0,0.0,0.0,1.0,115.0
1789862235.85967,70.0,70.0,-102.0,0.0,0.0,1.0,132.0
1789862236.8783758,70.0,80.0,-100.0,0.0,0.0,0.0,142.0
1789862237.8798163,70.0,100.0,-97.0,0.0,0.0,1.0,157.0
1789862238.8967369,70.0,110.0,-94.0,0.0,0.0,0.0,167.0
1789862239.9394162,70.0,110.0,-92.0,0.0,0.0,0.0,168.0
1789862240.9400017,70.0,110.0,-93.0,0.0,0.0,0.0,170.0
1789862241.9543626,70.0,110.0,-93.0,0.0,0.0,0.0,172.0
1789862242.9560297,70.0,110.0,-93.0,0.0,0.0,0.0,171.0
1789862243.976864,70.0,110.0,-93.0,0.0,0.0,0.0,171.0
1789862244.9815865,70.0,110.0,-93.0,0.0,0.0,0.0,168.0
1789862245.9906747,70.0,130.0,-93.0,0.0,0.0,1.0,187.0
1789862247.0438218,70.0,140.0,-93.0,0.0,0.0,0.0,203.0
1789862248.044367,70.0,130.0,-93.0,0.0,0.0,-1.0,195.0
1789862249.0711236,70.0,120.0,-94.0,0.0,0.0,-1.0,176.0
1789862250.1286993,70.0,100.0,-94.0,0.0,0.0,0.0,162.0
1789862251.1586401,70.0,100.0,-99.0,0.0,0.0,0.0,162.0
1789862252.2040422,70.0,100.0,-109.0,0.0,1.0,0.0,162.0
1789862253.2328694,70.0,100.0,-107.0,0.0,0.0,0.0,160.0
1789862254.2381861,70.0,100.0,-94.0,0.0,0.0,0.0,159.0
1789862255.2761962,69.0,100.0,-84.0,0.0,0.0,0.0,162.0
1789862256.2770927,69.0,110.0,-89.0,0.0,0.0,0.0,165.0
1789862257.3066158,69.0,110.0,-98.0,0.0,0.0,0.0,166.0
1789862258.3632202,69.0,110.0,-92.0,0.0,0.0,0.0,166.0
1789862259.4436722,69.0,110.0,-91.0,0.0,-1.0,0.0,163.0
1789862260.465435,68.0,110.0,-94.0,0.0,-1.0,0.0,163.0
