t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1789862873.5415983,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,9,5.644395112991333
1789862874.5442429,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,142,6.6470396518707275
1789862875.6147876,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,,0.0,True,150,150,False,False,0/20,-1.0,False,167,7.680818796157837
1789862876.6184156,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,,0.0,True,474,365,False,False,0/20,-1.0,False,193,8.720216512680054
1789862877.6452773,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,The drone is currently on a ground-level hover and hasn't detected any obstacles or humans yet.,4097.124599968083,True,472,472,False,False,0/20,-1.0,False,216,9.70861005783081
1789862877.9147084,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is currently on a ground-level hover and hasn't detected any obstacles or humans yet.,4097.124599968083,True,461,461,False,False,0/20,-1.0,False,223,10.017505168914795
1789862878.4792166,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,Allow drone to hover,838.6580999940634,True,301,301,False,False,0/20,-1.0,False,237,10.582013368606567
1789862879.561448,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,30.0,Allow drone to hover,838.6580999940634,True,390,390,False,False,0/20,-1.0,False,262,11.642813920974731
1789862880.0763526,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is hovering in the current position without any moving or interacting actions.,1585.0052000023425,True,316,316,False,False,0/20,-1.0,False,274,12.139868259429932
1789862881.073979,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is hovering in the current position without any moving or interacting actions.,1585.0052000023425,True,215,215,False,False,0/20,-1.0,False,299,13.176775693893433
1789862881.6367807,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,"The drone is now in its final position, ready to land without flying.",1562.2126999660395,True,239,239,False,False,0/20,-1.0,False,312,13.710403680801392
1789862882.6231017,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,"The drone is now in its final position, ready to land without flying.",1562.2126999660395,True,243,243,False,True,7/20,-1.0,False,335,14.71193552017212
1789862883.2335234,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is not equipped with a camera or self-awareness,1598.5946000437252,True,246,246,False,True,18/20,-1.0,False,349,15.269301891326904
1789862883.34736,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,100.0,0.0,The drone is not equipped with a camera or self-awareness,1598.5946000437252,True,247,247,True,False,0/20,0.8892814517021179,False,352,0.0
1789862884.3724318,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,100.0,0.0,The drone is not equipped with a camera or self-awareness,1598.5946000437252,True,248,248,True,False,0/20,0.9203460216522217,False,376,0.0
1789862885.3784754,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,100.0,0.0,The drone is not equipped with a camera or self-awareness,1598.5946000437252,True,248,248,True,False,0/20,0.9048922061920166,False,402,0.0
1789862885.7219553,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,100.0,0.0,The drone is currently flying without any human interaction or landmarks detected.,2489.179299969692,True,241,241,True,False,0/20,0.44026005268096924,False,409,0.0
1789862885.8352253,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,The drone is currently flying without any human interaction or landmarks detected.,2489.179299969692,True,209,209,True,False,0/20,0.374953031539917,False,412,0.03699922561645508
1789862886.8297224,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,-30.0,The drone is currently flying without any human interaction or landmarks detected.,2489.179299969692,True,275,275,True,False,0/20,0.33706992864608765,False,436,1.0384385585784912
