t,event,latency_ms
1789862877.6452773,llm_explanation,4097.124599968083
1789862878.4792166,llm_explanation,838.6580999940634
1789862880.0763526,llm_explanation,1585.0052000023425
1789862881.6367807,llm_explanation,1562.2126999660395
1789862883.2335234,llm_explanation,1598.5946000437252
1789862885.7219553,llm_explanation,2489.179299969692
1789862888.3109345,llm_explanation,2591.392900038045
1789862890.5338573,llm_explanation,2227.4655000073835
1789862892.4645164,llm_explanation,1925.9771999786608
1789862895.6037195,llm_explanation,3127.085599990096
1789862897.5421808,llm_explanation,1948.1555999955162
1789862899.464637,llm_explanation,1849.8611999675632
1789862908.4745104,rc_send,
1789862908.4755108,llm_explanation,1693.4187000151724
1789862908.647032,rc_send,
1789862908.747591,rc_send,
1789862908.8742743,rc_send,
1789862909.003131,rc_send,
1789862909.1572416,rc_send,
1789862909.27887,rc_send,
1789862909.3902817,rc_send,
1789862909.5497026,rc_send,
1789862909.6808167,rc_send,
1789862909.7804375,rc_send,
1789862909.882439,rc_send,
1789862910.0036633,rc_send,
1789862910.0936291,llm_explanation,1604.7566999914125
1789862910.1039748,rc_send,
1789862910.220785,rc_send,
1789862910.3676965,rc_send,
1789862910.4717581,rc_send,
1789862910.6135323,rc_send,
1789862910.7407165,rc_send,
1789862910.8442872,rc_send,
1789862910.97064,rc_send,
1789862911.0834813,rc_send,
1789862911.203677,rc_send,
1789862911.3055522,rc_send,
1789862911.4329739,rc_send,
1789862911.535083,rc_send,
1789862911.6361375,rc_send,
1789862911.7376685,rc_send,
1789862911.8397472,rc_send,
1789862911.9414935,rc_send,
1789862912.0463548,rc_send,
1789862912.1476214,rc_send,
1789862912.2729526,rc_send,
1789862912.381599,rc_send,
1789862912.4829893,rc_send,
1789862912.5912442,rc_send,
1789862912.609172,llm_explanation,2515.939300006721
1789862912.7002223,rc_send,
1789862912.8222692,rc_send,
1789862912.9520755,rc_send,
1789862913.1081374,rc_send,
1789862913.2737203,rc_send,
1789862913.4131575,rc_send,
1789862913.5410826,rc_send,
1789862913.6651845,rc_send,
1789862913.798856,rc_send,
1789862913.9357204,rc_send,
1789862914.0814545,rc_send,
1789862914.186438,rc_send,
1789862914.3234904,rc_send,
1789862914.4411163,rc_send,
1789862914.581472,rc_send,
1789862914.7221365,rc_send,
1789862914.8298619,rc_send,
1789862914.9510732,rc_send,
1789862915.0848553,rc_send,
1789862915.1975236,rc_send,
1789862915.301579,rc_send,
1789862915.433578,rc_send,
1789862915.5328166,rc_send,
1789862915.6336358,rc_send,
1789862915.7565494,rc_send,
1789862915.8779004,rc_send,
1789862915.9918664,rc_send,
1789862916.0958238,rc_send,
1789862916.2077148,rc_send,
1789862916.336793,rc_send,
1789862916.445312,rc_send,
1789862916.6174319,rc_send,
1789862916.6327271,llm_explanation,4007.402999966871
1789862916.7334206,rc_send,
1789862916.8637557,rc_send,
1789862916.9814813,rc_send,
1789862917.095685,rc_send,
1789862917.2234592,rc_send,
1789862917.3311129,rc_send,
1789862917.447594,rc_send,
1789862917.5554256,rc_send,
1789862917.7549016,rc_send,
1789862917.8724313,rc_send,
1789862917.9877377,rc_send,
1789862918.0997074,rc_send,
1789862918.2015448,rc_send,
1789862918.3082514,rc_send,
1789862918.4164083,rc_send,
1789862918.520243,rc_send,
1789862918.6538115,rc_send,
1789862918.771508,rc_send,
1789862918.9193554,rc_send,
1789862919.0249715,rc_send,
1789862919.1482487,rc_send,
1789862919.2626884,rc_send,
1789862919.3642306,rc_send,
1789862919.4804797,rc_send,
1789862919.5918326,rc_send,
1789862919.6931255,rc_send,
1789862919.8223555,rc_send,
1789862919.9590104,rc_send,
1789862920.0724127,rc_send,
1789862920.1855798,rc_send,
1789862920.31688,rc_send,
1789862920.4279656,rc_send,
1789862920.5309815,rc_send,
1789862920.6337736,rc_send,
1789862920.8052826,rc_send,
1789862920.9245324,rc_send,
1789862921.0634742,rc_send,
1789862921.1725314,rc_send,
1789862921.2740135,rc_send,
1789862921.3764946,rc_send,
1789862921.4940464,rc_send,
1789862921.6770556,rc_send,
1789862921.7843854,rc_send,
1789862921.9026046,rc_send,
1789862922.0185578,rc_send,
1789862922.1341076,rc_send,
1789862922.235366,rc_send,
1789862922.3962567,rc_send,
1789862922.5059297,rc_send,
1789862922.6367815,rc_send,
1789862922.806587,rc_send,
1789862922.9175837,rc_send,
1789862923.0273614,rc_send,
1789862923.1514385,rc_send,
1789862923.2691345,rc_send,
1789862923.3897145,rc_send,
1789862923.4959254,rc_send,
1789862923.6184514,rc_send,
1789862923.7209277,rc_send,
1789862923.8289917,rc_send,
1789862923.9574177,rc_send,
1789862924.0990367,rc_send,
1789862924.2163844,rc_send,
1789862924.347798,rc_send,
1789862924.505237,rc_send,
1789862924.6278582,rc_send,
1789862924.7808082,rc_send,
1789862924.8976157,rc_send,
1789862925.014699,rc_send,
1789862925.1333818,rc_send,
1789862925.2354968,rc_send,
1789862925.3450801,rc_send,
1789862925.5192244,rc_send,
1789862925.644052,rc_send,
1789862925.760437,rc_send,
1789862925.868723,rc_send,
1789862925.9860506,rc_send,
1789862926.171977,rc_send,
1789862926.2975435,rc_send,
1789862926.4914362,rc_send,
1789862926.600379,rc_send,
1789862926.7030203,rc_send,
1789862926.8131025,rc_send,
1789862926.9352036,rc_send,
1789862927.0371983,rc_send,
1789862927.1896307,rc_send,
1789862927.2922242,llm_explanation,2632.0213000290096
1789862927.310659,rc_send,
1789862927.4433203,rc_send,
1789862927.5544164,rc_send,
1789862927.6847265,rc_send,
1789862927.7985785,rc_send,
1789862927.9008787,rc_send,
1789862928.0134037,rc_send,
1789862928.1778288,rc_send,
1789862928.2995088,rc_send,
1789862928.423698,rc_send,
1789862928.5960674,rc_send,
1789862928.6978564,rc_send,
1789862928.8511763,rc_send,
1789862928.985593,rc_send,
1789862929.1002636,rc_send,
1789862929.2191973,rc_send,
1789862929.338327,rc_send,
1789862929.4423125,rc_send,
1789862929.5521104,rc_send,
1789862929.6627188,rc_send,
1789862929.7874124,rc_send,
1789862929.893668,rc_send,
1789862930.0301461,rc_send,
1789862930.1477299,rc_send,
1789862930.262104,rc_send,
1789862930.3672378,rc_send,
1789862930.4967318,rc_send,
1789862930.6296108,rc_send,
1789862930.748619,rc_send,
1789862930.8679988,rc_send,
1789862930.9985082,rc_send,
1789862931.115094,rc_send,
1789862931.2290807,rc_send,
1789862931.2990155,llm_explanation,4015.8676999853924
1789862931.367616,rc_send,
1789862931.4965067,rc_send,
1789862931.6087468,rc_send,
1789862931.709185,rc_send,
1789862931.8464155,rc_send,
1789862931.9529145,rc_send,
1789862932.0544949,rc_send,
1789862932.1722765,rc_send,
1789862932.2813694,rc_send,
1789862932.3839614,rc_send,
1789862932.5075839,rc_send,
1789862932.6101906,rc_send,
1789862932.7123525,rc_send,
1789862932.8151014,rc_send,
1789862932.9284205,rc_send,
1789862933.0361958,llm_explanation,1756.1449000495486
1789862933.04494,rc_send,
1789862933.1462138,rc_send,
1789862933.2488794,rc_send,
1789862933.4051006,rc_send,
1789862933.5243025,rc_send,
1789862933.6339188,rc_send,
1789862933.734114,rc_send,
1789862933.8363273,rc_send,
1789862933.9411712,rc_send,
1789862934.0573745,rc_send,
1789862934.1666245,rc_send,
1789862934.279329,rc_send,
1789862934.3811865,rc_send,
1789862934.4945564,rc_send,
1789862934.5980659,rc_send,
1789862934.6170166,llm_explanation,1563.0061999545433
1789862934.7137036,rc_send,
1789862934.8306677,rc_send,
1789862934.9504147,rc_send,
1789862935.0495725,rc_send,
1789862935.1652913,rc_send,
1789862935.3194416,rc_send,
1789862935.442281,rc_send,
1789862935.5452132,rc_send,
1789862935.6623006,rc_send,
1789862935.7767482,rc_send,
1789862935.8787107,rc_send,
1789862935.9881666,rc_send,
1789862936.1145175,rc_send,
1789862936.2197456,rc_send,
1789862936.3395393,rc_send,
1789862936.4995708,rc_send,
1789862936.6094382,rc_send,
1789862936.7225037,rc_send,
1789862936.8289883,rc_send,
1789862936.9368148,rc_send,
1789862937.0640633,rc_send,
1789862937.1656883,rc_send,
1789862937.2784925,rc_send,
1789862937.380192,rc_send,
1789862937.4898562,rc_send,
1789862937.5945995,rc_send,
1789862937.7224152,rc_send,
1789862937.8273175,rc_send,
1789862937.9562826,rc_send,
1789862938.0682826,rc_send,
1789862938.1844056,rc_send,
1789862938.2899988,rc_send,
1789862938.4068599,rc_send,
1789862938.5084994,rc_send,
1789862938.635135,llm_explanation,4005.236299999524
1789862938.6500723,rc_send,
1789862938.7953753,rc_send,
1789862938.9555979,rc_send,
1789862939.0996516,rc_send,
1789862939.2305574,rc_send,
1789862939.347903,rc_send,
1789862939.4482403,rc_send,
1789862939.5700946,rc_send,
1789862939.6733208,rc_send,
1789862939.7941325,rc_send,
1789862939.962282,rc_send,
1789862940.0903938,rc_send,
1789862940.1995568,rc_send,
1789862940.3013883,rc_send,
1789862940.4017715,rc_send,
1789862940.5107322,rc_send,
1789862940.5222678,llm_explanation,1907.3326999787241
1789862940.6628714,rc_send,
1789862940.7634082,rc_send,
1789862940.9022799,rc_send,
1789862941.0176203,rc_send,
1789862941.163124,rc_send,
1789862941.2653818,rc_send,
1789862941.415453,rc_send,
1789862941.5682156,rc_send,
1789862941.6779516,rc_send,
1789862941.823488,rc_send,
1789862941.9241526,rc_send,
1789862942.0345435,rc_send,
1789862942.1352816,rc_send,
1789862942.244452,rc_send,
1789862942.368067,rc_send,
