t,bat,h,yaw,vgx,vgy,vgz,tof
1789862873.5862665,100.0,0.0,5.0,0.0,0.0,0.0,6553.0
1789862874.6040337,100.0,0.0,6.0,0.0,0.0,0.0,6553.0
1789862875.6229415,100.0,0.0,2.0,0.0,0.0,2.0,10.0
1789862876.626395,100.0,0.0,60.0,0.0,0.0,0.0,10.0
1789862877.6542082,100.0,0.0,72.0,0.0,0.0,0.0,10.0
1789862878.6572886,100.0,0.0,60.0,0.0,0.0,0.0,10.0
1789862879.659713,100.0,0.0,4.0,0.0,0.0,1.0,10.0
1789862880.6624787,100.0,0.0,-46.0,0.0,0.0,0.0,10.0
1789862881.6642652,100.0,0.0,-63.0,0.0,0.0,0.0,10.0
1789862882.709427,100.0,0.0,-68.0,0.0,0.0,0.0,10.0
1789862883.7318745,100.0,0.0,-67.0,0.0,0.0,0.0,10.0
1789862884.7850134,100.0,0.0,-65.0,0.0,0.0,0.0,10.0
1789862885.8532631,100.0,0.0,-62.0,0.0,0.0,0.0,10.0
1789862886.8780828,100.0,-30.0,-80.0,0.0,0.0,-1.0,10.0
1789862887.8786292,100.0,0.0,-137.0,0.0,0.0,-2.0,10.0
1789862888.8853173,100.0,0.0,-89.0,0.0,0.0,-2.0,10.0
1789862889.896619,100.0,0.0,-85.0,0.0,0.0,-2.0,10.0
1789862890.8999178,100.0,0.0,-82.0,0.0,0.0,0.0,10.0
1789862891.9024534,100.0,0.0,-89.0,0.0,0.0,0.0,10.0
1789862892.918629,100.0,0.0,-87.0,0.0,0.0,0.0,10.0
1789862893.9213064,100.0,0.0,-87.0,0.0,0.0,0.0,10.0
1789862894.9475694,100.0,0.0,-89.0,0.0,0.0,0.0,10.0
1789862895.995481,100.0,0.0,-90.0,0.0,0.0,0.0,10.0
1789862896.995611,100.0,0.0,-90.0,0.0,0.0,0.0,10.0
1789862897.997659,100.0,0.0,-91.0,0.0,0.0,0.0,10.0
1789862898.9984453,100.0,0.0,-91.0,0.0,0.0,0.0,10.0
1789862900.0189784,100.0,0.0,-91.0,0.0,0.0,0.0,10.0
1789862901.0239475,100.0,0.0,-92.0,0.0,0.0,0.0,10.0
1789862902.0305429,100.0,0.0,-92.0,0.0,0.0,0.0,10.0
1789862908.4745104,100.0,70.0,-91.0,0.0,0.0,0.0,80.0
1789862909.4827323,100.0,70.0,-91.0,0.0,0.0,0.0,81.0
1789862910.524165,100.0,70.0,-91.0,0.0,-3.0,0.0,77.0
1789862911.535083,100.0,70.0,-92.0,0.0,-3.0,0.0,130.0
1789862912.5912442,100.0,70.0,-98.0,0.0,0.0,0.0,133.0
1789862913.6651845,100.0,70.0,-106.0,0.0,0.0,0.0,133.0
1789862914.7221365,100.0,80.0,-106.0,0.0,0.0,1.0,138.0
1789862915.7254033,100.0,90.0,-103.0,0.0,0.0,0.0,149.0
1789862916.7334206,100.0,90.0,-103.0,0.0,0.0,0.0,148.0
1789862917.7549016,100.0,90.0,-103.0,0.0,0.0,0.0,148.0
1789862918.771508,99.0,90.0,-103.0,1.0,0.0,0.0,150.0
1789862919.7926307,99.0,90.0,-102.0,3.0,0.0,0.0,153.0
1789862920.8052826,98.0,100.0,-109.0,0.0,0.0,1.0,163.0
1789862921.8103156,98.0,110.0,-112.0,0.0,0.0,0.0,174.0
1789862922.8343775,97.0,110.0,-111.0,0.0,0.0,0.0,175.0
1789862923.8599288,97.0,110.0,-110.0,0.0,0.0,0.0,175.0
1789862924.8976157,96.0,110.0,-112.0,0.0,0.0,0.0,175.0
1789862925.9006574,96.0,110.0,-112.0,0.0,0.0,0.0,174.0
1789862926.9072783,95.0,110.0,-113.0,0.0,0.0,0.0,173.0
1789862927.9775002,95.0,110.0,-115.0,3.0,-1.0,0.0,174.0
1789862928.985593,94.0,110.0,-115.0,4.0,-1.0,0.0,173.0
1789862930.0301461,94.0,110.0,-106.0,1.0,0.0,0.0,172.0
1789862931.0811849,93.0,110.0,-96.0,0.0,0.0,0.0,175.0
1789862932.101107,93.0,110.0,-89.0,0.0,0.0,0.0,176.0
1789862933.1021764,92.0,110.0,-89.0,0.0,0.0,0.0,176.0
1789862934.1361952,92.0,110.0,-86.0,0.0,-1.0,0.0,175.0
1789862935.1393604,91.0,110.0,-86.0,0.0,-1.0,0.0,173.0
1789862936.1913118,91.0,100.0,-87.0,0.0,0.0,0.0,164.0
