t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran,rule_infer_ms,rule_infer_ms_ran
1789863149.7617357,8,,,1.13677978515625,0.05169998621568084,0.00600004568696022,1,,0,,0,0,,0,hover,0.02459995448589325,1,,
1789863149.8463683,17,0.08463263511657715,11.815772941756462,14.957189559936523,41.602600016631186,0.007099995855242014,1,,0,,0,0,41.5379999903962,1,hover,0.036999990697950125,1,,
1789863149.875341,36,0.028972625732421875,34.51533903884134,7.010936737060547,0.06220000796020031,0.008300004992634058,1,,0,,0,0,,0,hover,0.028999987989664078,1,,
1789863149.9431283,42,0.06778740882873535,14.752002138428045,1.9936561584472656,39.20369996922091,0.004699977580457926,1,9.839000005740672,1,,0,0,29.333699960261583,1,hover,0.01899997005239129,1,,
1789863149.9600854,60,0.01695704460144043,58.972540528380414,2.9938220977783203,0.0703000114299357,0.010000017937272787,1,,0,,0,0,,0,hover,0.030800001695752144,1,,
1789863150.009761,66,0.049675703048706055,20.130565621175396,1.0447502136230469,31.31369996117428,0.013100041542202234,1,,0,,0,0,31.228799954988062,1,hover,0.042599975131452084,1,,
1789863150.02223,78,0.012468814849853516,80.20008413323646,1.9938945770263672,0.04899996565654874,0.006100046448409557,1,,0,,0,0,,0,hover,0.02139998832717538,1,,
1789863150.0670686,83,0.044838666915893555,22.302179542397123,0.9973049163818359,33.37189997546375,0.00890000956133008,1,6.538000016007572,1,,0,0,26.786400005221367,1,hover,0.02759997732937336,1,,
1789863150.0780394,105,0.010970830917358398,91.15079865261328,0.9973049163818359,0.039300008211284876,0.005900044925510883,1,,0,,0,0,,0,hover,0.017499958630651236,1,,
1789863150.1109514,110,0.03291201591491699,30.38403975572829,0.0,22.72920001996681,0.003999972250312567,1,,0,,0,0,22.701799985952675,1,hover,0.01390004763379693,1,,
