t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1789866030.6770318,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,6,5.640967130661011
1789866031.7058334,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,142,6.650909662246704
1789866032.7190993,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,166,7.661175012588501
1789866033.7232184,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,191,8.687153816223145
1789866034.4759579,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,40.0,The drone is hovering within range and has a stable altitude without any detected obstacles or issues,3796.1895000189543,False,,,False,False,0/20,-1.0,False,209,9.439893245697021
1789866035.0527909,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is hovering within range and has a stable altitude without any detected obstacles or issues,3796.1895000189543,True,299,299,False,False,0/20,-1.0,False,223,10.016181468963623
1789866036.0593987,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is hovering within range and has a stable altitude without any detected obstacles or issues,3796.1895000189543,True,271,271,False,False,0/20,-1.0,False,247,11.02333402633667
1789866036.2116036,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is hovering and does not have a battery level of 15 or less,1668.9014000003226,True,274,274,False,False,0/20,-1.0,False,250,11.149527788162231
1789866036.7075863,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,...,528.4658999880776,True,279,279,False,False,0/20,-1.0,False,262,11.653525114059448
1789866037.7165916,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,...,528.4658999880776,True,379,379,False,False,0/20,-1.0,False,287,12.680526971817017
1789866038.3809316,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is now flying due to the time elapsed since the last human interaction.,1587.0088000083342,False,368,368,False,False,0/20,-1.0,False,303,13.34486699104309
1789866039.3850043,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is now flying due to the time elapsed since the last human interaction.,1587.0088000083342,True,210,210,False,False,0/20,-1.0,False,327,14.348939657211304
1789866039.729473,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,Autonomous drone will now search for ground objects,1279.4434999814257,True,201,201,False,False,0/20,-1.0,False,334,14.653627872467041
1789866040.7372625,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,Autonomous drone will now search for ground objects,1279.4434999814257,True,247,247,False,False,0/20,-1.0,False,358,15.671566009521484
1789866041.7216847,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,Autonomous drone will now search for ground objects,1279.4434999814257,True,235,235,False,False,0/20,-1.0,False,383,16.685620069503784
1789866042.7302825,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,Autonomous drone will now search for ground objects,1279.4434999814257,True,227,227,False,False,0/20,-1.0,False,407,17.69321918487549
1789866043.7195027,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,99.0,0.0,LLM error (ReadTimeout),4026.7781000002287,True,189,189,False,False,0/20,-1.0,False,431,18.683438062667847
1789866044.7926962,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,99.0,0.0,LLM error (ReadTimeout),4026.7781000002287,True,207,207,False,False,0/20,-1.0,False,456,19.71609878540039
1789866045.7834315,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,98.0,0.0,LLM error (ReadTimeout),4026.7781000002287,True,201,201,False,False,0/20,-1.0,False,480,20.716448545455933
1789866046.4568357,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,98.0,0.0,Safety measures are in place to prevent the drone from causing harm and safety precautions have been taken.,2762.235700036399,True,217,217,False,False,0/20,-1.0,False,496,21.38594627380371
1789866047.4645314,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,97.0,0.0,Safety measures are in place to prevent the drone from causing harm and safety precautions have been taken.,2762.235700036399,True,231,231,False,False,0/20,-1.0,False,521,22.428466796875
1789866048.4710217,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,97.0,0.0,Safety measures are in place to prevent the drone from causing harm and safety precautions have been taken.,2762.235700036399,True,231,231,False,False,0/20,-1.0,False,545,23.4339599609375
1789866049.123337,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,96.0,0.0,Autonomous drone automatically searched the area with a 10-second delay without any human intervention,2631.746600032784,True,234,234,False,False,0/20,-1.0,False,560,24.053338766098022
