t,event,latency_ms
1789866034.4759579,llm_explanation,3796.1895000189543
1789866036.2116036,llm_explanation,1668.9014000003226
1789866036.7075863,llm_explanation,528.4658999880776
1789866038.3809316,llm_explanation,1587.0088000083342
1789866039.729473,llm_explanation,1279.4434999814257
1789866043.7195027,llm_explanation,4026.7781000002287
1789866046.4568357,llm_explanation,2762.235700036399
1789866049.123337,llm_explanation,2631.746600032784
1789866050.3428385,llm_explanation,1236.118600005284
1789866053.1856985,llm_explanation,2860.532799968496
1789866056.0059564,llm_explanation,2800.468200002797
1789866058.6193104,llm_explanation,2609.709100041073
1789866060.674297,llm_explanation,2071.726399997715
1789866062.829619,llm_explanation,2170.219699968584
1789866065.4806116,llm_explanation,2627.0571000059135
1789866067.8282309,llm_explanation,2356.879100028891
1789866069.8584795,llm_explanation,2044.2886999808252
1789866071.3513186,llm_explanation,1464.3536999938078
1789866073.1413217,llm_explanation,1767.1104000182822
1789866075.201437,llm_explanation,2085.496600018814
1789866079.2044282,llm_explanation,4028.106099984143
1789866088.3076293,llm_explanation,1069.2539000301622
1789866089.904777,llm_explanation,1542.376899975352
1789866092.5494084,llm_explanation,2722.1270999871194
1789866094.4148636,llm_explanation,1824.9756000004709
1789866096.3948085,llm_explanation,2008.299499982968
1789866098.4711442,llm_explanation,2019.425800011959
1789866100.9830172,llm_explanation,2552.5616999948397
1789866111.6220064,rc_send,
1789866111.6467767,llm_explanation,1512.0300000417046
1789866111.7351599,rc_send,
1789866111.8380852,rc_send,
1789866111.9561596,rc_send,
1789866112.0801406,rc_send,
1789866112.1819675,rc_send,
1789866112.3025024,rc_send,
1789866112.40335,rc_send,
1789866112.5066292,rc_send,
1789866112.6414275,rc_send,
1789866112.7417276,rc_send,
1789866112.8432362,rc_send,
1789866112.9472136,rc_send,
1789866113.0563066,rc_send,
1789866113.1617062,rc_send,
1789866113.287661,rc_send,
1789866113.3928852,rc_send,
1789866113.4954076,rc_send,
1789866113.6191382,rc_send,
1789866113.7311592,rc_send,
1789866113.8339677,rc_send,
1789866113.955094,rc_send,
1789866114.0781188,rc_send,
1789866114.2059176,rc_send,
1789866114.3067684,rc_send,
1789866114.4068027,rc_send,
1789866114.526412,rc_send,
1789866114.6308491,rc_send,
1789866114.7623904,rc_send,
1789866114.8670182,rc_send,
1789866114.9796283,rc_send,
1789866115.0854783,rc_send,
1789866115.1997201,rc_send,
1789866115.3020058,rc_send,
1789866115.4061573,rc_send,
1789866115.535541,rc_send,
1789866115.6396127,rc_send,
1789866115.7160347,llm_explanation,4022.5013999734074
1789866115.7665253,rc_send,
1789866115.8691437,rc_send,
1789866115.9706197,rc_send,
1789866116.0992274,rc_send,
1789866116.2604,rc_send,
1789866116.376514,rc_send,
1789866116.4828026,rc_send,
1789866116.6222064,rc_send,
1789866116.7359414,rc_send,
1789866116.8401837,rc_send,
1789866116.958659,rc_send,
1789866117.0745385,rc_send,
1789866117.197404,rc_send,
1789866117.3015344,rc_send,
1789866117.4118714,rc_send,
1789866117.5409873,rc_send,
1789866117.6548772,rc_send,
1789866117.7632725,rc_send,
1789866117.9019735,rc_send,
1789866118.0037894,rc_send,
1789866118.1362226,rc_send,
1789866118.255115,rc_send,
1789866118.3971784,rc_send,
1789866118.5026357,rc_send,
1789866118.6452324,rc_send,
1789866118.7483215,rc_send,
1789866118.8483331,rc_send,
1789866118.9558318,rc_send,
1789866119.0739992,rc_send,
1789866119.174389,rc_send,
1789866119.3067937,rc_send,
1789866119.4114943,rc_send,
1789866119.5132058,rc_send,
1789866119.6304715,rc_send,
1789866119.7304928,rc_send,
1789866119.8312826,rc_send,
1789866119.9836571,rc_send,
1789866120.098303,rc_send,
1789866120.236561,rc_send,
1789866120.340009,rc_send,
1789866120.4864478,rc_send,
1789866120.5932903,rc_send,
1789866120.7272184,rc_send,
1789866120.8273177,rc_send,
1789866120.975418,rc_send,
1789866121.0849524,rc_send,
1789866121.234093,rc_send,
1789866121.3371282,rc_send,
1789866121.4852512,rc_send,
1789866121.5869772,rc_send,
1789866121.727974,rc_send,
1789866121.8276584,rc_send,
1789866121.9670224,rc_send,
1789866122.0842052,rc_send,
1789866122.234074,rc_send,
1789866122.28947,llm_explanation,2609.1938999597915
1789866122.3335738,rc_send,
1789866122.477435,rc_send,
1789866122.5943425,rc_send,
1789866122.7336915,rc_send,
1789866122.8624363,rc_send,
1789866123.023182,rc_send,
1789866123.1346545,rc_send,
1789866123.2805557,rc_send,
1789866123.4226105,rc_send,
1789866123.5519845,rc_send,
1789866123.6731098,rc_send,
1789866123.7872548,rc_send,
1789866123.9354794,rc_send,
1789866124.0451667,rc_send,
1789866124.1887815,rc_send,
1789866124.3203425,rc_send,
1789866124.4530563,llm_explanation,2156.4179999986663
1789866124.467825,rc_send,
1789866124.5870378,rc_send,
1789866124.7187257,rc_send,
1789866124.8243408,rc_send,
1789866124.9406092,rc_send,
1789866125.041581,rc_send,
1789866125.1822548,rc_send,
