t,bat,h,yaw,vgx,vgy,vgz,tof
1789866030.710969,100.0,0.0,-3.0,0.0,0.0,0.0,6553.0
1789866031.7138052,100.0,0.0,-3.0,0.0,0.0,0.0,6553.0
1789866032.7280755,100.0,0.0,10.0,0.0,0.0,5.0,10.0
1789866033.7311969,100.0,0.0,65.0,0.0,0.0,0.0,10.0
1789866034.732772,100.0,40.0,89.0,0.0,0.0,0.0,10.0
1789866035.7334285,100.0,0.0,85.0,0.0,0.0,0.0,10.0
1789866036.7346075,100.0,0.0,82.0,0.0,0.0,0.0,10.0
1789866037.737533,100.0,0.0,-30.0,0.0,0.0,-1.0,10.0
1789866038.7395597,100.0,0.0,-81.0,0.0,0.0,3.0,10.0
1789866039.751805,100.0,0.0,-94.0,0.0,0.0,1.0,10.0
1789866040.7588193,100.0,0.0,-99.0,0.0,0.0,0.0,10.0
1789866041.7901528,100.0,0.0,-97.0,0.0,0.0,0.0,10.0
1789866042.7962801,100.0,0.0,-97.0,0.0,0.0,0.0,10.0
1789866043.8003983,99.0,0.0,-96.0,0.0,0.0,0.0,10.0
1789866044.8046632,99.0,0.0,-96.0,0.0,0.0,0.0,10.0
1789866045.8062286,98.0,0.0,-99.0,0.0,0.0,0.0,10.0
1789866046.8088295,98.0,0.0,-98.0,0.0,0.0,0.0,10.0
1789866047.8107717,97.0,0.0,-97.0,0.0,0.0,0.0,10.0
1789866048.81274,97.0,0.0,-98.0,0.0,0.0,0.0,10.0
1789866049.8136532,96.0,0.0,-96.0,0.0,0.0,0.0,10.0
1789866050.8179018,96.0,0.0,-97.0,0.0,0.0,0.0,10.0
1789866051.8182662,95.0,0.0,-92.0,0.0,0.0,0.0,10.0
1789866052.8515909,95.0,0.0,-93.0,0.0,0.0,0.0,10.0
1789866053.8587859,94.0,0.0,-92.0,0.0,0.0,0.0,10.0
1789866054.8621778,94.0,0.0,-87.0,0.0,0.0,0.0,10.0
1789866055.8643887,94.0,0.0,-29.0,0.0,0.0,-3.0,10.0
1789866056.8731182,94.0,0.0,16.0,0.0,0.0,0.0,10.0
1789866057.8783548,94.0,0.0,29.0,0.0,0.0,-1.0,10.0
1789866058.882168,94.0,0.0,32.0,0.0,0.0,0.0,10.0
1789866059.9200568,94.0,0.0,36.0,0.0,0.0,0.0,10.0
1789866060.9202213,94.0,0.0,36.0,0.0,0.0,0.0,10.0
1789866061.9207363,94.0,0.0,37.0,0.0,0.0,0.0,10.0
1789866062.9247606,94.0,0.0,37.0,0.0,0.0,0.0,10.0
1789866063.925528,94.0,0.0,37.0,0.0,0.0,0.0,10.0
1789866064.9414408,94.0,0.0,37.0,0.0,0.0,0.0,10.0
1789866065.9420547,94.0,0.0,37.0,0.0,0.0,0.0,10.0
1789866066.9432757,94.0,0.0,38.0,0.0,0.0,0.0,10.0
1789866067.9803472,94.0,0.0,41.0,0.0,0.0,0.0,10.0
1789866069.0158534,94.0,0.0,40.0,0.0,0.0,0.0,10.0
1789866070.0382707,94.0,0.0,41.0,0.0,0.0,0.0,10.0
1789866071.0521083,93.0,0.0,40.0,0.0,0.0,0.0,10.0
1789866072.0625868,93.0,0.0,41.0,0.0,0.0,0.0,10.0
1789866073.0724683,93.0,0.0,37.0,0.0,0.0,0.0,10.0
1789866074.1211183,93.0,0.0,37.0,0.0,0.0,0.0,10.0
1789866075.1376698,93.0,0.0,33.0,0.0,0.0,0.0,10.0
1789866076.138504,93.0,0.0,33.0,0.0,0.0,0.0,10.0
1789866077.1399767,93.0,0.0,31.0,0.0,0.0,0.0,10.0
1789866078.141385,93.0,0.0,31.0,0.0,0.0,0.0,10.0
1789866079.1422293,93.0,0.0,28.0,0.0,0.0,0.0,10.0
1789866080.1436255,93.0,0.0,27.0,0.0,0.0,0.0,10.0
1789866081.1485138,93.0,0.0,-93.0,0.0,0.0,0.0,10.0
1789866082.2009137,93.0,0.0,-98.0,0.0,0.0,0.0,10.0
1789866083.2374377,93.0,0.0,-98.0,0.0,0.0,0.0,10.0
1789866084.2412276,92.0,0.0,-99.0,0.0,0.0,0.0,10.0
1789866085.251657,92.0,0.0,-90.0,0.0,0.0,-2.0,10.0
1789866086.2837012,92.0,-50.0,-108.0,0.0,0.0,-2.0,93.0
1789866087.3312964,92.0,-90.0,-98.0,0.0,0.0,-1.0,10.0
1789866088.3317413,92.0,0.0,-102.0,0.0,0.0,0.0,10.0
1789866089.3324578,92.0,0.0,-113.0,0.0,0.0,0.0,10.0
1789866090.3340888,92.0,0.0,-113.0,0.0,0.0,0.0,10.0
1789866091.3394444,92.0,0.0,-114.0,0.0,0.0,0.0,10.0
1789866092.3520615,92.0,0.0,-115.0,0.0,0.0,0.0,10.0
1789866093.8020372,92.0,0.0,-115.0,0.0,0.0,0.0,10.0
1789866094.854579,92.0,0.0,-115.0,0.0,0.0,0.0,10.0
1789866095.890544,92.0,0.0,-115.0,0.0,0.0,0.0,10.0
1789866096.890821,92.0,0.0,-115.0,0.0,0.0,0.0,10.0
1789866097.8925347,92.0,0.0,-115.0,0.0,0.0,0.0,10.0
1789866098.8930933,92.0,0.0,-115.0,0.0,0.0,0.0,10.0
1789866099.8952255,92.0,0.0,-115.0,0.0,0.0,0.0,10.0
1789866100.897761,92.0,0.0,-115.0,0.0,0.0,0.0,10.0
1789866101.8998802,92.0,0.0,-115.0,0.0,0.0,0.0,10.0
1789866102.9001346,92.0,0.0,-115.0,0.0,0.0,0.0,10.0
1789866103.9020083,92.0,0.0,-115.0,0.0,0.0,0.0,10.0
1789866104.9039974,92.0,0.0,-115.0,0.0,0.0,0.0,10.0
1789866111.6220064,92.0,60.0,-115.0,0.0,0.0,0.0,78.0
1789866112.6414275,92.0,60.0,-115.0,0.0,0.0,0.0,82.0
1789866113.644869,92.0,60.0,-110.0,0.0,0.0,0.0,83.0
1789866114.6467776,92.0,60.0,-92.0,0.0,0.0,0.0,82.0
1789866115.6485891,92.0,70.0,-96.0,0.0,0.0,0.0,83.0
1789866116.6496456,92.0,70.0,-97.0,0.0,0.0,0.0,127.0
1789866117.6548772,92.0,60.0,-103.0,0.0,-1.0,0.0,90.0
1789866118.6562035,92.0,60.0,-105.0,0.0,0.0,0.0,80.0
1789866119.658904,92.0,70.0,-105.0,0.0,0.0,0.0,94.0
1789866120.6684613,92.0,80.0,-103.0,0.0,0.0,0.0,98.0
1789866121.6710737,92.0,80.0,-101.0,0.0,0.0,0.0,114.0
1789866122.6735969,92.0,90.0,-101.0,0.0,0.0,0.0,136.0
1789866123.6761,92.0,90.0,-101.0,0.0,0.0,0.0,141.0
1789866124.6868112,92.0,90.0,-101.0,0.0,0.0,1.0,146.0
1789866125.7097769,92.0,110.0,-101.0,0.0,0.0,1.0,159.0
1789866126.7239883,92.0,120.0,-101.0,0.0,0.0,1.0,173.0
1789866127.72437,92.0,130.0,-101.0,0.0,0.0,0.0,179.0
1789866128.750629,92.0,110.0,-101.0,0.0,0.0,-1.0,162.0
1789866129.771039,92.0,90.0,-101.0,0.0,0.0,0.0,148.0
1789866130.809302,91.0,100.0,-100.0,0.0,0.0,0.0,155.0
1789866131.809654,91.0,100.0,-100.0,0.0,0.0,0.0,155.0
1789866132.8233342,91.0,100.0,-100.0,0.0,0.0,0.0,154.0
1789866133.8414922,91.0,100.0,-100.0,0.0,0.0,0.0,155.0
1789866134.843766,90.0,110.0,-100.0,0.0,0.0,0.0,160.0
1789866135.8891957,90.0,110.0,-100.0,0.0,0.0,0.0,168.0
1789866136.9024947,90.0,120.0,-100.0,0.0,0.0,0.0,174.0
1789866137.9040325,90.0,110.0,-100.0,0.0,0.0,-1.0,161.0
1789866138.9283552,89.0,90.0,-100.0,0.0,0.0,-1.0,147.0
1789866139.9964533,89.0,90.0,-100.0,3.0,0.0,0.0,144.0
1789866141.0276964,89.0,90.0,-99.0,0.0,0.0,0.0,140.0
1789866142.0493364,89.0,90.0,-99.0,-1.0,0.0,0.0,143.0
1789866143.0498738,88.0,90.0,-99.0,-1.0,0.0,0.0,141.0
1789866144.0864573,88.0,90.0,-99.0,0.0,0.0,0.0,141.0
1789866145.0878453,88.0,90.0,-99.0,0.0,0.0,0.0,141.0
1789866146.0908196,88.0,90.0,-99.0,-1.0,0.0,0.0,141.0
1789866147.0921457,88.0,90.0,-99.0,-4.0,0.0,0.0,140.0
1789866148.0934558,88.0,90.0,-99.0,-1.0,0.0,0.0,138.0
1789866149.09526,87.0,90.0,-99.0,0.0,0.0,0.0,137.0
1789866150.096441,87.0,90.0,-99.0,3.0,0.0,0.0,139.0
1789866151.1203442,87.0,90.0,-96.0,1.0,0.0,0.0,140.0
