t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1789866419.1954236,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,69.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,9,5.631946086883545
1789866420.2577765,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,68.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,142,6.664430618286133
1789866421.268974,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,68.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,167,7.705496549606323
1789866421.6055543,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,68.0,0.0,The drone is hovering near the ground with a stable altitude and no battery warning,2405.079200048931,False,,,False,False,0/20,-1.0,False,175,8.042076826095581
1789866429.9257352,search_360,ground,Autonomy: no human for 16.3s -> search_360,SEARCH,,False,False,False,False,68.0,0.0,The drone is currently flying at a distance of 0 cm from the user.,1516.8105000047944,False,,,False,False,0/20,-1.0,False,374,16.33333730697632
1789866430.9279723,search_360,ground,Autonomy: no human for 16.3s -> search_360,SEARCH,,False,False,False,False,68.0,0.0,The drone is currently flying at a distance of 0 cm from the user.,1516.8105000047944,False,,,False,False,0/20,-1.0,False,399,17.364494800567627
1789866431.930321,search_360,ground,Autonomy: no human for 16.3s -> search_360,SEARCH,,False,False,False,False,68.0,0.0,The drone is currently flying at a distance of 0 cm from the user.,1516.8105000047944,False,,,False,False,0/20,-1.0,False,423,18.366843461990356
1789866432.1622677,search_360,ground,Autonomy: no human for 16.3s -> search_360,SEARCH,,False,False,False,False,68.0,0.0,The drone's altitude is too high for autotomy to work.,2223.0808999738656,False,,,False,False,0/20,-1.0,False,428,18.567712783813477
1789866441.0780554,search_360,ground,Autonomy: no human for 16.3s -> search_360,SEARCH,,False,False,False,False,68.0,0.0,Autonomy: no human for 16.3s,1156.674399971962,False,,,False,False,0/20,-1.0,False,643,27.514577865600586
1789866442.1442373,search_360,ground,Autonomy: no human for 16.3s -> search_360,SEARCH,,False,False,False,False,68.0,0.0,Autonomy: no human for 16.3s,1156.674399971962,False,,,False,False,0/20,-1.0,False,668,28.561809539794922
1789866442.2213442,search_360,ground,Autonomy: no human for 16.3s -> search_360,SEARCH,,False,False,False,False,68.0,0.0,The drone is currently flying.,1130.8931999956258,False,,,False,False,0/20,-1.0,False,670,28.63581347465515
1789866443.2035692,search_360,ground,Autonomy: no human for 16.3s -> search_360,SEARCH,,False,False,False,False,68.0,0.0,The drone is currently flying.,1130.8931999956258,False,,,False,False,0/20,-1.0,False,694,29.64009165763855
1789866443.6837213,search_360,ground,Autonomy: no human for 16.3s -> search_360,SEARCH,,False,False,False,False,68.0,0.0,The drone is conducting a ground inspection due to battery level and altitude constraints.,1465.191999974195,False,,,False,False,0/20,-1.0,False,705,30.099650621414185
1789866444.6918738,search_360,ground,Autonomy: no human for 16.3s -> search_360,SEARCH,,False,False,False,False,68.0,0.0,The drone is conducting a ground inspection due to battery level and altitude constraints.,1465.191999974195,False,,,False,False,0/20,-1.0,False,730,31.1283962726593
1789866445.69533,search_360,ground,Autonomy: no human for 16.3s -> search_360,SEARCH,,False,False,False,False,68.0,0.0,The drone is conducting a ground inspection due to battery level and altitude constraints.,1465.191999974195,False,,,False,True,0/20,-1.0,False,754,32.13185238838196
1789866445.9226596,search_360,ground,Autonomy: no human for 16.3s -> search_360,SEARCH,,False,False,False,False,68.0,0.0,Autonomy: no human for 16.3s -> search_360,2201.1061999946833,False,,,False,True,0/20,-1.0,False,759,32.334686279296875
1789866446.9500916,search_360,ground,Autonomy: no human for 16.3s -> search_360,SEARCH,,False,False,False,False,68.0,0.0,Autonomy: no human for 16.3s -> search_360,2201.1061999946833,False,,,False,True,0/20,-1.0,False,784,33.386614084243774
1789866455.388758,search_360,ground,Autonomy: no human for 16.3s -> search_360,SEARCH,,False,False,False,False,68.0,0.0,Autonomy: no human for 16.3s -> search_360,1662.3541999724694,False,,,False,True,0/20,-1.0,False,987,41.82528042793274
