t,bat,h,yaw,vgx,vgy,vgz,tof
1789866419.26823,69.0,0.0,-132.0,0.0,0.0,0.0,10.0
1789866420.2777562,68.0,0.0,-132.0,0.0,0.0,0.0,10.0
1789866421.2798457,68.0,0.0,-132.0,0.0,0.0,0.0,10.0
1789866429.8958097,68.0,0.0,-132.0,0.0,0.0,0.0,10.0
1789866430.903039,68.0,0.0,-132.0,0.0,0.0,0.0,10.0
1789866431.9123333,68.0,0.0,-132.0,0.0,0.0,0.0,10.0
1789866432.9130533,68.0,0.0,-132.0,0.0,0.0,0.0,10.0
1789866441.0780554,68.0,0.0,-132.0,0.0,0.0,0.0,10.0
1789866442.084762,68.0,0.0,-132.0,0.0,0.0,0.0,10.0
1789866443.095616,68.0,0.0,-132.0,0.0,0.0,0.0,10.0
1789866444.1046524,68.0,0.0,-132.0,0.0,0.0,0.0,10.0
1789866445.1119087,68.0,0.0,-132.0,0.0,0.0,0.0,10.0
1789866446.1143777,68.0,0.0,-132.0,0.0,0.0,0.0,10.0
1789866447.1206784,68.0,0.0,-132.0,0.0,0.0,0.0,10.0
1789866455.388758,68.0,0.0,-132.0,0.0,0.0,0.0,10.0
