t,event,latency_ms
1789866667.9218087,rc_send,
1789866667.9482427,llm_explanation,1935.961299983319
1789866668.0304713,rc_send,
1789866668.1403654,rc_send,
1789866668.2797124,rc_send,
1789866668.4056342,rc_send,
1789866668.5135732,rc_send,
1789866668.622482,rc_send,
1789866668.7300131,rc_send,
1789866668.8375785,rc_send,
1789866668.9609888,rc_send,
1789866669.0612953,rc_send,
1789866669.1617916,rc_send,
1789866669.2702417,rc_send,
1789866669.3924682,rc_send,
1789866669.5003812,rc_send,
1789866669.601372,rc_send,
1789866669.716757,rc_send,
1789866669.824024,rc_send,
1789866669.9315257,rc_send,
1789866669.9864993,llm_explanation,1999.6055000228807
1789866670.0555284,rc_send,
1789866670.1640599,rc_send,
1789866670.274409,rc_send,
1789866670.380411,rc_send,
1789866670.5029657,rc_send,
1789866670.6107304,rc_send,
1789866670.7189748,rc_send,
1789866670.828248,rc_send,
1789866670.9283092,rc_send,
1789866671.0305135,rc_send,
1789866671.153971,rc_send,
1789866671.2603896,rc_send,
1789866671.384259,rc_send,
1789866671.4967995,rc_send,
1789866671.597622,rc_send,
1789866671.6562753,llm_explanation,1700.6855999934487
1789866671.7151535,rc_send,
1789866671.817813,rc_send,
1789866671.9219556,rc_send,
1789866672.029301,rc_send,
1789866672.1549962,rc_send,
1789866672.2596698,rc_send,
1789866672.3823793,rc_send,
1789866672.4911323,rc_send,
1789866672.593469,rc_send,
1789866672.7189322,rc_send,
1789866672.8199716,rc_send,
1789866672.921133,rc_send,
1789866673.0573792,rc_send,
1789866673.165283,rc_send,
1789866673.2662625,rc_send,
1789866673.3997898,rc_send,
1789866673.521034,rc_send,
1789866673.6311066,rc_send,
1789866673.756501,rc_send,
1789866673.8687184,rc_send,
1789866673.969708,rc_send,
1789866674.0904787,rc_send,
1789866674.1924505,rc_send,
1789866674.2968276,rc_send,
1789866674.4237068,rc_send,
1789866674.5293846,rc_send,
1789866674.632144,rc_send,
1789866674.7541206,rc_send,
1789866674.8615756,rc_send,
1789866674.9623818,rc_send,
1789866675.0944626,rc_send,
1789866675.1979663,rc_send,
1789866675.2988906,rc_send,
1789866675.4255395,rc_send,
1789866675.5350983,rc_send,
1789866675.6390858,rc_send,
1789866675.7006092,llm_explanation,4006.193600012921
1789866675.7589183,rc_send,
1789866675.8715131,rc_send,
1789866675.9740837,rc_send,
1789866676.0926003,rc_send,
1789866676.1995037,rc_send,
