t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1789875393.7974126,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,13,5.649439334869385
1789875394.8106499,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,143,6.662676572799683
1789875395.8294842,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,,0.0,True,140,140,False,False,0/20,-1.0,False,167,7.681510925292969
1789875403.1751053,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 15.0s -> search_360,SEARCH,,False,False,False,False,100.0,70.0,The drone is in an autonomous hover state with a battery level of 100% and its altitude stabilized at 0.0 cm.,3284.378900018055,False,140,140,False,False,0/20,-1.0,True,343,15.0051589012146
1789875404.1803484,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 15.0s -> search_360,SEARCH,,False,False,False,False,100.0,70.0,The drone is in an autonomous hover state with a battery level of 100% and its altitude stabilized at 0.0 cm.,3284.378900018055,False,140,140,False,False,0/20,-1.0,True,368,16.03237509727478
1789875405.184843,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 15.0s -> search_360,SEARCH,,False,False,False,False,100.0,70.0,The drone is in an autonomous hover state with a battery level of 100% and its altitude stabilized at 0.0 cm.,3284.378900018055,False,140,140,False,False,0/20,-1.0,True,392,17.035876035690308
1789875406.1867893,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 15.0s -> search_360,SEARCH,,False,False,False,False,100.0,70.0,The drone is in an autonomous hover state with a battery level of 100% and its altitude stabilized at 0.0 cm.,3284.378900018055,False,140,140,False,False,0/20,-1.0,True,416,18.03781533241272
1789875407.186049,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 15.0s -> search_360,SEARCH,,False,False,False,False,99.0,70.0,LLM error (ReadTimeout),4006.520900002215,False,140,140,False,False,0/20,-1.0,True,440,19.0380756855011
1789875408.1902506,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 15.0s -> search_360,SEARCH,,False,False,False,False,99.0,70.0,LLM error (ReadTimeout),4006.520900002215,False,140,140,False,False,0/20,-1.0,True,464,20.042277336120605
1789875409.2514155,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 15.0s -> search_360,SEARCH,,False,False,False,False,98.0,70.0,LLM error (ReadTimeout),4006.520900002215,False,140,140,False,False,0/20,-1.0,True,489,21.07195496559143
1789875410.2614043,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 15.0s -> search_360,SEARCH,,False,False,False,False,98.0,70.0,LLM error (ReadTimeout),4006.520900002215,False,140,140,False,False,0/20,-1.0,True,514,22.113430976867676
1789875411.266555,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 15.0s -> search_360,SEARCH,,True,False,False,False,97.0,70.0,LLM error (ReadTimeout),4004.5729000121355,True,458,440,False,False,0/20,-1.0,True,538,23.118581771850586
