t,event,latency_ms
1789875403.1531322,rc_send,
1789875403.1751053,llm_explanation,3284.378900018055
1789875403.2554767,rc_send,
1789875403.3621132,rc_send,
1789875403.4650924,rc_send,
1789875403.5832028,rc_send,
1789875403.6849368,rc_send,
1789875403.7946637,rc_send,
1789875403.919116,rc_send,
1789875404.0252907,rc_send,
1789875404.131469,rc_send,
1789875404.2513871,rc_send,
1789875404.361697,rc_send,
1789875404.4642088,rc_send,
1789875404.5931597,rc_send,
1789875404.6956174,rc_send,
1789875404.7981758,rc_send,
1789875404.9231045,rc_send,
1789875405.0293047,rc_send,
1789875405.131816,rc_send,
1789875405.2637737,rc_send,
1789875405.3645556,rc_send,
1789875405.4672194,rc_send,
1789875405.596107,rc_send,
1789875405.7013445,rc_send,
1789875405.803223,rc_send,
1789875405.9231193,rc_send,
1789875406.0282037,rc_send,
1789875406.129441,rc_send,
1789875406.269637,rc_send,
1789875406.3712184,rc_send,
1789875406.4725683,rc_send,
1789875406.593695,rc_send,
1789875406.6978052,rc_send,
1789875406.7989185,rc_send,
1789875406.926805,rc_send,
1789875407.031687,rc_send,
1789875407.1335793,rc_send,
1789875407.186049,llm_explanation,4006.520900002215
1789875407.2715006,rc_send,
1789875407.3742154,rc_send,
1789875407.4748006,rc_send,
1789875407.5891986,rc_send,
1789875407.6958447,rc_send,
1789875407.7971253,rc_send,
1789875407.927025,rc_send,
1789875408.033397,rc_send,
1789875408.1324828,rc_send,
1789875408.2584589,rc_send,
1789875408.3668659,rc_send,
1789875408.46822,rc_send,
1789875408.5942502,rc_send,
1789875408.7024958,rc_send,
1789875408.805844,rc_send,
1789875408.9288726,rc_send,
1789875409.0321143,rc_send,
1789875409.1354086,rc_send,
1789875409.2628353,rc_send,
1789875409.3671525,rc_send,
1789875409.469173,rc_send,
1789875409.5927033,rc_send,
1789875409.697407,rc_send,
1789875409.7977846,rc_send,
1789875409.9230323,rc_send,
1789875410.0313125,rc_send,
1789875410.131039,rc_send,
1789875410.2614043,rc_send,
1789875410.3648357,rc_send,
1789875410.467413,rc_send,
1789875410.5918713,rc_send,
1789875410.696099,rc_send,
1789875410.7980888,rc_send,
1789875410.9388845,rc_send,
1789875411.0394058,rc_send,
1789875411.1401365,rc_send,
1789875411.266555,rc_send,
1789875411.3718839,rc_send,
1789875411.4733646,rc_send,
1789875411.5936434,rc_send,
1789875411.6948943,rc_send,
1789875411.7950425,rc_send,
1789875411.9199166,rc_send,
1789875412.0224507,rc_send,
1789875412.1240919,rc_send,
1789875412.252329,rc_send,
1789875412.3627944,rc_send,
1789875412.4641142,rc_send,
1789875412.5881982,rc_send,
1789875412.690832,rc_send,
1789875412.7918322,rc_send,
1789875412.9211788,rc_send,
1789875413.0287669,rc_send,
1789875413.1315765,rc_send,
1789875413.2549305,rc_send,
1789875413.3585153,rc_send,
1789875413.4080484,llm_explanation,2185.479799984023
1789875413.458576,rc_send,
1789875413.5889566,rc_send,
1789875413.6967657,rc_send,
1789875413.798719,rc_send,
1789875413.9214034,rc_send,
1789875414.0284643,rc_send,
1789875414.1471555,rc_send,
1789875414.2566397,rc_send,
1789875414.3629525,rc_send,
1789875414.4833422,rc_send,
1789875414.589447,rc_send,
1789875414.696877,rc_send,
1789875414.8199477,rc_send,
1789875414.926176,rc_send,
1789875415.027466,rc_send,
1789875415.151192,rc_send,
1789875415.2701974,rc_send,
1789875415.3705344,rc_send,
1789875415.483237,rc_send,
1789875415.5979745,rc_send,
1789875415.7177706,rc_send,
1789875415.8193047,rc_send,
1789875415.9592202,rc_send,
1789875416.0663202,rc_send,
1789875416.1674225,rc_send,
1789875416.298127,rc_send,
1789875416.4013543,rc_send,
1789875416.5028343,rc_send,
1789875416.6240458,rc_send,
1789875416.7312348,rc_send,
1789875416.8335032,rc_send,
1789875416.9623299,rc_send,
1789875417.0660462,rc_send,
1789875417.1684103,rc_send,
1789875417.2941844,rc_send,
1789875417.4078076,rc_send,
1789875417.4464996,llm_explanation,4027.4657999980263
1789875417.5106564,rc_send,
1789875417.6257286,rc_send,
1789875417.7283063,rc_send,
1789875417.8284209,rc_send,
1789875417.9597719,rc_send,
1789875418.0646644,rc_send,
1789875418.1652155,rc_send,
1789875418.292195,rc_send,
1789875418.3950534,rc_send,
1789875418.4997175,rc_send,
1789875418.6367714,rc_send,
1789875418.7431145,rc_send,
1789875418.8460605,rc_send,
1789875418.9714513,rc_send,
1789875419.0728347,rc_send,
1789875419.1756003,rc_send,
1789875419.3080106,rc_send,
1789875419.416343,rc_send,
1789875419.5175502,rc_send,
1789875419.6334138,rc_send,
1789875419.741838,rc_send,
1789875419.8451364,rc_send,
1789875419.9641874,rc_send,
1789875420.1196923,rc_send,
1789875420.2825341,rc_send,
1789875420.424638,rc_send,
1789875420.5440993,rc_send,
1789875420.6597002,rc_send,
1789875420.7632384,rc_send,
1789875420.8750372,rc_send,
1789875420.9852123,rc_send,
1789875421.103201,rc_send,
1789875421.2066422,rc_send,
1789875421.3086405,rc_send,
1789875421.4092007,rc_send,
1789875421.5111263,rc_send,
1789875421.6233175,rc_send,
1789875421.7278116,rc_send,
1789875421.8294075,rc_send,
1789875421.9621003,rc_send,
1789875422.0638666,rc_send,
1789875422.1650362,rc_send,
1789875422.2855568,rc_send,
1789875422.3922765,rc_send,
1789875422.531551,rc_send,
1789875422.6401303,rc_send,
1789875422.7449598,rc_send,
1789875422.853654,rc_send,
1789875422.9545898,rc_send,
1789875423.064134,rc_send,
1789875423.1888628,rc_send,
1789875423.2957387,rc_send,
1789875423.3968813,rc_send,
