run_id,scenario,trial,t_start,t_end,duration_s,mode_at_start,mode_at_end,battery_at_start,success
20260920-053626_n4_failsafe,battery_failsafe_landing,1,1789875403.5832028,1789875428.3210032,24.737800359725952,search_360,search_360,100.0,True
20260920-053626_n4_failsafe,battery_failsafe_landing,2,1789875436.5360372,1789875462.2863362,25.750298976898193,search_360,hover,87.0,True
20260920-053626_n4_failsafe,battery_failsafe_landing,3,1789875471.3985367,1789875549.624074,78.22553730010986,search_360,search_360,83.0,True
20260920-053626_n4_failsafe,battery_failsafe_landing,4,1789875557.8035457,1789875624.746897,66.94335126876831,search_360,search_360,76.0,True
20260920-053626_n4_failsafe,battery_failsafe_landing,5,1789875633.1151252,1789875686.4826837,53.36755847930908,search_360,search_360,69.0,True
20260920-053626_n4_failsafe,battery_failsafe_landing,6,1789875692.5391433,1789875742.630443,50.09129977226257,search_360,search_360,62.0,True
20260920-053626_n4_failsafe,battery_failsafe_landing,7,1789875751.928426,1789875765.1694105,13.240984439849854,search_360,search_360,55.0,False
20260920-053626_n4_failsafe,battery_failsafe_landing,8,1789875771.1356516,1789875806.2821941,35.1465425491333,hover,search_360,54.0,True
20260920-053626_n4_failsafe,battery_failsafe_landing,9,1789875812.6896498,1789875854.7288673,42.039217472076416,search_360,search_360,48.0,True
20260920-053626_n4_failsafe,battery_failsafe_landing,10,1789875859.178329,1789875899.766051,40.587722063064575,search_360,search_360,41.0,True
20260920-053626_n4_failsafe,battery_failsafe_landing,11,1789875904.2659364,1789875942.5199444,38.254008054733276,search_360,search_360,34.0,True
20260920-053626_n4_failsafe,battery_failsafe_landing,12,1789875946.3343897,1789875984.9625204,38.62813067436218,search_360,land,27.0,True
