t,bat,h,yaw,vgx,vgy,vgz,tof
1789875393.8557742,100.0,0.0,-48.0,0.0,0.0,0.0,10.0
1789875394.8797348,100.0,0.0,-48.0,0.0,0.0,0.0,10.0
1789875395.8799021,100.0,0.0,-48.0,0.0,0.0,0.0,10.0
1789875403.1531322,100.0,70.0,-47.0,0.0,0.0,0.0,79.0
1789875404.1803484,100.0,70.0,-47.0,0.0,0.0,0.0,79.0
1789875405.1838493,100.0,70.0,-37.0,0.0,0.0,0.0,80.0
1789875406.1857886,100.0,70.0,-20.0,0.0,0.0,0.0,79.0
1789875407.1977615,99.0,70.0,-2.0,0.0,0.0,0.0,80.0
1789875408.2022512,99.0,70.0,17.0,0.0,0.0,0.0,81.0
1789875409.20362,98.0,70.0,44.0,0.0,0.0,0.0,80.0
1789875410.2078996,98.0,70.0,59.0,0.0,0.0,0.0,81.0
1789875411.213531,97.0,70.0,78.0,0.0,0.0,0.0,80.0
1789875412.252329,97.0,70.0,96.0,0.0,0.0,0.0,81.0
1789875413.2549305,96.0,70.0,112.0,0.0,0.0,0.0,82.0
1789875414.2566397,95.0,70.0,126.0,0.0,0.0,0.0,81.0
1789875415.2701974,95.0,70.0,142.0,0.0,0.0,0.0,81.0
1789875416.298127,94.0,70.0,158.0,0.0,0.0,0.0,81.0
1789875417.3071508,94.0,70.0,174.0,0.0,0.0,0.0,81.0
1789875418.3071573,93.0,70.0,-170.0,0.0,0.0,0.0,81.0
1789875419.3080106,93.0,70.0,-153.0,0.0,0.0,0.0,79.0
1789875420.3094242,92.0,70.0,-135.0,0.0,0.0,0.0,80.0
1789875421.3126352,92.0,70.0,-120.0,0.0,0.0,0.0,80.0
1789875422.3154464,91.0,70.0,-107.0,0.0,0.0,0.0,79.0
1789875423.3530066,91.0,70.0,-92.0,0.0,0.0,0.0,80.0
1789875426.989713,89.0,0.0,-34.0,0.0,0.0,0.0,10.0
1789875427.997634,89.0,0.0,-33.0,1.0,-1.0,-1.0,10.0
1789875428.998115,88.0,0.0,-33.0,0.0,0.0,0.0,10.0
1789875436.0558932,87.0,70.0,87.0,0.0,0.0,0.0,80.0
1789875437.0583518,87.0,70.0,100.0,0.0,0.0,0.0,80.0
1789875438.059578,87.0,70.0,118.0,0.0,0.0,0.0,81.0
1789875439.0605924,87.0,70.0,133.0,0.0,0.0,0.0,80.0
1789875440.080865,87.0,70.0,152.0,0.0,0.0,0.0,80.0
1789875441.08652,87.0,70.0,171.0,0.0,0.0,0.0,80.0
1789875442.0885794,87.0,70.0,-170.0,0.0,0.0,0.0,80.0
1789875443.0899754,87.0,70.0,-155.0,0.0,0.0,0.0,81.0
1789875444.0920734,86.0,70.0,-142.0,0.0,0.0,0.0,82.0
1789875445.0989769,86.0,70.0,-131.0,0.0,0.0,0.0,81.0
1789875446.1025965,86.0,70.0,-117.0,0.0,0.0,0.0,82.0
1789875447.1071696,86.0,70.0,-97.0,0.0,0.0,0.0,81.0
1789875448.1252408,86.0,70.0,-75.0,0.0,0.0,0.0,82.0
1789875449.1274076,85.0,70.0,-55.0,0.0,0.0,0.0,85.0
1789875450.1289237,85.0,70.0,-40.0,0.0,0.0,0.0,83.0
1789875451.1302998,85.0,70.0,-22.0,0.0,0.0,0.0,82.0
1789875452.1322722,85.0,70.0,-4.0,0.0,0.0,0.0,82.0
1789875453.133509,85.0,70.0,15.0,0.0,0.0,0.0,81.0
1789875454.134399,84.0,70.0,35.0,0.0,0.0,0.0,80.0
1789875455.1366644,84.0,70.0,53.0,0.0,0.0,0.0,80.0
1789875456.1369574,84.0,70.0,54.0,0.0,0.0,0.0,79.0
1789875457.1395192,84.0,70.0,54.0,0.0,0.0,0.0,80.0
1789875458.1450515,84.0,70.0,54.0,0.0,0.0,0.0,81.0
1789875461.0669641,83.0,0.0,54.0,0.0,0.0,-2.0,16.0
1789875462.0670218,83.0,0.0,53.0,-2.0,2.0,0.0,10.0
1789875463.0693688,83.0,0.0,54.0,0.0,0.0,0.0,10.0
1789875464.0697725,83.0,0.0,54.0,0.0,0.0,0.0,10.0
1789875470.7480688,83.0,60.0,56.0,0.0,0.0,0.0,78.0
1789875471.7728732,83.0,60.0,70.0,0.0,0.0,0.0,78.0
1789875472.7774322,83.0,60.0,87.0,0.0,0.0,0.0,79.0
1789875473.8060098,83.0,60.0,106.0,0.0,0.0,0.0,78.0
1789875474.8141258,83.0,60.0,124.0,0.0,0.0,0.0,83.0
1789875475.8205438,83.0,60.0,139.0,0.0,0.0,0.0,84.0
1789875476.8305774,83.0,60.0,154.0,0.0,0.0,0.0,82.0
1789875477.831741,83.0,60.0,166.0,0.0,0.0,0.0,81.0
1789875478.8339164,83.0,60.0,179.0,0.0,0.0,0.0,81.0
1789875479.8342662,83.0,60.0,-162.0,0.0,0.0,0.0,81.0
1789875480.8369508,83.0,60.0,-149.0,0.0,0.0,0.0,79.0
1789875481.8373816,83.0,60.0,-133.0,0.0,0.0,0.0,82.0
1789875482.8385572,83.0,60.0,-109.0,0.0,0.0,0.0,81.0
1789875483.8420756,83.0,60.0,-90.0,0.0,0.0,0.0,83.0
1789875484.842514,83.0,60.0,-73.0,0.0,0.0,0.0,84.0
1789875485.845451,83.0,60.0,-56.0,0.0,0.0,0.0,83.0
1789875486.847971,83.0,60.0,-41.0,0.0,0.0,0.0,81.0
1789875487.8890533,83.0,60.0,-30.0,0.0,0.0,0.0,80.0
1789875488.8907125,83.0,60.0,-15.0,0.0,0.0,0.0,80.0
1789875489.8948455,82.0,60.0,0.0,0.0,0.0,0.0,82.0
1789875490.9018397,82.0,60.0,19.0,0.0,0.0,0.0,83.0
1789875491.903641,82.0,60.0,39.0,0.0,0.0,0.0,83.0
1789875492.9127796,82.0,60.0,64.0,0.0,0.0,0.0,79.0
1789875493.9484859,82.0,60.0,84.0,0.0,0.0,0.0,78.0
1789875494.9507253,82.0,60.0,98.0,0.0,0.0,0.0,81.0
1789875495.9521682,81.0,60.0,116.0,0.0,0.0,0.0,79.0
1789875496.9596388,81.0,60.0,138.0,0.0,0.0,0.0,77.0
1789875497.9614165,81.0,60.0,157.0,0.0,0.0,0.0,79.0
1789875498.9656618,81.0,60.0,166.0,0.0,0.0,0.0,78.0
1789875499.9753408,81.0,60.0,166.0,0.0,0.0,0.0,78.0
1789875500.98272,81.0,60.0,166.0,0.0,0.0,0.0,79.0
1789875501.987147,81.0,60.0,166.0,0.0,0.0,0.0,78.0
1789875502.9882374,81.0,50.0,166.0,0.0,0.0,0.0,77.0
1789875503.9886382,81.0,60.0,166.0,0.0,0.0,0.0,80.0
1789875504.99012,80.0,60.0,166.0,0.0,0.0,0.0,80.0
1789875505.9904983,80.0,60.0,166.0,0.0,0.0,0.0,79.0
1789875506.9933674,80.0,60.0,166.0,0.0,0.0,0.0,79.0
1789875508.0089211,80.0,60.0,166.0,0.0,0.0,0.0,79.0
1789875509.009564,80.0,60.0,166.0,0.0,0.0,0.0,80.0
1789875510.0121193,80.0,60.0,179.0,0.0,0.0,0.0,80.0
1789875511.01336,80.0,60.0,-164.0,0.0,0.0,0.0,79.0
1789875512.0231428,80.0,60.0,-149.0,0.0,0.0,0.0,79.0
1789875513.0243368,80.0,60.0,-133.0,0.0,0.0,0.0,78.0
1789875514.0246387,80.0,60.0,-118.0,0.0,0.0,0.0,80.0
1789875515.0276468,79.0,60.0,-97.0,0.0,0.0,0.0,80.0
1789875516.0292826,79.0,60.0,-77.0,0.0,0.0,0.0,80.0
1789875517.0315385,79.0,60.0,-57.0,0.0,0.0,0.0,80.0
1789875518.0360577,79.0,60.0,-39.0,0.0,0.0,0.0,79.0
1789875519.038104,79.0,60.0,-23.0,0.0,0.0,0.0,80.0
1789875520.0399494,79.0,60.0,-6.0,0.0,0.0,0.0,79.0
1789875521.0401077,79.0,60.0,8.0,0.0,0.0,0.0,79.0
1789875522.0414634,79.0,50.0,23.0,0.0,0.0,0.0,77.0
1789875523.0455005,78.0,60.0,37.0,0.0,0.0,0.0,78.0
1789875524.0495725,78.0,60.0,51.0,0.0,0.0,0.0,82.0
1789875525.0850508,78.0,60.0,67.0,0.0,0.0,0.0,80.0
1789875526.0926573,78.0,60.0,85.0,0.0,0.0,0.0,78.0
1789875527.0959535,78.0,60.0,103.0,0.0,0.0,0.0,81.0
1789875528.0979822,78.0,60.0,122.0,0.0,0.0,0.0,80.0
1789875529.0999131,78.0,60.0,140.0,0.0,0.0,0.0,78.0
1789875530.1013184,78.0,60.0,159.0,0.0,0.0,0.0,78.0
1789875531.1039019,78.0,60.0,174.0,0.0,0.0,0.0,78.0
1789875532.1087792,78.0,60.0,-167.0,0.0,0.0,0.0,78.0
1789875533.1108806,78.0,60.0,-151.0,0.0,0.0,0.0,80.0
1789875534.1110952,78.0,60.0,-135.0,0.0,0.0,0.0,79.0
1789875535.1125503,77.0,60.0,-115.0,0.0,0.0,0.0,79.0
1789875536.1134784,77.0,60.0,-97.0,0.0,0.0,0.0,80.0
1789875537.1154263,77.0,60.0,-84.0,0.0,0.0,0.0,80.0
1789875538.1174061,77.0,60.0,-82.0,0.0,0.0,0.0,79.0
1789875539.1179438,77.0,60.0,-82.0,0.0,0.0,0.0,79.0
1789875540.120313,77.0,60.0,-82.0,0.0,0.0,0.0,79.0
1789875541.120333,77.0,60.0,-82.0,0.0,0.0,0.0,80.0
1789875542.1303074,77.0,60.0,-82.0,0.0,0.0,0.0,79.0
1789875543.1329367,77.0,60.0,-82.0,0.0,0.0,0.0,80.0
1789875544.1351101,77.0,60.0,-82.0,0.0,0.0,0.0,80.0
1789875545.136749,77.0,60.0,-82.0,0.0,0.0,0.0,79.0
1789875548.059008,76.0,-10.0,-83.0,0.0,0.0,-2.0,10.0
1789875549.059069,76.0,0.0,-83.0,0.0,0.0,0.0,10.0
1789875550.0616155,76.0,0.0,-82.0,0.0,0.0,0.0,10.0
1789875556.6870532,76.0,50.0,-78.0,0.0,0.0,0.0,76.0
1789875557.687796,76.0,50.0,-71.0,0.0,0.0,0.0,79.0
1789875558.6889312,76.0,50.0,-53.0,0.0,0.0,0.0,80.0
1789875559.7023866,76.0,50.0,-32.0,0.0,0.0,0.0,79.0
1789875560.7026198,76.0,50.0,-9.0,0.0,0.0,0.0,77.0
1789875561.7046595,76.0,50.0,10.0,0.0,0.0,0.0,78.0
1789875562.7070546,76.0,50.0,26.0,0.0,0.0,0.0,80.0
1789875563.7093346,76.0,50.0,41.0,0.0,0.0,0.0,80.0
1789875564.712216,76.0,50.0,58.0,0.0,0.0,0.0,80.0
1789875565.7138968,76.0,50.0,78.0,0.0,0.0,0.0,79.0
1789875566.716255,76.0,50.0,91.0,0.0,0.0,0.0,80.0
1789875567.7521582,76.0,50.0,110.0,0.0,0.0,0.0,77.0
1789875568.7524738,76.0,50.0,123.0,0.0,0.0,0.0,79.0
1789875569.7545846,76.0,50.0,141.0,0.0,0.0,0.0,78.0
1789875570.7576907,76.0,50.0,158.0,0.0,0.0,0.0,80.0
1789875571.757737,76.0,50.0,175.0,0.0,0.0,0.0,80.0
1789875572.7585354,76.0,50.0,-165.0,0.0,0.0,0.0,79.0
1789875573.7601945,76.0,50.0,-148.0,0.0,0.0,0.0,79.0
1789875574.7604892,75.0,50.0,-135.0,0.0,0.0,0.0,79.0
1789875575.7626674,75.0,50.0,-119.0,0.0,0.0,0.0,79.0
1789875576.7631097,75.0,50.0,-110.0,0.0,0.0,0.0,79.0
1789875577.7680893,75.0,50.0,-110.0,0.0,0.0,0.0,80.0
1789875578.7699182,74.0,50.0,-110.0,0.0,0.0,0.0,75.0
1789875579.7722118,74.0,50.0,-110.0,0.0,0.0,0.0,77.0
1789875580.774884,74.0,50.0,-110.0,0.0,0.0,0.0,80.0
1789875581.776049,74.0,50.0,-110.0,0.0,0.0,0.0,80.0
1789875582.777021,74.0,50.0,-110.0,0.0,0.0,0.0,81.0
1789875583.7807958,74.0,50.0,-110.0,0.0,0.0,0.0,80.0
1789875584.7867749,74.0,50.0,-110.0,0.0,0.0,0.0,81.0
1789875585.7959895,74.0,50.0,-110.0,0.0,0.0,0.0,80.0
1789875586.807716,74.0,50.0,-102.0,0.0,0.0,0.0,80.0
1789875587.8082485,73.0,50.0,-85.0,0.0,0.0,0.0,81.0
1789875588.8147879,73.0,50.0,-73.0,0.0,0.0,0.0,82.0
1789875589.8170772,73.0,50.0,-53.0,0.0,0.0,0.0,79.0
1789875590.8175132,73.0,50.0,-36.0,0.0,0.0,0.0,78.0
1789875591.8200889,73.0,50.0,-18.0,0.0,0.0,0.0,77.0
1789875592.8212836,73.0,50.0,-1.0,0.0,0.0,0.0,79.0
1789875593.8441782,73.0,50.0,14.0,0.0,0.0,0.0,80.0
1789875594.84486,73.0,50.0,28.0,0.0,0.0,0.0,79.0
1789875595.8474429,72.0,50.0,46.0,0.0,0.0,0.0,77.0
1789875596.8481338,72.0,50.0,68.0,0.0,0.0,0.0,78.0
1789875597.850153,72.0,50.0,87.0,0.0,0.0,0.0,79.0
1789875598.8522332,72.0,50.0,105.0,0.0,0.0,0.0,80.0
1789875599.8551085,72.0,50.0,121.0,0.0,0.0,0.0,79.0
1789875600.857991,72.0,50.0,133.0,0.0,0.0,0.0,78.0
1789875601.861044,72.0,50.0,148.0,0.0,0.0,0.0,77.0
1789875602.86832,71.0,50.0,168.0,0.0,0.0,0.0,78.0
1789875603.8708322,71.0,50.0,-173.0,0.0,0.0,0.0,80.0
1789875604.871207,71.0,50.0,-154.0,0.0,0.0,0.0,80.0
1789875605.8716905,71.0,50.0,-134.0,0.0,0.0,0.0,79.0
1789875606.8752227,71.0,50.0,-118.0,0.0,0.0,0.0,76.0
1789875607.8775132,71.0,50.0,-104.0,0.0,0.0,0.0,79.0
1789875608.8778493,71.0,50.0,-89.0,0.0,0.0,0.0,81.0
1789875609.8877149,71.0,50.0,-71.0,0.0,0.0,0.0,79.0
1789875610.920507,71.0,50.0,-53.0,0.0,0.0,0.0,76.0
1789875611.9222412,70.0,50.0,-36.0,0.0,0.0,0.0,77.0
1789875612.9227712,70.0,50.0,-21.0,0.0,0.0,0.0,80.0
1789875613.9246082,70.0,50.0,-2.0,0.0,0.0,0.0,79.0
1789875614.9316278,70.0,50.0,5.0,0.0,0.0,0.0,79.0
1789875615.937808,70.0,50.0,5.0,0.0,0.0,0.0,79.0
1789875616.9382675,70.0,50.0,5.0,0.0,0.0,0.0,80.0
1789875617.9410505,70.0,50.0,5.0,0.0,0.0,0.0,80.0
1789875618.9485621,70.0,50.0,5.0,0.0,0.0,0.0,81.0
1789875622.8600013,69.0,-10.0,1.0,0.0,0.0,0.0,10.0
1789875623.871252,69.0,0.0,1.0,0.0,0.0,0.0,10.0
1789875624.877383,69.0,0.0,2.0,0.0,0.0,0.0,10.0
1789875625.9049718,69.0,0.0,2.0,0.0,0.0,0.0,10.0
1789875632.5858548,69.0,50.0,3.0,0.0,0.0,0.0,79.0
1789875633.6149538,69.0,50.0,12.0,0.0,0.0,0.0,79.0
1789875634.6249933,69.0,50.0,27.0,0.0,0.0,0.0,82.0
1789875635.627971,69.0,50.0,45.0,0.0,0.0,0.0,81.0
1789875636.6298225,69.0,50.0,63.0,0.0,0.0,0.0,81.0
1789875637.6341991,69.0,50.0,84.0,0.0,0.0,0.0,82.0
1789875638.6434214,69.0,50.0,100.0,0.0,0.0,0.0,82.0
1789875639.6751132,69.0,50.0,121.0,0.0,0.0,0.0,80.0
1789875640.6778002,69.0,50.0,137.0,0.0,0.0,0.0,82.0
1789875641.6808577,69.0,50.0,156.0,0.0,0.0,0.0,81.0
1789875642.6813831,69.0,50.0,175.0,0.0,0.0,0.0,79.0
1789875643.6829426,69.0,50.0,-169.0,0.0,0.0,0.0,82.0
1789875644.6938996,69.0,50.0,-154.0,0.0,0.0,0.0,82.0
1789875645.6954029,69.0,50.0,-139.0,0.0,0.0,0.0,78.0
1789875646.6975918,68.0,50.0,-125.0,0.0,0.0,0.0,78.0
1789875647.7050502,68.0,50.0,-108.0,0.0,0.0,0.0,78.0
1789875648.7069557,68.0,50.0,-93.0,0.0,0.0,0.0,79.0
1789875649.7157075,68.0,50.0,-75.0,0.0,0.0,0.0,80.0
1789875650.7196462,68.0,50.0,-56.0,0.0,0.0,0.0,81.0
1789875651.7210605,67.0,50.0,-42.0,0.0,0.0,0.0,81.0
1789875652.7243676,67.0,50.0,-32.0,0.0,0.0,0.0,80.0
1789875653.7263758,67.0,50.0,-27.0,0.0,0.0,0.0,80.0
1789875654.727826,67.0,50.0,-27.0,0.0,0.0,0.0,79.0
1789875655.730031,67.0,50.0,-27.0,0.0,0.0,0.0,78.0
1789875656.7332718,66.0,50.0,-27.0,0.0,0.0,0.0,82.0
1789875657.7345405,66.0,50.0,-27.0,0.0,0.0,0.0,82.0
1789875658.7359538,66.0,50.0,-27.0,0.0,0.0,0.0,83.0
1789875659.7375815,66.0,50.0,-27.0,0.0,0.0,0.0,84.0
1789875660.73911,66.0,50.0,-27.0,0.0,0.0,0.0,82.0
1789875661.7739682,66.0,50.0,-27.0,0.0,0.0,0.0,82.0
1789875662.7809997,65.0,50.0,-21.0,0.0,0.0,0.0,80.0
1789875663.7824674,65.0,50.0,-3.0,0.0,0.0,0.0,79.0
1789875664.784824,65.0,50.0,12.0,0.0,0.0,0.0,80.0
1789875665.785713,65.0,50.0,19.0,0.0,0.0,0.0,81.0
1789875666.788639,65.0,50.0,35.0,0.0,0.0,0.0,80.0
1789875667.7909002,64.0,50.0,57.0,0.0,0.0,0.0,78.0
1789875668.7919464,64.0,50.0,76.0,0.0,0.0,0.0,78.0
1789875669.7998548,64.0,50.0,94.0,0.0,0.0,0.0,80.0
1789875670.8067815,64.0,50.0,111.0,0.0,0.0,0.0,80.0
1789875671.8095224,64.0,50.0,127.0,0.0,0.0,0.0,78.0
1789875672.8157701,64.0,50.0,141.0,0.0,0.0,0.0,80.0
1789875673.8202732,64.0,50.0,160.0,0.0,0.0,0.0,80.0
1789875674.8214264,64.0,50.0,178.0,0.0,0.0,0.0,79.0
1789875675.8238394,63.0,50.0,-164.0,0.0,0.0,0.0,79.0
1789875676.8264906,63.0,50.0,-154.0,0.0,0.0,0.0,80.0
1789875677.8285358,63.0,50.0,-143.0,0.0,0.0,0.0,82.0
1789875678.841767,63.0,50.0,-128.0,0.0,0.0,0.0,79.0
1789875679.843657,63.0,50.0,-113.0,0.0,0.0,0.0,77.0
1789875680.8530474,63.0,50.0,-91.0,0.0,0.0,0.0,81.0
1789875681.8533802,63.0,50.0,-76.0,0.0,0.0,0.0,83.0
1789875685.861242,62.0,-10.0,-26.0,0.0,0.0,0.0,10.0
1789875686.8626964,62.0,0.0,-26.0,0.0,0.0,0.0,10.0
1789875691.5608997,62.0,80.0,53.0,0.0,0.0,0.0,81.0
1789875692.562079,62.0,70.0,68.0,0.0,0.0,0.0,80.0
1789875693.5628138,62.0,70.0,82.0,0.0,0.0,0.0,81.0
1789875694.56452,62.0,80.0,95.0,0.0,0.0,0.0,84.0
1789875695.5791626,62.0,80.0,114.0,0.0,0.0,0.0,85.0
1789875696.5904226,62.0,80.0,133.0,0.0,0.0,0.0,82.0
1789875697.5986543,62.0,80.0,153.0,0.0,0.0,0.0,82.0
1789875698.6055264,62.0,80.0,169.0,0.0,0.0,0.0,84.0
1789875699.6056826,62.0,70.0,-175.0,0.0,0.0,0.0,79.0
1789875700.607577,62.0,70.0,-160.0,0.0,0.0,0.0,79.0
1789875701.6081848,62.0,80.0,-144.0,0.0,0.0,0.0,85.0
1789875702.6088428,62.0,80.0,-125.0,0.0,0.0,0.0,85.0
1789875703.6097767,61.0,80.0,-104.0,0.0,0.0,0.0,84.0
1789875704.6144147,61.0,80.0,-89.0,0.0,0.0,0.0,84.0
1789875705.6153758,61.0,80.0,-71.0,0.0,0.0,0.0,83.0
1789875706.6564498,61.0,80.0,-54.0,0.0,0.0,0.0,84.0
1789875707.657913,60.0,80.0,-37.0,0.0,0.0,0.0,83.0
1789875708.658846,60.0,80.0,-24.0,0.0,0.0,0.0,84.0
1789875709.659959,60.0,80.0,-12.0,0.0,0.0,0.0,84.0
1789875710.6621034,60.0,80.0,2.0,0.0,0.0,0.0,83.0
1789875711.6647668,60.0,80.0,16.0,0.0,0.0,0.0,81.0
1789875712.6676362,60.0,70.0,32.0,0.0,0.0,0.0,81.0
1789875713.6684582,60.0,70.0,49.0,0.0,0.0,0.0,82.0
1789875714.6722982,59.0,80.0,60.0,0.0,0.0,0.0,82.0
1789875715.6867476,59.0,80.0,66.0,0.0,0.0,0.0,82.0
1789875716.6901555,59.0,80.0,66.0,0.0,0.0,0.0,83.0
1789875717.6976666,59.0,70.0,66.0,0.0,0.0,0.0,81.0
1789875718.6992586,59.0,80.0,66.0,0.0,0.0,0.0,82.0
1789875719.702827,59.0,80.0,65.0,0.0,0.0,0.0,82.0
1789875720.7040646,58.0,70.0,65.0,0.0,0.0,0.0,81.0
1789875721.7368772,58.0,80.0,66.0,0.0,0.0,0.0,82.0
1789875722.7458878,58.0,70.0,66.0,0.0,0.0,0.0,81.0
1789875723.7542598,57.0,70.0,65.0,0.0,0.0,0.0,79.0
1789875724.7552092,57.0,70.0,73.0,0.0,0.0,0.0,78.0
1789875725.755254,57.0,70.0,91.0,0.0,0.0,0.0,79.0
1789875726.7567644,57.0,70.0,113.0,0.0,0.0,0.0,80.0
1789875727.7591622,57.0,80.0,125.0,0.0,0.0,0.0,81.0
1789875728.7794313,57.0,80.0,142.0,0.0,0.0,0.0,82.0
1789875729.7918594,57.0,80.0,155.0,0.0,0.0,0.0,83.0
1789875730.8059163,57.0,80.0,172.0,0.0,0.0,0.0,83.0
1789875731.846543,57.0,70.0,-168.0,0.0,0.0,0.0,81.0
1789875732.8512971,56.0,70.0,-156.0,0.0,0.0,0.0,82.0
1789875733.8542774,56.0,80.0,-144.0,0.0,0.0,0.0,82.0
1789875734.859322,56.0,80.0,-127.0,0.0,0.0,0.0,84.0
1789875735.8669875,56.0,80.0,-107.0,0.0,0.0,0.0,83.0
1789875736.868303,56.0,80.0,-92.0,0.0,0.0,0.0,83.0
1789875740.9521582,55.0,0.0,-32.0,0.0,0.0,0.0,10.0
1789875741.9640732,55.0,0.0,-32.0,0.0,0.0,0.0,10.0
1789875742.969853,55.0,0.0,-32.0,0.0,0.0,0.0,10.0
1789875751.4115677,55.0,40.0,115.0,0.0,0.0,0.0,79.0
1789875752.4199827,55.0,40.0,134.0,0.0,0.0,0.0,78.0
1789875753.4228165,55.0,40.0,152.0,0.0,0.0,0.0,78.0
