t,seq,frame_age_ms,round,hold,cued_label,cued_name,phase,hand_detected,bbox_area,delta_s,svm_label,svm_name,svm_prob,svm_margin,rule_name,rule_conf,battery
1789897073.681719,240,10.43,0,0,5,FORWARD,hold,1,0.09373289,0.05529,5,FORWARD,0.5309,0.16,DOWN,0.8877,81.0
1789897073.743447,242,9.32,0,0,5,FORWARD,hold,1,0.09652448,0.029782,5,FORWARD,0.7659,0.6013,DOWN,0.8972,81.0
1789897073.8516781,244,14.23,0,0,5,FORWARD,hold,1,0.09849204,0.020384,5,FORWARD,0.8542,0.7657,DOWN,0.9051,81.0
1789897073.911925,246,7.13,0,0,5,FORWARD,hold,1,0.10001113,0.015423,5,FORWARD,0.5872,0.273,DOWN,0.9128,81.0
1789897074.0206742,248,15.4,0,0,5,FORWARD,hold,1,0.10055369,0.005425,5,FORWARD,0.6138,0.3267,DOWN,0.921,81.0
1789897074.0815225,250,10.49,0,0,5,FORWARD,hold,1,0.10070678,0.001522,5,FORWARD,0.7684,0.6138,DOWN,0.9277,81.0
1789897074.1754713,252,0.0,0,0,5,FORWARD,hold,1,0.10024189,-0.004616,5,FORWARD,0.8247,0.7207,DOWN,0.9299,81.0
1789897074.221969,254,10.04,0,0,5,FORWARD,hold,1,0.09985361,-0.003873,5,FORWARD,0.8051,0.6869,DOWN,0.9297,81.0
1789897074.345694,256,9.33,0,0,5,FORWARD,hold,1,0.09912752,-0.007272,5,FORWARD,0.7218,0.5352,DOWN,0.928,81.0
1789897074.408535,258,5.41,0,0,5,FORWARD,hold,1,0.09826219,-0.008729,5,FORWARD,0.7967,0.6699,DOWN,0.9256,81.0
1789897074.5163336,260,14.81,0,0,5,FORWARD,hold,1,0.0972219,-0.010587,5,FORWARD,0.7745,0.6286,DOWN,0.9208,81.0
1789897074.578411,262,12.72,0,0,5,FORWARD,hold,1,0.09654808,-0.006931,5,FORWARD,0.7364,0.5579,DOWN,0.9174,81.0
1789897074.6717129,264,3.64,0,0,5,FORWARD,hold,1,0.09546786,-0.011188,6,BACK,0.4499,0.0198,DOWN,0.913,81.0
1789897074.7470748,266,12.39,0,0,5,FORWARD,hold,1,0.09462121,-0.008868,5,FORWARD,0.7808,0.6379,DOWN,0.9087,81.0
1789897074.839384,268,4.26,0,0,5,FORWARD,hold,1,0.09357849,-0.01102,5,FORWARD,0.6787,0.4487,DOWN,0.9061,81.0
1789897074.901506,270,1.0,0,0,5,FORWARD,hold,1,0.09241344,-0.01245,6,BACK,0.4622,0.0449,DOWN,0.904,81.0
1789897075.0100331,272,6.17,0,0,5,FORWARD,hold,1,0.09138279,-0.011153,6,BACK,0.5978,0.3294,DOWN,0.9026,81.0
1789897075.0872033,274,15.39,0,0,5,FORWARD,hold,1,0.0902235,-0.012686,6,BACK,0.6452,0.4385,DOWN,0.9009,81.0
1789897075.180668,276,10.7,0,0,5,FORWARD,hold,1,0.08862824,-0.017681,6,BACK,0.6587,0.4679,DOWN,0.8992,81.0
1789897075.2263167,278,13.64,0,0,5,FORWARD,hold,1,0.08714237,-0.016765,6,BACK,0.593,0.3217,DOWN,0.8989,81.0
1789897075.3490293,280,14.88,0,0,5,FORWARD,hold,1,0.08545932,-0.019314,6,BACK,0.6731,0.5129,DOWN,0.8948,81.0
1789897075.410081,282,5.5,0,0,5,FORWARD,hold,1,0.08464818,-0.009492,6,BACK,0.6636,0.4847,DOWN,0.8942,81.0
1789897075.5030346,284,1.0,0,0,5,FORWARD,hold,1,0.08449529,-0.001806,6,BACK,0.6387,0.4221,DOWN,0.8943,81.0
1789897075.5816023,286,10.04,0,0,5,FORWARD,hold,1,0.08489442,0.004724,6,BACK,0.5023,0.1318,DOWN,0.8968,81.0
1789897075.673547,288,4.04,0,0,5,FORWARD,hold,1,0.0846959,-0.002338,6,BACK,0.6549,0.4695,DOWN,0.8955,81.0
1789897075.7504902,290,14.36,0,0,5,FORWARD,hold,1,0.08534059,0.007612,5,FORWARD,0.8766,0.8176,DOWN,0.8985,81.0
1789897075.8450372,292,10.37,0,0,5,FORWARD,hold,1,0.08539107,0.000591,5,FORWARD,0.835,0.7444,DOWN,0.8994,81.0
1789897075.9061406,294,3.35,0,0,5,FORWARD,hold,1,0.08494722,-0.005198,6,BACK,0.6273,0.3997,DOWN,0.8963,81.0
1789897076.0134268,296,4.05,0,0,5,FORWARD,hold,1,0.08490673,-0.000477,6,BACK,0.4658,0.0545,DOWN,0.897,81.0
1789897076.0764682,298,6.05,0,0,5,FORWARD,hold,1,0.08434939,-0.006564,6,BACK,0.6617,0.487,DOWN,0.8936,81.0
1789897076.1840668,300,12.15,0,0,5,FORWARD,hold,1,0.08459746,0.002941,6,BACK,0.4756,0.0767,DOWN,0.8948,81.0
1789897076.215409,302,3.31,0,0,5,FORWARD,hold,1,0.08449258,-0.00124,6,BACK,0.5449,0.2248,DOWN,0.8954,81.0
1789897076.3409474,304,2.03,0,0,5,FORWARD,hold,1,0.08398401,-0.006019,6,BACK,0.6545,0.4627,DOWN,0.894,81.0
1789897076.4175906,306,12.22,0,0,5,FORWARD,hold,1,0.08348425,-0.005951,6,BACK,0.6626,0.4957,DOWN,0.8932,81.0
1789897076.5102632,308,3.98,0,0,5,FORWARD,hold,1,0.08323224,-0.003019,6,BACK,0.6475,0.448,DOWN,0.8916,81.0
1789897076.5728426,310,2.97,0,0,5,FORWARD,hold,1,0.083156,-0.000916,6,BACK,0.6602,0.4881,DOWN,0.89,81.0
1789897076.6804307,312,13.0,0,0,5,FORWARD,hold,1,0.08280848,-0.004179,6,BACK,0.6657,0.4899,DOWN,0.8886,81.0
1789897076.7428107,314,6.78,0,0,5,FORWARD,hold,1,0.0836848,0.010582,5,FORWARD,0.7329,0.552,DOWN,0.8924,81.0
1789897076.8521142,316,14.81,0,0,5,FORWARD,hold,1,0.08442101,0.008797,5,FORWARD,0.8591,0.7829,DOWN,0.894,81.0
1789897076.9119606,318,7.79,0,0,5,FORWARD,hold,1,0.08470204,0.003329,5,FORWARD,0.9189,0.8854,DOWN,0.8955,81.0
1789897077.0206778,320,13.86,0,0,5,FORWARD,hold,1,0.08414088,-0.006625,5,FORWARD,0.9299,0.9011,DOWN,0.8957,81.0
1789897077.0823407,322,11.28,0,0,5,FORWARD,hold,1,0.08392704,-0.002541,5,FORWARD,0.8716,0.8012,DOWN,0.8963,81.0
1789897077.1757517,324,2.96,0,0,5,FORWARD,hold,1,0.08381428,-0.001344,5,FORWARD,0.9498,0.9269,DOWN,0.8975,81.0
