t,seq,frame_age_ms,distance_m,face_raw,crop_ok,face_bbox_w,face_bbox_h,faceid_score,face_auth,embed_ms,battery,segment
1789899168.4143891,1251,3.08,0.5,0,0,150,150,,,,100.0,1
1789899168.430374,1252,7.97,0.5,1,1,376,376,0.0727,0,6.44,100.0,1
1789899168.4937158,1253,9.97,0.5,1,1,376,376,0.0585,0,8.081,100.0,1
1789899168.5546393,1255,2.08,0.5,1,1,376,376,0.3268,0,8.349,100.0,1
1789899168.5864701,1256,9.98,0.5,1,1,376,376,0.339,0,7.56,100.0,1
1789899168.6631851,1257,9.94,0.5,1,1,376,376,0.2706,0,8.529,100.0,1
1789899168.6824687,1258,3.99,0.5,1,1,376,376,0.2265,0,10.612,100.0,1
1789899168.739316,1259,13.96,0.5,1,1,376,376,0.1975,0,8.746,100.0,1
1789899168.7562718,1260,13.96,0.5,1,1,376,376,0.2372,0,6.526,100.0,1
1789899168.8166213,1261,5.99,0.5,1,0,376,376,,,,100.0,1
1789899168.8474662,1262,3.91,0.5,1,0,376,376,,,,100.0,1
1789899168.8945663,1263,3.01,0.5,1,0,376,376,,,,100.0,1
1789899168.9259176,1264,14.79,0.5,1,1,395,395,0.2403,0,8.665,100.0,1
1789899168.9877546,1265,8.98,0.5,1,1,395,395,0.2825,0,6.715,100.0,1
1789899169.0351336,1266,3.99,0.5,1,1,395,395,0.3437,0,6.49,100.0,1
1789899169.0500937,1267,6.97,0.5,1,1,395,395,0.4331,0,6.454,100.0,1
1789899169.1118014,1268,12.84,0.5,1,1,395,395,0.5212,0,6.391,100.0,1
1789899169.1740286,1269,7.86,0.5,1,1,395,395,0.6402,1,7.04,100.0,1
1789899169.18899,1270,10.97,0.5,1,1,395,395,0.7427,1,6.271,100.0,1
1789899169.236373,1271,1.0,0.5,1,1,395,395,0.7949,1,8.945,100.0,1
1789899169.2543237,1272,10.97,0.5,1,1,395,395,0.8423,1,8.369,100.0,1
1789899169.3444889,1274,1.0,0.5,1,0,395,395,,,,100.0,1
1789899169.4060242,1275,2.87,0.5,1,0,395,395,,,,100.0,1
1789899169.4179957,1276,7.98,0.5,1,1,338,338,0.8453,1,10.215,100.0,1
1789899169.4838195,1277,6.98,0.5,1,1,338,338,0.825,1,8.702,100.0,1
1789899169.5157704,1278,4.03,0.5,1,1,338,338,0.7732,1,8.079,100.0,1
1789899169.5917633,1280,12.39,0.5,1,1,338,338,0.7336,1,8.582,100.0,1
1789899169.6541493,1281,11.01,0.5,1,1,338,338,0.7205,1,6.278,100.0,1
1789899169.716531,1282,1.99,0.5,1,1,338,338,0.7196,1,8.108,100.0,1
1789899169.7334855,1283,15.96,0.5,1,1,338,338,0.6882,1,8.055,100.0,1
1789899169.7504406,1284,3.99,0.5,1,1,338,338,0.6641,1,7.819,100.0,1
1789899169.8246958,1285,11.77,0.5,1,0,338,338,,,,100.0,1
1789899169.8869476,1286,4.6,0.5,1,0,338,338,,,,100.0,1
1789899169.8978693,1287,0.97,0.5,1,0,338,338,,,,100.0,1
1789899169.9088385,1288,1.0,0.5,1,1,347,347,0.8175,1,11.502,100.0,1
1789899169.978183,1289,2.01,0.5,1,1,347,347,0.7902,1,6.834,100.0,1
1789899170.0245478,1290,2.99,0.5,1,1,347,347,0.8046,1,7.944,100.0,1
1789899170.0564651,1291,11.97,0.5,1,1,347,347,0.8365,1,8.192,100.0,1
1789899170.1023676,1292,13.98,0.5,1,1,347,347,0.8379,1,7.421,100.0,1
1789899170.1642253,1293,9.03,0.5,1,1,347,347,0.7907,1,6.294,100.0,1
1789899170.194123,1294,9.01,0.5,1,1,347,347,0.7797,1,8.383,100.0,1
1789899170.2120461,1295,3.99,0.5,1,1,347,347,0.7794,1,7.967,100.0,1
1789899170.256959,1296,3.02,0.5,1,1,347,347,0.8249,1,8.229,100.0,1
1789899170.3347483,1297,11.0,0.5,1,0,347,347,,,,100.0,1
1789899170.3497407,1298,7.01,0.5,1,0,347,347,,,,100.0,1
1789899170.3964381,1299,3.03,0.5,1,0,347,347,,,,100.0,1
1789899170.4119744,1300,0.0,0.5,1,1,352,352,0.8532,1,8.618,100.0,1
1789899170.5046446,1301,5.06,0.5,1,1,352,352,0.8021,1,9.851,100.0,1
1789899170.5256267,1302,14.0,0.5,1,1,352,352,0.7767,1,10.917,100.0,1
1789899170.5804455,1304,1.0,0.5,1,1,352,352,0.7554,1,8.317,100.0,1
1789899170.642797,1305,8.98,0.5,1,1,352,352,0.6152,1,8.319,100.0,1
1789899170.7042546,1306,3.02,0.5,1,1,352,352,0.6233,1,8.015,100.0,1
1789899170.7201807,1307,9.97,0.5,1,1,352,352,0.6126,1,8.006,100.0,1
1789899170.7660558,1308,11.97,0.5,1,0,352,352,,,,100.0,1
1789899170.810695,1309,2.01,0.5,1,0,352,352,,,,100.0,1
1789899170.8575895,1310,13.88,0.5,1,0,352,352,,,,100.0,1
