t,seq,frame_age_ms,round,hold,cued_label,cued_name,phase,hand_detected,bbox_area,delta_s,svm_label,svm_name,svm_prob,svm_margin,rule_raw,rule_name,rule_conf,fb_stable_count,battery
1789908905.2188606,240,9.42,0,0,5,FORWARD,hold,1,0.08147395,-0.009562,,,,,UP,UP,0.7413,27,100.0
1789908905.2812743,242,3.17,0,0,5,FORWARD,hold,1,0.08067255,-0.009836,,,,,UP,UP,0.7416,28,100.0
1789908905.3743207,244,7.38,0,0,5,FORWARD,hold,1,0.07904682,-0.020152,,,,,UP,UP,0.7422,29,100.0
1789908905.4837697,246,14.22,0,0,5,FORWARD,hold,1,0.0769239,-0.026857,,,,,UP,UP,0.742,30,100.0
1789908905.5451586,248,10.11,0,0,5,FORWARD,hold,1,0.07576333,-0.015087,,,,,UP,UP,0.7404,31,100.0
1789908905.6387577,250,2.0,0,0,5,FORWARD,hold,1,0.07503304,-0.009639,,,,,UP,UP,0.7405,32,100.0
1789908905.715191,252,13.24,0,0,5,FORWARD,hold,1,0.07461528,-0.005568,,,,,UP,UP,0.7421,33,100.0
1789908905.810628,254,9.12,0,0,5,FORWARD,hold,1,0.07475801,0.001913,,,,,UP,UP,0.743,34,100.0
1789908905.887551,256,14.22,0,0,5,FORWARD,hold,1,0.07472987,-0.000376,,,,,UP,UP,0.7441,35,100.0
1789908905.9796386,258,8.15,0,0,5,FORWARD,hold,1,0.07506756,0.004519,,,,,UP,UP,0.7447,36,100.0
1789908906.041202,260,5.18,0,0,5,FORWARD,hold,1,0.07555028,0.00643,,,,,UP,UP,0.7466,37,100.0
1789908906.1509807,262,16.07,0,0,5,FORWARD,hold,1,0.07616309,0.008111,,,,,UP,UP,0.7463,38,100.0
1789908906.2128954,264,7.01,0,0,5,FORWARD,hold,1,0.07660414,0.005791,,,,,UP,UP,0.7468,39,100.0
1789908906.2897503,266,11.88,0,0,5,FORWARD,hold,1,0.07681238,0.002718,,,,,UP,UP,0.7488,40,100.0
1789908906.3822181,268,9.09,0,0,5,FORWARD,hold,1,0.07780723,0.012952,,,,,UP,UP,0.754,41,100.0
1789908906.4910727,270,9.15,0,0,5,FORWARD,hold,1,0.08051741,0.034832,,,,,UP,UP,0.7624,42,100.0
1789908906.5512366,272,14.17,0,0,5,FORWARD,hold,1,0.08504547,0.056237,,,,,UP,UP,0.7719,43,100.0
1789908906.6457047,274,7.24,0,0,5,FORWARD,hold,1,0.0924388,0.086934,,,,,UP,UP,0.7848,44,100.0
1789908906.7073748,276,3.46,0,0,5,FORWARD,hold,1,0.10244743,0.108273,,,,,UP,UP,0.8033,45,100.0
1789908906.8166192,278,12.01,0,0,5,FORWARD,hold,1,0.12756169,0.245143,,,,,UP-FORWARD,UP,0.8618,1,100.0
1789908906.8795948,280,7.65,0,0,5,FORWARD,hold,1,0.18839038,0.476857,,,,,UP-FORWARD,UP-FORWARD,0.9632,2,100.0
1789908906.9872477,282,14.35,0,0,5,FORWARD,hold,0,,,,,,,,,,2,100.0
