t,bat,h,yaw,vgx,vgy,vgz,tof
1789938536.388564,85.0,40.0,156.0,0.0,0.0,0.0,10.0
1789938537.3951836,85.0,0.0,156.0,0.0,0.0,0.0,10.0
1789938538.3964128,85.0,0.0,156.0,0.0,0.0,0.0,10.0
1789938539.3971999,85.0,0.0,156.0,0.0,0.0,0.0,10.0
1789938540.398407,85.0,0.0,156.0,0.0,0.0,0.0,10.0
1789938541.4023948,85.0,0.0,156.0,0.0,0.0,0.0,10.0
1789938542.4062705,85.0,0.0,156.0,0.0,0.0,0.0,10.0
1789938543.406487,85.0,0.0,156.0,0.0,0.0,0.0,10.0
1789938544.4093227,85.0,0.0,156.0,0.0,0.0,0.0,10.0
1789938545.4107084,85.0,0.0,156.0,0.0,0.0,0.0,10.0
1789938546.4110372,85.0,0.0,156.0,0.0,0.0,0.0,10.0
1789938547.4127972,85.0,0.0,156.0,0.0,0.0,0.0,10.0
