t,seq,frame_age_ms,round,hold,cue_label,cue_name,phase,vocabulary,hand_detected,hand_auth,face_auth,mode,raw_gesture,emitted_gesture,command,fb_stable_count,gesture_conf,battery,altitude_cm
1789938589.0101986,819,20.17,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.041113,820,19.95,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.097936,821,5.5,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.127854,822,1.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.1795685,823,22.94,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.2069442,824,16.4,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.2745745,825,18.8,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.291913,826,1.0,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.3427072,827,21.1,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.3600514,828,2.89,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.4262187,829,1.03,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.442173,830,11.97,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.4921267,831,1.0,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.5280612,832,3.02,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.590843,833,1.03,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.6251397,834,2.0,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.6591887,835,2.99,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.6946938,836,2.89,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.7606258,837,3.02,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.7925425,838,1.03,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.8294587,839,6.21,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.860411,840,3.03,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.9272845,841,2.02,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.961621,842,2.0,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938589.9971364,843,7.59,0,0,5,FORWARD,settle,svm,1,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.027422,844,2.02,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.0953007,845,2.05,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.1261654,846,0.97,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.16316,847,6.98,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.194086,848,3.04,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
1789938590.2610574,849,1.0,0,0,5,FORWARD,settle,svm,0,0,0,search_360,,SEARCH,rc lr=0 fb=0 ud=0 yaw=30,0,,84.0,70.0
