t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1789938559.8281293,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,84.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,7,5.798118829727173
1789938560.8694158,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,84.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,143,6.839405298233032
1789938561.851176,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,84.0,0.0,The drone should hover for safety reasons without causing any issues,1934.7437000251375,False,,,False,False,0/20,-1.0,False,166,7.796235084533691
1789938562.8567686,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,84.0,0.0,The drone should hover for safety reasons without causing any issues,1934.7437000251375,False,,,False,False,0/20,-1.0,False,190,8.798982858657837
1789938563.0234413,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,84.0,0.0,The drone has not landed or completed its mission,1212.9521000315435,False,,,False,False,0/20,-1.0,False,194,8.965265274047852
1789938564.0332978,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,84.0,50.0,The drone has not landed or completed its mission,1212.9521000315435,False,,,False,False,0/20,-1.0,False,218,9.966386318206787
1789938564.0450623,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,84.0,60.0,The drone has not landed or completed its mission,1212.9521000315435,False,,,False,False,0/20,-1.0,False,219,10.01505184173584
1789938564.696737,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,False,False,False,False,84.0,100.0,The drone has not detected any objects on the ground yet.,1718.7355000060052,False,,,False,False,0/20,-1.0,False,234,10.633198976516724
1789938565.701495,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,84.0,0.0,The drone has not detected any objects on the ground yet.,1718.7355000060052,True,217,217,False,False,0/20,-1.0,False,259,11.671484470367432
1789938566.774086,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,84.0,0.0,The drone has not detected any objects on the ground yet.,1718.7355000060052,True,229,229,False,False,0/20,-1.0,False,284,12.700364112854004
1789938567.2595088,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,84.0,0.0,The drone is currently hovering at ground level and has not detected any objects or passed by within the last nine seconds.,2561.4567999728024,True,229,229,False,False,0/20,-1.0,False,296,13.200664043426514
1789938568.234506,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,84.0,0.0,The drone is currently hovering at ground level and has not detected any objects or passed by within the last nine seconds.,2561.4567999728024,True,235,235,False,False,0/20,-1.0,False,320,14.204495429992676
1789938568.4003608,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,84.0,0.0,Autonomy is not controlling the drone,1143.2192000211217,True,241,241,False,False,0/20,-1.0,False,324,14.370350360870361
1789938569.402486,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,84.0,0.0,Autonomy is not controlling the drone,1143.2192000211217,True,239,239,False,False,0/20,-1.0,False,348,15.372475624084473
1789938570.2307575,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,84.0,0.0,Autonomy: no human for 10.0s -> search_360,1765.9747999859974,True,236,236,False,False,0/20,-1.0,False,367,16.169329404830933
1789938571.2427955,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,84.0,0.0,Autonomy: no human for 10.0s -> search_360,1765.9747999859974,True,203,203,False,False,0/20,-1.0,False,392,17.212785005569458
1789938572.2821546,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,84.0,0.0,Autonomy: no human for 10.0s -> search_360,1765.9747999859974,True,198,198,False,False,0/20,-1.0,False,417,18.22838854789734
1789938573.2960796,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,84.0,0.0,Autonomy: no human for 10.0s -> search_360,1765.9747999859974,True,213,213,False,False,0/20,-1.0,False,441,19.23415493965149
1789938573.9012341,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,84.0,0.0,Autonomy: no human for 10 seconds to conduct search_360,3725.476499996148,True,207,207,False,False,0/20,-1.0,False,456,19.87122368812561
1789938574.9429393,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,84.0,0.0,Autonomy: no human for 10 seconds to conduct search_360,3725.476499996148,True,235,235,False,True,3/20,-1.0,False,481,20.89451026916504
1789938575.871089,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,84.0,0.0,Autonomy: no human for 10 seconds to conduct search_360,3725.476499996148,True,240,240,True,False,0/20,0.9359463453292847,False,502,0.0
1789938576.8499036,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,84.0,0.0,Autonomy: no human for 10 seconds to conduct search_360,3725.476499996148,True,221,221,True,False,0/20,0.8059872984886169,False,526,0.0
1789938576.9357069,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,84.0,0.0,The drone cannot fly as it has not yet detected or entered the search_360 mode,2997.6678999955766,True,230,230,True,False,0/20,0.8206037282943726,False,527,0.0
1789938577.9499872,face,ground,Search: face_detected -> face (exit search),HOVER,,True,False,False,False,84.0,-40.0,The drone cannot fly as it has not yet detected or entered the search_360 mode,2997.6678999955766,True,199,199,True,False,0/20,0.14365333318710327,False,552,0.7704417705535889
1789938577.9784214,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,84.0,-50.0,The drone cannot fly as it has not yet detected or entered the search_360 mode,2997.6678999955766,True,199,199,True,False,0/20,0.19141274690628052,False,554,0.8447282314300537
1789938578.9964802,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,84.0,-30.0,The drone cannot fly as it has not yet detected or entered the search_360 mode,2997.6678999955766,False,720,821,True,False,0/20,0.13005852699279785,False,579,1.874755859375
1789938580.087893,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,84.0,0.0,The drone cannot fly as it has not yet detected or entered the search_360 mode,2997.6678999955766,False,720,821,True,False,0/20,0.13005852699279785,False,604,2.934251070022583
1789938580.5178268,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,84.0,0.0,The drone has detected a face in the environment.,3606.740399962291,False,720,821,True,False,0/20,0.13005852699279785,False,615,3.3679697513580322
1789938588.1665933,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 11.0s -> search_360,SEARCH,,False,False,False,False,84.0,70.0,The drone is on the ground and hasn't been seen for 4 minutes.,1305.9640999999829,False,209,209,True,False,0/20,0.10515470057725906,True,799,11.043865442276001
1789938589.1915379,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 11.0s -> search_360,SEARCH,,True,False,False,False,84.0,70.0,The drone is on the ground and hasn't been seen for 4 minutes.,1305.9640999999829,True,169,169,True,False,0/20,0.12768882513046265,True,823,12.057844161987305
1789938590.221129,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 11.0s -> search_360,SEARCH,,True,False,False,False,84.0,70.0,The drone is on the ground and hasn't been seen for 4 minutes.,1305.9640999999829,False,169,169,True,False,0/20,0.12768882513046265,True,848,13.072361707687378
1789938591.233164,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 11.0s -> search_360,SEARCH,,True,False,False,False,84.0,70.0,The drone is on the ground and hasn't been seen for 4 minutes.,1305.9640999999829,False,256,256,True,False,0/20,0.24182717502117157,True,872,14.086936473846436
1789938592.227379,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 11.0s -> search_360,SEARCH,,True,False,False,False,84.0,70.0,LLM error (ReadTimeout),4027.8238999890164,False,191,191,True,False,0/20,0.12605255842208862,True,896,15.069403886795044
1789938593.227995,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 11.0s -> search_360,SEARCH,,True,False,False,False,84.0,70.0,LLM error (ReadTimeout),4027.8238999890164,False,191,191,True,False,0/20,0.12605255842208862,True,920,16.072185277938843
1789938594.211329,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 11.0s -> search_360,SEARCH,,True,False,True,False,84.0,70.0,LLM error (ReadTimeout),4027.8238999890164,True,193,193,True,False,0/20,0.11683919280767441,True,944,17.074644088745117
1789938595.2709036,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 11.0s -> search_360,SEARCH,,True,False,True,False,84.0,70.0,LLM error (ReadTimeout),4027.8238999890164,True,194,194,True,False,0/20,0.13234123587608337,True,969,18.134735345840454
1789938595.4799435,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 11.0s -> search_360,SEARCH,,True,False,True,False,84.0,70.0,The drone is performing a search_360 to locate any objects while maintaining flight speed and altitude.,3221.5641000075266,True,254,254,True,False,0/20,0.07181760668754578,True,973,18.31340789794922
1789938596.4850738,search_360,rc lr=0 fb=0 ud=0 yaw=30,Autonomy: no human for 11.0s -> search_360,SEARCH,,True,False,False,False,84.0,70.0,The drone is performing a search_360 to locate any objects while maintaining flight speed and altitude.,3221.5641000075266,True,288,288,True,False,0/20,0.1361771821975708,True,998,19.345396757125854
1789938597.3042846,face,rc lr=0 fb=-21 ud=7 yaw=-20,Search: face_detected -> face (exit search),FACE,,True,True,False,False,84.0,70.0,The drone is performing a search_360 to locate any objects while maintaining flight speed and altitude.,3221.5641000075266,True,362,362,True,False,0/20,0.6451424360275269,True,1017,0.0
1789938597.4175467,face,rc lr=0 fb=-25 ud=6 yaw=-20,Search: face_detected -> face (exit search),FACE,,True,True,False,False,84.0,70.0,The drone is performing a search_360 to locate any objects while maintaining flight speed and altitude.,3221.5641000075266,True,371,371,True,False,0/20,0.42954331636428833,True,1019,0.0
1789938597.5728066,face,rc lr=0 fb=-32 ud=3 yaw=-20,Search: face_detected -> face (exit search),FACE,,True,True,False,False,84.0,70.0,The drone is performing a search_360 to locate any objects while maintaining flight speed and altitude.,3221.5641000075266,True,385,386,True,False,0/20,0.6460133790969849,True,1023,0.0
1789938597.681788,face,rc lr=0 fb=-35 ud=2 yaw=-20,Search: face_detected -> face (exit search),FACE,,True,True,False,False,84.0,70.0,The drone is performing a search_360 to locate any objects while maintaining flight speed and altitude.,3221.5641000075266,True,386,386,True,False,0/20,0.4651665687561035,True,1026,0.0
1789938597.8055055,face,rc lr=0 fb=-39 ud=2 yaw=-20,Search: face_detected -> face (exit search),FACE,,True,True,False,False,84.0,70.0,The drone is performing a search_360 to locate any objects while maintaining flight speed and altitude.,3221.5641000075266,True,392,392,True,False,0/20,0.42682841420173645,True,1029,0.0
1789938597.8394141,face,rc lr=0 fb=0 ud=0 yaw=0,Search: face_detected -> face (exit search),HOVER,,True,False,False,False,84.0,70.0,The drone is performing a search_360 to locate any objects while maintaining flight speed and altitude.,3221.5641000075266,True,392,392,True,False,0/20,0.2858262062072754,True,1031,0.08489704132080078
1789938598.6220167,hover,rc lr=0 fb=0 ud=0 yaw=0,Autonomy: no intent -> hover,HOVER,,True,False,False,False,84.0,70.0,The drone is performing a search_360 to locate any objects while maintaining flight speed and altitude.,3221.5641000075266,True,416,416,True,False,0/20,0.47196561098098755,True,1049,0.8328852653503418
1789938598.7290893,hover,rc lr=0 fb=0 ud=0 yaw=0,Autonomy: no intent -> hover,HOVER,,True,False,False,False,84.0,70.0,The drone is flying at an altitude of 70 cm and has not detected a face or battery power.,3277.945699985139,True,382,382,True,False,0/20,0.4400343894958496,True,1051,0.9358572959899902
1789938599.7221746,hover,rc lr=0 fb=0 ud=0 yaw=0,Autonomy: no intent -> hover,HOVER,,True,False,True,False,84.0,60.0,The drone is flying at an altitude of 70 cm and has not detected a face or battery power.,3277.945699985139,True,289,303,True,False,0/20,0.13719461858272552,True,1076,1.9646663665771484
1789938600.7749333,hover,rc lr=0 fb=0 ud=0 yaw=0,Autonomy: no intent -> hover,HOVER,,True,False,True,False,84.0,60.0,The drone is flying at an altitude of 70 cm and has not detected a face or battery power.,3277.945699985139,True,332,332,True,False,0/20,0.47797226905822754,True,1100,2.9831082820892334
1789938600.9121017,hover,rc lr=0 fb=0 ud=0 yaw=0,Autonomy: no intent -> hover,HOVER,,True,False,True,False,84.0,60.0,The drone is searching for a face that has been detected.,2210.4679999756627,True,332,332,True,False,0/20,0.5327391624450684,True,1105,3.1568987369537354
