t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran,svm_infer_ms,svm_infer_ms_ran
1789938559.8281293,7,,,3.990650177001953,0.07940002251416445,0.007399998139590025,1,,0,,0,0,,0,hover,0.028399983420968056,1,,
1789938559.905919,16,0.0777897834777832,12.855158547723692,15.957117080688477,36.76889999769628,0.0048999791033566,1,,0,,0,0,36.73069999786094,1,hover,0.02010003663599491,1,,
1789938559.9218767,33,0.01595759391784668,62.666088957284366,1.9941329956054688,0.04249997437000275,0.005999987479299307,1,,0,,0,0,,0,hover,0.019199971575289965,1,,
1789938559.9882069,38,0.0663301944732666,15.076090277453282,3.9892196655273438,35.41030001360923,0.004700035788118839,1,9.222000022418797,1,,0,0,26.16229996783659,1,hover,0.014999997802078724,1,,
1789938560.003167,55,0.014960050582885742,66.84469377022009,0.9968280792236328,0.03819999983534217,0.006199989002197981,1,,0,,0,0,,0,hover,0.01650000922381878,1,,
1789938560.044617,59,0.04145002365112305,24.125438586400083,1.9919872283935547,28.018199955113232,0.004299974534660578,1,,0,,0,0,27.987099951133132,1,hover,0.015500001609325409,1,,
1789938560.0592158,74,0.014598846435546875,68.49856284295792,1.9943714141845703,0.036299985367804766,0.005399982910603285,1,,0,,0,0,,0,hover,0.015700003132224083,1,,
1789938560.109602,79,0.05038619041442871,19.846707833534435,1.995086669921875,36.80850000819191,0.00500003807246685,1,5.989599972963333,1,,0,0,30.790999997407198,1,hover,0.015899946447461843,1,,
1789938560.119605,100,0.010003089904785156,99.96911049671084,0.9973049163818359,0.03659998765215278,0.005099980626255274,1,,0,,0,0,,0,hover,0.016400008462369442,1,,
1789938560.1576393,105,0.03803420066833496,26.292126097776553,1.9965171813964844,26.625200000125915,0.006499991286545992,1,,0,,0,0,26.579400000628084,1,hover,0.02400000812485814,1,,
1789938560.170293,121,0.012653827667236328,79.02747107811734,2.5625228881835938,0.05959998816251755,0.010500021744519472,1,,0,,0,0,,0,hover,0.02859998494386673,1,,
1789938560.2049642,126,0.03467106819152832,28.8424917996713,1.9922256469726562,23.309700016397983,0.004300032742321491,1,4.732900008093566,1,,0,0,18.55099998647347,1,hover,0.014999997802078724,1,,
1789938560.2229152,127,0.017951011657714844,55.70716676406524,36.90004348754883,0.03739999374374747,0.004999979864805937,1,,0,,0,0,,0,hover,0.01850002445280552,1,,
1789938560.2508729,128,0.027957677841186523,35.76834977784979,1.0304450988769531,18.077999993693084,0.004099973011761904,1,,0,,0,0,18.04739999352023,1,hover,0.014999997802078724,1,,
1789938560.3006272,129,0.04975438117980957,20.098732539473367,15.988826751708984,0.03980001201853156,0.005199981387704611,1,,0,,0,0,,0,hover,0.017600017599761486,1,,
1789938560.3530157,130,0.05238842964172363,19.08818429639608,8.008956909179688,22.87459996296093,0.004700035788118839,1,4.911800031550229,1,,0,0,17.935599957127124,1,hover,0.01610000617802143,1,,
1789938560.3620245,131,0.00900888442993164,111.00153496003811,5.021095275878906,0.03239995567128062,0.005500041879713535,1,,0,,0,0,,0,hover,0.014199991710484028,1,,
1789938560.4117506,132,0.049726009368896484,20.110200128496494,0.9958744049072266,22.2638999694027,0.004200031980872154,1,,0,,0,0,22.232000017538667,1,hover,0.015900004655122757,1,,
1789938560.4390607,133,0.02731013298034668,36.61644565113011,9.008407592773438,0.03090000245720148,0.004599976819008589,1,,0,,0,0,,0,hover,0.012899981811642647,1,,
1789938560.524402,134,0.08534121513366699,11.717667699408013,9.008407592773438,23.94889999413863,0.004400033503770828,1,5.020699987653643,1,,0,0,18.903199990745634,1,hover,0.015099998563528061,1,,
1789938560.544548,135,0.02014613151550293,49.63732115172961,25.134563446044922,0.03760005347430706,0.004500034265220165,1,,0,,0,0,,0,hover,0.01479999627918005,1,,
1789938560.5744336,136,0.029885530471801758,33.461008863253795,0.9970664978027344,20.418300002347678,0.004100031219422817,1,,0,,0,0,20.38710005581379,1,hover,0.015500001609325409,1,,
1789938560.6233385,137,0.0489048957824707,20.44785054747906,3.028392791748047,0.036299985367804766,0.005299982149153948,1,,0,,0,0,,0,hover,0.01610000617802143,1,,
1789938560.6862953,138,0.0629568099975586,15.883905173066728,2.9926300048828125,27.899699984118342,0.005499983672052622,1,6.254599953535944,1,,0,0,21.61370002431795,1,hover,0.017700018361210823,1,,
1789938560.694308,139,0.008012771606445312,124.80076172339919,8.012771606445312,0.02819998189806938,0.004299974534660578,1,,0,,0,0,,0,hover,0.012400036212056875,1,,
1789938560.7412312,140,0.046923160552978516,21.311437426960012,2.5167465209960938,19.60880000842735,0.004799978341907263,1,,0,,0,0,19.574600039049983,1,hover,0.01650000922381878,1,,
1789938560.8060777,141,0.06484651565551758,15.421029023552682,3.024578094482422,0.035100034438073635,0.004700035788118839,1,,0,,0,0,,0,hover,0.015600002370774746,1,,
1789938560.846481,142,0.04040336608886719,24.750413067082093,0.5743503570556641,25.36809997400269,0.004699977580457926,1,4.823600000236183,1,,0,0,20.516899996437132,1,hover,0.01610000617802143,1,,
1789938560.8694158,143,0.022934675216674805,43.60209990124227,2.99072265625,0.05630002124235034,0.004399975296109915,1,,0,,0,0,,0,hover,0.03670004662126303,1,,
1789938560.9153268,144,0.04591107368469238,21.781237504219355,4.986047744750977,22.105099982582033,0.004599976819008589,1,,0,,0,0,22.072599967941642,1,hover,0.01580000389367342,1,,
1789938560.9553514,145,0.040024518966674805,24.984685033507073,0.5199909210205078,0.06410002242773771,0.007099995855242014,1,,0,,0,0,,0,hover,0.036299985367804766,1,,
1789938561.0250647,146,0.06971335411071777,14.344453982400761,2.991914749145508,26.457800006028265,0.005099980626255274,1,5.196000041905791,1,,0,0,21.23289997689426,1,hover,0.016700010746717453,1,,
1789938561.0330448,147,0.007980108261108398,125.31158316154283,13.962268829345703,0.03160000778734684,0.004999979864805937,1,,0,,0,0,,0,hover,0.013599987141788006,1,,
1789938561.0889633,148,0.05591845512390137,17.883183606990734,1.9958019256591797,29.26169999409467,0.0048999791033566,1,,0,,0,0,29.223899997305125,1,hover,0.020099978428333998,1,,
1789938561.1215131,149,0.03254985809326172,30.7221001435645,0.5524158477783203,0.04959997022524476,0.006500049494206905,1,,0,,0,0,,0,hover,0.0219999928958714,1,,
