t,event,latency_ms
1789938561.851176,llm_explanation,1934.7437000251375
1789938563.0234413,llm_explanation,1212.9521000315435
1789938564.696737,llm_explanation,1718.7355000060052
1789938567.2595088,llm_explanation,2561.4567999728024
1789938568.4003608,llm_explanation,1143.2192000211217
1789938570.2307575,llm_explanation,1765.9747999859974
1789938573.9012341,llm_explanation,3725.476499996148
1789938576.9357069,llm_explanation,2997.6678999955766
1789938580.5178268,llm_explanation,3606.740399962291
1789938588.1655898,rc_send,
1789938588.1665933,llm_explanation,1305.9640999999829
1789938588.2660792,rc_send,
1789938588.3910277,rc_send,
1789938588.4922652,rc_send,
1789938588.5937116,rc_send,
1789938588.7008238,rc_send,
1789938588.8375359,rc_send,
1789938588.955125,rc_send,
1789938589.0969362,rc_send,
1789938589.2064965,rc_send,
1789938589.3417082,rc_send,
1789938589.4742033,rc_send,
1789938589.5768778,rc_send,
1789938589.6771092,rc_send,
1789938589.7775521,rc_send,
1789938589.9232655,rc_send,
1789938590.0234396,rc_send,
1789938590.1251981,rc_send,
1789938590.2337053,rc_send,
1789938590.3424976,rc_send,
1789938590.4744203,rc_send,
1789938590.5819676,rc_send,
1789938590.6848686,rc_send,
1789938590.8125315,rc_send,
1789938590.9327555,rc_send,
1789938591.0330563,rc_send,
1789938591.1693404,rc_send,
1789938591.2771,rc_send,
1789938591.3914921,rc_send,
1789938591.494915,rc_send,
1789938591.60821,rc_send,
1789938591.7097383,rc_send,
1789938591.8682578,rc_send,
1789938591.9862924,rc_send,
1789938592.0900447,rc_send,
1789938592.1911283,rc_send,
1789938592.227379,llm_explanation,4027.8238999890164
1789938592.295265,rc_send,
1789938592.4174323,rc_send,
1789938592.5170074,rc_send,
1789938592.6193283,rc_send,
1789938592.7373734,rc_send,
1789938592.8429341,rc_send,
1789938592.944943,rc_send,
1789938593.0788252,rc_send,
1789938593.1889567,rc_send,
1789938593.2918622,rc_send,
1789938593.4228077,rc_send,
1789938593.5477176,rc_send,
1789938593.6620426,rc_send,
1789938593.7933345,rc_send,
1789938593.8979926,rc_send,
1789938594.027357,rc_send,
1789938594.1299486,rc_send,
1789938594.2303205,rc_send,
1789938594.36434,rc_send,
1789938594.5371983,rc_send,
