t,seq,frame_age_ms,round,hold,cue_label,cue_name,phase,vocabulary,hand_detected,hand_auth,face_auth,mode,raw_gesture,emitted_gesture,command,fb_stable_count,gesture_conf,battery,altitude_cm,actuation_suppressed,bbox_area,delta_s,lm00_x,lm00_y,lm00_z,lm01_x,lm01_y,lm01_z,lm02_x,lm02_y,lm02_z,lm03_x,lm03_y,lm03_z,lm04_x,lm04_y,lm04_z,lm05_x,lm05_y,lm05_z,lm06_x,lm06_y,lm06_z,lm07_x,lm07_y,lm07_z,lm08_x,lm08_y,lm08_z,lm09_x,lm09_y,lm09_z,lm10_x,lm10_y,lm10_z,lm11_x,lm11_y,lm11_z,lm12_x,lm12_y,lm12_z,lm13_x,lm13_y,lm13_z,lm14_x,lm14_y,lm14_z,lm15_x,lm15_y,lm15_z,lm16_x,lm16_y,lm16_z,lm17_x,lm17_y,lm17_z,lm18_x,lm18_y,lm18_z,lm19_x,lm19_y,lm19_z,lm20_x,lm20_y,lm20_z
1789943227.7379854,2078,23.08,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943227.783864,2079,1.0,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943227.8758223,2081,24.93,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943227.9207022,2082,34.91,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943228.0036683,2084,22.13,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943228.0421069,2085,23.48,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943228.125393,2087,7.98,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943228.161449,2088,11.97,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943228.2319243,2090,13.96,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789943228.2878985,2091,3.99,0,0,5,FORWARD,settle,svm,0,0,0,hover,RIGHT,HOVER,rc lr=0 fb=0 ud=0 yaw=0,0,,82.0,90.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
