t,mode,command,det_reason,gesture,gesture_conf,face_raw,face_auth,hand_raw,hand_auth,battery,altitude_cm,llm_reason,llm_latency_ms,crop_ok,face_bbox_h,face_bbox_w,faceid_enrolled,faceid_enrolling,faceid_progress,faceid_score,flying,seq,t_any
1789943146.1719813,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,8,5.773447513580322
1789943147.1844475,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,True,False,100.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,143,6.785913705825806
1789943148.191535,hover,ground,Autonomy: no intent -> hover,HOVER,,False,False,False,False,100.0,0.0,,0.0,False,,,False,False,0/20,-1.0,False,167,7.793001174926758
1789943149.1991563,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,30.0,,0.0,False,373,373,False,False,0/20,-1.0,False,191,8.800622463226318
1789943150.24851,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,100.0,0.0,,0.0,True,239,239,False,False,0/20,-1.0,False,216,9.825985670089722
1789943150.4279397,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,,0.0,True,220,222,False,False,0/20,-1.0,False,220,10.005969762802124
1789943150.5088286,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,LLM error (ReadTimeout),4293.992100050673,True,220,222,False,False,0/20,-1.0,False,222,10.092342138290405
1789943151.5293941,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,LLM error (ReadTimeout),4293.992100050673,True,231,237,False,False,0/20,-1.0,False,246,11.09301233291626
1789943151.654817,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,100.0,0.0,The drone is in the air and not hovering,1153.043499973137,True,255,255,False,False,0/20,-1.0,False,250,11.232040882110596
1789943152.6807628,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,99.0,0.0,The drone is in the air and not hovering,1153.043499973137,True,240,240,False,False,0/20,-1.0,False,274,12.254903316497803
1789943153.2516508,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,99.0,0.0,"The drone is conducting a ground search with no human presence, following the instructions.",1615.535099990666,True,252,252,False,False,0/20,-1.0,False,288,12.825904846191406
1789943154.27818,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,99.0,0.0,"The drone is conducting a ground search with no human presence, following the instructions.",1615.535099990666,True,253,253,False,True,15/20,-1.0,False,312,13.836865186691284
1789943154.3877757,search_360,ground,Autonomy: no human for 10.0s -> search_360,SEARCH,,True,False,False,False,98.0,0.0,"The drone was searching for the ground,",1127.2905999794602,True,253,253,False,True,18/20,-1.0,False,315,13.977246761322021
1789943154.4944344,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,98.0,0.0,"The drone was searching for the ground,",1127.2905999794602,True,252,252,True,False,0/20,0.897956132888794,False,317,0.0
1789943155.498387,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,98.0,0.0,"The drone was searching for the ground,",1127.2905999794602,True,252,252,True,False,0/20,0.9297850131988525,False,341,0.0
1789943156.2427046,face,ground,Search: face_detected -> face (exit search),HOVER,,True,False,False,False,98.0,0.0,"The drone is in flight, so no battery warnings are needed.",1857.7647000201978,True,374,374,True,False,0/20,0.31388336420059204,False,359,0.26862525939941406
1789943156.780984,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,97.0,0.0,"The drone is in flight, so no battery warnings are needed.",1857.7647000201978,True,381,381,True,False,0/20,0.36740821599960327,False,372,0.8081157207489014
1789943157.7548754,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,97.0,0.0,"The drone is in flight, so no battery warnings are needed.",1857.7647000201978,True,373,373,True,False,0/20,0.2785373330116272,False,396,1.8163325786590576
1789943158.7552717,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,96.0,0.0,"The drone is in flight, so no battery warnings are needed.",1857.7647000201978,False,378,378,True,False,0/20,0.2385713756084442,False,421,2.829695224761963
1789943159.7559798,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,96.0,0.0,"The drone is in flight, so no battery warnings are needed.",1857.7647000201978,False,378,378,True,False,0/20,0.2385713756084442,False,445,3.8304033279418945
1789943168.2413645,search_360,ground,Autonomy: no human for 12.3s -> search_360,SEARCH,,False,False,False,False,94.0,40.0,"The drone is already in the ground, meeting the criteria for hovering.",1434.9189000204206,False,378,378,True,False,0/20,0.2385713756084442,False,647,12.29385232925415
1789943168.8608,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,93.0,40.0,"The drone is already in the ground, meeting the criteria for hovering.",1434.9189000204206,True,368,368,True,False,0/20,0.581073522567749,False,662,0.0
1789943169.9039261,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,93.0,40.0,"The drone is already in the ground, meeting the criteria for hovering.",1434.9189000204206,True,313,313,True,False,0/20,0.7225000858306885,False,687,0.0
1789943170.4823825,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,92.0,40.0,Autonomy: no human for 12.3s -> search_360,2200.948400015477,True,332,332,True,False,0/20,0.6530369520187378,False,701,0.0
1789943171.4563878,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,92.0,50.0,Autonomy: no human for 12.3s -> search_360,2200.948400015477,True,276,276,True,False,0/20,0.7397644519805908,False,725,0.0
1789943172.5091593,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,92.0,40.0,Autonomy: no human for 12.3s -> search_360,2200.948400015477,True,216,216,True,False,0/20,0.6724750995635986,False,750,0.0
1789943172.528453,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,92.0,40.0,"The drone is searching for the ground, thus not entering any specific area.",2084.698099992238,True,216,216,True,False,0/20,0.7221775054931641,False,751,0.0
1789943173.5672984,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,91.0,40.0,"The drone is searching for the ground, thus not entering any specific area.",2084.698099992238,True,222,222,True,False,0/20,0.6482789516448975,False,776,0.0
1789943174.6047213,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,91.0,40.0,"The drone is searching for the ground, thus not entering any specific area.",2084.698099992238,True,220,220,True,False,0/20,0.7848594188690186,False,800,0.0
1789943175.597798,face,ground,Search: face_detected -> face (exit search),HOVER,,True,False,False,False,90.0,40.0,"The drone is searching for the ground, thus not entering any specific area.",2084.698099992238,True,199,199,True,False,0/20,0.34131568670272827,False,825,0.06095623970031738
1789943176.5629766,face,ground,Search: face_detected -> face (exit search),FACE,,True,True,False,False,90.0,30.0,LLM error (ReadTimeout),4016.525899991393,True,224,224,True,False,0/20,0.42327964305877686,False,848,0.0
1789943177.5893338,face,ground,Search: face_detected -> face (exit search),HOVER,,True,False,True,False,89.0,-10.0,LLM error (ReadTimeout),4016.525899991393,False,195,195,True,False,0/20,0.19397658109664917,False,873,0.6125912666320801
1789943177.8242307,hover,ground,Autonomy: no intent -> hover,HOVER,,True,False,False,False,89.0,-20.0,LLM error (ReadTimeout),4016.525899991393,False,195,195,True,False,0/20,0.19397658109664917,False,878,0.8109095096588135
